[P02BB01, trichlorfon, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Metrifonate.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R03AC12, salmeterol, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Flavoxate.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Flavoxate.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AA16, dothiepin, Dosulepin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AA12, doxepin, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Flavoxate.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AB06, sertraline, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A08AA10, sibutramine, Sibutramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Flavoxate.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Flavoxate.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[V04CX07, edrophonium, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Edrophonium.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01GA02, tetrahydrozoline, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Tetryzoline.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[G04BD01, emepronium, Emepronium may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AG03, toloxatone, Toloxatone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Flavoxate is combined with Topiramate.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Tramazoline.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Flavoxate.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Tulobuterol.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C02CA06, urapidil, Urapidil may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01FB02, ephedrine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Ephedrine.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AX16, venlafaxine, Venlafaxine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01CX07, xamoterol, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Xylometazoline.]
[S01EA01, epinephrine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Flavoxate.]
[N05CF02, zolpidem, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C02AC02, guanfacine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[G02AB03, ergonovine, Ergometrine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02CA02, ergotamine, Ergotamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AG01, valproic acid, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L03AX05, pidotimod, Flavoxate may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Gepefrine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Flavoxate.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Etilefrine.]
[N01AX07, etomidate, Etomidate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AE03, sertindole, Sertindole may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A02BA04, nizatidine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Nizatidine.]
[R06AX12, terfenadine, The risk or severity of adverse effects can be increased when Terfenadine is combined with Flavoxate.]
[P01AX07, trimetrexate, Flavoxate may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AB08, fluvoxamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[B05AA05, dextran, Flavoxate may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N03AX26, fenfluramine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Flavoxate is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Flavoxate is combined with Fentanyl.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N07XX04, sodium oxybate, Sodium oxybate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Flavoxate may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Flavoxate may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[V03AB25, flumazenil, Flavoxate may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[V03AZ01, ethanol, Ethanol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AB03, fluoxetine, Fluoxetine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AF01, flupenthixol, Flupentixol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[L01BC03, tegafur, Flavoxate may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Adrafinil.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[G01AX06, furazolidone, Furazolidone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AL05, amisulpride, Amisulpride may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06DA04, galantamine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Galantamine.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C10AB04, gemfibrozil, Flavoxate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Flavoxate may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, Cabergoline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Flavoxate is combined with Alfentanil.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[H04AA01, glucagon, Flavoxate may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Flavoxate.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M01CB04, aurothioglucose, Flavoxate may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Flavoxate may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01EX01, guanethidine, Flavoxate may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AD01, haloperidol, Haloperidol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AH04, quetiapine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06BX13, idebenone, Flavoxate may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Flavoxate.]
[G03DC01, allylestrenol, Flavoxate may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Flavoxate.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R03CC05, hexoprenaline, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Hexoprenaline.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C02DB02, hydralazine, Flavoxate may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The risk or severity of adverse effects can be increased when Flavoxate is combined with Hydrocodone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Flavoxate may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Propiverine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[B05AA07, hetastarch, Flavoxate may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C02AC06, rilmenidine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Rilmenidine.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[B05XA08, sodium acetate, Flavoxate may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Flavoxate.]
[L01AA06, ifosfamide, Flavoxate may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Flavoxate is combined with Sufentanil.]
[N06AA02, imipramine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R01AD07, tixocortol, Flavoxate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, Tizanidine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A11HA07, inositol, Flavoxate may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Milnacipran may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Flavoxate is combined with Piperidolate.]
[S01XA28, varenicline, Flavoxate may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A10BH01, sitagliptin, Flavoxate may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R06AE01, buclizine, The risk or severity of adverse effects can be increased when Buclizine is combined with Flavoxate.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Anagrelide is combined with Flavoxate.]
[C07AA01, alprenolol, Alprenolol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Flavoxate may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AF05, iproniazid, Iproniazid may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R03CC06, isoetharine, The risk or severity of Tachycardia can be increased when Isoetharine is combined with Flavoxate.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01EB07, isoflurophate, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J04AC01, isoniazid, Isoniazid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J05AX05, inosine pranobex, Flavoxate may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Isoprenaline.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Isoxsuprine.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01AA24, kanamycin, Flavoxate may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[B01AC22, prasugrel, Flavoxate may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[N05AH03, olanzapine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01CA22, arbutamine, The risk or severity of Tachycardia can be increased when Arbutamine is combined with Flavoxate.]
[N04BC09, rotigotine, Rotigotine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Amantadine is combined with Flavoxate.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Flavoxate.]
[N07AA30, ambenonium, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Flavoxate.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N04BA01, levodopa, The absorption of Levodopa can be decreased when combined with Flavoxate.]
[S02DA01, lidocaine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01AA21, amikacin, Flavoxate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Lisuride may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[B05XA11, magnesium chloride, Flavoxate may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Flavoxate.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Flavoxate.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L01BA05, pralatrexate, Flavoxate may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Maprotiline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Flavoxate.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Flavoxate.]
[P01BC02, mefloquine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06DX01, memantine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Mephentermine.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Flavoxate is combined with Meptazinol.]
[G04BX16, tiopronin, Flavoxate may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, Mesoridazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
