[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Zidovudine is combined with Antipyrine.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Zidovudine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Zidovudine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Zidovudine.]
[N06AB03, fluoxetine, The metabolism of Zidovudine can be decreased when combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Zidovudine.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be decreased when combined with Zidovudine.]
[S01BC04, flurbiprofen, The risk or severity of bleeding can be increased when Zidovudine is combined with Flurbiprofen.]
[V04CX02, folic acid, The excretion of Zidovudine can be decreased when combined with Folic acid.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Zidovudine.]
[J05AE10, darunavir, The metabolism of Zidovudine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The excretion of Zidovudine can be decreased when combined with Furosemide.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Alendronic acid.]
[N05CF04, eszopiclone, The metabolism of Zidovudine can be decreased when combined with Eszopiclone.]
[S01AD09, ganciclovir, The excretion of Zidovudine can be decreased when combined with Ganciclovir.]
[C10AB04, gemfibrozil, The metabolism of Zidovudine can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Dasatinib.]
[J05AG04, etravirine, The metabolism of Zidovudine can be decreased when combined with Etravirine.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Zidovudine.]
[A10BB01, glyburide, The metabolism of Zidovudine can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Zidovudine.]
[A10BB07, glipizide, The metabolism of Glipizide can be increased when combined with Zidovudine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Zidovudine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Zidovudine.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Zidovudine.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Zidovudine.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Zidovudine.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Zidovudine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Zidovudine.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Zidovudine.]
[C09CA01, losartan, The metabolism of Losartan can be increased when combined with Zidovudine.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Zidovudine.]
[A07EC02, mesalamine, The risk or severity of bleeding can be increased when Zidovudine is combined with Mesalazine.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Zidovudine.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Zidovudine.]
[C08CA10, nilvadipine, The metabolism of Zidovudine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Zidovudine is combined with Nimesulide.]
[C03AA03, hydrochlorothiazide, The excretion of Hydrochlorothiazide can be decreased when combined with Zidovudine.]
[S02BA01, hydrocortisone, The excretion of Hydrocortisone can be decreased when combined with Zidovudine.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Zidovudine.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Zidovudine is combined with Hydroxyurea.]
[J04AB04, rifabutin, The metabolism of Zidovudine can be increased when combined with Rifabutin.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Risedronic acid.]
[R02AX02, ibuprofen, The risk or severity of bleeding can be increased when Zidovudine is combined with Ibuprofen.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Zidovudine.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ifosfamide.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Zidovudine.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Zidovudine is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Zidovudine is combined with Topotecan.]
[S01BC01, indomethacin, The risk or severity of bleeding can be increased when Zidovudine is combined with Indomethacin.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Zidovudine.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Zidovudine.]
[N06AX17, milnacipran, The metabolism of Zidovudine can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Eculizumab.]
[A10BH01, sitagliptin, The excretion of Sitagliptin can be decreased when combined with Zidovudine.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Zidovudine.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be increased when combined with Zidovudine.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Zidovudine.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Zidovudine.]
[V03AB01, ipecac, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Ipecac.]
[J05AF04, stavudine, The therapeutic efficacy of Stavudine can be decreased when used in combination with Zidovudine.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Zidovudine.]
[N06AF05, iproniazid, The metabolism of Zidovudine can be decreased when combined with Iproniazid.]
[P01AX06, atovaquone, The metabolism of Zidovudine can be decreased when combined with Atovaquone.]
[J04AC01, isoniazid, The metabolism of Zidovudine can be decreased when combined with Isoniazid.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Isotretinoin.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Ivermectin.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Zidovudine.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Zidovudine.]
[L04AC07, tocilizumab, The metabolism of Zidovudine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Zidovudine.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Zidovudine.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Zidovudine.]
[J02AB02, ketoconazole, The metabolism of Zidovudine can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Zidovudine can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The metabolism of Zidovudine can be decreased when combined with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of adverse effects can be increased when Ketoprofen is combined with Zidovudine.]
[V03AC03, deferasirox, The metabolism of Deferasirox can be increased when combined with Zidovudine.]
[L04AA24, abatacept, The metabolism of Zidovudine can be increased when combined with Abatacept.]
[J01MB02, nalidixic acid, The excretion of Zidovudine can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of bleeding can be increased when Zidovudine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be increased when combined with Zidovudine.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Zidovudine.]
[C03CC01, ethacrynic acid, The excretion of Zidovudine can be decreased when combined with Etacrynic acid.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Zidovudine.]
[N06BA13, armodafinil, The metabolism of Zidovudine can be decreased when combined with Armodafinil.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Lomustine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Zidovudine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be increased when combined with Zidovudine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Zidovudine.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Zidovudine is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Zidovudine is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Zidovudine can be decreased when combined with Nilotinib.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Mechlorethamine.]
[M02AA18, meclofenamic acid, The risk or severity of bleeding can be increased when Zidovudine is combined with Meclofenamic acid.]
[P01BC02, mefloquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Mefloquine is combined with Zidovudine.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Zidovudine.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Zidovudine.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Zidovudine.]
[N05CH01, melatonin, The excretion of Zidovudine can be decreased when combined with Melatonin.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Zidovudine is combined with Melphalan.]
[N06DX01, memantine, The metabolism of Zidovudine can be decreased when combined with Memantine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Zidovudine.]
[N07BC02, methadone, The serum concentration of Zidovudine can be increased when it is combined with Methadone.]
[S01EC05, methazolamide, The excretion of Zidovudine can be decreased when combined with Methazolamide.]
[H03BB02, methimazole, The metabolism of Zidovudine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Zidovudine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Zidovudine is combined with Methotrexate.]
[D05BA02, methoxsalen, The metabolism of Zidovudine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Zidovudine.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Zidovudine.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Methyldopa.]
[V04CG05, methylene blue, The metabolism of Zidovudine can be decreased when combined with Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Methylprednisolone.]
[G03EK01, methyltestosterone, The excretion of Zidovudine can be increased when combined with Methyltestosterone.]
[A03FA01, metoclopramide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Metoclopramide.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be increased when combined with Zidovudine.]
[V04CD01, metyrapone, The metabolism of Zidovudine can be decreased when combined with Metyrapone.]
[S02AA13, miconazole, The metabolism of Zidovudine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of bleeding can be increased when Zidovudine is combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Zidovudine.]
[G03XB01, mifepristone, The serum concentration of Zidovudine can be increased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Zidovudine.]
[C09CA03, valsartan, The metabolism of Zidovudine can be decreased when combined with Valsartan.]
[J01AA08, minocycline, The excretion of Zidovudine can be decreased when combined with Minocycline.]
[D11AX01, minoxidil, The metabolism of Minoxidil can be increased when combined with Zidovudine.]
[L01XX23, mitotane, The metabolism of Zidovudine can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Zidovudine.]
[C01BD01, amiodarone, The metabolism of Zidovudine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Zidovudine can be decreased when combined with Amitriptyline.]
[N02AA01, morphine, The metabolism of Morphine can be increased when combined with Zidovudine.]
[L04AB05, certolizumab pegol, The metabolism of Zidovudine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be increased when combined with Zidovudine.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Zidovudine.]
[L04AA06, mycophenolic acid, The metabolism of Mycophenolic acid can be increased when combined with Zidovudine.]
[J05AJ01, raltegravir, The metabolism of Raltegravir can be increased when combined with Zidovudine.]
[P01BA06, amodiaquine, Zidovudine may increase the neutropenic activities of Amodiaquine.]
[G03XC01, raloxifene, The metabolism of Raloxifene can be increased when combined with Zidovudine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Zidovudine.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Zidovudine.]
[J01CA04, amoxicillin, The excretion of Zidovudine can be decreased when combined with Amoxicillin.]
[J01CF06, nafcillin, The excretion of Zidovudine can be decreased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Zidovudine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The metabolism of Naltrexone can be increased when combined with Zidovudine.]
[L04AC03, anakinra, The metabolism of Zidovudine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Zidovudine can be decreased when combined with Amphetamine.]
[M02AA12, naproxen, The risk or severity of bleeding can be increased when Zidovudine is combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be increased when combined with Zidovudine.]
[N06AX21, duloxetine, The metabolism of Zidovudine can be decreased when combined with Duloxetine.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Zidovudine is combined with Docetaxel.]
[L02BG04, letrozole, The metabolism of Zidovudine can be decreased when combined with Letrozole.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Zidovudine.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Zidovudine.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Amphotericin B.]
[N06AX23, desvenlafaxine, The metabolism of Zidovudine can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[J05AB11, valacyclovir, The risk or severity of adverse effects can be increased when Valaciclovir is combined with Zidovudine.]
[M04AA03, febuxostat, The excretion of Zidovudine can be decreased when combined with Febuxostat.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Zidovudine.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Zidovudine can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Zidovudine.]
[N07BA01, nicotine, The metabolism of Zidovudine can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Zidovudine.]
[M02AA17, niflumic acid, The risk or severity of bleeding can be increased when Zidovudine is combined with Niflumic acid.]
[S01AE02, norfloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Zidovudine can be increased when combined with Bosentan.]
[R05DA07, noscapine, The metabolism of Zidovudine can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Zidovudine.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Zidovudine.]
[S02AA16, ofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Zidovudine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, Omeprazole may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Zidovudine.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Zidovudine.]
[C01AC01, ouabain, The excretion of Zidovudine can be decreased when combined with Ouabain.]
[A14AA08, oxandrolone, The metabolism of Zidovudine can be decreased when combined with Oxandrolone.]
[S01BC02, oxyphenbutazone, The risk or severity of bleeding can be increased when Zidovudine is combined with Oxyphenbutazone.]
[S01AA04, oxytetracycline, The excretion of Oxytetracycline can be decreased when combined with Zidovudine.]
[V04CH30, 4-aminohippuric acid, The excretion of Zidovudine can be decreased when combined with Aminohippuric acid.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Zidovudine.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Paramethasone.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Penicillamine.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Zidovudine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Zidovudine.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Zidovudine.]
[N05CA01, pentobarbital, The metabolism of Zidovudine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Pentostatin.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Zidovudine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Zidovudine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Zidovudine.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Zidovudine.]
[N03AA02, phenobarbital, The metabolism of Zidovudine can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Zidovudine.]
[M02AA01, phenylbutazone, The risk or severity of bleeding can be increased when Zidovudine is combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Zidovudine.]
[L04AB06, golimumab, The metabolism of Zidovudine can be increased when combined with Golimumab.]
[N07BB03, acamprosate, The excretion of Acamprosate can be decreased when combined with Zidovudine.]
[J05AB12, cidofovir, The excretion of Zidovudine can be decreased when combined with Cidofovir.]
[S01EB01, pilocarpine, The metabolism of Zidovudine can be decreased when combined with Pilocarpine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be increased when combined with Zidovudine.]
[J01CA12, piperacillin, The excretion of Piperacillin can be decreased when combined with Zidovudine.]
[J05AE01, saquinavir, The metabolism of Zidovudine can be decreased when combined with Saquinavir.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Eprosartan.]
[S01BC06, piroxicam, The risk or severity of bleeding can be increased when Zidovudine is combined with Piroxicam.]
[J05AG02, delavirdine, The metabolism of Zidovudine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Zidovudine can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Zidovudine.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Zidovudine.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Zidovudine.]
[A10BG02, rosiglitazone, The metabolism of Zidovudine can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Zidovudine.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Zidovudine.]
[L04AC08, canakinumab, The metabolism of Zidovudine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The excretion of Polythiazide can be decreased when combined with Zidovudine.]
[J05AE03, ritonavir, The serum concentration of Zidovudine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The excretion of Saxagliptin can be decreased when combined with Zidovudine.]
[C10AA08, pitavastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Pitavastatin.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Prednisone.]
[P01BA03, primaquine, The metabolism of Zidovudine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Zidovudine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Zidovudine can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Procainamide.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Procarbazine.]
[C10AB05, fenofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Fenofibrate.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[N05AA03, promazine, The metabolism of Zidovudine can be decreased when combined with Promazine.]
[R06AD02, promethazine, The metabolism of Zidovudine can be decreased when combined with Promethazine.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Zidovudine.]
[N01AX10, propofol, The metabolism of Propofol can be increased when combined with Zidovudine.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Zidovudine is combined with Propylthiouracil.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Zidovudine.]
[R03DC03, montelukast, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Montelukast is combined with Zidovudine.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Zidovudine.]
[P01BD01, pyrimethamine, The metabolism of Zidovudine can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The excretion of Zidovudine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Zidovudine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The excretion of Ranitidine can be decreased when combined with Zidovudine.]
[J05AP01, ribavirin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ribavirin.]
[S01XA26, riboflavin, The excretion of Zidovudine can be decreased when combined with Riboflavin.]
[J04AB02, rifampin, The metabolism of Zidovudine can be increased when combined with Rifampicin.]
[N02BA05, salicylamide, The risk or severity of bleeding can be increased when Zidovudine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of bleeding can be increased when Zidovudine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of bleeding can be increased when Zidovudine is combined with Salicylic acid.]
[N05CA06, secobarbital, The metabolism of Zidovudine can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Zidovudine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Zidovudine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Zidovudine.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Zidovudine.]
[C03DA01, spironolactone, The metabolism of Zidovudine can be decreased when combined with Spironolactone.]
[N03AG01, valproic acid, The serum concentration of Zidovudine can be increased when it is combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Zidovudine is combined with Hydrocortisone butyrate.]
