[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Palbociclib.]
[P02CF01, ivermectin, Palbociclib may decrease the excretion rate of Ivermectin which could result in a higher serum level.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Palbociclib.]
[A02AB01, aluminum hydroxide, The absorption of Palbociclib can be decreased when combined with Aluminum hydroxide.]
[L04AC07, tocilizumab, The metabolism of Palbociclib can be increased when combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Palbociclib.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Palbociclib.]
[J02AB02, ketoconazole, The metabolism of Palbociclib can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Palbociclib can be decreased when combined with Levoketoconazole.]
[V03AC03, deferasirox, The metabolism of Palbociclib can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Palbociclib can be increased when combined with Abatacept.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Palbociclib is combined with Amantadine.]
[N03AX18, lacosamide, The metabolism of Palbociclib can be decreased when combined with Lacosamide.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Palbociclib.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Palbociclib can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Palbociclib.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Palbociclib.]
[A07DA03, loperamide, The excretion of Loperamide can be decreased when combined with Palbociclib.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Palbociclib.]
[L01EG01, temsirolimus, The serum concentration of Temsirolimus can be increased when it is combined with Palbociclib.]
[G04BX01, magnesium hydroxide, The absorption of Palbociclib can be decreased when combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The absorption of Palbociclib can be decreased when combined with Magnesium oxide.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Pralatrexate is combined with Palbociclib.]
[L01EA03, nilotinib, The metabolism of Palbociclib can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Mannitol can be increased when it is combined with Palbociclib.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Palbociclib.]
[C01AA08, medigoxin, Palbociclib may decrease the excretion rate of Metildigoxin which could result in a higher serum level.]
[P01BC02, mefloquine, The serum concentration of Mefloquine can be increased when it is combined with Palbociclib.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Palbociclib.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Palbociclib.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Palbociclib.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Palbociclib.]
[N02AB02, meperidine, The metabolism of Palbociclib can be decreased when combined with Meperidine.]
[N03AA01, mephobarbital, The metabolism of Palbociclib can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Mepivacaine.]
[L02BG01, aminoglutethimide, The metabolism of Palbociclib can be increased when combined with Aminoglutethimide.]
[N05AX13, paliperidone, The serum concentration of Paliperidone can be increased when it is combined with Palbociclib.]
[H01CB03, lanreotide, The metabolism of Palbociclib can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Palbociclib can be decreased when combined with Methadone.]
[A03AB07, methantheline, The absorption of Palbociclib can be decreased when combined with Methantheline.]
[J05AF05, lamivudine, Palbociclib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[H03BB02, methimazole, The metabolism of Palbociclib can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Palbociclib.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Palbociclib.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Palbociclib.]
[V04CG05, methylene blue, The metabolism of Palbociclib can be decreased when combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Palbociclib can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Palbociclib.]
[H02AB04, methylprednisolone, The metabolism of Palbociclib can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Palbociclib can be increased when combined with Rufinamide.]
[N02CA04, methysergide, The metabolism of Palbociclib can be decreased when combined with Methysergide.]
[P01AB01, metronidazole, The metabolism of Palbociclib can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Palbociclib can be increased when combined with Metyrapone.]
[S02AA13, miconazole, The metabolism of Palbociclib can be decreased when combined with Miconazole.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Palbociclib.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Palbociclib.]
[G03XB01, mifepristone, The metabolism of Palbociclib can be increased when combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Palbociclib.]
[J01FA11, miocamycin, The metabolism of Palbociclib can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Palbociclib can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Palbociclib.]
[L03AC01, aldesleukin, The metabolism of Palbociclib can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Palbociclib can be decreased when combined with Amiodarone.]
[N02AA01, morphine, The serum concentration of Morphine can be increased when it is combined with Palbociclib.]
[L04AB05, certolizumab pegol, The metabolism of Palbociclib can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, Eltrombopag may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Palbociclib.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Palbociclib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Palbociclib.]
[N05CA02, amobarbital, The metabolism of Palbociclib can be increased when combined with Amobarbital.]
[G04CA04, silodosin, The excretion of Silodosin can be decreased when combined with Palbociclib.]
[G03XC01, raloxifene, The metabolism of Palbociclib can be decreased when combined with Raloxifene.]
[N03AB05, fosphenytoin, The metabolism of Palbociclib can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Palbociclib.]
[J01CF06, nafcillin, The metabolism of Palbociclib can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Palbociclib can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Palbociclib can be increased when combined with Anakinra.]
[A10BG01, troglitazone, The metabolism of Palbociclib can be increased when combined with Troglitazone.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Palbociclib.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Palbociclib.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Palbociclib.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Palbociclib.]
[N06AX23, desvenlafaxine, The metabolism of Palbociclib can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[M04AA03, febuxostat, The excretion of Palbociclib can be decreased when combined with Febuxostat.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Palbociclib.]
[C10AD02, niacin, The metabolism of Palbociclib can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Palbociclib can be decreased when combined with Nicardipine.]
[J01XE01, nitrofurantoin, Palbociclib may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N04BC05, pramipexole, The risk or severity of adverse effects can be increased when Palbociclib is combined with Pramipexole.]
[C01CA03, norepinephrine, The risk or severity of adverse effects can be increased when Palbociclib is combined with Norepinephrine.]
[G03DC02, norethindrone, The metabolism of Palbociclib can be decreased when combined with Norethisterone.]
[C02KX01, bosentan, The metabolism of Palbociclib can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Palbociclib.]
[R05DA07, noscapine, The metabolism of Palbociclib can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Palbociclib.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Palbociclib.]
[H01CB02, octreotide, The serum concentration of Palbociclib can be increased when it is combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Palbociclib can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Palbociclib can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The absorption of Palbociclib can be decreased when combined with Omeprazole.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Palbociclib.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Palbociclib.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Palbociclib.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Palbociclib is combined with Pancuronium.]
[H02AB05, paramethasone, The metabolism of Palbociclib can be increased when combined with Paramethasone.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Palbociclib.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Palbociclib.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Palbociclib.]
[N05CA01, pentobarbital, The metabolism of Palbociclib can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Palbociclib.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Palbociclib.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Palbociclib.]
[A10BA01, phenformin, The risk or severity of adverse effects can be increased when Palbociclib is combined with Phenformin.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Palbociclib.]
[N03AA02, phenobarbital, The metabolism of Palbociclib can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Palbociclib.]
[M02AA01, phenylbutazone, The metabolism of Palbociclib can be increased when combined with Phenylbutazone.]
[A02BC06, dexlansoprazole, The absorption of Palbociclib can be decreased when combined with Dexlansoprazole.]
[N03AB02, phenytoin, The metabolism of Palbociclib can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Palbociclib can be increased when combined with Golimumab.]
[L02BB03, bicalutamide, The metabolism of Palbociclib can be decreased when combined with Bicalutamide.]
[C08CX01, mibefradil, The metabolism of Palbociclib can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Palbociclib.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Palbociclib.]
[J05AE01, saquinavir, The metabolism of Palbociclib can be decreased when combined with Saquinavir.]
[J05AG02, delavirdine, The metabolism of Palbociclib can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Palbociclib can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Palbociclib.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Palbociclib.]
[L04AC08, canakinumab, The metabolism of Palbociclib can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Palbociclib.]
[J05AE03, ritonavir, The metabolism of Palbociclib can be decreased when combined with Ritonavir.]
[C10AA08, pitavastatin, Palbociclib may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C02CA01, prazosin, Palbociclib may decrease the excretion rate of Prazosin which could result in a higher serum level.]
[S03BA02, prednisolone, The metabolism of Palbociclib can be increased when combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Palbociclib.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Palbociclib can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Palbociclib can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Palbociclib can be increased when combined with Probenecid.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Palbociclib.]
[C10AB05, fenofibrate, The metabolism of Palbociclib can be decreased when combined with Fenofibrate.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be increased when it is combined with Palbociclib.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Palbociclib.]
[N01AX10, propofol, The metabolism of Palbociclib can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Palbociclib can be decreased when combined with Dextropropoxyphene.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Palbociclib.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Palbociclib.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Palbociclib.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Palbociclib.]
[C01BA01, quinidine, The serum concentration of Quinidine can be increased when it is combined with Palbociclib.]
[P01BC01, quinine, The metabolism of Palbociclib can be increased when combined with Quinine.]
[A02BA02, ranitidine, The absorption of Palbociclib can be decreased when combined with Ranitidine.]
[J04AB02, rifampin, The metabolism of Palbociclib can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The metabolism of Palbociclib can be decreased when combined with Roxithromycin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Palbociclib.]
[N05CA06, secobarbital, The metabolism of Palbociclib can be increased when combined with Secobarbital.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Obinutuzumab is combined with Palbociclib.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Palbociclib.]
[H01CB01, somatostatin, The metabolism of Palbociclib can be decreased when combined with Somatostatin.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Palbociclib.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Palbociclib.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be increased when it is combined with Palbociclib.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Palbociclib.]
[N03AG01, valproic acid, The metabolism of Palbociclib can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Palbociclib can be increased when combined with Hydrocortisone butyrate.]
