[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dolasetron.]
[C02CA04, doxazosin, The metabolism of Dolasetron can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Dolasetron.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Dolasetron.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Dolasetron is combined with Fluindione.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Dolasetron.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Dolasetron is combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Dolasetron.]
[N05AH04, quetiapine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Dolasetron is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Dolasetron is combined with Allobarbital.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Dolasetron.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Dolasetron is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Dolasetron can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Nilvadipine.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Dolasetron.]
[R05DA03, hydrocodone, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[G04BD06, propiverine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Dolasetron can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Dolasetron is combined with Prothipendyl.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Hydroxyzine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Dolasetron.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Dolasetron.]
[N06AA02, imipramine, The metabolism of Dolasetron can be decreased when combined with Imipramine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Dolasetron.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Dolasetron.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Dolasetron is combined with Milnacipran.]
[A03AA30, piperidolate, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Dolasetron.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Dolasetron is combined with Ramelteon.]
[R06AE01, buclizine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Dolasetron can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Alprenolol.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Dolasetron.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Dolasetron is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Dolasetron is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Dolasetron is combined with Isocarboxazid.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dolasetron.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Dolasetron.]
[J04AC01, isoniazid, The metabolism of Dolasetron can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Dolasetron.]
[L04AC07, tocilizumab, The metabolism of Dolasetron can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Dolasetron is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Dolasetron can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Dolasetron can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L04AA24, abatacept, The metabolism of Dolasetron can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Mizolastine.]
[N04BC09, rotigotine, Dolasetron may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, The metabolism of Dolasetron can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Amantadine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Dolasetron is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dolasetron.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Dolasetron.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Dolasetron.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Lofepramine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Dolasetron.]
[C10AA02, lovastatin, The metabolism of Dolasetron can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Dolasetron.]
[L01EG01, temsirolimus, The metabolism of Dolasetron can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Dolasetron can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Dolasetron can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Dolasetron.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Dolasetron.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Medazepam.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Dolasetron.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Dolasetron is combined with Melatonin.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Dolasetron.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Dolasetron.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Dolasetron is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Dolasetron.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Paliperidone.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Dolasetron.]
[N07XX04, sodium oxybate, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Nalidixic acid.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Dolasetron.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Metamfetamine.]
[A03AB07, methantheline, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Dolasetron is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Dolasetron.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Dolasetron is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Dolasetron can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Dolasetron.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Dolasetron.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Dolasetron is combined with Methoxyflurane.]
[V04CG05, methylene blue, Dolasetron may increase the serotonergic activities of Methylene blue.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Dolasetron.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Dolasetron is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Dolasetron.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Dolasetron.]
[C07AB02, metoprolol, The metabolism of Dolasetron can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Dolasetron.]
[C01BB02, mexiletine, The metabolism of Dolasetron can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Dolasetron is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Dolasetron can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Dolasetron.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Dolasetron.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Mifepristone.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[L01XX23, mitotane, The metabolism of Dolasetron can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Dolasetron can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Dolasetron.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Dolasetron.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Dolasetron.]
[L04AB05, certolizumab pegol, The metabolism of Dolasetron can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Pazopanib.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Dolasetron is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Dolasetron is combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Dolasetron.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Dolasetron.]
[N03AB05, fosphenytoin, The metabolism of Dolasetron can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Dolasetron.]
[N04BC04, ropinirole, Dolasetron may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Dolasetron is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Dolasetron can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Dolasetron.]
[L04AC03, anakinra, The metabolism of Dolasetron can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Dolasetron.]
[N06AX21, duloxetine, The metabolism of Dolasetron can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Dolasetron.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Dolasetron is combined with Remifentanil.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Levosimendan.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Desvenlafaxine.]
[C10AD02, niacin, The metabolism of Dolasetron can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Dolasetron can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Dolasetron can be decreased when combined with Nicergoline.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Nifedipine.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Dolasetron.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Dolasetron.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Dolasetron is combined with Zaleplon.]
[N04BC05, pramipexole, Dolasetron may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Nomifensine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Dolasetron.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Dolasetron.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Dolasetron.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Dolasetron can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Dolasetron can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Dolasetron is combined with Opium.]
[G04CA02, tamsulosin, The metabolism of Dolasetron can be decreased when combined with Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Dolasetron can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Oxazepam.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Dolasetron.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dolasetron.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Oxypertine.]
[A03AB03, oxyphenonium, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Dolasetron.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[M03AC01, pancuronium, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Papaverine.]
[N05CC05, paraldehyde, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Dolasetron is combined with Pargyline.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Dolasetron.]
[G04BD11, fesoterodine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Dolasetron.]
[N05CA01, pentobarbital, The metabolism of Dolasetron can be increased when combined with Pentobarbital.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Dolasetron can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Dolasetron.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Phenelzine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Dolasetron.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Dolasetron is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Dolasetron.]
[N03AA02, phenobarbital, The metabolism of Dolasetron can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Dolasetron is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Dolasetron.]
[N03AB02, phenytoin, The metabolism of Dolasetron can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Dolasetron can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Dolasetron.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Dolasetron can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Dolasetron can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Pipotiazine.]
[A02BX03, pirenzepine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Piritramide.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Grepafloxacin.]
[N02CX01, pizotyline, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Dolasetron can be decreased when combined with Delavirdine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Dolasetron is combined with Proxibarbal.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Dolasetron can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Dolasetron can be increased when it is combined with Ritonavir.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Dolasetron.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Dolasetron.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Prazepam.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Dolasetron.]
[P01BA03, primaquine, The metabolism of Dolasetron can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Dolasetron can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Dolasetron.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Dolasetron.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Procarbazine.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Dolasetron.]
[N04AA04, procyclidine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Dolasetron can be decreased when combined with Progesterone.]
[N05AA03, promazine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Dolasetron can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Dolasetron is combined with Propanidid.]
[A03AB05, propantheline, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Periciazine.]
[N05CM06, propiomazine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Dolasetron.]
[C07AA05, propranolol, The metabolism of Dolasetron can be decreased when combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Dolasetron is combined with Rizatriptan.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Dolasetron.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Dolasetron.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Dolasetron is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Dolasetron is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Dolasetron is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Mepyramine.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Quinidine.]
[P01BC01, quinine, The metabolism of Dolasetron can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Dolasetron can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Dolasetron.]
[J04AB02, rifampin, The metabolism of Dolasetron can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Dolasetron is combined with Oxitriptan.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Roxithromycin.]
[S01FA02, scopolamine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Dolasetron.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Dolasetron is combined with Selegiline.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Dolasetron.]
[R03BB01, ipratropium bromide, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
