[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cyclobenzaprine.]
[N06AF05, iproniazid, Cyclobenzaprine may increase the serotonergic activities of Iproniazid.]
[J05AB13, penciclovir, The metabolism of Cyclobenzaprine can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Cyclobenzaprine may increase the serotonergic activities of Isocarboxazid.]
[N01AB06, isoflurane, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Isoflurane.]
[N04BX02, entacapone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Cyclobenzaprine can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Reboxetine.]
[H01AC01, somatropin, The metabolism of Cyclobenzaprine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Cyclobenzaprine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Cyclobenzaprine can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Cyclobenzaprine can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Olanzapine.]
[V03AC03, deferasirox, The serum concentration of Cyclobenzaprine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Cyclobenzaprine can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Rotigotine.]
[J01MB02, nalidixic acid, The metabolism of Cyclobenzaprine can be decreased when combined with Nalidixic acid.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Cyclobenzaprine.]
[N03AX18, lacosamide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lidocaine.]
[J01FF02, lincomycin, Cyclobenzaprine may increase the neurotoxic activities of Lincomycin.]
[N06BA13, armodafinil, The metabolism of Cyclobenzaprine can be increased when combined with Armodafinil.]
[N02CA07, lisuride, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lisuride.]
[N06AA07, lofepramine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lorazepam.]
[C10AA02, lovastatin, The metabolism of Cyclobenzaprine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Loxapine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Cyclobenzaprine can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Cyclobenzaprine can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Maprotiline.]
[A08AA05, mazindol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Mazindol.]
[R06AE05, meclizine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Meclizine.]
[N05BA03, medazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Medazepam.]
[N05CH01, melatonin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Melatonin.]
[N02AB02, meperidine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Meperidine.]
[M03BX06, mephenesin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Mephenesin.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Cyclobenzaprine is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Mephenytoin.]
[N03AA01, mephobarbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Meprobamate.]
[N02AX05, meptazinol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Cyclobenzaprine.]
[N06BA03, methamphetamine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Metamfetamine.]
[A03AB07, methantheline, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Metharbital.]
[G02CB05, metergoline, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Cyclobenzaprine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Cyclobenzaprine can be decreased when combined with Pemetrexed.]
[M03BA03, methocarbamol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Methocarbamol.]
[N05CA15, methohexital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Methohexital.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Cyclobenzaprine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Methoxyflurane.]
[V04CG05, methylene blue, Cyclobenzaprine may increase the serotonergic activities of Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Cyclobenzaprine.]
[N03AF03, rufinamide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Rufinamide.]
[N05CE02, methyprylon, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Methysergide.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Cyclobenzaprine.]
[C01BB02, mexiletine, The metabolism of Cyclobenzaprine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Cyclobenzaprine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Cyclobenzaprine.]
[N05CD08, midazolam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Midazolam.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Cyclobenzaprine.]
[L01XX23, mitotane, The metabolism of Cyclobenzaprine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Cyclobenzaprine is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Cyclobenzaprine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Amitriptyline.]
[N02AA01, morphine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Morphine.]
[A04AA05, palonosetron, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Cyclobenzaprine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Cyclobenzaprine.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Cyclobenzaprine.]
[M03AC03, vecuronium, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Amobarbital.]
[N06AA17, amoxapine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Amoxapine.]
[N03AB05, fosphenytoin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Cyclobenzaprine can be decreased when combined with Interferon beta-1b.]
[N04BC04, ropinirole, Cyclobenzaprine may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Cyclobenzaprine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Cyclobenzaprine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Cyclobenzaprine.]
[L04AC03, anakinra, The metabolism of Cyclobenzaprine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Cyclobenzaprine.]
[M02AA12, naproxen, The metabolism of Cyclobenzaprine can be decreased when combined with Naproxen.]
[N06AX21, duloxetine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tolcapone.]
[S03AA01, neomycin, Cyclobenzaprine may increase the neurotoxic activities of Neomycin.]
[N01AH06, remifentanil, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Remifentanil.]
[N05AX14, iloperidone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Desvenlafaxine.]
[N06AF02, nialamide, Cyclobenzaprine may increase the serotonergic activities of Nialamide.]
[C08CA04, nicardipine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[P02DA01, niclosamide, The metabolism of Cyclobenzaprine can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Cyclobenzaprine.]
[N05CD02, nitrazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Nitrazepam.]
[N05CF03, zaleplon, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Zaleplon.]
[N04BC05, pramipexole, Cyclobenzaprine may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Nomifensine.]
[S01AE02, norfloxacin, The metabolism of Cyclobenzaprine can be decreased when combined with Norfloxacin.]
[N06AA10, nortriptyline, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Nortriptyline.]
[L03AB07, interferon beta-1a, The metabolism of Cyclobenzaprine can be decreased when combined with Interferon beta-1a.]
[L04AC04, rilonacept, The metabolism of Cyclobenzaprine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Cyclobenzaprine can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Opipramol.]
[N02AA02, opium, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Opium.]
[N05BA04, oxazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxycodone.]
[N02AA11, oxymorphone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxypertine.]
[A03AB03, oxyphenonium, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Cyclobenzaprine.]
[M03AC01, pancuronium, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pancuronium.]
[N05CC05, paraldehyde, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Paraldehyde.]
[C02KC01, pargyline, Cyclobenzaprine may increase the serotonergic activities of Pargyline.]
[J01MA03, pefloxacin, The metabolism of Cyclobenzaprine can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pentobarbital.]
[C04AD03, pentoxifylline, The metabolism of Cyclobenzaprine can be decreased when combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pergolide.]
[N05AB03, perphenazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Cyclobenzaprine.]
[N02AD02, phenazocine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Phenazocine.]
[N06AF03, phenelzine, Cyclobenzaprine may increase the serotonergic activities of Phenelzine.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Phenindione.]
[N03AA02, phenobarbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Cyclobenzaprine.]
[S01GA05, phenylephrine, The metabolism of Cyclobenzaprine can be increased when combined with Phenylephrine.]
[N03AB02, phenytoin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Cyclobenzaprine can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Cyclobenzaprine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Cyclobenzaprine can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pipotiazine.]
[A02BX03, pirenzepine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Piritramide.]
[J01MA11, grepafloxacin, The metabolism of Cyclobenzaprine can be decreased when combined with Grepafloxacin.]
[N02CX01, pizotyline, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pizotifen.]
[J05AG02, delavirdine, The metabolism of Cyclobenzaprine can be decreased when combined with Delavirdine.]
[N05CA22, proxibarbal, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Proxibarbal.]
[A03AE01, alosetron, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Cyclobenzaprine can be increased when combined with Canakinumab.]
[S03AA03, polymyxin B, Cyclobenzaprine may increase the neurotoxic activities of Polymyxin B.]
[J05AE03, ritonavir, The serum concentration of Cyclobenzaprine can be increased when it is combined with Ritonavir.]
[N05BA11, prazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Cyclobenzaprine.]
[N01BB04, prilocaine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Cyclobenzaprine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Primidone.]
[S01HA05, procaine, Cyclobenzaprine may increase the serotonergic activities of Procaine.]
[L01XB01, procarbazine, Cyclobenzaprine may increase the serotonergic activities of Procarbazine.]
[N05AB04, prochlorperazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Prochlorperazine.]
[N04AA04, procyclidine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[N05AA03, promazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Promazine.]
[R06AD02, promethazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Cyclobenzaprine can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Propanidid.]
[A03AB05, propantheline, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Periciazine.]
[N05CM06, propiomazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Propiomazine.]
[N01AX10, propofol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Cyclobenzaprine can be decreased when combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Rizatriptan.]
[N06AA11, protriptyline, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Protriptyline.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Pseudoephedrine is combined with Cyclobenzaprine.]
[N05AX12, aripiprazole, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Aripiprazole.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Cyclobenzaprine is combined with Dalfampridine.]
[A03AB15, diphemanil, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Talbutal.]
[N05CA09, vinbarbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Cyclobenzaprine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Cyclobenzaprine can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Cyclobenzaprine can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxitriptan.]
[S01FA02, scopolamine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Scopolamine.]
[N05CA06, secobarbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Secobarbital.]
[N04BD01, selegiline, Cyclobenzaprine may increase the serotonergic activities of Selegiline.]
[N03AG01, valproic acid, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Valproic acid.]
[R03BB01, ipratropium bromide, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
