[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Empagliflozin.]
[S01ED01, timolol, The therapeutic efficacy of Metformin can be increased when used in combination with Timolol.]
[P01AB02, tinidazole, Metformin may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Metformin may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Tolazamide is combined with Metformin.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Tolbutamide is combined with Metformin.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypoglycemic activities of Metformin.]
[S01BA05, triamcinolone, The therapeutic efficacy of Metformin can be decreased when used in combination with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Metformin may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Metformin can be decreased when used in combination with Trichlormethiazide.]
[A16AX12, trientine, Metformin may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Metformin may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Metformin.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Metformin.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Metformin.]
[R03BA07, mometasone, The therapeutic efficacy of Metformin can be decreased when used in combination with Mometasone.]
[A03AA05, trimebutine, The risk or severity of hypoglycemia can be increased when Trimebutine is combined with Metformin.]
[N03AC02, trimethadione, The risk or severity of hypoglycemia can be increased when Trimethadione is combined with Metformin.]
[J01EA01, trimethoprim, The serum concentration of Metformin can be increased when it is combined with Trimethoprim.]
[N06AA06, trimipramine, Trimipramine may decrease the hypoglycemic activities of Metformin.]
[R03DX07, roflumilast, Metformin may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Metformin may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The serum concentration of Metformin can be increased when it is combined with Vandetanib.]
[R02AA14, oxyquinoline, Metformin may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[S01AA28, vancomycin, Metformin may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Metformin may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Metformin may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, The excretion of Metformin can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, Metformin may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[B01AA03, warfarin, Metformin may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, The therapeutic efficacy of Metformin can be increased when used in combination with Xipamide.]
[J05AE02, indinavir, The therapeutic efficacy of Metformin can be decreased when used in combination with Indinavir.]
[L01EC01, vemurafenib, The therapeutic efficacy of Metformin can be increased when used in combination with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Metformin which could result in a higher serum level.]
[M05BA05, tiludronic acid, Metformin may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Metformin may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The serum concentration of Metformin can be increased when it is combined with Crizotinib.]
[A02BC04, rabeprazole, Metformin may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA13, trovafloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Trovafloxacin.]
[N05AE04, ziprasidone, The therapeutic efficacy of Metformin can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Metformin can be decreased when used in combination with Drospirenone.]
[V03AC02, deferiprone, Metformin may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Metformin.]
[L01EJ01, ruxolitinib, Metformin may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Metformin may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Metformin may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The serum concentration of Metformin can be increased when it is combined with Atenolol.]
[M01CB03, auranofin, Metformin may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[H02AB11, prednylidene, The therapeutic efficacy of Metformin can be decreased when used in combination with Prednylidene.]
[B03XA04, peginesatide, Metformin may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Metformin may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Metformin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Metformin may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[J01DF01, aztreonam, Metformin may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[M03BX01, baclofen, The therapeutic efficacy of Metformin can be decreased when used in combination with Baclofen.]
[A08AA11, lorcaserin, Metformin may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Metformin may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L02BB04, enzalutamide, Metformin may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Metformin.]
[D02BA02, octinoxate, Metformin may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The therapeutic efficacy of Metformin can be decreased when used in combination with Nelfinavir.]
[N04BD02, rasagiline, Rasagiline may increase the hypoglycemic activities of Metformin.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Metformin.]
[V09IX04, fluorodeoxyglucose F18, Metformin may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[H01CB05, pasireotide, The therapeutic efficacy of Metformin can be decreased when used in combination with Pasireotide.]
[V08CA11, gadofosveset, Metformin may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Metformin may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, The risk or severity of hypoglycemia can be increased when Bencyclane is combined with Metformin.]
[A16AX09, glycerol phenylbutyrate, Metformin may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Metformin can be decreased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, Metformin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01MA15, gemifloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Gemifloxacin.]
[S01AE07, moxifloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Moxifloxacin.]
[H03AA04, tiratricol, The therapeutic efficacy of Metformin can be decreased when used in combination with Tiratricol.]
[A10AE05, insulin detemir, The risk or severity of adverse effects can be increased when Insulin detemir is combined with Metformin.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Pramlintide is combined with Metformin.]
[L03AA12, ancestim, Metformin may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The therapeutic efficacy of Metformin can be increased when used in combination with Celecoxib.]
[L04AA18, everolimus, The therapeutic efficacy of Metformin can be decreased when used in combination with Everolimus.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L01EC02, dabrafenib, The therapeutic efficacy of Metformin can be decreased when used in combination with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L01EE01, trametinib, Metformin may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Metformin may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Levomilnacipran is combined with Metformin.]
[J05AJ03, dolutegravir, The serum concentration of Metformin can be increased when it is combined with Dolutegravir.]
[C08EA02, bepridil, The risk or severity of hypoglycemia can be increased when Bepridil is combined with Metformin.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Metformin is combined with Lixisenatide.]
[C02KX04, macitentan, Metformin may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, Metformin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, The therapeutic efficacy of Metformin can be decreased when used in combination with Etonogestrel.]
[J05AP05, simeprevir, The therapeutic efficacy of Metformin can be increased when used in combination with Simeprevir.]
[J05AP08, sofosbuvir, Metformin may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[C01CA27, droxidopa, Metformin may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The therapeutic efficacy of Metformin can be increased when used in combination with Acebutolol.]
[N05CH03, tasimelteon, Metformin may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Metformin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Metformin may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The therapeutic efficacy of Metformin can be decreased when used in combination with Betamethasone.]
[S01ED02, betaxolol, The therapeutic efficacy of Metformin can be increased when used in combination with Betaxolol.]
[V03AB34, fomepizole, Metformin may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Metformin is combined with Albiglutide.]
[L01ED02, ceritinib, The therapeutic efficacy of Metformin can be decreased when used in combination with Ceritinib.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Metformin which could result in a higher serum level.]
[D11AA01, glycopyrronium, The serum concentration of Metformin can be increased when it is combined with Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Metformin which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Metformin is combined with Dulaglutide.]
[S03AA06, gentamicin, Metformin may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AF03, edoxaban, Metformin may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[L01EX08, lenvatinib, The serum concentration of Metformin can be increased when it is combined with Lenvatinib.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Metformin can be decreased when used in combination with Brexpiprazole.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Acarbose is combined with Metformin.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Metformin which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[S01EC01, acetazolamide, The risk or severity of lactic acidosis can be increased when Acetazolamide is combined with Metformin.]
[A10AE06, insulin degludec, The risk or severity of adverse effects can be increased when Insulin degludec is combined with Metformin.]
[V03AB37, idarucizumab, Metformin may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J02AC05, isavuconazole, The serum concentration of Metformin can be increased when it is combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Metformin.]
[L01XG03, ixazomib, Metformin may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Metformin is combined with Acetohexamide.]
[M04AB05, lesinurad, Metformin may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N02BA02, aloxiprin, Aloxiprin may increase the hypoglycemic activities of Metformin.]
[N03AX23, brivaracetam, Metformin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Metformin may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, The risk or severity of hypoglycemia can be increased when Metformin is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Metformin may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Metformin.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Metformin.]
[C08CA01, amlodipine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Metformin.]
[C03CA02, bumetanide, The therapeutic efficacy of Metformin can be decreased when used in combination with Bumetanide.]
[N01BB01, bupivacaine, Metformin may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[C07AA19, bupranolol, The therapeutic efficacy of Metformin can be increased when used in combination with Bupranolol.]
[L02AE01, buserelin, The therapeutic efficacy of Metformin can be decreased when used in combination with Buserelin.]
[N05BE01, buspirone, Metformin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[L01XX27, arsenic trioxide, The therapeutic efficacy of Metformin can be decreased when used in combination with Arsenic trioxide.]
[M02AA03, clofezone, Metformin may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA09, sparfloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Sparfloxacin.]
[A07EC04, balsalazide, Balsalazide may increase the hypoglycemic activities of Metformin.]
[A06AH05, naldemedine, Metformin may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Metformin may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The risk or severity of hypoglycemia can be increased when Pregabalin is combined with Metformin.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Metformin.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Metformin is combined with Benfluorex.]
[P01CA02, benznidazole, Metformin may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, Linezolid may increase the hypoglycemic activities of Metformin.]
[J05AF06, abacavir, Metformin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The therapeutic efficacy of Metformin can be decreased when used in combination with Tipranavir.]
[N07XX13, valbenazine, Metformin may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L01ED04, brigatinib, The excretion of Metformin can be decreased when combined with Brigatinib.]
[N04BD03, safinamide, Safinamide may increase the hypoglycemic activities of Metformin.]
[J01MA23, delafloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Delafloxacin.]
[L01BC06, capecitabine, Metformin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The serum concentration of Metformin can be increased when it is combined with Enasidenib.]
[L01XH01, vorinostat, The therapeutic efficacy of Metformin can be decreased when used in combination with Vorinostat.]
[L01EM02, copanlisib, The excretion of Metformin can be decreased when combined with Copanlisib.]
[L01EF03, abemaciclib, The excretion of Abemaciclib can be decreased when combined with Metformin.]
[C07AB07, bisoprolol, The therapeutic efficacy of Metformin can be increased when used in combination with Bisoprolol.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C07AA17, bopindolol, The therapeutic efficacy of Metformin can be increased when used in combination with Bopindolol.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Metformin.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N06AA15, butriptyline, Butriptyline may decrease the hypoglycemic activities of Metformin.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be increased when it is combined with Metformin.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Metformin is combined with Semaglutide.]
[R06AX18, acrivastine, Metformin may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The risk or severity of lactic acidosis can be increased when Captopril is combined with Metformin.]
[L02BB05, apalutamide, The serum concentration of Metformin can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Metformin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C07AG02, carvedilol, The therapeutic efficacy of Metformin can be increased when used in combination with Carvedilol.]
[L04AA37, baricitinib, The excretion of Baricitinib can be decreased when combined with Metformin.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01GB14, plazomicin, Metformin may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The therapeutic efficacy of Metformin can be increased when used in combination with Celiprolol.]
[P01BA07, tafenoquine, The serum concentration of Metformin can be increased when it is combined with Tafenoquine.]
[A16AX14, migalastat, Metformin may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Metformin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01GX12, cetirizine, Metformin may decrease the excretion rate of Cetirizine which could result in a higher serum level.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Metformin is combined with Carbutamide.]
[D08AE05, chloroxylenol, Metformin may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L01EX13, gilteritinib, The excretion of Metformin can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, The excretion of Metformin can be decreased when combined with Glasdegib.]
[A06AX05, prucalopride, Metformin may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Metformin.]
[C09AA08, cilazapril, The risk or severity of lactic acidosis can be increased when Cilazapril is combined with Metformin.]
[B01AC23, cilostazol, Metformin may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[N06BA14, solriamfetol, Metformin may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The serum concentration of Metformin can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, Metformin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Metformin.]
[H02AB14, cloprednol, The therapeutic efficacy of Metformin can be decreased when used in combination with Cloprednol.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Metformin.]
[H02AB17, cortivazol, The therapeutic efficacy of Metformin can be decreased when used in combination with Cortivazol.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L01EX15, pexidartinib, The excretion of Metformin can be decreased when combined with Pexidartinib.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L01EJ02, fedratinib, The excretion of Metformin can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, Metformin may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[N04CX01, istradefylline, The excretion of Metformin can be decreased when combined with Istradefylline.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Metformin can be decreased when used in combination with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of adverse effects can be increased when Insulin pork is combined with Metformin.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[H02AB13, deflazacort, The therapeutic efficacy of Metformin can be decreased when used in combination with Deflazacort.]
[G03AC09, desogestrel, The therapeutic efficacy of Metformin can be decreased when used in combination with Desogestrel.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Metformin which could result in a higher serum level.]
[M09AX08, golodirsen, Metformin may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Metformin may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01XX72, tazemetostat, The excretion of Metformin can be decreased when combined with Tazemetostat.]
[L04AA53, teprotumumab, The therapeutic efficacy of Metformin can be decreased when used in combination with Teprotumumab.]
[J05AB16, remdesivir, The excretion of Metformin can be decreased when combined with Remdesivir.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Gatifloxacin.]
[R02AA03, dichlorobenzyl alcohol, Metformin may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The therapeutic efficacy of Metformin can be decreased when used in combination with Dienogest.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Metformin.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C08CA16, clevidipine, The risk or severity of hypoglycemia can be increased when Clevidipine is combined with Metformin.]
[C01BD07, dronedarone, The serum concentration of Metformin can be increased when it is combined with Dronedarone.]
[L01EH03, tucatinib, The serum concentration of Metformin can be increased when it is combined with Tucatinib.]
[L01EX17, capmatinib, The excretion of Metformin can be decreased when combined with Capmatinib.]
[D07XB03, fluprednidene, The therapeutic efficacy of Metformin can be decreased when used in combination with Fluprednidene.]
[G04BD09, trospium, The serum concentration of Trospium can be decreased when it is combined with Metformin.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L01EX19, ripretinib, The excretion of Metformin can be decreased when combined with Ripretinib.]
[V08CA05, mangafodipir, Metformin may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The excretion of Metformin can be decreased when combined with Selpercatinib.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Metformin.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C08CA17, levamlodipine, The risk or severity of hypoglycemia can be increased when Levamlodipine is combined with Metformin.]
[M09AX10, risdiplam, The serum concentration of Metformin can be increased when it is combined with Risdiplam.]
[P01BA01, chloroquine, Metformin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01EX23, pralsetinib, The excretion of Metformin can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Metformin can be decreased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The serum concentration of Metformin can be increased when it is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Metformin can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Metformin.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Metformin can be decreased when used in combination with Chlorthalidone.]
[M03BB03, chlorzoxazone, Metformin may decrease the excretion rate of Chlorzoxazone which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N02BA03, choline salicylate, Choline salicylate may increase the hypoglycemic activities of Metformin.]
[N06BX18, vinpocetine, The risk or severity of hypoglycemia can be increased when Vinpocetine is combined with Metformin.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Metformin which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Metformin which could result in a higher serum level.]
[M01AX25, chondroitin sulfates, Metformin may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[V03AF12, trilaciclib, The serum concentration of Metformin can be increased when it is combined with Trilaciclib.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C01CA19, fenoldopam, Metformin may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Metformin may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[J01MB07, flumequine, The therapeutic efficacy of Metformin can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Metformin.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Metformin.]
[N02BG07, flupirtine, Metformin may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[A10AF01, insulin, regular, human, The risk or severity of adverse effects can be increased when Insulin human is combined with Metformin.]
[A02BA01, cimetidine, The serum concentration of Metformin can be increased when it is combined with Cimetidine.]
