[P02BB01, trichlorfon, The therapeutic efficacy of Biperiden can be decreased when used in combination with Metrifonate.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C03AA08, methyclothiazide, The serum concentration of Methyclothiazide can be increased when it is combined with Biperiden.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Biperiden.]
[V04CG05, methylene blue, Methylene blue may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Methylphenidate is combined with Biperiden.]
[N03AF03, rufinamide, Rufinamide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03FA01, metoclopramide, The therapeutic efficacy of Biperiden can be decreased when used in combination with Metoclopramide.]
[C03BA08, metolazone, The serum concentration of Metolazone can be increased when it is combined with Biperiden.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Biperiden.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Biperiden.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Biperiden.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Biperiden.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C01CA17, midodrine, The risk or severity of Tachycardia can be increased when Midodrine is combined with Biperiden.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Biperiden.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Biperiden.]
[N05AE02, molindone, The therapeutic efficacy of Biperiden can be decreased when used in combination with Molindone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Biperiden.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Biperiden is combined with Morphine.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Biperiden.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CA02, amobarbital, Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Biperiden is combined with Ipratropium.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Biperiden.]
[N03AB05, fosphenytoin, Fosphenytoin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Biperiden.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Biperiden is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Biperiden is combined with Naltrexone.]
[S01GA01, naphazoline, The risk or severity of Tachycardia can be increased when Biperiden is combined with Naphazoline.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Biperiden.]
[N06AX21, duloxetine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Biperiden is combined with Remifentanil.]
[S01EB06, neostigmine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, The therapeutic efficacy of Biperiden can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AF02, nialamide, Nialamide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C08CA04, nicardipine, The risk or severity of adverse effects can be increased when Nicardipine is combined with Biperiden.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Biperiden.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Biperiden.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Biperiden.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C01CA03, norepinephrine, The risk or severity of Tachycardia can be increased when Norepinephrine is combined with Biperiden.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Biperiden.]
[G02CA02, nylidrin, The risk or severity of Tachycardia can be increased when Biperiden is combined with Nylidrin.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Biperiden is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Orciprenaline.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Biperiden.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C07AA02, oxprenolol, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Biperiden is combined with Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of Tachycardia can be increased when Biperiden is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Biperiden is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Biperiden.]
[N05AH05, asenapine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Asenapine.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Biperiden is combined with Tapentadol.]
[M03AC01, pancuronium, Pancuronium may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CC05, paraldehyde, Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C02KC01, pargyline, Pargyline may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Biperiden.]
[C07AA23, penbutolol, Penbutolol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Biperiden is combined with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N04BC02, pergolide, Pergolide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Biperiden.]
[N05AB03, perphenazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Biperiden.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Biperiden is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Biperiden.]
[N03AA02, phenobarbital, Phenobarbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Biperiden.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Biperiden is combined with Phenoperidine.]
[A08AA01, phentermine, The risk or severity of Tachycardia can be increased when Phentermine is combined with Biperiden.]
[S01GA05, phenylephrine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Biperiden.]
[R01BA01, phenylpropanolamine, The risk or severity of Tachycardia can be increased when Phenylpropanolamine is combined with Biperiden.]
[N03AB02, phenytoin, Phenytoin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[V03AB19, physostigmine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Physostigmine.]
[N05AG02, pimozide, The therapeutic efficacy of Biperiden can be decreased when used in combination with Pimozide.]
[C07AA03, pindolol, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Biperiden.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Biperiden.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Biperiden is combined with Piritramide.]
[N02CX01, pizotyline, Pizotifen may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Biperiden.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Biperiden.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C03AA05, polythiazide, The serum concentration of Polythiazide can be increased when it is combined with Biperiden.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Biperiden.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Biperiden is combined with Potassium chloride.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Biperiden.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AA03, primidone, Primidone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Biperiden.]
[S01HA05, procaine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L01XB01, procarbazine, Procarbazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AB04, prochlorperazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Prochlorperazine.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Biperiden.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Biperiden.]
[N05AA03, promazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, Promethazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Biperiden.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Propantheline is combined with Biperiden.]
[N05AC01, periciazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, Propiomazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Biperiden is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Biperiden.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R01BA02, pseudoephedrine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Biperiden can be decreased when used in combination with Aripiprazole.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Biperiden is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Biperiden is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Biperiden is combined with Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C01BA01, quinidine, The risk or severity of adverse effects can be increased when Biperiden is combined with Quinidine.]
[P01BC01, quinine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03AC05, rimiterol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S01FA02, scopolamine, Scopolamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CA06, secobarbital, Secobarbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Biperiden.]
[N04BD01, selegiline, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Biperiden.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Biperiden.]
[N03AG01, valproic acid, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
