[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Diethylstilbestrol.]
[L02AA03, ethinyl estradiol, Ethinylestradiol may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[N03AD01, ethosuximide, The metabolism of Diethylstilbestrol can be increased when combined with Ethosuximide.]
[N03AB01, ethotoin, The metabolism of Diethylstilbestrol can be increased when combined with Ethotoin.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Diethylstilbestrol.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Diethylstilbestrol.]
[D05BB01, etretinate, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Etretinate.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Diethylstilbestrol.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Diethylstilbestrol.]
[R06AX12, terfenadine, The metabolism of Diethylstilbestrol can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Diethylstilbestrol.]
[N06AB08, fluvoxamine, The metabolism of Diethylstilbestrol can be decreased when combined with Fluvoxamine.]
[L04AA02, muromonab-CD3, Diethylstilbestrol may increase the thrombogenic activities of Muromonab.]
[C10AA03, pravastatin, Diethylstilbestrol may decrease the excretion rate of Pravastatin which could result in a higher serum level.]
[B05AA05, dextran, Diethylstilbestrol may decrease the anticoagulant activities of Dextran.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Diethylstilbestrol.]
[C08CA02, felodipine, The metabolism of Diethylstilbestrol can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The metabolism of Diethylstilbestrol can be increased when combined with Fenfluramine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Diethylstilbestrol.]
[B01AD05, plasmin, Diethylstilbestrol may decrease the anticoagulant activities of Fibrinolysin.]
[L01BB06, clofarabine, Diethylstilbestrol may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[L04AA40, cladribine, Diethylstilbestrol may decrease the excretion rate of Cladribine which could result in a higher serum level.]
[J01CF05, floxacillin, Diethylstilbestrol may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Diethylstilbestrol can be decreased when combined with Fluconazole.]
[H02AA02, fludrocortisone, The serum concentration of Fludrocortisone can be increased when it is combined with Diethylstilbestrol.]
[D07XB01, flumethasone, The serum concentration of Flumethasone can be increased when it is combined with Diethylstilbestrol.]
[N07CA03, flunarizine, The metabolism of Diethylstilbestrol can be increased when combined with Flunarizine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Diethylstilbestrol.]
[D07AC08, fluocinonide, The serum concentration of Fluocinonide can be increased when it is combined with Diethylstilbestrol.]
[N06AA14, melitracen, The serum concentration of Melitracen can be increased when it is combined with Diethylstilbestrol.]
[H02AB03, fluocortolone, The serum concentration of Fluocortolone can be increased when it is combined with Diethylstilbestrol.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Diethylstilbestrol.]
[S01CB05, fluorometholone, The serum concentration of Fluorometholone can be increased when it is combined with Diethylstilbestrol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Diethylstilbestrol.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be decreased when combined with Diethylstilbestrol.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Diethylstilbestrol.]
[V04CX02, folic acid, Diethylstilbestrol may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Diethylstilbestrol.]
[J05AE10, darunavir, The metabolism of Diethylstilbestrol can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Furosemide can be decreased when used in combination with Diethylstilbestrol.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Diethylstilbestrol.]
[N03AA04, barbexaclone, The metabolism of Diethylstilbestrol can be increased when combined with Barbexaclone.]
[C10AB04, gemfibrozil, The metabolism of Diethylstilbestrol can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Diethylstilbestrol.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Diethylstilbestrol.]
[J05AG04, etravirine, The metabolism of Diethylstilbestrol can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The metabolism of Diethylstilbestrol can be increased when combined with Methsuximide.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Diethylstilbestrol.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Diethylstilbestrol.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Diethylstilbestrol.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Diethylstilbestrol.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Diethylstilbestrol.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Diethylstilbestrol.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Diethylstilbestrol.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Diethylstilbestrol.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Diethylstilbestrol.]
[D01BA01, griseofulvin, The metabolism of Diethylstilbestrol can be increased when combined with Griseofulvin.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Diethylstilbestrol.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Diethylstilbestrol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Diethylstilbestrol.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Diethylstilbestrol.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Diethylstilbestrol.]
[M04AA01, allopurinol, Diethylstilbestrol may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, Diethylstilbestrol may decrease the excretion rate of Losartan which could result in a higher serum level.]
[S01XA14, heparin, The therapeutic efficacy of Heparin can be decreased when used in combination with Diethylstilbestrol.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Diethylstilbestrol.]
[A07EC02, mesalamine, The excretion of Mesalazine can be decreased when combined with Diethylstilbestrol.]
[N05CA16, hexobarbital, The metabolism of Diethylstilbestrol can be increased when combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Diethylstilbestrol.]
[C08CA10, nilvadipine, The metabolism of Nilvadipine can be decreased when combined with Diethylstilbestrol.]
[M02AA26, nimesulide, Nimesulide may increase the thrombogenic activities of Diethylstilbestrol.]
[S02BA01, hydrocortisone, The serum concentration of Hydrocortisone can be increased when it is combined with Diethylstilbestrol.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Diethylstilbestrol.]
[J04AB04, rifabutin, The metabolism of Diethylstilbestrol can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Diethylstilbestrol.]
[B05CB02, sodium citrate, Diethylstilbestrol may decrease the anticoagulant activities of Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Diethylstilbestrol.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Diethylstilbestrol.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Diethylstilbestrol.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Diethylstilbestrol.]
[R01AD07, tixocortol, The serum concentration of Tixocortol can be increased when it is combined with Diethylstilbestrol.]
[M03BX02, tizanidine, The metabolism of Diethylstilbestrol can be increased when combined with Tizanidine.]
[L01CE01, topotecan, Diethylstilbestrol may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[S01BC01, indomethacin, Diethylstilbestrol may decrease the excretion rate of Indomethacin which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Diethylstilbestrol can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, Diethylstilbestrol may increase the thrombogenic activities of Eculizumab.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Diethylstilbestrol.]
[S01LA04, ranibizumab, Diethylstilbestrol may increase the thrombogenic activities of Ranibizumab.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Diethylstilbestrol.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Diethylstilbestrol.]
[C10AA06, cerivastatin, Diethylstilbestrol may decrease the excretion rate of Cerivastatin which could result in a higher serum level.]
[N06AA13, iprindole, The serum concentration of Iprindole can be increased when it is combined with Diethylstilbestrol.]
[N01AB06, isoflurane, The metabolism of Isoflurane can be decreased when combined with Diethylstilbestrol.]
[N04BX02, entacapone, The metabolism of Diethylstilbestrol can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Diethylstilbestrol can be decreased when combined with Isoniazid.]
[A10BJ01, exenatide, Exenatide can cause a decrease in the absorption of Diethylstilbestrol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[D10BA01, isotretinoin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Isotretinoin.]
[P02CF01, ivermectin, Diethylstilbestrol may decrease the excretion rate of Ivermectin which could result in a higher serum level.]
[B01AE06, bivalirudin, Diethylstilbestrol may decrease the anticoagulant activities of Bivalirudin.]
[H01AC01, somatropin, The therapeutic efficacy of Somatotropin can be decreased when used in combination with Diethylstilbestrol.]
[L04AC07, tocilizumab, The metabolism of Diethylstilbestrol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Diethylstilbestrol.]
[B01AC22, prasugrel, Diethylstilbestrol may decrease the anticoagulant activities of Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Diethylstilbestrol can be decreased when combined with Ketoconazole.]
[M02AA10, ketoprofen, The metabolism of Diethylstilbestrol can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Diethylstilbestrol can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Diethylstilbestrol can be increased when combined with Abatacept.]
[N03AX18, lacosamide, The metabolism of Diethylstilbestrol can be increased when combined with Lacosamide.]
[J01CA11, amdinocillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Pivmecillinam.]
[N06BA13, armodafinil, The metabolism of Diethylstilbestrol can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Diethylstilbestrol.]
[N06AA07, lofepramine, The serum concentration of Lofepramine can be increased when it is combined with Diethylstilbestrol.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Diethylstilbestrol.]
[N05BA06, lorazepam, The metabolism of Diethylstilbestrol can be increased when combined with Lorazepam.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Diethylstilbestrol.]
[J01AA04, lymecycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Lymecycline.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Diethylstilbestrol.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Diethylstilbestrol.]
[V04CC02, magnesium sulfate, The metabolism of Diethylstilbestrol can be increased when combined with Magnesium sulfate.]
[L01BA05, pralatrexate, Diethylstilbestrol may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Diethylstilbestrol can be decreased when combined with Nilotinib.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Meclofenamic acid can be decreased when used in combination with Diethylstilbestrol.]
[N05BA03, medazepam, The metabolism of Diethylstilbestrol can be increased when combined with Medazepam.]
[B01AB06, nadroparin, Diethylstilbestrol may decrease the anticoagulant activities of Nadroparin.]
[B01AB05, enoxaparin, Diethylstilbestrol may decrease the anticoagulant activities of Enoxaparin.]
[B01AB04, dalteparin, Diethylstilbestrol may decrease the anticoagulant activities of Dalteparin.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Diethylstilbestrol.]
[N03AB04, mephenytoin, The metabolism of Diethylstilbestrol can be increased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Diethylstilbestrol can be increased when combined with Methylphenobarbital.]
[L02BG01, aminoglutethimide, The metabolism of Diethylstilbestrol can be increased when combined with Aminoglutethimide.]
[J01AA05, methacycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Metacycline.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Diethylstilbestrol.]
[J05AF05, lamivudine, Diethylstilbestrol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AA30, metharbital, The metabolism of Diethylstilbestrol can be increased when combined with Metharbital.]
[H03BB02, methimazole, The metabolism of Diethylstilbestrol can be decreased when combined with Methimazole.]
[N05CA15, methohexital, The metabolism of Diethylstilbestrol can be increased when combined with Methohexital.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Diethylstilbestrol.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Diethylstilbestrol.]
[V04CG05, methylene blue, The metabolism of Diethylstilbestrol can be decreased when combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Diethylstilbestrol.]
[H02AB04, methylprednisolone, The serum concentration of Methylprednisolone can be increased when it is combined with Diethylstilbestrol.]
[D07AC14, methylprednisolone aceponate, The serum concentration of Methylprednisolone aceponate can be increased when it is combined with Diethylstilbestrol.]
[N03AF03, rufinamide, The metabolism of Diethylstilbestrol can be increased when combined with Rufinamide.]
[N02CA04, methysergide, The metabolism of Methysergide can be decreased when combined with Diethylstilbestrol.]
[P01AB01, metronidazole, The metabolism of Diethylstilbestrol can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Diethylstilbestrol can be increased when combined with Metyrapone.]
[J01CA10, mezlocillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Mezlocillin.]
[S02AA13, miconazole, The metabolism of Diethylstilbestrol can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Diethylstilbestrol.]
[B01AB07, parnaparin, Diethylstilbestrol may decrease the anticoagulant activities of Parnaparin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Diethylstilbestrol.]
[G03XB01, mifepristone, The serum concentration of Diethylstilbestrol can be increased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, Diethylstilbestrol may decrease the anticoagulant activities of Tinzaparin.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Diethylstilbestrol.]
[J01AA08, minocycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Minocycline.]
[L01XX23, mitotane, The metabolism of Diethylstilbestrol can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, Diethylstilbestrol may decrease the excretion rate of Mitoxantrone which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Diethylstilbestrol can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Diethylstilbestrol.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Diethylstilbestrol.]
[L04AB05, certolizumab pegol, The metabolism of Diethylstilbestrol can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Diethylstilbestrol can be decreased when combined with Eltrombopag.]
[L04AA52, ofatumumab, Diethylstilbestrol may increase the thrombogenic activities of Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Diethylstilbestrol.]
[L04AA06, mycophenolic acid, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Mycophenolic acid.]
[N05CA02, amobarbital, The metabolism of Diethylstilbestrol can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Diethylstilbestrol.]
[G03XC01, raloxifene, Diethylstilbestrol may decrease the excretion rate of Raloxifene which could result in a higher serum level.]
[N06AA17, amoxapine, The serum concentration of Amoxapine can be increased when it is combined with Diethylstilbestrol.]
[N03AB05, fosphenytoin, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Fosphenytoin.]
[J01CA04, amoxicillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Amoxicillin.]
[N04BC04, ropinirole, Diethylstilbestrol may increase the excretion rate of Ropinirole which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CF06, nafcillin, The metabolism of Diethylstilbestrol can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Diethylstilbestrol can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Diethylstilbestrol can be increased when combined with Anakinra.]
[M02AA12, naproxen, Diethylstilbestrol may decrease the excretion rate of Naproxen which could result in a higher serum level.]
[A10BG01, troglitazone, Troglitazone may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Diethylstilbestrol.]
[N04BX01, tolcapone, The metabolism of Diethylstilbestrol can be decreased when combined with Tolcapone.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Diethylstilbestrol.]
[A10BX02, repaglinide, Diethylstilbestrol may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Diethylstilbestrol.]
[S01AA19, ampicillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Ampicillin.]
[N06AX23, desvenlafaxine, The metabolism of Diethylstilbestrol can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Diethylstilbestrol may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[C08CA04, nicardipine, The metabolism of Diethylstilbestrol can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Diethylstilbestrol.]
[C08CA05, nifedipine, Diethylstilbestrol may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may increase the thrombogenic activities of Diethylstilbestrol.]
[N05CD02, nitrazepam, The metabolism of Diethylstilbestrol can be increased when combined with Nitrazepam.]
[C08CA08, nitrendipine, Diethylstilbestrol may decrease the excretion rate of Nitrendipine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Nitrofurantoin can be decreased when used in combination with Diethylstilbestrol.]
[N05CF03, zaleplon, The metabolism of Diethylstilbestrol can be increased when combined with Zaleplon.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Diethylstilbestrol.]
[C02KX01, bosentan, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Diethylstilbestrol.]
[B01AB08, reviparin, Diethylstilbestrol may decrease the anticoagulant activities of Reviparin.]
[S02AA16, ofloxacin, Diethylstilbestrol may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[L04AC04, rilonacept, The metabolism of Diethylstilbestrol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Diethylstilbestrol can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The serum concentration of Opipramol can be increased when it is combined with Diethylstilbestrol.]
[B01AD07, reteplase, Diethylstilbestrol may decrease the anticoagulant activities of Reteplase.]
[B01AD09, ancrod, Diethylstilbestrol may decrease the anticoagulant activities of Ancrod.]
[C01AC01, ouabain, The excretion of Ouabain can be decreased when combined with Diethylstilbestrol.]
[J01CF04, oxacillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Oxacillin.]
[S01AA04, oxytetracycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Oxytetracycline.]
[B01AB09, danaparoid, Diethylstilbestrol may decrease the anticoagulant activities of Danaparoid.]
[N05CC05, paraldehyde, The metabolism of Diethylstilbestrol can be increased when combined with Paraldehyde.]
[H02AB05, paramethasone, The serum concentration of Paramethasone can be increased when it is combined with Diethylstilbestrol.]
[M01CC01, penicillamine, The excretion of Penicillamine can be decreased when combined with Diethylstilbestrol.]
[S01AA14, penicillin G, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Phenoxymethylpenicillin.]
[N05CA01, pentobarbital, The metabolism of Diethylstilbestrol can be increased when combined with Pentobarbital.]
[L01FX01, edrecolomab, Diethylstilbestrol may increase the thrombogenic activities of Edrecolomab.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Diethylstilbestrol.]
[B01AA02, phenindione, Diethylstilbestrol may decrease the anticoagulant activities of Phenindione.]
[N03AA02, phenobarbital, The metabolism of Diethylstilbestrol can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Diethylstilbestrol.]
[M02AA01, phenylbutazone, The metabolism of Diethylstilbestrol can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Phenytoin.]
[L01XF02, alitretinoin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Alitretinoin.]
[L04AB06, golimumab, The metabolism of Diethylstilbestrol can be increased when combined with Golimumab.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Diethylstilbestrol.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Diethylstilbestrol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Diethylstilbestrol.]
[J01CA12, piperacillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Piperacillin.]
[J05AE01, saquinavir, The metabolism of Diethylstilbestrol can be decreased when combined with Saquinavir.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Diethylstilbestrol.]
[J01CA02, pivampicillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Pivampicillin.]
[J05AG02, delavirdine, The metabolism of Diethylstilbestrol can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Diethylstilbestrol can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, Diethylstilbestrol may decrease the anticoagulant activities of Abciximab.]
[D05AX05, tazarotene, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Tazarotene.]
[S01XA13, alteplase, Diethylstilbestrol may decrease the anticoagulant activities of Alteplase.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Diethylstilbestrol.]
[L04AC05, ustekinumab, Diethylstilbestrol may increase the thrombogenic activities of Ustekinumab.]
[L02BG03, anastrozole, The therapeutic efficacy of Anastrozole can be decreased when used in combination with Diethylstilbestrol.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Diethylstilbestrol.]
[L04AC08, canakinumab, The metabolism of Diethylstilbestrol can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Ritonavir.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Diethylstilbestrol.]
[C10AA08, pitavastatin, Diethylstilbestrol may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C02CA01, prazosin, Diethylstilbestrol may decrease the excretion rate of Prazosin which could result in a higher serum level.]
[S03BA02, prednisolone, The serum concentration of Prednisolone can be increased when it is combined with Diethylstilbestrol.]
[H02AB07, prednisone, The serum concentration of Prednisone can be increased when it is combined with Diethylstilbestrol.]
[P01BA03, primaquine, The metabolism of Diethylstilbestrol can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Diethylstilbestrol can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Diethylstilbestrol can be increased when combined with Probenecid.]
[C10AB05, fenofibrate, Diethylstilbestrol may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Diethylstilbestrol.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Diethylstilbestrol.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Diethylstilbestrol.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Diethylstilbestrol.]
[B01AC09, epoprostenol, Diethylstilbestrol may decrease the anticoagulant activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Diethylstilbestrol.]
[N06AA11, protriptyline, The serum concentration of Protriptyline can be increased when it is combined with Diethylstilbestrol.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Diethylstilbestrol.]
[P01BD01, pyrimethamine, The metabolism of Diethylstilbestrol can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Diethylstilbestrol.]
[P01BC01, quinine, The metabolism of Diethylstilbestrol can be decreased when combined with Quinine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Diethylstilbestrol can be increased when combined with Rifampicin.]
[J01AA09, rolitetracycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Rolitetracycline.]
[A07EC01, sulfasalazine, Diethylstilbestrol may decrease the excretion rate of Sulfasalazine which could result in a higher serum level.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Diethylstilbestrol.]
[N05CA06, secobarbital, The metabolism of Diethylstilbestrol can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Diethylstilbestrol.]
[L01FA03, obinutuzumab, Diethylstilbestrol may increase the thrombogenic activities of Obinutuzumab.]
[M05BX04, denosumab, Diethylstilbestrol may increase the thrombogenic activities of Denosumab.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Diethylstilbestrol.]
[C03DA01, spironolactone, The metabolism of Diethylstilbestrol can be decreased when combined with Spironolactone.]
[N03AG01, valproic acid, The metabolism of Diethylstilbestrol can be increased when combined with Valproic acid.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Diethylstilbestrol which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AB02, hydrocortisone butyrate, The serum concentration of Hydrocortisone butyrate can be increased when it is combined with Diethylstilbestrol.]
[H02CA04, levoketoconazole, The metabolism of Diethylstilbestrol can be decreased when combined with Levoketoconazole.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
