[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Efavirenz.]
[L01XX23, mitotane, The metabolism of Efavirenz can be increased when combined with Mitotane.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Molindone.]
[C01BD01, amiodarone, The serum concentration of Amiodarone can be decreased when it is combined with Efavirenz.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Efavirenz.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Efavirenz.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Efavirenz.]
[L04AB05, certolizumab pegol, The metabolism of Efavirenz can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be increased when combined with Efavirenz.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Efavirenz.]
[L04AA06, mycophenolic acid, The metabolism of Mycophenolic acid can be increased when combined with Efavirenz.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Efavirenz is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Efavirenz is combined with Amobarbital.]
[J05AJ01, raltegravir, The metabolism of Raltegravir can be increased when combined with Efavirenz.]
[P01BA06, amodiaquine, Efavirenz may increase the hepatotoxic activities of Amodiaquine.]
[G04CA04, silodosin, The metabolism of Silodosin can be decreased when combined with Efavirenz.]
[R03BB01, ipratropium bromide, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[G03XC01, raloxifene, The metabolism of Efavirenz can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The serum concentration of Efavirenz can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Efavirenz can be decreased when combined with Interferon beta-1b.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Efavirenz is combined with Ropinirole.]
[J01CF06, nafcillin, The metabolism of Efavirenz can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Efavirenz is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Efavirenz can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The metabolism of Naltrexone can be increased when combined with Efavirenz.]
[L04AC03, anakinra, The metabolism of Efavirenz can be increased when combined with Anakinra.]
[M02AA12, naproxen, The metabolism of Naproxen can be increased when combined with Efavirenz.]
[A10BG01, troglitazone, Troglitazone may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Efavirenz.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Efavirenz.]
[L02BG04, letrozole, The metabolism of Letrozole can be decreased when combined with Efavirenz.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Efavirenz is combined with Remifentanil.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Efavirenz.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Levosimendan.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Efavirenz.]
[N06AX23, desvenlafaxine, The metabolism of Desvenlafaxine can be decreased when combined with Efavirenz.]
[C09CA07, telmisartan, Efavirenz may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[M04AA03, febuxostat, The metabolism of Febuxostat can be increased when combined with Efavirenz.]
[H05BX02, paricalcitol, The metabolism of Paricalcitol can be decreased when combined with Efavirenz.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Nialamide.]
[C08CA04, nicardipine, The serum concentration of Nicardipine can be decreased when it is combined with Efavirenz.]
[C04AE02, nicergoline, The serum concentration of Nicergoline can be increased when it is combined with Efavirenz.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Efavirenz.]
[N07BA01, nicotine, The metabolism of Efavirenz can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The serum concentration of Nifedipine can be decreased when it is combined with Efavirenz.]
[C08CA06, nimodipine, The serum concentration of Nimodipine can be decreased when it is combined with Efavirenz.]
[C08CA07, nisoldipine, The serum concentration of Nisoldipine can be decreased when it is combined with Efavirenz.]
[N05CD02, nitrazepam, The metabolism of Nitrazepam can be decreased when combined with Efavirenz.]
[C08CA08, nitrendipine, The serum concentration of Nitrendipine can be decreased when it is combined with Efavirenz.]
[J01XE01, nitrofurantoin, Efavirenz may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Efavirenz.]
[N04BC05, pramipexole, Efavirenz may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Norepinephrine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Efavirenz.]
[S01AE02, norfloxacin, The metabolism of Efavirenz can be decreased when combined with Norfloxacin.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Efavirenz.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Efavirenz.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Efavirenz.]
[L03AB07, interferon beta-1a, The metabolism of Efavirenz can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The serum concentration of Nylidrin can be decreased when it is combined with Efavirenz.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Efavirenz.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Efavirenz can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Efavirenz.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Opipramol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Efavirenz.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Efavirenz.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Oxazepam.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Efavirenz.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Efavirenz.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Efavirenz.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Oxypertine.]
[A03AB03, oxyphenonium, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Efavirenz.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Efavirenz.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Efavirenz.]
[M03AC01, pancuronium, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be decreased when combined with Efavirenz.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Papaverine.]
[N05CC05, paraldehyde, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Paramethasone can be decreased when combined with Efavirenz.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Efavirenz is combined with Pargyline.]
[J01MA03, pefloxacin, The metabolism of Efavirenz can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Efavirenz.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Penbutolol.]
[N05AG03, penfluridol, The serum concentration of Penfluridol can be decreased when it is combined with Efavirenz.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Efavirenz can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Efavirenz.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Perazine.]
[N04BC02, pergolide, The serum concentration of Pergolide can be increased when it is combined with Efavirenz.]
[C08EX02, perhexiline, The serum concentration of Perhexiline can be decreased when it is combined with Efavirenz.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Efavirenz.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Phenelzine.]
[A10BA01, phenformin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Phenformin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Efavirenz.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Efavirenz.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Efavirenz.]
[A08AA01, phentermine, The metabolism of Phentermine can be decreased when combined with Efavirenz.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Efavirenz.]
[S01GA05, phenylephrine, The metabolism of Efavirenz can be increased when combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Efavirenz.]
[N03AB02, phenytoin, The serum concentration of Efavirenz can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Efavirenz can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Levofloxacin.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Efavirenz.]
[C08CX01, mibefradil, The serum concentration of Mibefradil can be decreased when it is combined with Efavirenz.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Efavirenz.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Pindolol.]
[C10AA05, atorvastatin, The serum concentration of Atorvastatin can be decreased when it is combined with Efavirenz.]
[J05AE01, saquinavir, Saquinavir may increase the hepatotoxic activities of Efavirenz.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Efavirenz.]
[A02BX03, pirenzepine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Efavirenz.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Efavirenz.]
[N02CX01, pizotyline, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Efavirenz.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Efavirenz.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Efavirenz is combined with Proxibarbal.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Efavirenz.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Efavirenz.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Efavirenz.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Efavirenz.]
[L04AC08, canakinumab, The metabolism of Efavirenz can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The risk or severity of adverse effects can be increased when Efavirenz is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Efavirenz.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Efavirenz.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Efavirenz.]
[N05BA11, prazepam, The metabolism of Prazepam can be decreased when combined with Efavirenz.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Efavirenz.]
[C02CA01, prazosin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Prazosin.]
[S03BA02, prednisolone, The metabolism of Prednisolone can be decreased when combined with Efavirenz.]
[H02AB07, prednisone, The metabolism of Prednisone can be decreased when combined with Efavirenz.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Antazoline.]
[C01DX02, prenylamine, The serum concentration of Prenylamine can be decreased when it is combined with Efavirenz.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Efavirenz.]
[N03AA03, primidone, The metabolism of Efavirenz can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Efavirenz.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Efavirenz.]
[N04AA04, procyclidine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Efavirenz.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Efavirenz.]
[G03DB07, promegestone, The metabolism of Promegestone can be decreased when combined with Efavirenz.]
[R06AD02, promethazine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Efavirenz.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Efavirenz is combined with Propanidid.]
[A03AB05, propantheline, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Periciazine.]
[N05CM06, propiomazine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Efavirenz.]
[N01AX10, propofol, The metabolism of Propofol can be increased when combined with Efavirenz.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Efavirenz.]
[C07AA05, propranolol, The serum concentration of Propranolol can be decreased when it is combined with Efavirenz.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Efavirenz is combined with Rizatriptan.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Efavirenz.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Efavirenz.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Efavirenz.]
[A03AB15, diphemanil, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Efavirenz.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Efavirenz is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Efavirenz is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Efavirenz is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Efavirenz.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Efavirenz.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Efavirenz.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Efavirenz.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Efavirenz can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Efavirenz is combined with Oxitriptan.]
[J01FA06, roxithromycin, The metabolism of Roxithromycin can be decreased when combined with Efavirenz.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Efavirenz.]
[S01FA02, scopolamine, The metabolism of Scopolamine can be decreased when combined with Efavirenz.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Efavirenz.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Efavirenz.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Sotalol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Efavirenz.]
[C03DA01, spironolactone, Spironolactone may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Efavirenz.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be increased when combined with Efavirenz.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Efavirenz.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Emtricitabine which could result in a higher serum level.]
[C08DA01, verapamil, The excretion of Emtricitabine can be decreased when combined with Verapamil.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Emtricitabine.]
[L01ED04, brigatinib, The excretion of Emtricitabine can be decreased when combined with Brigatinib.]
[L01EF03, abemaciclib, The excretion of Abemaciclib can be decreased when combined with Emtricitabine.]
[J01GB14, plazomicin, The excretion of Emtricitabine can be decreased when combined with Plazomicin.]
[P01BA07, tafenoquine, The excretion of Emtricitabine can be decreased when combined with Tafenoquine.]
[L01EX13, gilteritinib, The excretion of Emtricitabine can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, The excretion of Emtricitabine can be decreased when combined with Glasdegib.]
[N06BA14, solriamfetol, The excretion of Solriamfetol can be decreased when combined with Emtricitabine.]
[L01EX15, pexidartinib, The excretion of Emtricitabine can be decreased when combined with Pexidartinib.]
[L01EJ02, fedratinib, The excretion of Emtricitabine can be decreased when combined with Fedratinib.]
[N04CX01, istradefylline, The excretion of Emtricitabine can be decreased when combined with Istradefylline.]
[J01DB01, cephalexin, The excretion of Emtricitabine can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The excretion of Cefradine can be decreased when combined with Emtricitabine.]
[L01XX72, tazemetostat, The excretion of Emtricitabine can be decreased when combined with Tazemetostat.]
[J05AB16, remdesivir, The excretion of Emtricitabine can be decreased when combined with Remdesivir.]
[L01EH03, tucatinib, The excretion of Emtricitabine can be decreased when combined with Tucatinib.]
[L01EX17, capmatinib, The excretion of Emtricitabine can be decreased when combined with Capmatinib.]
[L01EX19, ripretinib, The excretion of Emtricitabine can be decreased when combined with Ripretinib.]
[L01EX22, selpercatinib, The excretion of Emtricitabine can be decreased when combined with Selpercatinib.]
[M09AX10, risdiplam, The serum concentration of Emtricitabine can be increased when it is combined with Risdiplam.]
[L01EX23, pralsetinib, The excretion of Emtricitabine can be decreased when combined with Pralsetinib.]
[V03AF12, trilaciclib, The excretion of Emtricitabine can be decreased when combined with Trilaciclib.]
[A02BA01, cimetidine, The excretion of Emtricitabine can be decreased when combined with Cimetidine.]
[S03AA07, ciprofloxacin, The excretion of Emtricitabine can be decreased when combined with Ciprofloxacin.]
[P01CA03, fexinidazole, The excretion of Emtricitabine can be decreased when combined with Fexinidazole.]
[J05AB14, valganciclovir, The risk or severity of cytopenia can be increased when Valganciclovir is combined with Emtricitabine.]
[S01AD03, acyclovir, The excretion of Emtricitabine can be decreased when combined with Acyclovir.]
[N07BC04, lofexidine, The excretion of Emtricitabine can be decreased when combined with Lofexidine.]
[S02AA12, rifamycin SV, The excretion of Emtricitabine can be decreased when combined with Rifamycin.]
[C01EB18, ranolazine, The excretion of Emtricitabine can be decreased when combined with Ranolazine.]
[A02BA03, famotidine, The excretion of Emtricitabine can be decreased when combined with Famotidine.]
[C01BC04, flecainide, The excretion of Flecainide can be decreased when combined with Emtricitabine.]
[S01AD09, ganciclovir, The risk or severity of cytopenia can be increased when Ganciclovir is combined with Emtricitabine.]
[L01CE01, topotecan, The excretion of Topotecan can be decreased when combined with Emtricitabine.]
[A10BA02, metformin, The excretion of Emtricitabine can be decreased when combined with Metformin.]
[V04CG05, methylene blue, The excretion of Emtricitabine can be decreased when combined with Methylene blue.]
[C07AA12, nadolol, The excretion of Nadolol can be decreased when combined with Emtricitabine.]
[S01AE05, levofloxacin, The excretion of Levofloxacin can be decreased when combined with Emtricitabine.]
[C01BA02, procainamide, The excretion of Procainamide can be decreased when combined with Emtricitabine.]
[P01BD01, pyrimethamine, The excretion of Emtricitabine can be decreased when combined with Pyrimethamine.]
[J05AP01, ribavirin, Ribavirin may increase the hepatotoxic activities of Emtricitabine.]
[H02CA04, levoketoconazole, The excretion of Emtricitabine can be decreased when combined with Levoketoconazole.]
[S02DA03, antipyrine, Antipyrine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01GA01, streptomycin, Streptomycin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A02BX02, sucralfate, Tenofovir disoproxil may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Tenofovir disoproxil may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Tenofovir disoproxil may decrease the excretion rate of Sulfadiazine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Tenofovir disoproxil may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may increase the nephrotoxic activities of Tenofovir disoproxil.]
[M01AX04, apazone, Azapropazone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01BB02, mercaptopurine, The excretion of Tenofovir disoproxil can be decreased when combined with Mercaptopurine.]
[L02BA01, tamoxifen, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Tamoxifen.]
[N05CD07, temazepam, Tenofovir disoproxil may decrease the excretion rate of Temazepam which could result in a higher serum level.]
[R03CC03, terbutaline, Tenofovir disoproxil may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Tenofovir disoproxil.]
[G03BA03, testosterone, The excretion of Tenofovir disoproxil can be increased when combined with Testosterone.]
[S03AA02, tetracycline, The excretion of Tenofovir disoproxil can be decreased when combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may increase the nephrotoxic activities of Tenofovir disoproxil.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Tenofovir disoproxil may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, Tenofovir disoproxil may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.]
[G04BE06, moxisylyte, Tenofovir disoproxil may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Tenofovir disoproxil may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Tenofovir disoproxil may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[S01ED01, timolol, Tenofovir disoproxil may decrease the excretion rate of Timolol which could result in a higher serum level.]
[P01AB02, tinidazole, Tenofovir disoproxil may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Tobramycin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A10BB05, tolazamide, Tenofovir disoproxil may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Tenofovir disoproxil may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N02AX02, tramadol, Tenofovir disoproxil may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[C03DB02, triamterene, Triamterene may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N05CD05, triazolam, Tenofovir disoproxil may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Tenofovir disoproxil may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Tenofovir disoproxil may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[A03AA05, trimebutine, Tenofovir disoproxil may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, Tenofovir disoproxil may decrease the excretion rate of Trimethoprim which could result in a higher serum level.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Tenofovir disoproxil.]
[R03DX07, roflumilast, Tenofovir disoproxil may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Tenofovir disoproxil may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Vandetanib.]
[R02AA14, oxyquinoline, Tenofovir disoproxil may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Linagliptin.]
[J05AP02, telaprevir, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Telaprevir.]
[S01AA28, vancomycin, Vancomycin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N03AX21, ezogabine, Tenofovir disoproxil may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, The serum concentration of Rivaroxaban can be increased when it is combined with Tenofovir disoproxil.]
[R03AC18, indacaterol, The serum concentration of Indacaterol can be increased when it is combined with Tenofovir disoproxil.]
[B01AC24, ticagrelor, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, Tenofovir disoproxil may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Tenofovir disoproxil.]
[L01CA02, vincristine, The serum concentration of Vincristine can be increased when it is combined with Tenofovir disoproxil.]
