[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Everolimus.]
[R03BA05, fluticasone, The metabolism of Everolimus can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Everolimus.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Everolimus.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Etidocaine.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Everolimus.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Everolimus.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Everolimus.]
[R06AX11, astemizole, The metabolism of Everolimus can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The serum concentration of Terfenadine can be increased when it is combined with Everolimus.]
[N06AB08, fluvoxamine, The metabolism of Everolimus can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Everolimus.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Everolimus.]
[C10AA03, pravastatin, The serum concentration of Pravastatin can be increased when it is combined with Everolimus.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Everolimus.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Everolimus.]
[P02CA03, albendazole, The metabolism of Everolimus can be decreased when combined with Albendazole.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Everolimus.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Everolimus.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Everolimus.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Everolimus.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Everolimus.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Everolimus.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Everolimus.]
[J01CF05, floxacillin, The metabolism of Everolimus can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Everolimus can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Everolimus.]
[H02AA02, fludrocortisone, The serum concentration of Fludrocortisone can be increased when it is combined with Everolimus.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Everolimus.]
[D07AC08, fluocinonide, The metabolism of Everolimus can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Everolimus can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Everolimus can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Everolimus.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Everolimus.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Everolimus.]
[N06AB03, fluoxetine, The metabolism of Everolimus can be decreased when combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Everolimus.]
[J05AE10, darunavir, The serum concentration of Everolimus can be increased when it is combined with Darunavir.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Everolimus.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Everolimus.]
[N03AA04, barbexaclone, The metabolism of Everolimus can be increased when combined with Barbexaclone.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Everolimus.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Everolimus.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Everolimus.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Everolimus.]
[J05AG04, etravirine, The metabolism of Everolimus can be increased when combined with Etravirine.]
[N01AH02, alfentanil, The serum concentration of Alfentanil can be increased when it is combined with Everolimus.]
[L01EH01, lapatinib, The serum concentration of Everolimus can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Everolimus can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Everolimus.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Everolimus.]
[C02CA04, doxazosin, The metabolism of Everolimus can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The serum concentration of Everolimus can be increased when it is combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Everolimus.]
[B01AA12, fluindione, The serum concentration of Fluindione can be increased when it is combined with Everolimus.]
[C09AA09, fosinopril, The risk or severity of adverse effects can be increased when Everolimus is combined with Fosinopril.]
[D01BA01, griseofulvin, The metabolism of Everolimus can be increased when combined with Griseofulvin.]
[N05AD01, haloperidol, The metabolism of Everolimus can be decreased when combined with Haloperidol.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Everolimus.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Everolimus.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Everolimus.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Everolimus.]
[C09CA01, losartan, The metabolism of Everolimus can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Everolimus.]
[G03DC01, allylestrenol, The metabolism of Everolimus can be decreased when combined with Allylestrenol.]
[A07EC02, mesalamine, The excretion of Mesalazine can be decreased when combined with Everolimus.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Everolimus.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Everolimus.]
[C08CA10, nilvadipine, The metabolism of Everolimus can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Everolimus.]
[C09AA04, perindopril, The risk or severity of adverse effects can be increased when Everolimus is combined with Perindopril.]
[C02DB02, hydralazine, The metabolism of Everolimus can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Everolimus.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Everolimus.]
[S02BA01, hydrocortisone, The serum concentration of Hydrocortisone can be increased when it is combined with Everolimus.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Everolimus.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Everolimus is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Everolimus.]
[J04AB04, rifabutin, The metabolism of Everolimus can be increased when combined with Rifabutin.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Everolimus.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Everolimus.]
[L01AA06, ifosfamide, The metabolism of Everolimus can be increased when combined with Ifosfamide.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Everolimus.]
[L01CD01, paclitaxel, The metabolism of Everolimus can be increased when combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Everolimus is combined with Tixocortol.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Everolimus.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Everolimus.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Everolimus.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Everolimus.]
[N06AX17, milnacipran, The metabolism of Everolimus can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Everolimus.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Everolimus.]
[N05BA12, alprazolam, The serum concentration of Alprazolam can be increased when it is combined with Everolimus.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Everolimus.]
[C10AA06, cerivastatin, The metabolism of Everolimus can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Everolimus.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Everolimus.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Everolimus.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Everolimus.]
[C09AA16, imidapril, The risk or severity of adverse effects can be increased when Everolimus is combined with Imidapril.]
[J04AC01, isoniazid, The metabolism of Everolimus can be decreased when combined with Isoniazid.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Everolimus.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Everolimus.]
[L04AC07, tocilizumab, The metabolism of Everolimus can be increased when combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Everolimus.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Everolimus.]
[J02AB02, ketoconazole, The serum concentration of Everolimus can be increased when it is combined with Ketoconazole.]
[H02CA04, levoketoconazole, The serum concentration of Everolimus can be increased when it is combined with Levoketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Everolimus.]
[V03AC03, deferasirox, The metabolism of Everolimus can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Everolimus can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Everolimus.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Everolimus.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Everolimus.]
[N03AX18, lacosamide, The metabolism of Everolimus can be decreased when combined with Lacosamide.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Everolimus.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Everolimus can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Everolimus.]
[N02CA07, lisuride, The serum concentration of Lisuride can be increased when it is combined with Everolimus.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Everolimus.]
[A07DA03, loperamide, The excretion of Loperamide can be decreased when combined with Everolimus.]
[C10AA02, lovastatin, The metabolism of Everolimus can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The serum concentration of Everolimus can be increased when it is combined with Loxapine.]
[L01EG01, temsirolimus, The serum concentration of Everolimus can be increased when it is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Everolimus is combined with Pralatrexate.]
[L01EA03, nilotinib, The serum concentration of Everolimus can be increased when it is combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Mannitol can be increased when it is combined with Everolimus.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Everolimus.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Everolimus.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Everolimus.]
[C01AA08, medigoxin, Everolimus may decrease the excretion rate of Metildigoxin which could result in a higher serum level.]
[P01BC02, mefloquine, The serum concentration of Everolimus can be increased when it is combined with Mefloquine.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Everolimus.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Everolimus.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Everolimus.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Everolimus.]
[N02AB02, meperidine, The metabolism of Everolimus can be decreased when combined with Meperidine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Everolimus.]
[N03AA01, mephobarbital, The metabolism of Everolimus can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Mepivacaine.]
[L02BG01, aminoglutethimide, The metabolism of Everolimus can be increased when combined with Aminoglutethimide.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Everolimus.]
[N05AX13, paliperidone, The serum concentration of Everolimus can be increased when it is combined with Paliperidone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Everolimus.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Everolimus.]
[H01CB03, lanreotide, The metabolism of Everolimus can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Everolimus can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Everolimus.]
[G02CB05, metergoline, The serum concentration of Metergoline can be increased when it is combined with Everolimus.]
[H03BB02, methimazole, The metabolism of Everolimus can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Everolimus.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Everolimus.]
[N05AA02, methotrimeprazine, The metabolism of Methotrimeprazine can be decreased when combined with Everolimus.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Everolimus.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Everolimus.]
[V04CG05, methylene blue, The serum concentration of Everolimus can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Everolimus can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Everolimus.]
[H02AB04, methylprednisolone, The serum concentration of Methylprednisolone can be increased when it is combined with Everolimus.]
[N03AF03, rufinamide, The metabolism of Everolimus can be increased when combined with Rufinamide.]
[N02CA04, methysergide, The serum concentration of Methysergide can be increased when it is combined with Everolimus.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Everolimus.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Everolimus.]
[P01AB01, metronidazole, The metabolism of Everolimus can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Everolimus can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Everolimus.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Everolimus.]
[S02AA13, miconazole, The metabolism of Everolimus can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Everolimus.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Everolimus.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Everolimus.]
[G03XB01, mifepristone, The serum concentration of Everolimus can be increased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Everolimus.]
[C09CA03, valsartan, The excretion of Valsartan can be decreased when combined with Everolimus.]
[J01FA11, miocamycin, The metabolism of Everolimus can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Everolimus can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Everolimus.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Everolimus.]
[L03AC01, aldesleukin, The metabolism of Everolimus can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The serum concentration of Everolimus can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Everolimus.]
[N02AA01, morphine, The serum concentration of Morphine can be increased when it is combined with Everolimus.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Everolimus.]
[L04AB05, certolizumab pegol, The metabolism of Everolimus can be increased when combined with Certolizumab pegol.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Ofatumumab.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Everolimus.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Everolimus.]
[N05CA02, amobarbital, The metabolism of Everolimus can be increased when combined with Amobarbital.]
[G04CA04, silodosin, The excretion of Silodosin can be decreased when combined with Everolimus.]
[G03XC01, raloxifene, The metabolism of Everolimus can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Everolimus.]
[N03AB05, fosphenytoin, The metabolism of Everolimus can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Everolimus.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Everolimus.]
[J01CF06, nafcillin, The metabolism of Everolimus can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Everolimus can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Everolimus can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Everolimus.]
[A10BG01, troglitazone, The metabolism of Everolimus can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Everolimus.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Everolimus.]
[L01CD02, docetaxel, The metabolism of Everolimus can be decreased when combined with Docetaxel.]
[A10BX02, repaglinide, The serum concentration of Repaglinide can be increased when it is combined with Everolimus.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Everolimus.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Everolimus.]
[N06AX23, desvenlafaxine, The metabolism of Everolimus can be decreased when combined with Desvenlafaxine.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Everolimus.]
[C10AD02, niacin, The metabolism of Everolimus can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Everolimus can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The serum concentration of Nicergoline can be increased when it is combined with Everolimus.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Everolimus.]
[G03DC02, norethindrone, The metabolism of Everolimus can be decreased when combined with Norethisterone.]
[C02KX01, bosentan, The metabolism of Everolimus can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Everolimus.]
[R05DA07, noscapine, The metabolism of Everolimus can be decreased when combined with Noscapine.]
[A16AX07, sapropterin, The serum concentration of Everolimus can be increased when it is combined with Sapropterin.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Everolimus.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Everolimus.]
[H01CB02, octreotide, The serum concentration of Everolimus can be increased when it is combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Everolimus can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Everolimus can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Everolimus can be increased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Everolimus.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Everolimus.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Everolimus.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Everolimus.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Everolimus.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Everolimus.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Everolimus.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Everolimus.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Everolimus.]
[H02AB05, paramethasone, The serum concentration of Paramethasone can be increased when it is combined with Everolimus.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Everolimus.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Everolimus.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Everolimus.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Everolimus.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Everolimus.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Everolimus.]
[N05CA01, pentobarbital, The metabolism of Everolimus can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Everolimus.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Everolimus.]
[N04BC02, pergolide, The serum concentration of Pergolide can be increased when it is combined with Everolimus.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Everolimus.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Everolimus.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Everolimus.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Everolimus.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Everolimus.]
[B01AA02, phenindione, The serum concentration of Phenindione can be increased when it is combined with Everolimus.]
[N03AA02, phenobarbital, The metabolism of Everolimus can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The serum concentration of Phenprocoumon can be increased when it is combined with Everolimus.]
[M02AA01, phenylbutazone, The metabolism of Everolimus can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Everolimus can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Everolimus can be increased when combined with Golimumab.]
[L02BB03, bicalutamide, The metabolism of Everolimus can be decreased when combined with Bicalutamide.]
[C08CX01, mibefradil, The serum concentration of Everolimus can be increased when it is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Everolimus.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Everolimus.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Everolimus.]
[J05AE01, saquinavir, The serum concentration of Everolimus can be increased when it is combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Everolimus.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Everolimus.]
[J05AG02, delavirdine, The metabolism of Everolimus can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Everolimus can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Everolimus.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Everolimus.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Everolimus.]
[L04AC08, canakinumab, The metabolism of Everolimus can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Everolimus.]
[J05AE03, ritonavir, The serum concentration of Everolimus can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Everolimus.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Everolimus.]
[C10AA08, pitavastatin, The excretion of Pitavastatin can be decreased when combined with Everolimus.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Everolimus.]
[S03BA02, prednisolone, The serum concentration of Prednisolone can be increased when it is combined with Everolimus.]
[H02AB07, prednisone, The serum concentration of Prednisone can be increased when it is combined with Everolimus.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Everolimus can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Everolimus can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Everolimus can be increased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Everolimus.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Everolimus.]
[C10AB05, fenofibrate, The metabolism of Everolimus can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Everolimus.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Everolimus.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Everolimus.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Everolimus.]
[C01BC03, propafenone, The serum concentration of Everolimus can be increased when it is combined with Propafenone.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be increased when it is combined with Everolimus.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Everolimus.]
[N01AX10, propofol, The metabolism of Everolimus can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Everolimus can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Everolimus.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Everolimus.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Everolimus.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Everolimus.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Everolimus.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Everolimus.]
[C01BA01, quinidine, The serum concentration of Everolimus can be increased when it is combined with Quinidine.]
[P01BC01, quinine, The serum concentration of Everolimus can be increased when it is combined with Quinine.]
[C02AA01, rescinnamine, The risk or severity of adverse effects can be increased when Everolimus is combined with Rescinnamine.]
[C02AA02, reserpine, The serum concentration of Everolimus can be increased when it is combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Everolimus can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The metabolism of Everolimus can be decreased when combined with Roxithromycin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Everolimus.]
[N05CA06, secobarbital, The metabolism of Everolimus can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Everolimus.]
