[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Memantine.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AL05, amisulpride, The therapeutic efficacy of Memantine can be decreased when used in combination with Amisulpride.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be decreased when used in combination with Memantine.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C10AB04, gemfibrozil, Memantine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Memantine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Memantine.]
[N03AD03, methsuximide, The metabolism of Methsuximide can be decreased when combined with Memantine.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Memantine.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Memantine.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Memantine.]
[A10BB07, glipizide, Memantine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Memantine.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C07AB09, esmolol, Memantine may increase the bradycardic activities of Esmolol.]
[M01CB04, aurothioglucose, Memantine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Memantine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01EX01, guanethidine, Memantine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AD01, haloperidol, The risk or severity of adverse effects can be increased when Haloperidol is combined with Memantine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Memantine.]
[N05AH04, quetiapine, The therapeutic efficacy of Memantine can be decreased when used in combination with Quetiapine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Memantine.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Memantine which could result in a higher serum level.]
[G03DC01, allylestrenol, Memantine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Memantine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Memantine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C02DB02, hydralazine, Memantine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Memantine.]
[S02BA01, hydrocortisone, The therapeutic efficacy of Memantine can be decreased when used in combination with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The therapeutic efficacy of Memantine can be decreased when used in combination with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Memantine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, The excretion of Memantine can be decreased when combined with Potassium citrate.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[G04BD06, propiverine, The therapeutic efficacy of Propiverine can be decreased when used in combination with Memantine.]
[B05AA07, hetastarch, Memantine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[B05XA08, sodium acetate, Memantine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The excretion of Memantine can be decreased when combined with Sodium citrate.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Memantine.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Memantine.]
[R01AD07, tixocortol, The therapeutic efficacy of Memantine can be decreased when used in combination with Tixocortol.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A11HA07, inositol, Memantine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Memantine may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[A03AA30, piperidolate, The therapeutic efficacy of Piperidolate can be decreased when used in combination with Memantine.]
[S01XA28, varenicline, The serum concentration of Memantine can be increased when it is combined with Varenicline.]
[A10BH01, sitagliptin, Memantine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Memantine.]
[R06AE01, buclizine, The therapeutic efficacy of Buclizine can be decreased when used in combination with Memantine.]
[C07AA01, alprenolol, Memantine may increase the bradycardic activities of Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Memantine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N01AB06, isoflurane, The metabolism of Isoflurane can be decreased when combined with Memantine.]
[J04AC01, isoniazid, Isoniazid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J05AX05, inosine pranobex, Memantine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01AA24, kanamycin, Memantine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Memantine.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Memantine.]
[H02CA04, levoketoconazole, The serum concentration of Memantine can be increased when it is combined with Levoketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Memantine can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C07AG01, labetalol, Memantine may increase the bradycardic activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Amantadine is combined with Memantine.]
[A06AX03, lubiprostone, Memantine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Memantine.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA21, amikacin, Memantine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, The serum concentration of Memantine can be increased when it is combined with Amiloride.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AH01, loxapine, The therapeutic efficacy of Memantine can be decreased when used in combination with Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Memantine.]
[B05XA11, magnesium chloride, Memantine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A12CC10, magnesium oxide, Magnesium oxide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01BA05, pralatrexate, Memantine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The therapeutic efficacy of Maprotiline can be decreased when used in combination with Memantine.]
[C02BB01, mecamylamine, The therapeutic efficacy of Mecamylamine can be decreased when used in combination with Memantine.]
[R06AE05, meclizine, The therapeutic efficacy of Meclizine can be decreased when used in combination with Memantine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA05, pentaerythritol tetranitrate, Memantine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Memantine can be decreased when used in combination with Fluticasone furoate.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Memantine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Memantine.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be decreased when combined with Memantine.]
[N01BB03, mepivacaine, Mepivacaine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[G04BX16, tiopronin, Memantine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The therapeutic efficacy of Memantine can be decreased when used in combination with Mesoridazine.]
[N05AX13, paliperidone, The therapeutic efficacy of Memantine can be decreased when used in combination with Paliperidone.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Memantine.]
[N06BA03, methamphetamine, Memantine may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[A03AB07, methantheline, Methantheline may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N03AA30, metharbital, The therapeutic efficacy of Metharbital can be decreased when used in combination with Memantine.]
[S01EC05, methazolamide, The excretion of Memantine can be decreased when combined with Methazolamide.]
[H03BB02, methimazole, Methimazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01BA04, pemetrexed, Memantine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Memantine can be decreased when used in combination with Methotrimeprazine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Memantine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Memantine which could result in a higher serum level.]
[V04CG05, methylene blue, The serum concentration of Memantine can be increased when it is combined with Methylene blue.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Methylphenidate is combined with Memantine.]
[H02AB04, methylprednisolone, The therapeutic efficacy of Memantine can be decreased when used in combination with Methylprednisolone.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Memantine.]
[A03FA01, metoclopramide, The therapeutic efficacy of Memantine can be decreased when used in combination with Metoclopramide.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Memantine may increase the bradycardic activities of Metoprolol.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Memantine.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Memantine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Memantine.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AE02, molindone, The therapeutic efficacy of Memantine can be decreased when used in combination with Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C01BD01, amiodarone, The serum concentration of Memantine can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Memantine.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Memantine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Memantine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be decreased when used in combination with Memantine.]
[N05CA02, amobarbital, The therapeutic efficacy of Amobarbital can be decreased when used in combination with Memantine.]
[N06AA17, amoxapine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Memantine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Memantine.]
[C07AA12, nadolol, Memantine may increase the bradycardic activities of Nadolol.]
[J01CA04, amoxicillin, Memantine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Memantine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L02BG04, letrozole, The metabolism of Letrozole can be decreased when combined with Memantine.]
[S03AA01, neomycin, Memantine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AX14, iloperidone, The therapeutic efficacy of Memantine can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L03AX16, plerixafor, Memantine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Memantine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Memantine may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C01CE01, inamrinone, Memantine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C08CA04, nicardipine, The therapeutic efficacy of Nicardipine can be decreased when used in combination with Memantine.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Memantine.]
[C08CA05, nifedipine, Memantine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C01CA03, norepinephrine, The serum concentration of Memantine can be increased when it is combined with Norepinephrine.]
[N06AA10, nortriptyline, The therapeutic efficacy of Nortriptyline can be decreased when used in combination with Memantine.]
[A02BC01, omeprazole, Omeprazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AA02, opium, Memantine may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C07AA02, oxprenolol, Memantine may increase the bradycardic activities of Oxprenolol.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A03AB03, oxyphenonium, The therapeutic efficacy of Oxyphenonium can be decreased when used in combination with Memantine.]
[V04CH30, 4-aminohippuric acid, The serum concentration of Memantine can be increased when it is combined with Aminohippuric acid.]
[N05AH05, asenapine, The therapeutic efficacy of Memantine can be decreased when used in combination with Asenapine.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Memantine.]
[J04AB30, capreomycin, Memantine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[H02AB05, paramethasone, The therapeutic efficacy of Memantine can be decreased when used in combination with Paramethasone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[G04BD11, fesoterodine, The therapeutic efficacy of Fesoterodine can be decreased when used in combination with Memantine.]
[C07AA23, penbutolol, Memantine may increase the bradycardic activities of Penbutolol.]
[J01CE09, penicillin G procaine, Memantine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Pentobarbital can be decreased when combined with Memantine.]
[L01XX08, pentostatin, Memantine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Memantine.]
[N05AB03, perphenazine, The therapeutic efficacy of Memantine can be decreased when used in combination with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Memantine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A10BA01, phenformin, The serum concentration of Memantine can be increased when it is combined with Phenformin.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Memantine.]
[C04AX02, phenoxybenzamine, The serum concentration of Memantine can be increased when it is combined with Phenoxybenzamine.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A02BC06, dexlansoprazole, Dexlansoprazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Memantine.]
[S01AE05, levofloxacin, Memantine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Memantine is combined with Pilocarpine.]
[N05AG02, pimozide, The therapeutic efficacy of Memantine can be decreased when used in combination with Pimozide.]
[C07AA03, pindolol, Memantine may increase the bradycardic activities of Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N06BX03, piracetam, Memantine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, The therapeutic efficacy of Pirenzepine can be decreased when used in combination with Memantine.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The serum concentration of Memantine can be increased when it is combined with Grepafloxacin.]
[N02CX01, pizotyline, The therapeutic efficacy of Pizotifen can be decreased when used in combination with Memantine.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH03, saxagliptin, Memantine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C07AB01, practolol, Memantine may increase the bradycardic activities of Practolol.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Memantine.]
[S03BA02, prednisolone, The therapeutic efficacy of Memantine can be decreased when used in combination with Prednisolone.]
[H02AB07, prednisone, The therapeutic efficacy of Memantine can be decreased when used in combination with Prednisone.]
[N03AA03, primidone, The metabolism of Primidone can be decreased when combined with Memantine.]
[M04AB01, probenecid, The serum concentration of Memantine can be increased when it is combined with Probenecid.]
[C01BA02, procainamide, Memantine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Memantine.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AB04, prochlorperazine, The therapeutic efficacy of Memantine can be decreased when used in combination with Prochlorperazine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Memantine.]
[G03DA04, progesterone, The serum concentration of Memantine can be increased when it is combined with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Memantine can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Memantine.]
[C01BC03, propafenone, Memantine may increase the bradycardic activities of Propafenone.]
[A03AB05, propantheline, The therapeutic efficacy of Propantheline can be decreased when used in combination with Memantine.]
[N05AC01, periciazine, The therapeutic efficacy of Memantine can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, The therapeutic efficacy of Propiomazine can be decreased when used in combination with Memantine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Memantine.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Memantine.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Memantine.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Memantine which could result in a higher serum level.]
[B01AC09, epoprostenol, Memantine may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Memantine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Memantine can be decreased when used in combination with Aripiprazole.]
[N07XX07, dalfampridine, Memantine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, The therapeutic efficacy of Diphemanil can be decreased when used in combination with Memantine.]
[A03AB09, isopropamide, The therapeutic efficacy of Isopropamide can be decreased when used in combination with Memantine.]
[S01FA03, methscopolamine, The therapeutic efficacy of Methscopolamine can be decreased when used in combination with Memantine.]
[N05CA07, talbutal, The therapeutic efficacy of Talbutal can be decreased when used in combination with Memantine.]
[P02CC01, pyrantel, Memantine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[P01AX05, quinacrine, The serum concentration of Memantine can be increased when it is combined with Quinacrine.]
[C01BA01, quinidine, Memantine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The serum concentration of Memantine can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, Ranitidine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01FA02, scopolamine, The therapeutic efficacy of Scopolamine can be decreased when used in combination with Memantine.]
[N05CA06, secobarbital, The therapeutic efficacy of Secobarbital can be decreased when used in combination with Memantine.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Memantine.]
[J01GB08, sisomicin, Memantine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Memantine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Memantine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, Memantine may increase the bradycardic activities of Sotalol.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AC14, methylprednisolone aceponate, The therapeutic efficacy of Memantine can be decreased when used in combination with Methylprednisolone aceponate.]
[R03BB01, ipratropium bromide, The therapeutic efficacy of Ipratropium can be decreased when used in combination with Memantine.]
