[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Tixocortol.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Tixocortol.]
[S01FB02, ephedrine, Ephedrine may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01EA01, epinephrine, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Tixocortol.]
[M01AB04, zomepirac, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AB06, insulin glulisine, human, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Insulin glulisine.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Tixocortol.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A11CC01, ergocalciferol, The therapeutic efficacy of Ergocalciferol can be decreased when used in combination with Tixocortol.]
[L03AX05, pidotimod, Tixocortol may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Estazolam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G03CA03, estradiol, The serum concentration of Tixocortol can be increased when it is combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Tixocortol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Tixocortol is combined with Fluticasone.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The serum concentration of Tixocortol can be increased when it is combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Tixocortol.]
[M01AC06, meloxicam, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Meloxicam.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Tixocortol.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Tixocortol.]
[A02BA04, nizatidine, The therapeutic efficacy of Nizatidine can be decreased when used in combination with Tixocortol.]
[J01MA08, fleroxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Fleroxacin.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N06AX12, bupropion, Bupropion may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Tixocortol.]
[M01CB01, gold sodium thiomalate, Tixocortol may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Tixocortol may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Tixocortol.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M01AE04, fenoprofen, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Fenoterol.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[R03CC02, albuterol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Salbutamol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Tixocortol.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Tixocortol.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N02BG04, floctafenine, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Floctafenine.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Tixocortol.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Tixocortol.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Tixocortol.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Fluocortolone is combined with Tixocortol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Tixocortol.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Tixocortol.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Tixocortol.]
[G03BA01, fluoxymesterone, The risk or severity of fluid retention can be increased when Tixocortol is combined with Fluoxymesterone.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01BC04, flurbiprofen, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Flurbiprofen.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01BC03, tegafur, Tixocortol may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[M03AA01, alcuronium, The risk or severity of myopathy and weakness can be increased when Alcuronium is combined with Tixocortol.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N06DA04, galantamine, The therapeutic efficacy of Galantamine can be decreased when used in combination with Tixocortol.]
[M03AC02, gallamine, The risk or severity of myopathy and weakness can be increased when Gallamine is combined with Tixocortol.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C10AB04, gemfibrozil, Gemfibrozil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01XA03, telavancin, Telavancin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Dasatinib is combined with Tixocortol.]
[A10BJ02, liraglutide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Liraglutide.]
[G03XA02, gestrinone, The serum concentration of Tixocortol can be increased when it is combined with Gestrinone.]
[A10BB01, glyburide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Glipizide.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Sorafenib is combined with Tixocortol.]
[M01CB04, aurothioglucose, Tixocortol may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[B01AA12, fluindione, Tixocortol may increase the anticoagulant activities of Fluindione.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N05AD01, haloperidol, Haloperidol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N05AH04, quetiapine, Quetiapine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N06BX13, idebenone, Idebenone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Insulin aspart.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Tixocortol.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G03DC01, allylestrenol, Allylestrenol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Mesalazine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Tixocortol.]
[R03CC05, hexoprenaline, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Hexoprenaline.]
[M02AA26, nimesulide, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Nimesulide.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C02DB02, hydralazine, Hydralazine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The risk or severity of electrolyte imbalance can be increased when Tixocortol is combined with Hydrochlorothiazide.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Tixocortol is combined with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, The risk or severity of electrolyte imbalance can be increased when Tixocortol is combined with Hydroflumethiazide.]
[B05XA17, potassium acetate, Tixocortol may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G04BD06, propiverine, Tixocortol may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Tixocortol.]
[B05AA07, hetastarch, Tixocortol may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Tixocortol.]
[R02AX02, ibuprofen, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Ibuprofen.]
[B05XA08, sodium acetate, Tixocortol may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Tixocortol.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Tixocortol.]
[N06AA02, imipramine, Imipramine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Paclitaxel is combined with Tixocortol.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Tixocortol is combined with Antilymphocyte immunoglobulin (horse).]
[J01MB04, pipemidic acid, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Pipemidic acid.]
[M01AG01, mefenamic acid, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, Pentaerythritol tetranitrate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Fluticasone furoate is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Tixocortol.]
[C03BA11, indapamide, Tixocortol may increase the hypokalemic activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Indomethacin.]
[A11HA07, inositol, Tixocortol may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Tixocortol.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Tixocortol.]
[N06AX17, milnacipran, Milnacipran may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01XA28, varenicline, Varenicline may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Tixocortol.]
[A10BH01, sitagliptin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Sitagliptin.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N05CH02, ramelteon, Ramelteon may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BH02, vildagliptin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Vildagliptin.]
[C03BA02, quinethazone, Tixocortol may increase the hypokalemic activities of Quinethazone.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Tixocortol.]
[V03AB01, ipecac, Tixocortol may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[R03CC06, isoetharine, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Isoetharine.]
[S01EB07, isoflurophate, The therapeutic efficacy of Isoflurophate can be decreased when used in combination with Tixocortol.]
[J04AC01, isoniazid, The serum concentration of Isoniazid can be decreased when it is combined with Tixocortol.]
[J05AX05, inosine pranobex, Tixocortol may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Tixocortol.]
[A10BJ01, exenatide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Exenatide.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01AA24, kanamycin, Tixocortol may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Tocilizumab is combined with Tixocortol.]
[N01AX03, ketamine, The therapeutic efficacy of Ketamine can be decreased when used in combination with Tixocortol.]
[B01AC22, prasugrel, Prasugrel may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M02AA10, ketoprofen, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Ketoprofen.]
[V03AC03, deferasirox, The risk or severity of gastrointestinal ulceration and gastrointestinal irritation can be increased when Tixocortol is combined with Deferasirox.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Abatacept is combined with Tixocortol.]
[C01CA22, arbutamine, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Arbutamine.]
[J01MB02, nalidixic acid, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Nalidixic acid.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N07AA30, ambenonium, The therapeutic efficacy of Ambenonium can be decreased when used in combination with Tixocortol.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Tixocortol.]
[G03AD01, levonorgestrel, The serum concentration of Tixocortol can be increased when it is combined with Levonorgestrel.]
[S01AA21, amikacin, Tixocortol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Tixocortol.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G03DC03, lynestrenol, The serum concentration of Tixocortol can be increased when it is combined with Lynestrenol.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Temsirolimus is combined with Tixocortol.]
[B05XA11, magnesium chloride, Tixocortol may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Tixocortol may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Pralatrexate is combined with Tixocortol.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Nilotinib is combined with Tixocortol.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Maprotiline may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Mechlorethamine can be decreased when used in combination with Tixocortol.]
[M02AA18, meclofenamic acid, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Meclofenamic acid.]
[C01AA08, medigoxin, The risk or severity of adverse effects can be increased when Tixocortol is combined with Metildigoxin.]
[P01BC02, mefloquine, The therapeutic efficacy of Mefloquine can be decreased when used in combination with Tixocortol.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Tixocortol.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Tixocortol.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N01BB03, mepivacaine, Mepivacaine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G04BX16, tiopronin, Tiopronin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The therapeutic efficacy of Tixocortol can be decreased when used in combination with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03BB01, mesterolone, The risk or severity of edema formation can be increased when Mesterolone is combined with Tixocortol.]
[N05AX13, paliperidone, Paliperidone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BA02, metformin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Metformin.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N06BA03, methamphetamine, Metamfetamine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[A14AA04, methenolone, The risk or severity of edema formation can be increased when Metenolone is combined with Tixocortol.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Tixocortol.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Tixocortol.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Tixocortol.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C03AA08, methyclothiazide, The risk or severity of electrolyte imbalance can be increased when Tixocortol is combined with Methyclothiazide.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[V04CG05, methylene blue, Tixocortol may decrease the excretion rate of Methylene blue which could result in a higher serum level.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Tixocortol.]
[G03EK01, methyltestosterone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Tixocortol.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Tixocortol.]
[C03BA08, metolazone, Tixocortol may increase the hypokalemic activities of Metolazone.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N02BB03, aminopyrine, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Aminophenazone.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G03XB01, mifepristone, The serum concentration of Tixocortol can be increased when it is combined with Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01XX23, mitotane, The serum concentration of Tixocortol can be decreased when it is combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Tixocortol.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Tixocortol.]
[N06AA09, amitriptyline, Amitriptyline may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Tixocortol.]
[G04BA01, ammonium chloride, Ammonium chloride may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Tixocortol.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Pazopanib is combined with Tixocortol.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Tixocortol.]
[M03AC03, vecuronium, The risk or severity of myopathy and weakness can be increased when Vecuronium is combined with Tixocortol.]
[N03AB05, fosphenytoin, The serum concentration of Tixocortol can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Tixocortol.]
[C07AA12, nadolol, Nadolol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[V03AB15, naloxone, Naloxone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Tixocortol.]
[S01XA11, nandrolone, The risk or severity of edema formation can be increased when Nandrolone phenpropionate is combined with Tixocortol.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M02AA12, naproxen, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Naproxen.]
[A10BG01, troglitazone, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Troglitazone.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Docetaxel is combined with Tixocortol.]
[S03AA01, neomycin, Tixocortol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Repaglinide.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01EB06, neostigmine, The therapeutic efficacy of Neostigmine can be decreased when used in combination with Tixocortol.]
[J02AA01, amphotericin B, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L03AX16, plerixafor, Plerixafor may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01AA23, netilmicin, Tixocortol may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Desvenlafaxine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[H05BX02, paricalcitol, The therapeutic efficacy of Paricalcitol can be decreased when used in combination with Tixocortol.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Tixocortol.]
[C08CA05, nifedipine, Nifedipine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M02AA17, niflumic acid, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Niflumic acid.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C01CA03, norepinephrine, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Norepinephrine.]
[G03DC02, norethindrone, The serum concentration of Tixocortol can be increased when it is combined with Norethisterone.]
[S01AE02, norfloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Norfloxacin.]
[G03AC07, norgestrienone, The serum concentration of Tixocortol can be increased when it is combined with Norgestrienone.]
[S02AA16, ofloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Ofloxacin.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Rilonacept is combined with Tixocortol.]
[N02AA02, opium, Tixocortol may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Orciprenaline.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A14AA08, oxandrolone, The risk or severity of fluid retention can be increased when Tixocortol is combined with Oxandrolone.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01MB05, oxolinic acid, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Oxolinic acid.]
[S01GA04, oxymetazoline, The absorption of Tixocortol can be decreased when combined with Oxymetazoline.]
[A14AA05, oxymetholone, The risk or severity of fluid retention can be increased when Tixocortol is combined with Oxymetholone.]
[S01BC02, oxyphenbutazone, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Oxyphenbutazone.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Tixocortol.]
