[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Frovatriptan.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Frovatriptan.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Frovatriptan.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Frovatriptan can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Frovatriptan.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Frovatriptan is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Frovatriptan.]
[C03CA01, furosemide, Frovatriptan may decrease the antihypertensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Frovatriptan is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Gallamine.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Frovatriptan can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Frovatriptan.]
[N04BC06, cabergoline, Cabergoline may increase the vasoconstricting activities of Frovatriptan.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Frovatriptan.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Frovatriptan.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Frovatriptan.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Glutethimide.]
[C05AE01, nitroglycerin, Frovatriptan may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Frovatriptan may decrease the antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The metabolism of Frovatriptan can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Frovatriptan may decrease the antihypertensive activities of Esmolol.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Fluindione.]
[C09AA09, fosinopril, Frovatriptan may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Frovatriptan may decrease the antihypertensive activities of Guanethidine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Frovatriptan.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Halothane.]
[N05AH04, quetiapine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Allobarbital.]
[C09CA01, losartan, Frovatriptan may decrease the antihypertensive activities of Losartan.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Frovatriptan.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Hexobarbital.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Frovatriptan is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Frovatriptan can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, Frovatriptan may decrease the antihypertensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Frovatriptan is combined with Nimesulide.]
[C09AA04, perindopril, Frovatriptan may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Frovatriptan may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Frovatriptan may decrease the antihypertensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Frovatriptan may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[C02AC06, rilmenidine, Frovatriptan may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Frovatriptan is combined with Ibuprofen.]
[H01AC02, somatrem, The metabolism of Frovatriptan can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Frovatriptan.]
[N06AA02, imipramine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Frovatriptan.]
[C03BA11, indapamide, Frovatriptan may decrease the antihypertensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Frovatriptan.]
[C02CA02, indoramin, Frovatriptan may decrease the antihypertensive activities of Indoramin.]
[L03AB04, interferon alfa-2a, The metabolism of Frovatriptan can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Frovatriptan can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Milnacipran.]
[A03AA30, piperidolate, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Frovatriptan.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Frovatriptan.]
[R06AE01, buclizine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[L01XX35, anagrelide, The metabolism of Frovatriptan can be decreased when combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Frovatriptan.]
[L03AB09, interferon alfacon-1, The metabolism of Frovatriptan can be decreased when combined with Interferon alfacon-1.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Frovatriptan can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Isocarboxazid.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Frovatriptan.]
[C09AA16, imidapril, Frovatriptan may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Frovatriptan.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Frovatriptan.]
[J04AC01, isoniazid, The metabolism of Frovatriptan can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Isoprenaline.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Frovatriptan is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Frovatriptan.]
[H01AC01, somatropin, The metabolism of Frovatriptan can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Frovatriptan can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Frovatriptan can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Frovatriptan is combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Frovatriptan can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Frovatriptan can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Frovatriptan is combined with Arbutamine.]
[N04BC09, rotigotine, Frovatriptan may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The metabolism of Frovatriptan can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Frovatriptan is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Frovatriptan may decrease the antihypertensive activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Frovatriptan.]
[C02AA05, deserpidine, Frovatriptan may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Levodopa.]
[S02DA01, lidocaine, The metabolism of Frovatriptan can be decreased when combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Frovatriptan can be increased when combined with Armodafinil.]
[N02CA07, lisuride, Lisuride may increase the vasoconstricting activities of Frovatriptan.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Frovatriptan.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Loxapine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Frovatriptan can be increased when used in combination with Magnesium sulfate.]
[N06AA21, maprotiline, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Frovatriptan.]
[C02BB01, mecamylamine, Frovatriptan may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Frovatriptan.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Frovatriptan.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Medazepam.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Melatonin.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Frovatriptan.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Frovatriptan is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Frovatriptan.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Frovatriptan.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Frovatriptan.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Frovatriptan.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Frovatriptan.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Frovatriptan.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Frovatriptan.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Metamfetamine.]
[A03AB07, methantheline, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Frovatriptan.]
[G02CB05, metergoline, Metergoline may increase the vasoconstricting activities of Frovatriptan.]
[H03BB02, methimazole, The metabolism of Frovatriptan can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Frovatriptan can be decreased when combined with Pemetrexed.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Frovatriptan.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Frovatriptan.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Frovatriptan.]
[D05BA02, methoxsalen, The metabolism of Frovatriptan can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Methoxyflurane.]
[C02AB01, methyldopa, Frovatriptan may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Frovatriptan may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, Methylergometrine may increase the vasoconstricting activities of Frovatriptan.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Frovatriptan.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Frovatriptan.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Frovatriptan.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Methyprylon.]
[N02CA04, methysergide, Methysergide may increase the vasoconstricting activities of Frovatriptan.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Frovatriptan.]
[C03BA08, metolazone, Frovatriptan may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, Frovatriptan may decrease the antihypertensive activities of Metoprolol.]
[C01BB02, mexiletine, The metabolism of Frovatriptan can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Mianserin.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Frovatriptan.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Frovatriptan.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Frovatriptan.]
[C09CA03, valsartan, Frovatriptan may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[D11AX01, minoxidil, Frovatriptan may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Frovatriptan is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Frovatriptan can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Frovatriptan.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Frovatriptan.]
[L04AB05, certolizumab pegol, The metabolism of Frovatriptan can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Frovatriptan.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Frovatriptan.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Amobarbital.]
[N06AA17, amoxapine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Frovatriptan can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, Frovatriptan may decrease the antihypertensive activities of Nadolol.]
[N04BC04, ropinirole, Frovatriptan may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Frovatriptan can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Frovatriptan.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Frovatriptan.]
[L04AC03, anakinra, The metabolism of Frovatriptan can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Frovatriptan is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Frovatriptan.]
[M02AA12, naproxen, The metabolism of Frovatriptan can be decreased when combined with Naproxen.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Frovatriptan.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Frovatriptan.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Frovatriptan may decrease the antihypertensive activities of Telmisartan.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Nialamide.]
[C08CA04, nicardipine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the vasoconstricting activities of Frovatriptan.]
[P02DA01, niclosamide, The metabolism of Frovatriptan can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Frovatriptan.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Frovatriptan is combined with Niflumic acid.]
[C08CA06, nimodipine, Frovatriptan may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Frovatriptan may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Nitrazepam.]
[C08CA08, nitrendipine, Frovatriptan may decrease the antihypertensive activities of Nitrendipine.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Frovatriptan.]
[N04BC05, pramipexole, Frovatriptan may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Frovatriptan may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Norepinephrine is combined with Frovatriptan.]
[S01AE02, norfloxacin, The metabolism of Frovatriptan can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, Frovatriptan may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[L03AB07, interferon beta-1a, The metabolism of Frovatriptan can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Frovatriptan is combined with Nylidrin.]
[L04AC04, rilonacept, The metabolism of Frovatriptan can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Frovatriptan can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Frovatriptan.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Frovatriptan.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Frovatriptan.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Frovatriptan is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Oxymetazoline is combined with Frovatriptan.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Frovatriptan is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[M03AC01, pancuronium, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[N05CC05, paraldehyde, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Pargyline.]
[J01MA03, pefloxacin, The metabolism of Frovatriptan can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Frovatriptan.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Frovatriptan.]
[C04AD03, pentoxifylline, The metabolism of Frovatriptan can be decreased when combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Perazine.]
[N04BC02, pergolide, Pergolide may increase the vasoconstricting activities of Frovatriptan.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Frovatriptan.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Frovatriptan.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Phenindione.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Frovatriptan may decrease the antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Frovatriptan.]
[V03AB36, phentolamine, Frovatriptan may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Frovatriptan.]
[S01GA05, phenylephrine, The metabolism of Frovatriptan can be increased when combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Frovatriptan.]
[N03AB02, phenytoin, The risk or severity of adverse effects can be increased when Phenytoin is combined with Frovatriptan.]
[L04AB06, golimumab, The metabolism of Frovatriptan can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Frovatriptan can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Frovatriptan.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Pipotiazine.]
[C09CA02, eprosartan, Frovatriptan may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Frovatriptan.]
[J01MA11, grepafloxacin, The metabolism of Frovatriptan can be decreased when combined with Grepafloxacin.]
[N02CX01, pizotyline, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[C09CA04, irbesartan, Frovatriptan may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Proxibarbal.]
[A03AE01, alosetron, The metabolism of Frovatriptan can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Frovatriptan can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Frovatriptan may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The metabolism of Frovatriptan can be increased when combined with Ritonavir.]
[C07AB01, practolol, Frovatriptan may decrease the antihypertensive activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Frovatriptan.]
[C02CA01, prazosin, Frovatriptan may decrease the antihypertensive activities of Prazosin.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Frovatriptan.]
[P01BA03, primaquine, The metabolism of Frovatriptan can be increased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Frovatriptan can be increased when combined with Primidone.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Frovatriptan.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Procarbazine.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Prochlorperazine.]
[N04AA04, procyclidine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[N05AA03, promazine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Frovatriptan can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Propanidid.]
[A03AB05, propantheline, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Periciazine.]
[N05CM06, propiomazine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
