[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C01BA01, quinidine, Abacavir may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A02BA02, ranitidine, Ranitidine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may increase the hepatotoxic activities of Abacavir.]
[J04AB02, rifampin, The metabolism of Abacavir can be increased when combined with Rifampicin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01GB08, sisomicin, Abacavir may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Abacavir may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Abacavir may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Abacavir may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Abacavir may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Abacavir may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[N03AG01, valproic acid, The metabolism of Abacavir can be decreased when combined with Valproic acid.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
