[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Amlodipine.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Perindopril.]
[C08CA13, lercanidipine, Lercanidipine may increase the hypotensive activities of Perindopril.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Perindopril.]
[V09IX04, fluorodeoxyglucose F18, Perindopril may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Perindopril.]
[G04BE03, sildenafil, Sildenafil may increase the antihypertensive activities of Perindopril.]
[V08CA11, gadofosveset, Perindopril may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Perindopril may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Bencyclane.]
[A10BH04, alogliptin, The risk or severity of angioedema can be increased when Alogliptin is combined with Perindopril.]
[A16AX09, glycerol phenylbutyrate, Perindopril may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Perindopril can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, Perindopril may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Benorilate is combined with Perindopril.]
[A10BK02, canagliflozin, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Canagliflozin is combined with Perindopril.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Perindopril is combined with Insulin detemir.]
[L03AA12, ancestim, Perindopril may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Celecoxib is combined with Perindopril.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Perindopril.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Everolimus is combined with Perindopril.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[R02AX03, benzydamine, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Benzydamine is combined with Perindopril.]
[L01EE01, trametinib, Perindopril may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Perindopril may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Perindopril may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[C08EA02, bepridil, Perindopril may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, Perindopril may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, Perindopril may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Perindopril may increase the hypotensive activities of Macitentan.]
[N06AX26, vortioxetine, Vortioxetine may decrease the antihypertensive activities of Perindopril.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J05AP08, sofosbuvir, Perindopril may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Perindopril.]
[C01CA27, droxidopa, Droxidopa may decrease the antihypertensive activities of Perindopril.]
[C07AB04, acebutolol, Perindopril may increase the hypotensive activities of Acebutolol.]
[N05CH03, tasimelteon, Perindopril may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Perindopril may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Perindopril may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S01ED02, betaxolol, Betaxolol may increase the hypotensive activities of Perindopril.]
[V03AB34, fomepizole, Perindopril may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, Bethanidine may decrease the antihypertensive activities of Perindopril.]
[A10BK03, empagliflozin, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Perindopril.]
[R03AC19, olodaterol, Olodaterol may decrease the antihypertensive activities of Perindopril.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[S01EE02, unoprostone, Perindopril may increase the hypotensive activities of Unoprostone.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05AA04, acepromazine, Acepromazine may decrease the antihypertensive activities of Perindopril.]
[S03AA06, gentamicin, Perindopril may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AF03, edoxaban, Perindopril may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Mirtazapine may decrease the antihypertensive activities of Perindopril.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05AX16, brexpiprazole, Brexpiprazole may decrease the antihypertensive activities of Perindopril.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Perindopril.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Perindopril.]
[M02AA25, aceclofenac, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Aceclofenac is combined with Perindopril.]
[M01AB11, acemetacin, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Acemetacin is combined with Perindopril.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Perindopril is combined with Insulin degludec.]
[V03AB37, idarucizumab, Perindopril may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Perindopril.]
[L01XG03, ixazomib, Perindopril may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Perindopril may increase the hypotensive activities of Selexipag.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Perindopril.]
[M04AB05, lesinurad, Perindopril may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Alminoprofen is combined with Perindopril.]
[N02BA02, aloxiprin, The risk or severity of renal failure can be increased when Aloxiprin is combined with Perindopril.]
[N03AX23, brivaracetam, Perindopril may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Perindopril may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, Bromocriptine may decrease the antihypertensive activities of Perindopril.]
[A02AD05, aluminum magnesium silicate, Perindopril may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Perindopril.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Perindopril.]
[C07AA19, bupranolol, Perindopril may increase the hypotensive activities of Bupranolol.]
[N05BE01, buspirone, Buspirone may decrease the antihypertensive activities of Perindopril.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Perindopril is combined with Arsenic trioxide.]
[M02AA03, clofezone, Perindopril may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[A07EC04, balsalazide, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Balsalazide is combined with Perindopril.]
[R03CC12, bambuterol, Bambuterol may decrease the antihypertensive activities of Perindopril.]
[A06AH05, naldemedine, Perindopril may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Perindopril may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The risk or severity of angioedema can be increased when Pregabalin is combined with Perindopril.]
[C09AA07, benazepril, The risk or severity of angioedema can be increased when Benazepril is combined with Perindopril.]
[P01CA02, benznidazole, Perindopril may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Perindopril.]
[J05AF06, abacavir, Perindopril may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX13, valbenazine, Perindopril may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Perindopril.]
[J01MA23, delafloxacin, Perindopril may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Perindopril may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[R03AC17, bitolterol, Bitolterol may decrease the antihypertensive activities of Perindopril.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C07AA17, bopindolol, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Bopindolol.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Perindopril is combined with Nesiritide.]
[C03DA03, canrenone, The risk or severity of hyperkalemia can be increased when Canrenone is combined with Perindopril.]
[R03BA02, budesonide, Perindopril may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Perindopril.]
[M01AB07, bumadizone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Bumadizone is combined with Perindopril.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Perindopril.]
[A10BK04, ertugliflozin, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Ertugliflozin is combined with Perindopril.]
[R06AX18, acrivastine, Perindopril may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The risk or severity of angioedema can be increased when Perindopril is combined with Captopril.]
[L02BB05, apalutamide, Perindopril may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Perindopril may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C07AG02, carvedilol, Perindopril may increase the hypotensive activities of Carvedilol.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Perindopril.]
[N03AX24, cannabidiol, Cannabidiol may decrease the antihypertensive activities of Perindopril.]
[L04AA37, baricitinib, Perindopril may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01GB14, plazomicin, Perindopril may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Perindopril may increase the hypotensive activities of Celiprolol.]
[A16AX14, migalastat, Perindopril may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Perindopril may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[D08AE05, chloroxylenol, Perindopril may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Lornoxicam is combined with Perindopril.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[A06AX05, prucalopride, Perindopril may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, The risk or severity of angioedema can be increased when Perindopril is combined with Cilazapril.]
[B01AC23, cilostazol, Perindopril may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Perindopril.]
[S01ED05, carteolol, Carteolol may increase the hypotensive activities of Perindopril.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Perindopril.]
[N06BA14, solriamfetol, Solriamfetol may decrease the antihypertensive activities of Perindopril.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C09CA06, candesartan, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Perindopril is combined with Candesartan.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N07XX11, pitolisant, Perindopril may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Perindopril can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the antihypertensive activities of Perindopril.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Perindopril is combined with Insulin pork.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[M09AX08, golodirsen, Perindopril may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Perindopril may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Perindopril.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Perindopril.]
[R02AA03, dichlorobenzyl alcohol, Perindopril may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Perindopril may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02CC06, eletriptan, Eletriptan may decrease the antihypertensive activities of Perindopril.]
[M01AH02, rofecoxib, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Rofecoxib is combined with Perindopril.]
[C08CA16, clevidipine, The risk or severity of adverse effects can be increased when Perindopril is combined with Clevidipine.]
[C01BD07, dronedarone, Dronedarone may decrease the antihypertensive activities of Perindopril.]
[V03AE03, lanthanum carbonate, Lanthanum carbonate can cause a decrease in the absorption of Perindopril resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C02AA06, methoserpidine, Perindopril may increase the hypotensive activities of Methoserpidine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Perindopril is combined with Opicapone.]
[C01CA14, dopexamine, Dopexamine may decrease the antihypertensive activities of Perindopril.]
[M01AC04, droxicam, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Droxicam is combined with Perindopril.]
[V08CA05, mangafodipir, Perindopril may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Perindopril.]
[M02AA27, dexketoprofen, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Dexketoprofen is combined with Perindopril.]
[C08CA17, levamlodipine, Perindopril may increase the hypotensive activities of Levamlodipine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Perindopril can be increased when used in combination with Chlorothiazide.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the antihypertensive activities of Perindopril.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C03BA04, chlorthalidone, The risk or severity of hypotension can be increased when Chlorthalidone is combined with Perindopril.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N02BA07, ethenzamide, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Ethenzamide is combined with Perindopril.]
[N02BA03, choline salicylate, The risk or severity of renal failure can be increased when Choline salicylate is combined with Perindopril.]
[N06BX18, vinpocetine, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Vinpocetine.]
[M01AB08, etodolac, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Etodolac is combined with Perindopril.]
[M02AA06, etofenamate, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Etofenamate is combined with Perindopril.]
[M01AX25, chondroitin sulfates, Perindopril may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Perindopril.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Perindopril is combined with Vericiguat.]
[M01AE05, fenbufen, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Fenbufen is combined with Perindopril.]
[C01CA19, fenoldopam, Perindopril may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Perindopril.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Perindopril.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N02BG07, flupirtine, Perindopril may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, Formoterol may decrease the antihypertensive activities of Perindopril.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Perindopril is combined with Insulin human.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Perindopril.]
[H04AA02, dasiglucagon, Perindopril may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of hyperkalemia can be increased when Cinnarizine is combined with Perindopril.]
[S03AA07, ciprofloxacin, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Ciprofloxacin.]
[L01XA01, cisplatin, Perindopril may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Perindopril may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Perindopril may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Perindopril may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R03CC13, clenbuterol, Clenbuterol may decrease the antihypertensive activities of Perindopril.]
[B01AD11, tenecteplase, The risk or severity of angioedema can be increased when Tenecteplase is combined with Perindopril.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Perindopril is combined with Levobupivacaine.]
[N06AA04, clomipramine, Clomipramine may decrease the antihypertensive activities of Perindopril.]
[N03AE01, clonazepam, Perindopril may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The risk or severity of hypotension can be increased when Clonidine is combined with Perindopril.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, Clozapine may decrease the antihypertensive activities of Perindopril.]
[J01GB12, arbekacin, Perindopril may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[C02KB01, metyrosine, Metyrosine may increase the hypotensive activities of Perindopril.]
[M01AX13, proquazone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Proquazone is combined with Perindopril.]
[M04AC01, colchicine, Perindopril may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Perindopril may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N01AB07, desflurane, Desflurane may decrease the antihypertensive activities of Perindopril.]
[A04AA03, tropisetron, Perindopril may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Perindopril.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Imidazole salicylate is combined with Perindopril.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Perindopril is combined with Insulin glargine.]
[B01AC10, indobufen, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Indobufen is combined with Perindopril.]
[J05AB14, valganciclovir, Perindopril may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Perindopril may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Perindopril may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Perindopril may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Perindopril may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Perindopril may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Valdecoxib is combined with Perindopril.]
[A03AX10, isometheptene, Isometheptene may decrease the antihypertensive activities of Perindopril.]
[N02CC05, almotriptan, Almotriptan may decrease the antihypertensive activities of Perindopril.]
[M01AH04, parecoxib, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Parecoxib is combined with Perindopril.]
[J02AC02, itraconazole, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Bemiparin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05BA10, ketazolam, Perindopril may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Kebuzone is combined with Perindopril.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Perindopril.]
[S01EE03, bimatoprost, Perindopril may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, Perindopril may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of hyperkalemia can be increased when Lamotrigine is combined with Perindopril.]
[N07BC04, lofexidine, Lofexidine may decrease the antihypertensive activities of Perindopril.]
[M01AB09, lonazolac, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Lonazolac is combined with Perindopril.]
[M02AA31, loxoprofen, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Loxoprofen is combined with Perindopril.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C09AA03, lisinopril, The risk or severity of angioedema can be increased when Lisinopril is combined with Perindopril.]
[A06AD01, magnesium carbonate, Perindopril may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, Perindopril may increase the hypotensive activities of Manidipine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Perindopril.]
[C07AA14, mepindolol, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Mepindolol.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C04AX01, cyclandelate, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the antihypertensive activities of Perindopril.]
[C03DA04, eplerenone, Eplerenone may increase the hyperkalemic activities of Perindopril.]
[N05AD03, metylperon, Perindopril may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Perindopril can be increased when used in combination with Cyclopenthiazide.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N06AX07, minaprine, Minaprine may increase the hypotensive activities of Perindopril.]
[S01XA18, cyclosporine, Cyclosporine may decrease the antihypertensive activities of Perindopril.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Perindopril.]
[C09AA13, moexipril, The risk or severity of angioedema can be increased when Moexipril is combined with Perindopril.]
[M02AA02, mofebutazone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Mofebutazone is combined with Perindopril.]
[M01AX22, morniflumate, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Morniflumate is combined with Perindopril.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, Moxonidine may decrease the antihypertensive activities of Perindopril.]
[G04BE09, vardenafil, Vardenafil may increase the antihypertensive activities of Perindopril.]
[M01AH05, etoricoxib, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Etoricoxib is combined with Perindopril.]
[L01AX04, dacarbazine, Perindopril may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
