[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Clobazam.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Clobazam.]
[J02AC04, posaconazole, The metabolism of Clobazam can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Clobazam can be decreased when combined with Esomeprazole.]
[N03AX09, lamotrigine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Clobazam can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Clobazam.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C09AA03, lisinopril, Clobazam may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Clobazam may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Clobazam can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Clobazam is combined with Medifoxamine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Clobazam.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Clobazam.]
[J01DH02, meropenem, Clobazam may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[R06AD04, methdilazine, The therapeutic efficacy of Clobazam can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Clobazam is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Clobazam is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Clobazam is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, The serum concentration of Clobazam can be increased when it is combined with Tenofovir disoproxil.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be increased when combined with Clobazam.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Clobazam.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be increased when combined with Clobazam.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Clobazam.]
[N06BA07, modafinil, The metabolism of Clobazam can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be increased when combined with Clobazam.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Clobazam can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The serum concentration of Clobazam can be increased when it is combined with Vardenafil.]
[M01AH05, etoricoxib, The metabolism of Clobazam can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Clobazam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Clobazam.]
[G03XA01, danazol, The metabolism of Clobazam can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Clobazam is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Clobazam is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Clobazam.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Clobazam.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N07BB05, nalmefene, Clobazam may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Clobazam.]
[S01GX04, nedocromil, Clobazam may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Clobazam can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Niaprazine.]
[C01DX16, nicorandil, Clobazam may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Clobazam can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Clobazam is combined with Tiagabine.]
[G03DB04, nomegestrol, The serum concentration of Nomegestrol can be decreased when it is combined with Clobazam.]
[C01CA23, theodrenaline, The therapeutic efficacy of Clobazam can be decreased when used in combination with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Clobazam is combined with Cisatracurium.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Normethadone is combined with Clobazam.]
[B01AX05, fondaparinux, Clobazam may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Clobazam.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Clobazam.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Clobazam.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[V04CH02, indigo carmine, Clobazam may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Clobazam is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Clobazam can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Clobazam is combined with Oxiracetam.]
[N04AA08, dexetimide, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Clobazam.]
[A03AA01, oxyphencyclimine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Clobazam can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Clobazam.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Clobazam.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Clobazam.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Clobazam is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Clobazam.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Clobazam.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Clobazam.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Clobazam.]
[C01DA05, pentaerythritol tetranitrate, Clobazam may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The therapeutic efficacy of Clobazam can be decreased when used in combination with Pentifylline.]
[P03AC04, permethrin, Clobazam may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Clobazam is combined with Phenacemide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Clobazam is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Clobazam is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Cinchocaine.]
[R05DA08, pholcodine, Clobazam may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Clobazam.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[A03AA07, dicyclomine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Clobazam may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Clobazam is combined with Pipamperone.]
[A03AB14, pipenzolate, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be increased when combined with Clobazam.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Clobazam.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Clobazam is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Clobazam.]
[C08CA03, isradipine, The metabolism of Clobazam can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, Clobazam may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be increased when combined with Clobazam.]
[C01AA05, digoxin, Clobazam may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be increased when combined with Clobazam.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Clobazam.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Clobazam.]
[L04AX04, lenalidomide, Clobazam may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Clobazam can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, Clobazam may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Clobazam may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Clobazam.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Clobazam is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Clobazam may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Clobazam is combined with Pridinol.]
[R06AB03, dimethindene, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Clobazam can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Clobazam is combined with Progabide.]
[N06BC02, propentofylline, The therapeutic efficacy of Clobazam can be decreased when used in combination with Propentofylline.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C05CA03, diosmin, The serum concentration of Clobazam can be increased when it is combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Proparacaine.]
[R03DA03, proxyphylline, The therapeutic efficacy of Clobazam can be decreased when used in combination with Proxyphylline.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Clobazam.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Clobazam.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Clobazam is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Clobazam is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Clobazam is combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be increased when combined with Clobazam.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Clobazam.]
[S01AX06, resorcinol, Clobazam may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The therapeutic efficacy of Clobazam can be decreased when used in combination with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Clobazam can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Clobazam can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Clobazam is combined with Riluzole.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Clobazam.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Clobazam is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Clobazam.]
[A04AD12, aprepitant, The metabolism of Clobazam can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Clobazam.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Clobazam.]
[G04BE08, tadalafil, Clobazam may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C02KX02, ambrisentan, The serum concentration of Ambrisentan can be increased when it is combined with Clobazam.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Clobazam.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C01CA07, dobutamine, Clobazam may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Clobazam.]
[C01CA04, dopamine, Clobazam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Clobazam.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Clobazam.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Clobazam.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Clobazam.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Clobazam.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Clobazam is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Clobazam.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Clobazam is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Clobazam.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Clobazam can be decreased when used in combination with Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, Clobazam may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, The therapeutic efficacy of Clobazam can be decreased when used in combination with Dyphylline.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Clobazam is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Clobazam is combined with Sumatriptan.]
[V04CX07, edrophonium, Clobazam may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Clobazam.]
[L01AX03, temozolomide, Clobazam may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Clobazam.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Clobazam resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Clobazam is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Clobazam is combined with Thiopropazate.]
[G04BD01, emepronium, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Clobazam.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Clobazam is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Clobazam is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Clobazam.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Clobazam.]
[L02BA02, toremifene, The serum concentration of Clobazam can be increased when it is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Clobazam is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Clobazam is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Clobazam is combined with Triclofos.]
[A03AB08, tridihexethyl, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Clobazam is combined with Trimethobenzamide.]
[N04AA12, tropatepine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Clobazam.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Clobazam is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Clobazam is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Clobazam.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Clobazam.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Clobazam.]
[C08CA12, mepirodipine, The metabolism of Clobazam can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Clobazam is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Clobazam is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Clobazam is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Clobazam is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Clobazam is combined with Moricizine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Clobazam is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Clobazam is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Clobazam can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Clobazam may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Clobazam can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Clobazam is combined with Estazolam.]
[A02BC02, pantoprazole, The metabolism of Clobazam can be decreased when combined with Pantoprazole.]
[G03CA03, estradiol, The serum concentration of Estradiol can be decreased when it is combined with Clobazam.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Clobazam can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Clobazam.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Clobazam.]
[L02AA03, ethinyl estradiol, The serum concentration of Ethinylestradiol can be decreased when it is combined with Clobazam.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N04AA05, profenamine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Clobazam is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Clobazam is combined with Ethotoin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Clobazam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Clobazam.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Clobazam.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Clobazam.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be increased when combined with Clobazam.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Clobazam.]
[R06AX12, terfenadine, The metabolism of Clobazam can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Clobazam may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Clobazam is combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Clobazam.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Clobazam.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C10AA03, pravastatin, The serum concentration of Clobazam can be increased when it is combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, Clobazam may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Clobazam may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Clobazam may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A16AA01, levocarnitine, Clobazam may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Clobazam.]
[N03AX26, fenfluramine, The serum concentration of Fenfluramine can be increased when it is combined with Clobazam.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Clobazam.]
[R03CC02, albuterol, Clobazam may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Clobazam may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Clobazam.]
[G04BD02, flavoxate, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Clobazam.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Clobazam can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Clobazam may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Clobazam may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Clobazam.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Clobazam is combined with Melitracen.]
[V03AZ01, ethanol, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N06AB03, fluoxetine, The serum concentration of Clobazam can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Flurazepam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Clobazam is combined with Fluspirilene.]
[L02BB01, flutamide, Clobazam may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[S02AA17, fosfomycin, Clobazam may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L01BC03, tegafur, Clobazam may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Clobazam is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Clobazam is combined with Furazolidone.]
[J05AE10, darunavir, The metabolism of Clobazam can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Clobazam is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Clobazam is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Clobazam.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Clobazam is combined with Gallamine.]
[S01AD09, ganciclovir, The therapeutic efficacy of Clobazam can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Clobazam is combined with Barbexaclone.]
