[S02DA03, antipyrine, The protein binding of Chlorpropamide can be decreased when combined with Antipyrine.]
[J05AE08, atazanavir, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Chlorpropamide can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Potassium perchlorate.]
[V03AB04, pralidoxime, Chlorpropamide may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Chlorpropamide.]
[C08DB01, diltiazem, The risk or severity of hypoglycemia can be increased when Diltiazem is combined with Chlorpropamide.]
[V03AB09, dimercaprol, Chlorpropamide may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Chlorpropamide may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[G03CA09, promestriene, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Promestriene.]
[N02BB04, propyphenazone, The protein binding of Chlorpropamide can be decreased when combined with Propyphenazone.]
[M01AB14, proglumetacin, The protein binding of Chlorpropamide can be decreased when combined with Proglumetacin.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Chlorpropamide.]
[C05CA03, diosmin, The metabolism of Chlorpropamide can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Chlorpropamide.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Chlorpropamide.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Chlorpropamide.]
[S01XA23, sirolimus, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Sirolimus.]
[S01AX06, resorcinol, Chlorpropamide may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of hypoglycemia can be increased when Disopyramide is combined with Chlorpropamide.]
[S02AA12, rifamycin SV, The metabolism of Chlorpropamide can be decreased when combined with Rifamycin.]
[N05AX08, risperidone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, Chlorpropamide may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01MB01, rosoxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Sunitinib.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Chlorpropamide can be decreased when combined with Bortezomib.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Fosamprenavir.]
[G04BE08, tadalafil, Chlorpropamide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, The protein binding of Chlorpropamide can be decreased when combined with Ketorolac.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N02BA06, salsalate, The protein binding of Chlorpropamide can be decreased when combined with Salsalate.]
[H05BA01, salmon calcitonin, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Salmon calcitonin.]
[C01CA07, dobutamine, Chlorpropamide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA04, dopamine, Chlorpropamide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, Dosulepin may decrease the hypoglycemic activities of Chlorpropamide.]
[N06AA12, doxepin, Doxepin may decrease the hypoglycemic activities of Chlorpropamide.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Chlorpropamide.]
[A08AA10, sibutramine, Chlorpropamide may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The metabolism of Chlorpropamide can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[A12CA02, sodium sulfate, Chlorpropamide may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[A07AB04, succinylsulfathiazole, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Succinylsulfathiazole.]
[N02CC01, sumatriptan, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Sumatriptan.]
[V04CX07, edrophonium, Chlorpropamide may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hyperglycemia can be increased when Corticotropin is combined with Chlorpropamide.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Chlorpropamide.]
[J01MA05, temafloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Temafloxacin.]
[L01AX03, temozolomide, Chlorpropamide may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The protein binding of Chlorpropamide can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Chlorpropamide.]
[G04BD05, terodiline, The risk or severity of hypoglycemia can be increased when Terodiline is combined with Chlorpropamide.]
[C07AA16, tertatolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Tertatolol.]
[N06AX14, tianeptine, Tianeptine may decrease the hypoglycemic activities of Chlorpropamide.]
[G03CX01, tibolone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Tibolone.]
[M01AG02, tolfenamic acid, The protein binding of Chlorpropamide can be decreased when combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypoglycemic activities of Chlorpropamide.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C03CA04, torsemide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Torasemide.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Chlorpropamide.]
[G03GA05, follitropin alfa, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Follitropin.]
[L02AE04, triptorelin, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Triptorelin.]
[J01MA04, enoxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Enoxacin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Chlorpropamide.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Chlorpropamide.]
[C08CA12, mepirodipine, The risk or severity of hypoglycemia can be increased when Barnidipine is combined with Chlorpropamide.]
[S01EA01, epinephrine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Epinephrine.]
[N05CF02, zolpidem, The metabolism of Chlorpropamide can be decreased when combined with Zolpidem.]
[M01AB04, zomepirac, The protein binding of Chlorpropamide can be decreased when combined with Zomepirac.]
[N03AX15, zonisamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Chlorpropamide.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C02AC02, guanfacine, Chlorpropamide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C01BG01, moricizine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Moricizine.]
[L03AX05, pidotimod, Chlorpropamide may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Chlorpropamide may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[G03CA03, estradiol, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Estradiol.]
[G03CC06, estriol, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Estriol.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Conjugated estrogens.]
[G03CC04, estrone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Estrone.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of hyperglycemia can be increased when Fluticasone furoate is combined with Chlorpropamide.]
[R03BA05, fluticasone, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Chlorpropamide.]
[C10AA04, fluvastatin, The metabolism of Chlorpropamide can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Chlorpropamide.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N03AD01, ethosuximide, The risk or severity of hypoglycemia can be increased when Ethosuximide is combined with Chlorpropamide.]
[M01AC06, meloxicam, The protein binding of Chlorpropamide can be decreased when combined with Meloxicam.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L04AD02, tacrolimus, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Tacrolimus.]
[J01MA08, fleroxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Fleroxacin.]
[P01AX07, trimetrexate, Chlorpropamide may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Chlorpropamide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Chlorpropamide.]
[L02AE02, leuprolide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Leuprolide.]
[M01CB01, gold sodium thiomalate, Chlorpropamide may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Chlorpropamide may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Chlorpropamide can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypoglycemia can be increased when Fendiline is combined with Chlorpropamide.]
[M01AE04, fenoprofen, The protein binding of Chlorpropamide can be decreased when combined with Fenoprofen.]
[N02AB03, fentanyl, Chlorpropamide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Chlorpropamide may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[B03AA10, ferrous ascorbate, Ferrous ascorbate may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[G04BD02, flavoxate, Chlorpropamide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Chlorpropamide can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, The protein binding of Chlorpropamide can be decreased when combined with Floctafenine.]
[J02AC01, fluconazole, The serum concentration of Chlorpropamide can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, Chlorpropamide may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The risk or severity of hyperglycemia can be increased when Fludrocortisone is combined with Chlorpropamide.]
[V03AB25, flumazenil, Chlorpropamide may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Chlorpropamide.]
[N07CA03, flunarizine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Chlorpropamide.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Chlorpropamide.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Chlorpropamide.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Chlorpropamide.]
[H02AB03, fluocortolone, The risk or severity of hyperglycemia can be increased when Fluocortolone is combined with Chlorpropamide.]
[V03AZ01, ethanol, The risk or severity of adverse effects can be increased when Chlorpropamide is combined with Ethanol.]
[L01BC09, floxuridine, The metabolism of Chlorpropamide can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of hyperglycemia can be increased when Fluorometholone is combined with Chlorpropamide.]
[L01BC02, fluorouracil, The metabolism of Chlorpropamide can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of hypoglycemia can be increased when Fluoxetine is combined with Chlorpropamide.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Chlorpropamide.]
[N05AB02, fluphenazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Fluphenazine.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Chlorpropamide.]
[N05CD01, flurazepam, Chlorpropamide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, The protein binding of Chlorpropamide can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of hypoglycemia can be increased when Fluspirilene is combined with Chlorpropamide.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[S02AA17, fosfomycin, Chlorpropamide may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L01BC03, tegafur, Chlorpropamide may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[G01AX06, furazolidone, Furazolidone may increase the hypoglycemic activities of Chlorpropamide.]
[J05AE10, darunavir, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Furosemide.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C08DA02, gallopamil, The risk or severity of hypoglycemia can be increased when Gallopamil is combined with Chlorpropamide.]
[S01AD09, ganciclovir, Chlorpropamide may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, The metabolism of Chlorpropamide can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Chlorpropamide may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[A10BJ02, liraglutide, Liraglutide may increase the hypoglycemic activities of Chlorpropamide.]
[J05AG04, etravirine, The metabolism of Chlorpropamide can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of hypoglycemia can be increased when Methsuximide is combined with Chlorpropamide.]
[G03XA02, gestrinone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Gestrinone.]
[A10BB01, glyburide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Glipizide.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C02CA04, doxazosin, The metabolism of Chlorpropamide can be decreased when combined with Doxazosin.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may decrease the hypoglycemic activities of Chlorpropamide.]
[L01EX02, sorafenib, The metabolism of Chlorpropamide can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Esmolol may increase the hypoglycemic activities of Chlorpropamide.]
[M01CB04, aurothioglucose, Chlorpropamide may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Chlorpropamide may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, Chlorpropamide may increase the anticoagulant activities of Fluindione.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[S01EX01, guanethidine, Chlorpropamide may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Goserelin.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Chlorpropamide.]
[N05AD01, haloperidol, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Haloperidol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Chlorpropamide.]
[L02AE05, histrelin, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Quetiapine.]
[N06BX13, idebenone, Chlorpropamide may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Insulin aspart.]
[M04AA01, allopurinol, The excretion of Chlorpropamide can be decreased when combined with Allopurinol.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Chlorpropamide.]
[G03DC01, allylestrenol, Chlorpropamide may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may increase the hypoglycemic activities of Chlorpropamide.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Chlorpropamide.]
[J05AG01, nevirapine, The metabolism of Chlorpropamide can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of hypoglycemia can be increased when Nilvadipine is combined with Chlorpropamide.]
[M02AA26, nimesulide, The protein binding of Chlorpropamide can be decreased when combined with Nimesulide.]
[C09AA04, perindopril, Chlorpropamide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Chlorpropamide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hyperglycemia can be increased when Hydrocortisone is combined with Chlorpropamide.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hyperglycemia can be increased when Hydrocortisone aceponate is combined with Chlorpropamide.]
[D07AB11, hydrocortisone probutate, The risk or severity of hyperglycemia can be increased when Hydrocortisone probutate is combined with Chlorpropamide.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Chlorpropamide may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[G04BD06, propiverine, Chlorpropamide may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Hydroxychloroquine.]
[B05AA07, hetastarch, Chlorpropamide may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[A05AX02, hymecromone, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Hymecromone.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Chlorpropamide.]
[R02AX02, ibuprofen, The protein binding of Chlorpropamide can be decreased when combined with Ibuprofen.]
[B05XA08, sodium acetate, Chlorpropamide may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Chlorpropamide.]
[L01AA06, ifosfamide, Chlorpropamide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Chlorpropamide.]
[N06AA02, imipramine, Imipramine may decrease the hypoglycemic activities of Chlorpropamide.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Chlorpropamide.]
[L01CE01, topotecan, Chlorpropamide may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Chlorpropamide.]
[A11HA07, inositol, Chlorpropamide may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Milnacipran is combined with Chlorpropamide.]
[S01XA28, varenicline, Chlorpropamide may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Articaine.]
[A10BH01, sitagliptin, Sitagliptin may increase the hypoglycemic activities of Chlorpropamide.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05CH02, ramelteon, Chlorpropamide may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[A10BH02, vildagliptin, Vildagliptin may increase the hypoglycemic activities of Chlorpropamide.]
[C10AA06, cerivastatin, The metabolism of Chlorpropamide can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Quinethazone.]
[V03AB01, ipecac, Chlorpropamide may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[J05AF04, stavudine, The excretion of Stavudine can be decreased when combined with Chlorpropamide.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Chlorpropamide.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Chlorpropamide.]
[N06AF05, iproniazid, The metabolism of Chlorpropamide can be decreased when combined with Iproniazid.]
[N05AA07, chlorproethazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypoglycemic activities of Chlorpropamide.]
[P01AX06, atovaquone, The metabolism of Chlorpropamide can be decreased when combined with Atovaquone.]
[J04AC01, isoniazid, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Isoniazid.]
[J05AX05, inosine pranobex, Chlorpropamide may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[A10BJ01, exenatide, Exenatide may increase the hypoglycemic activities of Chlorpropamide.]
[C01DA14, isosorbide mononitrate, Chlorpropamide may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Chlorpropamide may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[S01AA24, kanamycin, Chlorpropamide may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, Somatotropin may decrease the hypoglycemic activities of Chlorpropamide.]
[L04AC07, tocilizumab, The metabolism of Chlorpropamide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Chlorpropamide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Chlorpropamide may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[N05AH03, olanzapine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The protein binding of Chlorpropamide can be decreased when combined with Ketoprofen.]
[L04AA24, abatacept, The metabolism of Chlorpropamide can be increased when combined with Abatacept.]
[S01GX08, ketotifen, The risk or severity of thrombocytopenia can be increased when Chlorpropamide is combined with Ketotifen.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Chlorpropamide.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The protein binding of Chlorpropamide can be decreased when combined with Tiaprofenic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Labetalol.]
[N04BB01, amantadine, Chlorpropamide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Chlorpropamide may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Chlorpropamide.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Etacrynic acid.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Levonorgestrel.]
[C08EX01, lidoflazine, The risk or severity of hypoglycemia can be increased when Lidoflazine is combined with Chlorpropamide.]
[S01AA21, amikacin, Chlorpropamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Chlorpropamide can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Chlorpropamide.]
[A07DA03, loperamide, The risk or severity of hypoglycemia can be increased when Loperamide is combined with Chlorpropamide.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[G03DC03, lynestrenol, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Lynestrenol.]
[L01EG01, temsirolimus, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Temsirolimus.]
[B05XA11, magnesium chloride, Chlorpropamide may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Chlorpropamide may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The risk or severity of hypoglycemia can be increased when Magnesium sulfate is combined with Chlorpropamide.]
[L01BA05, pralatrexate, Chlorpropamide may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Chlorpropamide may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[M02AA18, meclofenamic acid, The protein binding of Chlorpropamide can be decreased when combined with Meclofenamic acid.]
[C03BA05, mefruside, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Mefruside.]
[N06DX01, memantine, Chlorpropamide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
