[P02BB01, trichlorfon, The therapeutic efficacy of Doxepin can be decreased when used in combination with Metrifonate.]
[N06AB05, paroxetine, The metabolism of Doxepin can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Doxepin can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Doxepin is combined with Diamorphine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Doxepin.]
[P03AC04, permethrin, Doxepin may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[V03AH01, diazoxide, Doxepin may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R05DA08, pholcodine, Doxepin may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Doxepin.]
[A03AA07, dicyclomine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C02DG01, pinacidil, Doxepin may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hypotension can be increased when Doxepin is combined with Pinaverium.]
[A10BG03, pioglitazone, Doxepin may decrease the hypoglycemic activities of Pioglitazone.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A03AB14, pipenzolate, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, Doxepin can cause a decrease in the absorption of Erlotinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Doxepin.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Doxepin can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, Diethylpropion may decrease the sedative and stimulatory activities of Doxepin.]
[L02AA01, diethylstilbestrol, The metabolism of Doxepin can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of hypotension can be increased when Doxepin is combined with Isradipine.]
[D07XC04, diflucortolone, Doxepin may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Digitoxin.]
[C01AA05, digoxin, Doxepin may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Doxepin can be decreased when combined with Dihydralazine.]
[L02AA02, polyestradiol phosphate, The serum concentration of Doxepin can be increased when it is combined with Polyestradiol phosphate.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Doxepin is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Doxepin is combined with Hydromorphone.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J05AE08, atazanavir, Doxepin can cause a decrease in the absorption of Atazanavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Doxepin.]
[H03BC01, potassium perchlorate, The risk or severity of Cardiac Arrhythmia can be increased when Potassium perchlorate is combined with Doxepin.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C08DB01, diltiazem, The risk or severity of hypotension can be increased when Doxepin is combined with Diltiazem.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[V03AB09, dimercaprol, Doxepin may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AB03, dimethindene, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Doxepin.]
[M02AX03, dimethyl sulfoxide, The metabolism of Doxepin can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Doxepin.]
[N02BB04, propyphenazone, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Doxepin can be decreased when combined with Diosmin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Doxepin.]
[R06AA02, diphenhydramine, Diphenhydramine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Doxepin is combined with Diphenoxylate.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C09AA06, quinapril, Doxepin may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of hypotension and syncope can be increased when Dipyridamole is combined with Doxepin.]
[N06BA11, dexmethylphenidate, The serum concentration of Doxepin can be increased when it is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A03FA02, cisapride, The metabolism of Doxepin can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Doxepin may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Doxepin.]
[S01AX06, resorcinol, Doxepin may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Doxepin may decrease the hypoglycemic activities of Disopyramide.]
[N07AA03, distigmine, The therapeutic efficacy of Doxepin can be decreased when used in combination with Distigmine.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Doxepin.]
[S02AA12, rifamycin SV, The metabolism of Doxepin can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Doxepin can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05AX08, risperidone, Risperidone may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Doxepin.]
[L01EX01, sunitinib, Doxepin may decrease the hypoglycemic activities of Sunitinib.]
[A04AD12, aprepitant, The metabolism of Doxepin can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Doxepin.]
[J05AE07, fosamprenavir, Doxepin can cause a decrease in the absorption of Fosamprenavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BE08, tadalafil, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Doxepin.]
[S01BC05, ketorolac, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Ketorolac.]
[C02KX02, ambrisentan, Doxepin may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Doxepin can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Salsalate.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Doxepin.]
[H05BA01, salmon calcitonin, The risk or severity of Cardiac Arrhythmia can be increased when Salmon calcitonin is combined with Doxepin.]
[C01CA07, dobutamine, Doxepin may increase the vasopressor activities of Dobutamine.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Doxepin.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Dopamine is combined with Doxepin.]
[N06AA16, dothiepin, The metabolism of Doxepin can be decreased when combined with Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Doxepin.]
[S01AA13, fusidic acid, The metabolism of Doxepin can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Pipemidic acid.]
[N07XX04, sodium oxybate, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[M01AG01, mefenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, Doxepin may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Doxepin.]
[L01DB01, doxorubicin, The metabolism of Doxepin can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Doxepin is combined with Sertraline.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Doxepin is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Doxepin can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The risk or severity of seizure can be increased when Doxepin is combined with Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Doxepin.]
[C09AA11, spirapril, Doxepin may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[V04CX07, edrophonium, The therapeutic efficacy of Doxepin can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, Talinolol may increase the orthostatic hypotensive activities of Doxepin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Temafloxacin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Tenoxicam.]
[G04CA03, terazosin, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Doxepin can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of hypotension can be increased when Doxepin is combined with Terodiline.]
[C07AA16, tertatolol, Tertatolol may increase the orthostatic hypotensive activities of Doxepin.]
[S01GA02, tetrahydrozoline, Doxepin may increase the vasopressor activities of Tetryzoline.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[G04BD01, emepronium, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[G03CX01, tibolone, The serum concentration of Doxepin can be increased when it is combined with Tibolone.]
[C09AA02, enalapril, Doxepin may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M01AG02, tolfenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the serotonergic activities of Doxepin.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Doxepin.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Doxepin is combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Doxepin is combined with Tramazoline.]
[C09AA10, trandolapril, Doxepin may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A03AB08, tridihexethyl, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[G03GA05, follitropin alfa, The risk or severity of Cardiac Arrhythmia can be increased when Follitropin is combined with Doxepin.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Triptorelin.]
[N04AA12, tropatepine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Doxepin.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C02CA06, urapidil, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Urapidil.]
[J01MA04, enoxacin, The metabolism of Doxepin can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01CA04, vinorelbine, The metabolism of Doxepin can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Doxepin.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Doxepin is combined with Venlafaxine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Doxepin.]
[S01GA03, xylometazoline, Doxepin may increase the vasopressor activities of Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of hypotension can be increased when Doxepin is combined with Barnidipine.]
[S01EA01, epinephrine, Doxepin may increase the vasopressor activities of Epinephrine.]
[C09AA15, zofenopril, Doxepin may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A10AB06, insulin glulisine, human, Doxepin may decrease the hypoglycemic activities of Insulin glulisine.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Doxepin.]
[C01BG01, moricizine, The serum concentration of Doxepin can be increased when it is combined with Moricizine.]
[G02AB03, ergonovine, Doxepin may increase the vasopressor activities of Ergometrine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N02CA02, ergotamine, Ergotamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[L03AX05, pidotimod, Doxepin may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Doxepin can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A02BC02, pantoprazole, The metabolism of Doxepin can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Doxepin can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Doxepin can be decreased when combined with Estradiol.]
[G03CC06, estriol, The serum concentration of Doxepin can be increased when it is combined with Estriol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Doxepin can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Doxepin can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Doxepin can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C01CA15, gepefrine, Gepefrine may decrease the sedative and stimulatory activities of Doxepin.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L02AA03, ethinyl estradiol, The metabolism of Doxepin can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Ibutilide.]
[N04AA05, profenamine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M01AC06, meloxicam, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Doxepin is combined with Ethylmorphine.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Doxepin.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Doxepin.]
[L01CB01, etoposide, The metabolism of Doxepin can be decreased when combined with Etoposide.]
[N05AE03, sertindole, Sertindole may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Doxepin.]
[A02BA04, nizatidine, The therapeutic efficacy of Doxepin can be decreased when used in combination with Nizatidine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Doxepin.]
[R06AX12, terfenadine, The metabolism of Doxepin can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Doxepin may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Doxepin.]
[N06AB08, fluvoxamine, The metabolism of Doxepin can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Doxepin can be decreased when combined with Tocainide.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Leuprolide.]
[M01CB01, gold sodium thiomalate, Doxepin may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Doxepin may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Doxepin.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Doxepin can be increased when combined with Albendazole.]
[C08CA02, felodipine, The risk or severity of hypotension can be increased when Doxepin is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypotension can be increased when Doxepin is combined with Fendiline.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Doxepin is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Fenoprofen.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Doxepin.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Doxepin is combined with Fentanyl.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Doxepin.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[G04BD02, flavoxate, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Doxepin.]
[N02BG04, floctafenine, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Doxepin can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[V03AB25, flumazenil, Doxepin may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[V03AZ01, ethanol, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Doxepin can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Doxepin can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The serum concentration of Doxepin can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Flupentixol may increase the sedative activities of Doxepin.]
[N05AB02, fluphenazine, The serum concentration of Doxepin can be increased when it is combined with Fluphenazine.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[S01BC04, flurbiprofen, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Flurbiprofen.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L02BB01, flutamide, The metabolism of Doxepin can be decreased when combined with Flutamide.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Doxepin.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Doxepin.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[G01AX06, furazolidone, Furazolidone may increase the serotonergic activities of Doxepin.]
[J05AE10, darunavir, The risk or severity of adverse effects can be increased when Darunavir is combined with Doxepin.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Doxepin is combined with Eszopiclone.]
[N05AL05, amisulpride, Amisulpride may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Doxepin.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C08DA02, gallopamil, The risk or severity of hypotension can be increased when Doxepin is combined with Gallopamil.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N03AA04, barbexaclone, The metabolism of Doxepin can be increased when combined with Barbexaclone.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C10AB04, gemfibrozil, The metabolism of Doxepin can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Degarelix.]
[L01EA02, dasatinib, Doxepin can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04BC06, cabergoline, Cabergoline may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Doxepin.]
[A10BJ02, liraglutide, Doxepin may decrease the hypoglycemic activities of Liraglutide.]
[J05AG04, etravirine, The metabolism of Doxepin can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Doxepin is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Lapatinib.]
[A10BB01, glyburide, Doxepin may decrease the hypoglycemic activities of Glyburide.]
[A10BB09, gliclazide, Doxepin may decrease the hypoglycemic activities of Gliclazide.]
[A10BB07, glipizide, Doxepin may decrease the hypoglycemic activities of Glipizide.]
[H04AA01, glucagon, Doxepin may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Doxepin.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Doxepin.]
[C05AE01, nitroglycerin, Doxepin may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Dofetilide.]
[C02CA04, doxazosin, Doxazosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[H01AB01, thyrotropin alfa, The risk or severity of Cardiac Arrhythmia can be increased when Thyrotropin alfa is combined with Doxepin.]
