[S02DA03, antipyrine, The metabolism of Ibrutinib can be decreased when combined with Antipyrine.]
[N06AX18, reboxetine, The metabolism of Ibrutinib can be decreased when combined with Reboxetine.]
[L04AC07, tocilizumab, The metabolism of Ibrutinib can be increased when combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Ibrutinib can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Ibrutinib can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The metabolism of Ibrutinib can be decreased when combined with Olanzapine.]
[L04AA24, abatacept, The metabolism of Ibrutinib can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Ibrutinib can be decreased when combined with Rotigotine.]
[C07AG01, labetalol, The metabolism of Ibrutinib can be decreased when combined with Labetalol.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ibrutinib.]
[G03AD01, levonorgestrel, The metabolism of Ibrutinib can be decreased when combined with Levonorgestrel.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Ibrutinib can be increased when combined with Armodafinil.]
[N02CA07, lisuride, The metabolism of Ibrutinib can be decreased when combined with Lisuride.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Ibrutinib.]
[C10AA02, lovastatin, The metabolism of Ibrutinib can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Ibrutinib.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Pralatrexate is combined with Ibrutinib.]
[L01EA03, nilotinib, The metabolism of Ibrutinib can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Ibrutinib can be decreased when combined with Maprotiline.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Ibrutinib.]
[R06AE05, meclizine, The metabolism of Ibrutinib can be decreased when combined with Meclizine.]
[P01BC02, mefloquine, The metabolism of Ibrutinib can be decreased when combined with Mefloquine.]
[B01AB06, nadroparin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Dalteparin.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Ibrutinib.]
[N03AB04, mephenytoin, The metabolism of Ibrutinib can be decreased when combined with Mephenytoin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Mepivacaine.]
[N05AC03, mesoridazine, The metabolism of Ibrutinib can be decreased when combined with Mesoridazine.]
[N05AX13, paliperidone, The metabolism of Ibrutinib can be decreased when combined with Paliperidone.]
[A04AA04, dolasetron, The metabolism of Ibrutinib can be decreased when combined with Dolasetron.]
[H01CB03, lanreotide, The metabolism of Ibrutinib can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Ibrutinib can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The metabolism of Ibrutinib can be decreased when combined with Metamfetamine.]
[H03BB02, methimazole, The metabolism of Ibrutinib can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Ibrutinib.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Ibrutinib.]
[N05AA02, methotrimeprazine, The metabolism of Ibrutinib can be decreased when combined with Methotrimeprazine.]
[N02BG09, methoxyflurane, The metabolism of Ibrutinib can be decreased when combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Ibrutinib.]
[V04CG05, methylene blue, The metabolism of Ibrutinib can be decreased when combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Ibrutinib can be decreased when combined with Methylergometrine.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Ibrutinib.]
[A03FA01, metoclopramide, The metabolism of Ibrutinib can be decreased when combined with Metoclopramide.]
[C07AB02, metoprolol, The metabolism of Ibrutinib can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Ibrutinib can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Ibrutinib can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Ibrutinib can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Ibrutinib can be decreased when combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Ibrutinib can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Ibrutinib can be decreased when combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Parnaparin.]
[N05CD08, midazolam, The metabolism of Ibrutinib can be decreased when combined with Midazolam.]
[G03XB01, mifepristone, The metabolism of Ibrutinib can be decreased when combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Tinzaparin.]
[L01XX23, mitotane, The metabolism of Ibrutinib can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Ibrutinib.]
[N06BA12, lisdexamfetamine, The metabolism of Ibrutinib can be decreased when combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, The metabolism of Ibrutinib can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Ibrutinib can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Ibrutinib.]
[A04AA05, palonosetron, The metabolism of Ibrutinib can be decreased when combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Ibrutinib can be increased when combined with Certolizumab pegol.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Ibrutinib.]
[L01EX03, pazopanib, The metabolism of Ibrutinib can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Ibrutinib.]
[G03XC01, raloxifene, The metabolism of Ibrutinib can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Ibrutinib.]
[N03AB05, fosphenytoin, The metabolism of Ibrutinib can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Ibrutinib.]
[C07AA12, nadolol, The metabolism of Ibrutinib can be decreased when combined with Nadolol.]
[V03AB15, naloxone, The metabolism of Ibrutinib can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Ibrutinib can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Ibrutinib can be decreased when combined with Amphetamine.]
[A10BG01, troglitazone, The metabolism of Ibrutinib can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Ibrutinib can be decreased when combined with Duloxetine.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Ibrutinib.]
[L01CD02, docetaxel, The metabolism of Ibrutinib can be decreased when combined with Docetaxel.]
[B01AC17, tirofiban, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Tirofiban.]
[N05AX14, iloperidone, The metabolism of Ibrutinib can be decreased when combined with Iloperidone.]
[N06AX23, desvenlafaxine, The metabolism of Ibrutinib can be decreased when combined with Desvenlafaxine.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Ibrutinib.]
[C10AD02, niacin, The metabolism of Ibrutinib can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Ibrutinib can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Ibrutinib can be decreased when combined with Nicergoline.]
[C08CA05, nifedipine, The metabolism of Ibrutinib can be decreased when combined with Nifedipine.]
[C08CA07, nisoldipine, The metabolism of Ibrutinib can be decreased when combined with Nisoldipine.]
[C08CA08, nitrendipine, The metabolism of Ibrutinib can be decreased when combined with Nitrendipine.]
[R07AX01, nitric oxide, The metabolism of Ibrutinib can be decreased when combined with Nitric Oxide.]
[N05CF03, zaleplon, The metabolism of Ibrutinib can be decreased when combined with Zaleplon.]
[G03DC02, norethindrone, The metabolism of Ibrutinib can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The metabolism of Ibrutinib can be decreased when combined with Norfloxacin.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Ibrutinib.]
[R05DA07, noscapine, The metabolism of Ibrutinib can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Eptifibatide.]
[B01AB08, reviparin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Reviparin.]
[H01CB02, octreotide, The metabolism of Ibrutinib can be decreased when combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Ibrutinib can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Ibrutinib can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Ibrutinib can be decreased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Ibrutinib.]
[B01AD07, reteplase, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Ancrod.]
[G04CA02, tamsulosin, The metabolism of Ibrutinib can be decreased when combined with Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Ibrutinib can be decreased when combined with Oxamniquine.]
[C07AA02, oxprenolol, The metabolism of Ibrutinib can be decreased when combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Ibrutinib can be decreased when combined with Oxycodone.]
[A14AA05, oxymetholone, The metabolism of Ibrutinib can be decreased when combined with Oxymetholone.]
[N02AA11, oxymorphone, The metabolism of Ibrutinib can be decreased when combined with Oxymorphone.]
[B01AB09, danaparoid, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Danaparoid.]
[H02AB05, paramethasone, The metabolism of Ibrutinib can be decreased when combined with Paramethasone.]
[G04BD11, fesoterodine, The metabolism of Ibrutinib can be decreased when combined with Fesoterodine.]
[C07AA23, penbutolol, The metabolism of Ibrutinib can be decreased when combined with Penbutolol.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Ibrutinib.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Ibrutinib.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Ibrutinib.]
[N05CA01, pentobarbital, The metabolism of Ibrutinib can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Ibrutinib.]
[C04AD03, pentoxifylline, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Pentoxifylline.]
[C08EX02, perhexiline, The metabolism of Ibrutinib can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Ibrutinib can be decreased when combined with Perphenazine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Ibrutinib.]
[N02BE03, phenacetin, The metabolism of Ibrutinib can be decreased when combined with Phenacetin.]
[N06AF03, phenelzine, The metabolism of Ibrutinib can be decreased when combined with Phenelzine.]
[A10BA01, phenformin, The metabolism of Ibrutinib can be decreased when combined with Phenformin.]
[B01AA02, phenindione, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Ibrutinib can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Phenprocoumon.]
[N03AB02, phenytoin, The metabolism of Ibrutinib can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Ibrutinib can be increased when combined with Golimumab.]
[L02BB03, bicalutamide, The metabolism of Ibrutinib can be decreased when combined with Bicalutamide.]
[C08CX01, mibefradil, The metabolism of Ibrutinib can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Ibrutinib can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Ibrutinib can be decreased when combined with Pimozide.]
[C07AA03, pindolol, The metabolism of Ibrutinib can be decreased when combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Ibrutinib can be decreased when combined with Atorvastatin.]
[J05AE01, saquinavir, The metabolism of Ibrutinib can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Ibrutinib can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The metabolism of Ibrutinib can be decreased when combined with Pipotiazine.]
[J05AG02, delavirdine, The metabolism of Ibrutinib can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Ibrutinib can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Abciximab.]
[S01XA13, alteplase, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Alteplase.]
[L04AC08, canakinumab, The metabolism of Ibrutinib can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Ibrutinib.]
[J05AE03, ritonavir, The serum concentration of Ibrutinib can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Ibrutinib can be decreased when combined with Saxagliptin.]
[V03AB21, potassium iodide, The therapeutic efficacy of Potassium Iodide can be decreased when used in combination with Ibrutinib.]
[C07AB01, practolol, The metabolism of Ibrutinib can be decreased when combined with Practolol.]
[P02BA01, praziquantel, The metabolism of Ibrutinib can be decreased when combined with Praziquantel.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Ibrutinib.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Ibrutinib.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Ibrutinib can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Ibrutinib can be increased when combined with Primidone.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Ibrutinib.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Ibrutinib.]
[N05AB04, prochlorperazine, The metabolism of Ibrutinib can be decreased when combined with Prochlorperazine.]
[G03DA04, progesterone, The metabolism of Ibrutinib can be decreased when combined with Progesterone.]
[N05AA03, promazine, The metabolism of Ibrutinib can be decreased when combined with Promazine.]
[R06AD02, promethazine, The metabolism of Ibrutinib can be decreased when combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Ibrutinib can be decreased when combined with Propafenone.]
[L01XH02, romidepsin, The metabolism of Ibrutinib can be decreased when combined with Romidepsin.]
[N01AX10, propofol, The metabolism of Ibrutinib can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Ibrutinib can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Ibrutinib can be decreased when combined with Propranolol.]
[H03BA02, propylthiouracil, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Ibrutinib.]
[B01AC09, epoprostenol, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Epoprostenol.]
[N05AX12, aripiprazole, The metabolism of Ibrutinib can be decreased when combined with Aripiprazole.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Ibrutinib.]
[R06AC01, pyrilamine, The metabolism of Ibrutinib can be decreased when combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Ibrutinib can be decreased when combined with Quinacrine.]
[C01BA01, quinidine, The metabolism of Ibrutinib can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Ibrutinib can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Ibrutinib can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The metabolism of Ibrutinib can be increased when combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Ibrutinib can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The metabolism of Ibrutinib can be decreased when combined with Roxithromycin.]
[C05CA01, rutin, The metabolism of Ibrutinib can be decreased when combined with Rutin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Ibrutinib.]
[N04BD01, selegiline, The metabolism of Ibrutinib can be decreased when combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Obinutuzumab is combined with Ibrutinib.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Ibrutinib.]
[H01CB01, somatostatin, The metabolism of Ibrutinib can be decreased when combined with Somatostatin.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Ibrutinib.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Ibrutinib.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Ibrutinib.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Ibrutinib.]
[N03AG01, valproic acid, The metabolism of Ibrutinib can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Hydrocortisone butyrate.]
