[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Propranolol.]
[A06AD01, magnesium carbonate, Propranolol may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The serum concentration of Propranolol can be increased when it is combined with Manidipine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Propranolol.]
[C07AA14, mepindolol, Propranolol may increase the bradycardic activities of Mepindolol.]
[H02AB15, meprednisone, The metabolism of Propranolol can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Propranolol.]
[J01DH02, meropenem, Propranolol may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C01EB10, adenosine, Propranolol may increase the arrhythmogenic activities of Adenosine.]
[C04AX01, cyclandelate, Propranolol may increase the arrhythmogenic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Propranolol can be decreased when used in combination with Methoxyphenamine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Propranolol may increase the arrhythmogenic activities of Melperone.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Propranolol can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Propranolol.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Propranolol.]
[N06AX07, minaprine, Minaprine may increase the bradycardic activities of Propranolol.]
[S01XA18, cyclosporine, The metabolism of Propranolol can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The serum concentration of Propranolol can be increased when it is combined with Moclobemide.]
[N06BA07, modafinil, The serum concentration of Propranolol can be increased when it is combined with Modafinil.]
[C09AA13, moexipril, Propranolol may increase the hypotensive activities of Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Propranolol.]
[M02AA02, mofebutazone, Mofebutazone may decrease the antihypertensive activities of Propranolol.]
[M01AX22, morniflumate, Morniflumate may decrease the antihypertensive activities of Propranolol.]
[C03XA02, conivaptan, The metabolism of Propranolol can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Propranolol.]
[J05AF10, entecavir, The metabolism of Propranolol can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, Vardenafil may increase the antihypertensive activities of Propranolol.]
[M01AH05, etoricoxib, The serum concentration of Propranolol can be increased when it is combined with Etoricoxib.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Propranolol.]
[G03XA01, danazol, The metabolism of Propranolol can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Propranolol can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Propranolol can be increased when combined with Daunorubicin.]
[C02CC04, debrisoquin, Propranolol may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nabilone is combined with Propranolol.]
[M01AX01, nabumetone, Nabumetone may decrease the antihypertensive activities of Propranolol.]
[N07BB05, nalmefene, Propranolol may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Propranolol.]
[C07AB12, nebivolol, Propranolol may increase the arrhythmogenic activities of Nebivolol.]
[S01GX04, nedocromil, Propranolol may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Propranolol can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Propranolol.]
[L02BB02, nilutamide, The serum concentration of Propranolol can be increased when it is combined with Nilutamide.]
[C01CA23, theodrenaline, The risk or severity of adverse effects can be increased when Propranolol is combined with Theodrenaline.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Propranolol.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N06AB10, escitalopram, The serum concentration of Propranolol can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, Solifenacin may decrease the antihypertensive activities of Propranolol.]
[A07EC03, olsalazine, Olsalazine may decrease the antihypertensive activities of Propranolol.]
[N06AA01, desipramine, The metabolism of Propranolol can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Propranolol may increase the arrhythmogenic activities of Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Propranolol.]
[V04CH02, indigo carmine, Propranolol may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C09XA02, aliskiren, Propranolol may increase the hypotensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Propranolol.]
[M01AE12, oxaprozin, Oxaprozin may decrease the antihypertensive activities of Propranolol.]
[N03AF02, oxcarbazepine, The serum concentration of Propranolol can be increased when it is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The serum concentration of Propranolol can be decreased when it is combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Propranolol can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Propranolol.]
[L04AB04, adalimumab, The metabolism of Propranolol can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Propranolol can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Propranolol can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Propranolol can be decreased when combined with Dextromethorphan.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Propranolol.]
[C01DA05, pentaerythritol tetranitrate, Propranolol may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The risk or severity of adverse effects can be increased when Propranolol is combined with Pentifylline.]
[P03AC04, permethrin, Propranolol may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The serum concentration of Propranolol can be increased when it is combined with Diazepam.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Propranolol.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Propranolol.]
[S02DA04, dibucaine, Cinchocaine may increase the bradycardic activities of Propranolol.]
[R05DA08, pholcodine, Propranolol may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the antihypertensive activities of Propranolol.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[A03AA07, dicyclomine, Propranolol may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Propranolol may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, Propranolol may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, Propranolol may increase the arrhythmogenic activities of Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Propranolol.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Propranolol is combined with Pipamperone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Propranolol.]
[R03CC07, pirbuterol, Propranolol may decrease the bronchodilatory activities of Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, Diethylcarbamazine may increase the bradycardic activities of Propranolol.]
[A08AA03, diethylpropion, The therapeutic efficacy of Propranolol can be decreased when used in combination with Diethylpropion.]
[C08CA03, isradipine, Isradipine may increase the arrhythmogenic activities of Propranolol.]
[D07XC04, diflucortolone, The metabolism of Propranolol can be increased when combined with Difluocortolone.]
[N02BA11, diflunisal, Diflunisal may decrease the antihypertensive activities of Propranolol.]
[C01AA04, digitoxin, Propranolol may increase the arrhythmogenic activities of Digitoxin.]
[C01AA05, digoxin, Digoxin may increase the arrhythmogenic activities of Propranolol.]
[C02DB01, dihydralazine, The metabolism of Propranolol can be decreased when combined with Dihydralazine.]
[C04AE04, dihydroergocristine, Propranolol may increase the vasoconstricting activities of Dihydroergocristine.]
[N02CA01, dihydroergotamine, Propranolol may increase the vasoconstricting activities of Dihydroergotamine.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Propranolol can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Propranolol.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Propranolol.]
[V03AB04, pralidoxime, Propranolol may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[C08DB01, diltiazem, Diltiazem may increase the arrhythmogenic activities of Propranolol.]
[V03AB09, dimercaprol, Propranolol may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R03CC08, procaterol, Propranolol may decrease the bronchodilatory activities of Procaterol.]
[M02AX03, dimethyl sulfoxide, The serum concentration of Propranolol can be increased when it is combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The risk or severity of adverse effects can be increased when Propranolol is combined with Propentofylline.]
[N02BB04, propyphenazone, Propyphenazone may decrease the antihypertensive activities of Propranolol.]
[M01AB14, proglumetacin, Proglumetacin may decrease the antihypertensive activities of Propranolol.]
[R03DA03, proxyphylline, The risk or severity of adverse effects can be increased when Propranolol is combined with Proxyphylline.]
[R06AA02, diphenhydramine, The metabolism of Propranolol can be decreased when combined with Diphenhydramine.]
[C09AA06, quinapril, Propranolol may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the bradycardic activities of Propranolol.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Propranolol.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Propranolol.]
[A03FA02, cisapride, The metabolism of Propranolol can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Ramipril may increase the hypotensive activities of Propranolol.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Propranolol.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Propranolol.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Propranolol.]
[S01AX06, resorcinol, Propranolol may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may increase the bradycardic activities of Propranolol.]
[N07AA03, distigmine, Distigmine may increase the bradycardic activities of Propranolol.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Propranolol.]
[S02AA12, rifamycin SV, The serum concentration of Propranolol can be decreased when it is combined with Rifamycin.]
[J04AB05, rifapentine, The serum concentration of Propranolol can be decreased when it is combined with Rifapentine.]
[D06AX11, rifaximin, The serum concentration of Propranolol can be decreased when it is combined with Rifaximin.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Propranolol.]
[N05AX08, risperidone, Propranolol may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Propranolol may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The metabolism of Propranolol can be decreased when combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Propranolol can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Propranolol.]
[A04AD12, aprepitant, The serum concentration of Propranolol can be increased when it is combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The serum concentration of Propranolol can be increased when it is combined with Bortezomib.]
[G04BE08, tadalafil, Propranolol may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, Ketorolac may decrease the antihypertensive activities of Propranolol.]
[C02KX02, ambrisentan, Propranolol may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Propranolol can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the antihypertensive activities of Propranolol.]
[R03AC12, salmeterol, Propranolol may decrease the bronchodilatory activities of Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C01CA07, dobutamine, Propranolol may decrease the bronchodilatory activities of Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Propranolol.]
[C01CA04, dopamine, The metabolism of Dopamine can be decreased when combined with Propranolol.]
[N06AA16, dothiepin, The serum concentration of Propranolol can be increased when it is combined with Dosulepin.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Propranolol.]
[N06AA12, doxepin, Propranolol may increase the orthostatic hypotensive activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Propranolol can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N06AB06, sertraline, The serum concentration of Propranolol can be increased when it is combined with Sertraline.]
[N01AB08, sevoflurane, Sevoflurane may decrease the antihypertensive activities of Propranolol.]
[N05AD08, droperidol, Propranolol may increase the orthostatic hypotensive activities of Droperidol.]
[A08AA10, sibutramine, The serum concentration of Propranolol can be increased when it is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Propranolol.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Propranolol.]
[A12CA02, sodium sulfate, Propranolol may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Propranolol may increase the hypotensive activities of Spirapril.]
[R03DA01, dyphylline, The risk or severity of adverse effects can be increased when Propranolol is combined with Dyphylline.]
[N02CC01, sumatriptan, The metabolism of Sumatriptan can be decreased when combined with Propranolol.]
[V04CX07, edrophonium, Edrophonium may increase the bradycardic activities of Propranolol.]
[C07AB13, talinolol, Propranolol may increase the arrhythmogenic activities of Talinolol.]
[J01MA05, temafloxacin, The metabolism of Propranolol can be decreased when combined with Temafloxacin.]
[L01AX03, temozolomide, Propranolol may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the antihypertensive activities of Propranolol.]
[G04CA03, terazosin, Propranolol may increase the orthostatic hypotensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Propranolol can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, Propranolol may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, Propranolol may increase the arrhythmogenic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Propranolol.]
[N06AX14, tianeptine, Tianeptine may decrease the antihypertensive activities of Propranolol.]
[C09AA02, enalapril, Propranolol may increase the hypotensive activities of Enalapril.]
[G01AF08, tioconazole, The serum concentration of Propranolol can be increased when it is combined with Tioconazole.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the antihypertensive activities of Propranolol.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Propranolol.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Propranolol.]
[N03AX11, topiramate, The serum concentration of Propranolol can be increased when it is combined with Topiramate.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Propranolol.]
[C09AA10, trandolapril, Trandolapril may increase the hypotensive activities of Propranolol.]
[N05CC01, chloral hydrate, Propranolol may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Propranolol.]
[N01AB04, enflurane, Enflurane may increase the cardiodepressant activities of Propranolol.]
[C02CA06, urapidil, Propranolol may increase the orthostatic hypotensive activities of Urapidil.]
[J01MA04, enoxacin, The metabolism of Propranolol can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The metabolism of Propranolol can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Propranolol.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Propranolol.]
[N06AX16, venlafaxine, The metabolism of Propranolol can be decreased when combined with Venlafaxine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Propranolol.]
[S01GA03, xylometazoline, Propranolol may increase the arrhythmogenic activities of Xylometazoline.]
[C08CA12, mepirodipine, Propranolol may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, Propranolol may decrease the bronchodilatory activities of Epinephrine.]
[C09AA15, zofenopril, Propranolol may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, The metabolism of Propranolol can be decreased when combined with Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the antihypertensive activities of Propranolol.]
[N03AX15, zonisamide, The serum concentration of Propranolol can be increased when it is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Propranolol.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Propranolol.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Propranolol.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Propranolol.]
[C01BG01, moricizine, Propranolol may increase the arrhythmogenic activities of Moricizine.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Propranolol.]
[C04AE01, ergoloid mesylates, USP, Propranolol may increase the vasoconstricting activities of Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Propranolol can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The serum concentration of Propranolol can be increased when it is combined with Valproic acid.]
[L03AX05, pidotimod, Propranolol may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Propranolol can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Propranolol may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, The serum concentration of Propranolol can be increased when it is combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Propranolol can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Propranolol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Propranolol can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Propranolol can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Propranolol can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Propranolol can be decreased when combined with Fluticasone.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C01CA15, gepefrine, The therapeutic efficacy of Propranolol can be decreased when used in combination with Gepefrine.]
[L02AA03, ethinyl estradiol, The serum concentration of Propranolol can be increased when it is combined with Ethinylestradiol.]
[V03AF05, amifostine, Propranolol may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Ibutilide may increase the arrhythmogenic activities of Propranolol.]
[N04AA05, profenamine, Profenamine may increase the bradycardic activities of Propranolol.]
[N03AD01, ethosuximide, Propranolol may increase the arrhythmogenic activities of Ethosuximide.]
[M01AC06, meloxicam, Meloxicam may decrease the antihypertensive activities of Propranolol.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Propranolol.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Propranolol.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Propranolol.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Propranolol.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Propranolol.]
[C01BA05, ajmaline, Propranolol may increase the arrhythmogenic activities of Ajmaline.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Propranolol.]
[A02BA04, nizatidine, Nizatidine may increase the bradycardic activities of Propranolol.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Propranolol.]
[R06AX12, terfenadine, The metabolism of Propranolol can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Propranolol may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Propranolol can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The serum concentration of Propranolol can be increased when it is combined with Fluvoxamine.]
[C01BB03, tocainide, Propranolol may increase the arrhythmogenic activities of Tocainide.]
[C01BC08, encainide, Propranolol may increase the arrhythmogenic activities of Encainide.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C10AA03, pravastatin, The metabolism of Pravastatin can be increased when combined with Propranolol.]
[M01CB01, gold sodium thiomalate, Propranolol may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Propranolol may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[A02BA03, famotidine, The metabolism of Propranolol can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Propranolol may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Propranolol can be increased when combined with Albendazole.]
[C08CA02, felodipine, Propranolol may increase the arrhythmogenic activities of Felodipine.]
[C08EA01, fendiline, Propranolol may increase the arrhythmogenic activities of Fendiline.]
[N03AX26, fenfluramine, The metabolism of Propranolol can be decreased when combined with Fenfluramine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the antihypertensive activities of Propranolol.]
[R03CC04, fenoterol, Propranolol may decrease the bronchodilatory activities of Fenoterol.]
[N02AB03, fentanyl, Fentanyl may decrease the antihypertensive activities of Propranolol.]
[R03CC02, albuterol, Propranolol may decrease the bronchodilatory activities of Salbutamol.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Propranolol.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Propranolol is combined with Cevimeline.]
[G04BD02, flavoxate, Propranolol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, Propranolol may increase the arrhythmogenic activities of Flecainide.]
[N02BG04, floctafenine, The risk or severity of adverse effects can be increased when Propranolol is combined with Floctafenine.]
[J02AC01, fluconazole, The serum concentration of Propranolol can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, Propranolol may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Propranolol may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, Propranolol may increase the arrhythmogenic activities of Flunarizine.]
[D07AC08, fluocinonide, The metabolism of Propranolol can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Propranolol.]
[H02AB03, fluocortolone, The metabolism of Propranolol can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The serum concentration of Propranolol can be increased when it is combined with Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Propranolol can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The serum concentration of Propranolol can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Propranolol may increase the orthostatic hypotensive activities of Flupentixol.]
[N05AB02, fluphenazine, The serum concentration of Propranolol can be increased when it is combined with Fluphenazine.]
[N05CD01, flurazepam, Propranolol may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the antihypertensive activities of Propranolol.]
[N05AG01, fluspirilene, Propranolol may increase the arrhythmogenic activities of Fluspirilene.]
[L02BB01, flutamide, The metabolism of Propranolol can be decreased when combined with Flutamide.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[S02AA17, fosfomycin, Propranolol may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Propranolol.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Propranolol.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Propranolol.]
[J05AE10, darunavir, The metabolism of Propranolol can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Propranolol.]
[C08DA02, gallopamil, Propranolol may increase the arrhythmogenic activities of Gallopamil.]
[S01AD09, ganciclovir, Propranolol may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Propranolol.]
[C10AB04, gemfibrozil, The serum concentration of Propranolol can be increased when it is combined with Gemfibrozil.]
[J01XA03, telavancin, Propranolol may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Propranolol.]
[N04BC06, cabergoline, Propranolol may increase the vasoconstricting activities of Cabergoline.]
[C01CA21, cafedrine, The risk or severity of adverse effects can be increased when Propranolol is combined with Cafedrine.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Propranolol.]
[J05AG04, etravirine, The serum concentration of Propranolol can be increased when it is combined with Etravirine.]
[A12AA13, calcium citrate, The therapeutic efficacy of Propranolol can be decreased when used in combination with Calcium citrate.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Propranolol can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA05, calcium lactate, The therapeutic efficacy of Propranolol can be decreased when used in combination with Calcium lactate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Propranolol can be decreased when used in combination with Calcium levulinate.]
[N03AD03, methsuximide, The serum concentration of Propranolol can be increased when it is combined with Methsuximide.]
[N01AH02, alfentanil, Alfentanil may decrease the antihypertensive activities of Propranolol.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Propranolol.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Propranolol.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Propranolol.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Propranolol.]
[H04AA01, glucagon, The therapeutic efficacy of Propranolol can be decreased when used in combination with Glucagon.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Propranolol.]
[C05AE01, nitroglycerin, Propranolol may increase the hypotensive activities of Nitroglycerin.]
