[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Tranylcypromine.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Tranylcypromine.]
[G04CA03, terazosin, Tranylcypromine may increase the hypotensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Tranylcypromine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Tranylcypromine.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Thiopropazate.]
[G04BD01, emepronium, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Tianeptine is combined with Tranylcypromine.]
[C09AA02, enalapril, Tranylcypromine may increase the hypotensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Atomoxetine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Tranylcypromine.]
[C03CA04, torsemide, Tranylcypromine may increase the hypotensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Tramazoline.]
[C09AA10, trandolapril, Tranylcypromine may increase the hypotensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Triclofos.]
[A03AB08, tridihexethyl, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Triflusal.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Tranylcypromine.]
[N04AA12, tropatepine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[C05CA04, troxerutin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Troxerutin.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Tranylcypromine.]
[C02CA06, urapidil, Tranylcypromine may increase the hypotensive activities of Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Veralipride.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Ephedrine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Tranylcypromine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Xamoterol.]
[S01GA03, xylometazoline, Tranylcypromine may increase the hypertensive activities of Xylometazoline.]
[C08CA12, mepirodipine, Tranylcypromine may increase the orthostatic hypotensive activities of Barnidipine.]
[S01EA01, epinephrine, Tranylcypromine may increase the hypertensive activities of Epinephrine.]
[C09AA15, zofenopril, Tranylcypromine may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Tranylcypromine is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Tranylcypromine.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Zotepine.]
[B01AD03, anistreplase, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Anistreplase.]
[C02AC02, guanfacine, Tranylcypromine may increase the hypotensive activities of Guanfacine.]
[B01AC11, iloprost, Tranylcypromine may increase the orthostatic hypotensive activities of Iloprost.]
[C01BG01, moricizine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Moricizine.]
[G02AB03, ergonovine, Tranylcypromine may increase the hypertensive activities of Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Tranylcypromine.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Tranylcypromine.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Estazolam.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Tranylcypromine.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Tranylcypromine.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Tranylcypromine.]
[C01CA15, gepefrine, Tranylcypromine may increase the hypertensive activities of Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Tranylcypromine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Tranylcypromine.]
[V03AF05, amifostine, Tranylcypromine may increase the orthostatic hypotensive activities of Amifostine.]
[N04AA05, profenamine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Tranylcypromine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ethotoin.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Tranylcypromine.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Tranylcypromine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Tranylcypromine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Tranylcypromine.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Tranylcypromine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Tranylcypromine.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be decreased when combined with Tranylcypromine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Bupropion.]
[N06AB08, fluvoxamine, Tranylcypromine may increase the serotonergic activities of Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Tranylcypromine.]
[B05AA05, dextran, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Dextran.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Tranylcypromine.]
[C08CA02, felodipine, Tranylcypromine may increase the hypotensive activities of Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Tranylcypromine.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Fenoterol.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Tranylcypromine.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Salbutamol.]
[B01AD05, plasmin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Fibrinolysin.]
[L01BB06, clofarabine, Tranylcypromine may increase the orthostatic hypotensive activities of Clofarabine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Tranylcypromine.]
[G04BD02, flavoxate, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Tranylcypromine.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Floctafenine.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Tranylcypromine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Tranylcypromine.]
[N06AA14, melitracen, Tranylcypromine may increase the serotonergic activities of Melitracen.]
[V03AZ01, ethanol, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Tranylcypromine.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Fluoxetine.]
[N05AF01, flupenthixol, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Fluphenazine.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be decreased when combined with Tranylcypromine.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Tranylcypromine.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Fluspirilene.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Tranylcypromine.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Tranylcypromine.]
[C03CA01, furosemide, Tranylcypromine may increase the hypotensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Tranylcypromine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Tranylcypromine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Gallamine.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Tranylcypromine.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Bifemelane.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Tranylcypromine.]
[A10BJ02, liraglutide, Tranylcypromine may increase the hypoglycemic activities of Liraglutide.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Tranylcypromine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Tranylcypromine.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Tranylcypromine.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Tranylcypromine.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Tranylcypromine.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Tranylcypromine.]
[N05CM18, dexmedetomidine, Tranylcypromine may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Glutethimide.]
[C05AE01, nitroglycerin, Tranylcypromine may increase the hypotensive activities of Nitroglycerin.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Tranylcypromine.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Tranylcypromine.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Tranylcypromine.]
[C09AA09, fosinopril, Tranylcypromine may increase the hypotensive activities of Fosinopril.]
[S01EX01, guanethidine, Tranylcypromine may increase the hypotensive activities of Guanethidine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Tranylcypromine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Tranylcypromine.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Tranylcypromine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Tranylcypromine is combined with Insulin aspart.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Allobarbital.]
[C09CA01, losartan, Tranylcypromine may increase the hypotensive activities of Losartan.]
[S01XA14, heparin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Heparin.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Tranylcypromine.]
[L01XX03, altretamine, Altretamine may increase the orthostatic hypotensive activities of Tranylcypromine.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Tranylcypromine.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Tranylcypromine.]
[C08CA10, nilvadipine, Tranylcypromine may increase the hypotensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Nimesulide.]
[C09AA04, perindopril, Tranylcypromine may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Tranylcypromine may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Tranylcypromine may increase the hypotensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, Tranylcypromine may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Tranylcypromine may increase the hypotensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Tranylcypromine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Tranylcypromine.]
[C02AC06, rilmenidine, Tranylcypromine may increase the hypotensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Tranylcypromine.]
[B05CB02, sodium citrate, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Tranylcypromine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Tranylcypromine.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tranylcypromine.]
[N06AA02, imipramine, Tranylcypromine may increase the serotonergic activities of Imipramine.]
[L01CD01, paclitaxel, Tranylcypromine may increase the orthostatic hypotensive activities of Paclitaxel.]
[M03BX02, tizanidine, Tranylcypromine may increase the orthostatic hypotensive activities of Tizanidine.]
[C03BA11, indapamide, Tranylcypromine may increase the hypotensive activities of Indapamide.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be decreased when combined with Tranylcypromine.]
[C02CA02, indoramin, Tranylcypromine may increase the hypotensive activities of Indoramin.]
[N06AX17, milnacipran, Tranylcypromine may increase the serotonergic activities of Milnacipran.]
[A03AA30, piperidolate, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Articaine.]
[A10BH01, sitagliptin, Tranylcypromine may increase the hypoglycemic activities of Sitagliptin.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Tranylcypromine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ramelteon.]
[R06AE01, buclizine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, Tranylcypromine may increase the hypoglycemic activities of Vildagliptin.]
[L01XX35, anagrelide, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Anagrelide.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Tranylcypromine.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Tranylcypromine.]
[N06AA13, iprindole, Tranylcypromine may increase the serotonergic activities of Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Isocarboxazid.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Tranylcypromine.]
[C09AA16, imidapril, Tranylcypromine may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tranylcypromine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Tranylcypromine.]
[J04AC01, isoniazid, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Isoprenaline.]
[A10BJ01, exenatide, Tranylcypromine may increase the hypoglycemic activities of Exenatide.]
[C01DA14, isosorbide mononitrate, Tranylcypromine may increase the orthostatic hypotensive activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, Tranylcypromine may increase the orthostatic hypotensive activities of Isosorbide dinitrate.]
[C04AA01, isoxsuprine, Tranylcypromine may increase the orthostatic hypotensive activities of Isoxsuprine.]
[B01AE06, bivalirudin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Bivalirudin.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Tranylcypromine.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ketamine.]
[C02KD01, ketanserin, Tranylcypromine may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Prasugrel.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Tranylcypromine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Ketoprofen.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Arbutamine.]
[N04BC09, rotigotine, Tranylcypromine may increase the sedative activities of Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Tranylcypromine.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Amantadine.]
[C02AA05, deserpidine, Tranylcypromine may increase the hypotensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Tranylcypromine may increase the orthostatic hypotensive activities of Etacrynic acid.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Levodopa.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Tranylcypromine.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Tranylcypromine.]
[C03DB01, amiloride, Tranylcypromine may increase the orthostatic hypotensive activities of Amiloride.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Tranylcypromine.]
[N06AA07, lofepramine, Tranylcypromine may increase the serotonergic activities of Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Tranylcypromine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Tranylcypromine.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Tranylcypromine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Tranylcypromine can be increased when used in combination with Magnesium sulfate.]
[V04CX04, mannitol, Tranylcypromine may increase the orthostatic hypotensive activities of Mannitol.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Tranylcypromine.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Tranylcypromine.]
[C02BB01, mecamylamine, Tranylcypromine may increase the hypotensive activities of Mecamylamine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Tranylcypromine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Medazepam.]
[B01AB06, nadroparin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Dalteparin.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Melatonin.]
[N02AB02, meperidine, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Tranylcypromine is combined with Meperidine.]
[C01CA11, mephentermine, Tranylcypromine may increase the hypertensive activities of Mephentermine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Tranylcypromine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Tranylcypromine.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Tranylcypromine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Meptazinol is combined with Tranylcypromine.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Tranylcypromine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Tranylcypromine.]
[C01CA09, metaraminol, Tranylcypromine may increase the hypertensive activities of Metaraminol.]
[A10BA02, metformin, Tranylcypromine may increase the hypoglycemic activities of Metformin.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Tranylcypromine.]
[N07BC02, methadone, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Methadone.]
[N06BA03, methamphetamine, Tranylcypromine may increase the hypertensive activities of Metamfetamine.]
[A03AB07, methantheline, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Tranylcypromine.]
[S01EC05, methazolamide, Tranylcypromine may increase the orthostatic hypotensive activities of Methazolamide.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Metergoline.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Tranylcypromine.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Tranylcypromine.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, Tranylcypromine may increase the hypertensive activities of Methoxamine.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Tranylcypromine.]
[C03AA08, methyclothiazide, Tranylcypromine may increase the orthostatic hypotensive activities of Methyclothiazide.]
[C02AB01, methyldopa, Tranylcypromine may decrease the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, Tranylcypromine may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Tranylcypromine.]
[N06BA04, methylphenidate, Tranylcypromine may increase the hypertensive activities of Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Tranylcypromine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Tranylcypromine.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Metoclopramide.]
[C03BA08, metolazone, Tranylcypromine may increase the hypotensive activities of Metolazone.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Tranylcypromine.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Tranylcypromine.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Tranylcypromine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Tranylcypromine.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Tranylcypromine.]
[B01AB07, parnaparin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Parnaparin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Tranylcypromine.]
[C01CA17, midodrine, Tranylcypromine may increase the hypertensive activities of Midodrine.]
[G03XB01, mifepristone, Tranylcypromine may increase the hypoglycemic activities of Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Tinzaparin.]
[C09CA03, valsartan, Tranylcypromine may increase the hypotensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Tranylcypromine.]
[D11AX01, minoxidil, Tranylcypromine may increase the hypotensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, Tranylcypromine may increase the hypertensive activities of Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Molindone.]
[L03AC01, aldesleukin, Tranylcypromine may increase the orthostatic hypotensive activities of Aldesleukin.]
[C01BD01, amiodarone, Tranylcypromine may increase the orthostatic hypotensive activities of Amiodarone.]
[N06AA09, amitriptyline, Tranylcypromine may increase the serotonergic activities of Amitriptyline.]
[N02AA01, morphine, Tranylcypromine may increase the analgesic activities of Morphine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Tranylcypromine.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Tranylcypromine.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Tranylcypromine.]
[R03BB01, ipratropium bromide, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, Tranylcypromine may increase the serotonergic activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Tranylcypromine.]
