[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Propafenone.]
[S01BC05, ketorolac, Ketorolac may decrease the antihypertensive activities of Propafenone.]
[C02KX02, ambrisentan, The serum concentration of Ambrisentan can be increased when it is combined with Propafenone.]
[C01EB18, ranolazine, The serum concentration of Ranolazine can be increased when it is combined with Propafenone.]
[N02BA06, salsalate, Salsalate may decrease the antihypertensive activities of Propafenone.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Propafenone.]
[C01CA07, dobutamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Propafenone.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Domperidone.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Dopamine is combined with Propafenone.]
[N06AA16, dothiepin, The metabolism of Propafenone can be decreased when combined with Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Propafenone.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Propafenone.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be increased when it is combined with Propafenone.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Propafenone.]
[N06AB06, sertraline, Sertraline may increase the QTc-prolonging activities of Propafenone.]
[N01AB08, sevoflurane, The risk or severity of hypertension can be increased when Propafenone is combined with Sevoflurane.]
[N05AD08, droperidol, Propafenone may increase the orthostatic hypotensive activities of Droperidol.]
[A08AA10, sibutramine, The serum concentration of Propafenone can be increased when it is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Propafenone.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Propafenone.]
[C09AA11, spirapril, Propafenone may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, The serum concentration of Dyphylline can be increased when it is combined with Propafenone.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of hypertension can be increased when Sumatriptan is combined with Propafenone.]
[V04CX07, edrophonium, Edrophonium may increase the bradycardic activities of Propafenone.]
[C07AB13, talinolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Temafloxacin.]
[M01AC02, tenoxicam, Tenoxicam may decrease the antihypertensive activities of Propafenone.]
[G04CA03, terazosin, Propafenone may increase the orthostatic hypotensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Propafenone can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, Propafenone may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Tertatolol.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Propafenone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Propafenone.]
[N06AX14, tianeptine, The risk or severity of hypertension can be increased when Propafenone is combined with Tianeptine.]
[C09AA02, enalapril, Propafenone may decrease the antihypertensive activities of Enalapril.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the antihypertensive activities of Propafenone.]
[N06AG03, toloxatone, The risk or severity of hypertension can be increased when Propafenone is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Propafenone.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Toremifene.]
[C03CA04, torsemide, Propafenone may decrease the antihypertensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Propafenone is combined with Tramazoline.]
[C09AA10, trandolapril, Propafenone may decrease the antihypertensive activities of Trandolapril.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Propafenone.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Propafenone.]
[N01AB04, enflurane, Enflurane may increase the cardiodepressant activities of Propafenone.]
[C02CA06, urapidil, Propafenone may increase the orthostatic hypotensive activities of Urapidil.]
[J01MA04, enoxacin, The metabolism of Propafenone can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The metabolism of Propafenone can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Propafenone.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Propafenone.]
[N06AX16, venlafaxine, The serum concentration of Venlafaxine can be increased when it is combined with Propafenone.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Propafenone.]
[S01GA03, xylometazoline, Propafenone may increase the arrhythmogenic activities of Xylometazoline.]
[C08CA12, mepirodipine, Propafenone may increase the arrhythmogenic activities of Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Propafenone.]
[C09AA15, zofenopril, Propafenone may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Propafenone.]
[M01AB04, zomepirac, Zomepirac may decrease the antihypertensive activities of Propafenone.]
[N03AX15, zonisamide, Zonisamide may increase the arrhythmogenic activities of Propafenone.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Propafenone.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Propafenone.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Propafenone.]
[C01BG01, moricizine, Moricizine may increase the arrhythmogenic activities of Propafenone.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Propafenone.]
[C04AE01, ergoloid mesylates, USP, Propafenone may increase the vasoconstricting activities of Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Propafenone can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Valproic acid.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Propafenone.]
[H05BX01, cinacalcet, The metabolism of Propafenone can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Propafenone.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Propafenone.]
[J04AK02, ethambutol, The metabolism of Propafenone can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Propafenone.]
[C01CA15, gepefrine, The therapeutic efficacy of Propafenone can be decreased when used in combination with Gepefrine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Propafenone.]
[C01BD05, ibutilide, Ibutilide may increase the arrhythmogenic activities of Propafenone.]
[N04AA05, profenamine, Profenamine may increase the bradycardic activities of Propafenone.]
[N03AD01, ethosuximide, Ethosuximide may increase the arrhythmogenic activities of Propafenone.]
[M01AC06, meloxicam, Meloxicam may decrease the antihypertensive activities of Propafenone.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Propafenone.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Propafenone.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Propafenone.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Propafenone.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Propafenone.]
[C01BA05, ajmaline, Propafenone may increase the arrhythmogenic activities of Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Propafenone.]
[A02BA04, nizatidine, Nizatidine may increase the bradycardic activities of Propafenone.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Propafenone.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Propafenone.]
[R06AX12, terfenadine, The metabolism of Propafenone can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Propafenone can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Propafenone can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, Tocainide may increase the arrhythmogenic activities of Propafenone.]
[C01BC08, encainide, Propafenone may increase the arrhythmogenic activities of Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Propafenone.]
[C10AA03, pravastatin, The serum concentration of Pravastatin can be increased when it is combined with Propafenone.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Propafenone.]
[P02CA03, albendazole, The metabolism of Propafenone can be increased when combined with Albendazole.]
[C08CA02, felodipine, Felodipine may increase the arrhythmogenic activities of Propafenone.]
[C08EA01, fendiline, Propafenone may increase the arrhythmogenic activities of Fendiline.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Propafenone.]
[M01AE04, fenoprofen, Fenoprofen may decrease the antihypertensive activities of Propafenone.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Propafenone.]
[N02AB03, fentanyl, The risk or severity of hypertension can be increased when Fentanyl is combined with Propafenone.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Propafenone.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Propafenone.]
[C01BC04, flecainide, Propafenone may increase the arrhythmogenic activities of Flecainide.]
[N02BG04, floctafenine, The risk or severity of adverse effects can be increased when Propafenone is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Propafenone can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, Propafenone may increase the arrhythmogenic activities of Flunarizine.]
[N06AA14, melitracen, The risk or severity of hypertension can be increased when Propafenone is combined with Melitracen.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Propafenone.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Propafenone.]
[N06AB03, fluoxetine, The serum concentration of Propafenone can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Flupentixol.]
[N05AB02, fluphenazine, The serum concentration of Propafenone can be increased when it is combined with Fluphenazine.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the antihypertensive activities of Propafenone.]
[N05AG01, fluspirilene, Propafenone may increase the arrhythmogenic activities of Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Propafenone.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Propafenone.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Propafenone.]
[G01AX06, furazolidone, The risk or severity of hypertension can be increased when Furazolidone is combined with Propafenone.]
[J05AE10, darunavir, The metabolism of Propafenone can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Propafenone may decrease the antihypertensive activities of Furosemide.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Propafenone.]
[C08DA02, gallopamil, Propafenone may increase the arrhythmogenic activities of Gallopamil.]
[N03AA04, barbexaclone, The serum concentration of Propafenone can be decreased when it is combined with Barbexaclone.]
[C10AB04, gemfibrozil, The metabolism of Propafenone can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Propafenone.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Propafenone.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Propafenone.]
[C01CA21, cafedrine, The serum concentration of Cafedrine can be increased when it is combined with Propafenone.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Propafenone.]
[A12AA13, calcium citrate, The therapeutic efficacy of Propafenone can be decreased when used in combination with Calcium citrate.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Propafenone can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA05, calcium lactate, The therapeutic efficacy of Propafenone can be decreased when used in combination with Calcium lactate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Propafenone can be decreased when used in combination with Calcium levulinate.]
[N03AD03, methsuximide, Propafenone may increase the arrhythmogenic activities of Methsuximide.]
[N01AH02, alfentanil, The risk or severity of hypertension can be increased when Alfentanil is combined with Propafenone.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Propafenone.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Propafenone.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Propafenone.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Propafenone.]
[H04AA01, glucagon, The therapeutic efficacy of Propafenone can be decreased when used in combination with Glucagon.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Propafenone.]
[C05AE01, nitroglycerin, Propafenone may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, Propafenone may increase the arrhythmogenic activities of Dofetilide.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Propafenone.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Propafenone.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Propafenone.]
[C07AB09, esmolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Esmolol.]
[C09AA09, fosinopril, Propafenone may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Guanethidine may increase the hypotensive activities of Propafenone.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Propafenone.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of hypertension can be increased when Halothane is combined with Propafenone.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Propafenone.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Propafenone.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Propafenone.]
[C09CA01, losartan, Losartan may increase the arrhythmogenic activities of Propafenone.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Heparin is combined with Propafenone.]
[A07EC02, mesalamine, Mesalazine may decrease the antihypertensive activities of Propafenone.]
[N05CA16, hexobarbital, The serum concentration of Propafenone can be decreased when it is combined with Hexobarbital.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Propafenone.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Propafenone.]
[C08CA10, nilvadipine, Propafenone may increase the arrhythmogenic activities of Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the antihypertensive activities of Propafenone.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Oxatomide.]
[C09AA04, perindopril, Propafenone may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Propafenone may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Propafenone may decrease the antihypertensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Propafenone.]
[C03AA02, hydroflumethiazide, Propafenone may decrease the antihypertensive activities of Hydroflumethiazide.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Propafenone.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Propafenone.]
[A12BA02, potassium citrate, Potassium citrate may increase the hyperkalemic activities of Propafenone.]
[G04BD06, propiverine, Propafenone may increase the orthostatic hypotensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Propafenone.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Hydroxyzine.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Propafenone.]
[R02AX02, ibuprofen, Ibuprofen may decrease the antihypertensive activities of Propafenone.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Propafenone.]
[H01AC02, somatrem, The metabolism of Propafenone can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of hypertension can be increased when Sufentanil is combined with Propafenone.]
[N06AA02, imipramine, The metabolism of Propafenone can be decreased when combined with Imipramine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Terlipressin.]
[M03BX02, tizanidine, The serum concentration of Tizanidine can be increased when it is combined with Propafenone.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Propafenone.]
[C03BA11, indapamide, Propafenone may decrease the antihypertensive activities of Indapamide.]
[S01BC01, indomethacin, Indomethacin may decrease the antihypertensive activities of Propafenone.]
[C02CA02, indoramin, Propafenone may increase the orthostatic hypotensive activities of Indoramin.]
[L03AB04, interferon alfa-2a, The metabolism of Propafenone can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Propafenone can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The serum concentration of Propafenone can be increased when it is combined with Milnacipran.]
[S01XA28, varenicline, The risk or severity of adverse effects can be increased when Propafenone is combined with Varenicline.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Propafenone.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Propafenone.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Propafenone.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Propafenone.]
[C10AA06, cerivastatin, The metabolism of Propafenone can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Alprenolol.]
[L03AB09, interferon alfacon-1, The metabolism of Propafenone can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Propafenone.]
[N06AA13, iprindole, The risk or severity of hypertension can be increased when Propafenone is combined with Iprindole.]
[N06AF05, iproniazid, The metabolism of Propafenone can be decreased when combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Propafenone.]
[N05AA07, chlorproethazine, The serum concentration of Propafenone can be increased when it is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of hypertension can be increased when Propafenone is combined with Isocarboxazid.]
[R03CC06, isoetharine, The therapeutic efficacy of Isoetharine can be decreased when used in combination with Propafenone.]
[C09AA16, imidapril, Propafenone may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of hypertension can be increased when Isoflurane is combined with Propafenone.]
[S01EB07, isoflurophate, Isoflurophate may increase the bradycardic activities of Propafenone.]
[N04BX02, entacapone, The metabolism of Propafenone can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Propafenone can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Propafenone.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Propafenone.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Propafenone.]
[N06AX18, reboxetine, The metabolism of Propafenone can be decreased when combined with Reboxetine.]
[H01AC01, somatropin, The metabolism of Propafenone can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Propafenone can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the bradycardic activities of Propafenone.]
[C02KD01, ketanserin, Propafenone may decrease the antihypertensive activities of Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Propafenone can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Propafenone can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Propafenone.]
[M02AA10, ketoprofen, Ketoprofen may decrease the antihypertensive activities of Propafenone.]
[V03AC03, deferasirox, The serum concentration of Propafenone can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Propafenone can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Mizolastine.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Propafenone.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Propafenone.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Propafenone.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the antihypertensive activities of Propafenone.]
[C07AG01, labetalol, The risk or severity of adverse effects can be increased when Propafenone is combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Propafenone.]
[C02AA05, deserpidine, Deserpidine may increase the hypotensive activities of Propafenone.]
[N07AA30, ambenonium, Ambenonium may increase the bradycardic activities of Propafenone.]
[N03AX18, lacosamide, Propafenone may increase the bradycardic activities of Lacosamide.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be increased when it is combined with Propafenone.]
[C08EX01, lidoflazine, Propafenone may increase the arrhythmogenic activities of Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Propafenone can be increased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of hyperkalemia can be increased when Amiloride is combined with Propafenone.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Propafenone.]
[N06AA07, lofepramine, The risk or severity of hypertension can be increased when Propafenone is combined with Lofepramine.]
[A07DA03, loperamide, The excretion of Loperamide can be decreased when combined with Propafenone.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Propafenone can be decreased when used in combination with Calcium pangamate.]
[C10AA02, lovastatin, The metabolism of Propafenone can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The serum concentration of Temsirolimus can be increased when it is combined with Propafenone.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the arrhythmogenic activities of Propafenone.]
[L01EA03, nilotinib, The metabolism of Propafenone can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Mannitol can be increased when it is combined with Propafenone.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Propafenone.]
[C02BB01, mecamylamine, Propafenone may decrease the antihypertensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, Mechlorethamine may increase the bradycardic activities of Propafenone.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Propafenone.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the antihypertensive activities of Propafenone.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Propafenone.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be decreased when Mefloquine is combined with Propafenone.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Dalteparin.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Propafenone.]
[N06DX01, memantine, Memantine may increase the bradycardic activities of Propafenone.]
[C01CA11, mephentermine, The therapeutic efficacy of Propafenone can be decreased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Propafenone.]
[N03AA01, mephobarbital, The serum concentration of Propafenone can be decreased when it is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The serum concentration of Mepivacaine can be increased when it is combined with Propafenone.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Propafenone.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Propafenone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Propafenone.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Propafenone.]
[H01CB03, lanreotide, Propafenone may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Propafenone.]
[N06BA03, methamphetamine, The therapeutic efficacy of Propafenone can be decreased when used in combination with Metamfetamine.]
[G02CB05, metergoline, Propafenone may increase the vasoconstricting activities of Metergoline.]
[H03BB02, methimazole, The excretion of Propafenone can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Propafenone.]
[N05CA15, methohexital, The serum concentration of Propafenone can be decreased when it is combined with Methohexital.]
[N02BG08, ziconotide, Propafenone may increase the arrhythmogenic activities of Ziconotide.]
[N05AA02, methotrimeprazine, The metabolism of Methotrimeprazine can be decreased when combined with Propafenone.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Propafenone.]
[D05BA02, methoxsalen, The metabolism of Propafenone can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Propafenone.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Propafenone.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Propafenone.]
[G02AB01, methylergonovine, Propafenone may increase the vasoconstricting activities of Methylergometrine.]
[R03DA05, aminophylline, The serum concentration of Aminophylline can be increased when it is combined with Propafenone.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Propafenone.]
[N02CA04, methysergide, Propafenone may increase the vasoconstricting activities of Methysergide.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Propafenone.]
[C03BA08, metolazone, Propafenone may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Propafenone.]
[C01BB02, mexiletine, Mexiletine may increase the arrhythmogenic activities of Propafenone.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Propafenone.]
[S02AA13, miconazole, The metabolism of Propafenone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the antihypertensive activities of Propafenone.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Parnaparin.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Propafenone.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be increased when used in combination with Propafenone.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Tinzaparin.]
[C09CA03, valsartan, Propafenone may decrease the antihypertensive activities of Valsartan.]
[D11AX01, minoxidil, Propafenone may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Propafenone can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Propafenone can be decreased when used in combination with Lisdexamfetamine.]
