[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Prednisone.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Prednisone is combined with Difluocortolone.]
[N02BA11, diflunisal, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of adverse effects can be increased when Prednisone is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of adverse effects can be increased when Prednisone is combined with Digoxin.]
[L02AA02, polyestradiol phosphate, The serum concentration of Prednisone can be increased when it is combined with Polyestradiol phosphate.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Prednisone.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Prednisone.]
[A11CC02, dihydrotachysterol, The therapeutic efficacy of Dihydrotachysterol can be decreased when used in combination with Prednisone.]
[J05AE08, atazanavir, The metabolism of Prednisone can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, Prednisone may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Prednisone may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Prednisone can be decreased when combined with Diltiazem.]
[V03AB09, dimercaprol, Prednisone may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R03CC08, procaterol, The risk or severity of hypokalemia can be increased when Prednisone is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, Prednisone may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[G03CA09, promestriene, The serum concentration of Prednisone can be increased when it is combined with Promestriene.]
[N02BB04, propyphenazone, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Proglumetacin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Diphenhydramine.]
[A03FA02, cisapride, The metabolism of Cisapride can be increased when combined with Prednisone.]
[S01XA23, sirolimus, The serum concentration of Prednisone can be increased when it is combined with Sirolimus.]
[S01AX06, resorcinol, Prednisone may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Natalizumab.]
[N07AA03, distigmine, The therapeutic efficacy of Distigmine can be decreased when used in combination with Prednisone.]
[S02AA12, rifamycin SV, The metabolism of Prednisone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Prednisone can be increased when combined with Rifapentine.]
[R06AE09, levocetirizine, Prednisone may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Prednisone.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Prednisone can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Prednisone.]
[G04BE08, tadalafil, Prednisone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Ketorolac.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N02BA06, salsalate, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypokalemia can be increased when Prednisone is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C01CA07, dobutamine, The risk or severity of hypokalemia can be increased when Prednisone is combined with Dobutamine.]
[C01CA04, dopamine, Prednisone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA12, doxepin, Prednisone may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Prednisone is combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be increased when combined with Prednisone.]
[A08AA10, sibutramine, Prednisone may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[B05XA02, sodium bicarbonate, The bioavailability of Prednisone can be decreased when combined with Sodium bicarbonate.]
[A12CA02, sodium sulfate, Prednisone may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Prednisone may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N02CC01, sumatriptan, Prednisone may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, The therapeutic efficacy of Edrophonium can be decreased when used in combination with Prednisone.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Prednisone is combined with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Prednisone is combined with Temozolomide.]
[M01AC02, tenoxicam, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Tenoxicam.]
[G03CX01, tibolone, The serum concentration of Prednisone can be increased when it is combined with Tibolone.]
[M01AG02, tolfenamic acid, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Prednisone may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C03CA04, torsemide, The risk or severity of hypokalemia can be increased when Prednisone is combined with Torasemide.]
[N05CC01, chloral hydrate, Prednisone may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[H02CA01, trilostane, The risk or severity of edema formation can be increased when Trilostane is combined with Prednisone.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Prednisone is combined with Trofosfamide.]
[J01MA04, enoxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Enoxacin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Prednisone.]
[S01FB02, ephedrine, Ephedrine may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C08CA12, mepirodipine, The metabolism of Prednisone can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypokalemia can be increased when Prednisone is combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Prednisone.]
[M01AB04, zomepirac, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AB06, insulin glulisine, human, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Insulin glulisine.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Prednisone is combined with Carboplatin.]
[C02AC02, guanfacine, Prednisone may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[A11CC01, ergocalciferol, The therapeutic efficacy of Ergocalciferol can be decreased when used in combination with Prednisone.]
[N02CA02, ergotamine, The metabolism of Prednisone can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be increased when combined with Prednisone.]
[L03AX05, pidotimod, Prednisone may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The serum concentration of Prednisone can be increased when it is combined with Erythromycin.]
[N05CD04, estazolam, Prednisone may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[G03CA03, estradiol, The serum concentration of Prednisone can be increased when it is combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Prednisone is combined with Estramustine.]
[G03CC06, estriol, The serum concentration of Prednisone can be increased when it is combined with Estriol.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Prednisone can be increased when it is combined with Conjugated estrogens.]
[G03CC04, estrone, The serum concentration of Prednisone can be increased when it is combined with Estrone.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Prednisone is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Prednisone is combined with Fluticasone.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The serum concentration of Prednisone can be increased when it is combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Prednisone.]
[N03AB01, ethotoin, The therapeutic efficacy of Ethotoin can be increased when used in combination with Prednisone.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Prednisone is combined with Etoposide.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Prednisone.]
[A02BA04, nizatidine, The therapeutic efficacy of Nizatidine can be decreased when used in combination with Prednisone.]
[J01MA08, fleroxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Fleroxacin.]
[R06AX12, terfenadine, The metabolism of Prednisone can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Prednisone may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Prednisone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The metabolism of Prednisone can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Prednisone.]
[M01CB01, gold sodium thiomalate, Prednisone may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Prednisone may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Prednisone.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[M01AE04, fenoprofen, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypokalemia can be increased when Prednisone is combined with Fenoterol.]
[N02AB03, fentanyl, Prednisone may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, The risk or severity of hypokalemia can be increased when Prednisone is combined with Salbutamol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Prednisone.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Prednisone.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[G04BD02, flavoxate, Prednisone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Floctafenine.]
[J02AC01, fluconazole, The serum concentration of Prednisone can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Prednisone is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Fludrocortisone.]
[V03AB25, flumazenil, Prednisone may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be increased when combined with Prednisone.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be increased when combined with Prednisone.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Prednisone is combined with Fluocinonide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Prednisone is combined with Fluocortolone.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Prednisone.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Prednisone.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be increased when combined with Prednisone.]
[G03BA01, fluoxymesterone, The risk or severity of fluid retention can be increased when Prednisone is combined with Fluoxymesterone.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be increased when combined with Prednisone.]
[S01BC04, flurbiprofen, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Flurbiprofen.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[S02AA17, fosfomycin, Prednisone may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be increased when combined with Prednisone.]
[M03AA01, alcuronium, The risk or severity of myopathy and weakness can be increased when Alcuronium is combined with Prednisone.]
[J05AE10, darunavir, The metabolism of Prednisone can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Furosemide can be increased when used in combination with Prednisone.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N06DA04, galantamine, The therapeutic efficacy of Galantamine can be decreased when used in combination with Prednisone.]
[M03AC02, gallamine, The risk or severity of myopathy and weakness can be increased when Gallamine is combined with Prednisone.]
[S01AD09, ganciclovir, Prednisone may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, Prednisone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Prednisone may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Prednisone is combined with Dasatinib.]
[A10BJ02, liraglutide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Liraglutide.]
[G03XA02, gestrinone, The serum concentration of Prednisone can be increased when it is combined with Gestrinone.]
[A10BB01, glyburide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Glipizide.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Prednisone.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Sorafenib is combined with Prednisone.]
[M01CB04, aurothioglucose, Prednisone may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Prednisone may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, Prednisone may increase the anticoagulant activities of Fluindione.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[S01EX01, guanethidine, Prednisone may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Prednisone.]
[N01AB01, halothane, The metabolism of Halothane can be increased when combined with Prednisone.]
[N05AH04, quetiapine, Prednisone may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Prednisone may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Insulin aspart.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Prednisone is combined with Irinotecan.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[S01XA14, heparin, The therapeutic efficacy of Heparin can be increased when used in combination with Prednisone.]
[G03DC01, allylestrenol, Prednisone may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Mesalazine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Prednisone.]
[R03CC05, hexoprenaline, The risk or severity of hypokalemia can be increased when Prednisone is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be increased when combined with Prednisone.]
[C08CA10, nilvadipine, The metabolism of Prednisone can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Nimesulide.]
[C09AA04, perindopril, Prednisone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Prednisone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The risk or severity of electrolyte imbalance can be increased when Prednisone is combined with Hydrochlorothiazide.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Prednisone is combined with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, The risk or severity of electrolyte imbalance can be increased when Prednisone is combined with Hydroflumethiazide.]
[B05XA17, potassium acetate, Prednisone may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[G04BD06, propiverine, Prednisone may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Prednisone is combined with Hydroxychloroquine.]
[B05AA07, hetastarch, Prednisone may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Prednisone is combined with Hydroxyurea.]
[R02AX02, ibuprofen, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Ibuprofen.]
[B05XA08, sodium acetate, Prednisone may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Prednisone is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Prednisone is combined with Ifosfamide.]
[N06AA02, imipramine, Imipramine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Prednisone is combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Prednisone is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Prednisone is combined with Topotecan.]
[C03BA11, indapamide, Prednisone may increase the hypokalemic activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Indomethacin.]
[A11HA07, inositol, Prednisone may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Prednisone.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Prednisone.]
[N06AX17, milnacipran, The metabolism of Prednisone can be decreased when combined with Milnacipran.]
[S01XA28, varenicline, Prednisone may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Articaine.]
[A10BH01, sitagliptin, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Sitagliptin.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N05CH02, ramelteon, Prednisone may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[A10BH02, vildagliptin, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Vildagliptin.]
[C03BA02, quinethazone, Prednisone may increase the hypokalemic activities of Quinethazone.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Prednisone.]
[V03AB01, ipecac, Prednisone may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[R03CC06, isoetharine, The risk or severity of hypokalemia can be increased when Prednisone is combined with Isoetharine.]
[S01EB07, isoflurophate, The therapeutic efficacy of Isoflurophate can be decreased when used in combination with Prednisone.]
[J04AC01, isoniazid, The serum concentration of Isoniazid can be decreased when it is combined with Prednisone.]
[J05AX05, inosine pranobex, Prednisone may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Prednisone.]
[A10BJ01, exenatide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Exenatide.]
[C01DA14, isosorbide mononitrate, Prednisone may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Prednisone may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[J01FA07, josamycin, The serum concentration of Prednisone can be increased when it is combined with Josamycin.]
[S01AA24, kanamycin, Prednisone may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The serum concentration of the active metabolites of Prednisone can be reduced when Prednisone is used in combination with Somatotropin resulting in a loss in efficacy.]
[A02AB01, aluminum hydroxide, The bioavailability of Prednisone can be decreased when combined with Aluminum hydroxide.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Tocilizumab.]
[N01AX03, ketamine, The therapeutic efficacy of Ketamine can be decreased when used in combination with Prednisone.]
[B01AC22, prasugrel, Prednisone may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Prednisone can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Prednisone can be decreased when combined with Levoketoconazole.]
[M02AA10, ketoprofen, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Ketoprofen.]
[V03AC03, deferasirox, The risk or severity of gastrointestinal ulceration and gastrointestinal irritation can be increased when Prednisone is combined with Deferasirox.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Prednisone is combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypokalemia can be increased when Prednisone is combined with Arbutamine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01MB02, nalidixic acid, The risk or severity of tendinopathy can be increased when Prednisone is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N04BB01, amantadine, Prednisone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N07AA30, ambenonium, The therapeutic efficacy of Ambenonium can be decreased when used in combination with Prednisone.]
[A06AX03, lubiprostone, Prednisone may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, The risk or severity of hypokalemia can be increased when Prednisone is combined with Etacrynic acid.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Prednisone.]
[G03AD01, levonorgestrel, The serum concentration of Prednisone can be increased when it is combined with Levonorgestrel.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Lidocaine.]
[S01AA21, amikacin, Prednisone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Prednisone is combined with Lomustine.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Prednisone can be decreased when combined with Lovastatin.]
[G03DC03, lynestrenol, The serum concentration of Prednisone can be increased when it is combined with Lynestrenol.]
[L01EG01, temsirolimus, The serum concentration of Prednisone can be increased when it is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Prednisone may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, The bioavailability of Prednisone can be decreased when combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The bioavailability of Prednisone can be decreased when combined with Magnesium oxide.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Prednisone is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Prednisone can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Prednisone may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Prednisone may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Mechlorethamine can be decreased when used in combination with Prednisone.]
[M02AA18, meclofenamic acid, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Meclofenamic acid.]
[C01AA08, medigoxin, The risk or severity of adverse effects can be increased when Prednisone is combined with Metildigoxin.]
[P01BC02, mefloquine, The therapeutic efficacy of Mefloquine can be decreased when used in combination with Prednisone.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Prednisone is combined with Melphalan.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Prednisone.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N03AB04, mephenytoin, The therapeutic efficacy of Mephenytoin can be increased when used in combination with Prednisone.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Mepivacaine.]
[G04BX16, tiopronin, Prednisone may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The therapeutic efficacy of Prednisone can be decreased when used in combination with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
