[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dapagliflozin.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Dapagliflozin.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Dapagliflozin.]
[G03XA01, danazol, The metabolism of Dapagliflozin can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapagliflozin can be decreased when combined with Dapsone.]
[C02CC04, debrisoquin, The metabolism of Dapagliflozin can be decreased when combined with Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nabilone is combined with Dapagliflozin.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Dapagliflozin.]
[N07BB05, nalmefene, Dapagliflozin may increase the excretion rate of Nalmefene which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA15, potassium lactate, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Potassium lactate.]
[C07AB12, nebivolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Nebivolol.]
[S01GX04, nedocromil, Dapagliflozin may increase the excretion rate of Nedocromil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX06, nefazodone, The metabolism of Dapagliflozin can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Dapagliflozin.]
[L02BB02, nilutamide, Dapagliflozin may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Dapagliflozin.]
[R05DA06, normethadone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Normethadone.]
[B01AX05, fondaparinux, Dapagliflozin may increase the excretion rate of Fondaparinux which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB10, escitalopram, The serum concentration of Dapagliflozin can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Dapagliflozin can be decreased when combined with Solifenacin.]
[A07EC03, olsalazine, Olsalazine may increase the hypoglycemic activities of Dapagliflozin.]
[N06AA01, desipramine, The metabolism of Dapagliflozin can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, Dapagliflozin may increase the excretion rate of Desmopressin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Dapagliflozin.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Dapagliflozin.]
[V04CH02, indigo carmine, Dapagliflozin may increase the excretion rate of Indigotindisulfonic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Dapagliflozin.]
[J01DH03, ertapenem, Dapagliflozin may increase the excretion rate of Ertapenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C09XA02, aliskiren, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Aliskiren.]
[M01AE12, oxaprozin, Dapagliflozin may increase the excretion rate of Oxaprozin which could result in a lower serum level and potentially a reduction in efficacy.]
[S03BA01, dexamethasone, The risk or severity of hyperglycemia can be increased when Dexamethasone is combined with Dapagliflozin.]
[G04BD04, oxybutynin, The metabolism of Dapagliflozin can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Dapagliflozin.]
[L04AB04, adalimumab, The metabolism of Dapagliflozin can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Dapagliflozin can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, Dapagliflozin may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA09, dextromethorphan, The metabolism of Dapagliflozin can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The metabolism of Dapagliflozin can be decreased when combined with Paramethadione.]
[N02AC01, dextromoramide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Dapagliflozin can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Dapagliflozin.]
[N07BC06, heroin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Diamorphine.]
[C01DA05, pentaerythritol tetranitrate, Dapagliflozin may increase the excretion rate of Pentaerythritol tetranitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Dapagliflozin.]
[P03AC04, permethrin, Dapagliflozin may increase the excretion rate of Permethrin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, Dapagliflozin may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AH01, diazoxide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Dapagliflozin.]
[R05DA08, pholcodine, Dapagliflozin may increase the excretion rate of Pholcodine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Dapagliflozin.]
[A03AA07, dicyclomine, Dapagliflozin may increase the excretion rate of Dicyclomine which could result in a lower serum level and potentially a reduction in efficacy.]
[A07AB02, phthalylsulfathiazole, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Phthalylsulfathiazole.]
[J05AF02, didanosine, Dapagliflozin may increase the excretion rate of Didanosine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DG01, pinacidil, Dapagliflozin may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hypoglycemia can be increased when Pinaverium is combined with Dapagliflozin.]
[A10BG03, pioglitazone, Dapagliflozin may increase the hypoglycemic activities of Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Pipamperone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Dapagliflozin.]
[C03CA03, piretanide, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Piretanide.]
[L02AA01, diethylstilbestrol, The metabolism of Dapagliflozin can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Dapagliflozin can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of hyperglycemia can be increased when Difluocortolone is combined with Dapagliflozin.]
[N02BA11, diflunisal, Diflunisal may increase the hypoglycemic activities of Dapagliflozin.]
[C01AA05, digoxin, Dapagliflozin may increase the excretion rate of Digoxin which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Dapagliflozin.]
[N02AA03, hydromorphone, Dapagliflozin may increase the excretion rate of Hydromorphone which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX04, lenalidomide, Dapagliflozin may increase the excretion rate of Lenalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE08, atazanavir, The metabolism of Dapagliflozin can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Dapagliflozin can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, Dapagliflozin may increase the excretion rate of Potassium perchlorate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB04, pralidoxime, Dapagliflozin may increase the excretion rate of Pralidoxime which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Dapagliflozin.]
[C08DB01, diltiazem, The metabolism of Dapagliflozin can be decreased when combined with Diltiazem.]
[V03AB09, dimercaprol, Dapagliflozin may increase the excretion rate of Dimercaprol which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AX03, dimethyl sulfoxide, Dapagliflozin may increase the excretion rate of Dimethyl sulfoxide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Dapagliflozin.]
[C05CA03, diosmin, The metabolism of Dapagliflozin can be decreased when combined with Diosmin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Dapagliflozin.]
[R06AA02, diphenhydramine, The metabolism of Dapagliflozin can be decreased when combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Diphenoxylate.]
[N05CD10, quazepam, The metabolism of Dapagliflozin can be decreased when combined with Quazepam.]
[C09AA06, quinapril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Quinapril.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Dipyridamole is combined with Dapagliflozin.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Dapagliflozin.]
[A03FA02, cisapride, The metabolism of Dapagliflozin can be decreased when combined with Cisapride.]
[C09AA05, ramipril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Ramipril.]
[S01XA23, sirolimus, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Sirolimus.]
[N05AL04, remoxipride, The metabolism of Dapagliflozin can be decreased when combined with Remoxipride.]
[S01AX06, resorcinol, Dapagliflozin may increase the excretion rate of Resorcinol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA03, disopyramide, Dapagliflozin may increase the hypoglycemic activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Dapagliflozin can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Dapagliflozin can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Dapagliflozin.]
[N05AX08, risperidone, Dapagliflozin may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Dapagliflozin may increase the excretion rate of Levocetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB09, ropivacaine, Dapagliflozin may increase the excretion rate of Ropivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB01, rosoxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, Dapagliflozin may increase the hypoglycemic activities of Sunitinib.]
[A04AD12, aprepitant, The metabolism of Dapagliflozin can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Dapagliflozin.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Fosamprenavir.]
[G04BE08, tadalafil, Dapagliflozin may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC05, ketorolac, The metabolism of Dapagliflozin can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, Dapagliflozin may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Dapagliflozin can be increased when it is combined with Ranolazine.]
[H05BA01, salmon calcitonin, Dapagliflozin may increase the excretion rate of Salmon calcitonin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA07, dobutamine, Dapagliflozin may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Dapagliflozin.]
[C01CA04, dopamine, Dapagliflozin may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA16, dothiepin, The metabolism of Dapagliflozin can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, Doxepin may decrease the hypoglycemic activities of Dapagliflozin.]
[A06AB06, sennosides, USP, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Sennosides.]
[L01DB01, doxorubicin, The metabolism of Dapagliflozin can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Dapagliflozin may increase the excretion rate of Doxycycline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Dapagliflozin.]
[N01AB08, sevoflurane, The metabolism of Dapagliflozin can be decreased when combined with Sevoflurane.]
[A08AA10, sibutramine, Dapagliflozin may increase the excretion rate of Sibutramine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA01, simvastatin, The metabolism of Dapagliflozin can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, Dapagliflozin may increase the nephrotoxic activities of Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Sodium sulfate.]
[C09AA11, spirapril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Spirapril.]
[R03DA01, dyphylline, Dapagliflozin may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A07AB04, succinylsulfathiazole, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Succinylsulfathiazole.]
[N02CC01, sumatriptan, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Sumatriptan.]
[V04CX07, edrophonium, Dapagliflozin may increase the excretion rate of Edrophonium which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB13, talinolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hyperglycemia can be increased when Corticotropin is combined with Dapagliflozin.]
[J01MA05, temafloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Temafloxacin.]
[L01AX03, temozolomide, Dapagliflozin may increase the excretion rate of Temozolomide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC02, tenoxicam, The metabolism of Dapagliflozin can be decreased when combined with Tenoxicam.]
[G04CA03, terazosin, The risk or severity of adverse effects can be increased when Terazosin is combined with Dapagliflozin.]
[D01BA02, terbinafine, The metabolism of Dapagliflozin can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of hypoglycemia can be increased when Terodiline is combined with Dapagliflozin.]
[C07AA16, tertatolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Tertatolol.]
[N06AX14, tianeptine, Tianeptine may decrease the hypoglycemic activities of Dapagliflozin.]
[C09AA02, enalapril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Enalapril.]
[N06AG03, toloxatone, Toloxatone may increase the orthostatic hypotensive activities of Dapagliflozin.]
[N06BA09, atomoxetine, Dapagliflozin may increase the excretion rate of Atomoxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX11, topiramate, Dapagliflozin may increase the excretion rate of Topiramate which could result in a lower serum level and potentially a reduction in efficacy.]
[C03CA04, torsemide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Torasemide.]
[C09AA10, trandolapril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Trandolapril.]
[N05CC01, chloral hydrate, Dapagliflozin may increase the excretion rate of Chloral hydrate which could result in a lower serum level and potentially a reduction in efficacy.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Dapagliflozin.]
[L02AE04, triptorelin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Triptorelin.]
[C02CA06, urapidil, Dapagliflozin may increase the hypotensive activities of Urapidil.]
[J01MA04, enoxacin, The metabolism of Dapagliflozin can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The metabolism of Dapagliflozin can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Dapagliflozin.]
[S01GX10, epinastine, The metabolism of Dapagliflozin can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Dapagliflozin can be decreased when combined with Venlafaxine.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Dapagliflozin.]
[C08CA12, mepirodipine, The metabolism of Dapagliflozin can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Epinephrine.]
[C09AA15, zofenopril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Zofenopril.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Dapagliflozin.]
[N03AX15, zonisamide, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Dapagliflozin is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Dapagliflozin can be decreased when combined with Zopiclone.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Dapagliflozin.]
[L01XA02, carboplatin, Dapagliflozin may increase the excretion rate of Carboplatin which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC02, guanfacine, Dapagliflozin may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Iloprost is combined with Dapagliflozin.]
[N02CA02, ergotamine, The metabolism of Dapagliflozin can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Dapagliflozin may increase the excretion rate of Pidotimod which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA17, erythromycin, The metabolism of Dapagliflozin can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Dapagliflozin may increase the excretion rate of Estazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC02, pantoprazole, Dapagliflozin may increase the excretion rate of Pantoprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[H05BX01, cinacalcet, The metabolism of Dapagliflozin can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Estradiol.]
[G03CA57, estrogens, conjugated (USP), Dapagliflozin may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AK02, ethambutol, Dapagliflozin may increase the excretion rate of Ethambutol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA09, fluticasone furoate, The risk or severity of hyperglycemia can be increased when Fluticasone furoate is combined with Dapagliflozin.]
[R03BA05, fluticasone, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Dapagliflozin.]
[C10AA04, fluvastatin, The metabolism of Dapagliflozin can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Dapagliflozin may increase the excretion rate of Gadodiamide which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Dapagliflozin.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Ethinylestradiol.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Amifostine is combined with Dapagliflozin.]
[C01BD05, ibutilide, Dapagliflozin may increase the excretion rate of Ibutilide which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AD01, ethosuximide, The risk or severity of hypoglycemia can be increased when Ethosuximide is combined with Dapagliflozin.]
[M01AC06, meloxicam, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Meloxicam.]
[S01XA06, ethylmorphine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Ethylmorphine.]
[N01AX07, etomidate, Dapagliflozin may increase the excretion rate of Etomidate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Dapagliflozin.]
[N05AE03, sertindole, The metabolism of Dapagliflozin can be decreased when combined with Sertindole.]
[L04AD02, tacrolimus, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Tacrolimus.]
[J01MA08, fleroxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Dapagliflozin.]
[R06AX12, terfenadine, The metabolism of Dapagliflozin can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Dapagliflozin may increase the excretion rate of Trimetrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX12, bupropion, The metabolism of Dapagliflozin can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Dapagliflozin can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Dapagliflozin.]
[C01BC08, encainide, The metabolism of Dapagliflozin can be decreased when combined with Encainide.]
[L02AE02, leuprolide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Leuprolide.]
[M01CB01, gold sodium thiomalate, Dapagliflozin may increase the excretion rate of Sodium aurothiomalate which could result in a lower serum level and potentially a reduction in efficacy.]
[A05AA01, chenodeoxycholic acid, The metabolism of Dapagliflozin can be decreased when combined with Chenodeoxycholic acid.]
[B05AA05, dextran, Dapagliflozin may increase the excretion rate of Dextran which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AF02, dexrazoxane, Dapagliflozin may increase the excretion rate of Dexrazoxane which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BA03, famotidine, The metabolism of Dapagliflozin can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Dapagliflozin may increase the excretion rate of Levocarnitine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA03, albendazole, The metabolism of Dapagliflozin can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Dapagliflozin can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypoglycemia can be increased when Fendiline is combined with Dapagliflozin.]
[N03AX26, fenfluramine, The metabolism of Dapagliflozin can be decreased when combined with Fenfluramine.]
[N02AB03, fentanyl, Dapagliflozin may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC02, albuterol, Dapagliflozin may increase the excretion rate of Salbutamol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BB06, clofarabine, Dapagliflozin may increase the excretion rate of Clofarabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07AX03, cevimeline, Dapagliflozin may increase the excretion rate of Cevimeline which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD02, flavoxate, Dapagliflozin may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Dapagliflozin.]
[J02AC01, fluconazole, The risk or severity of hypoglycemia can be increased when Dapagliflozin is combined with Fluconazole.]
[J02AX01, flucytosine, Dapagliflozin may increase the excretion rate of Flucytosine which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA02, fludrocortisone, The risk or severity of hyperglycemia can be increased when Fludrocortisone is combined with Dapagliflozin.]
[V03AB25, flumazenil, Dapagliflozin may increase the excretion rate of Flumazenil which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Dapagliflozin.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Dapagliflozin.]
[N05CD03, flunitrazepam, The metabolism of Dapagliflozin can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Dapagliflozin.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Dapagliflozin.]
[H02AB03, fluocortolone, The risk or severity of hyperglycemia can be increased when Fluocortolone is combined with Dapagliflozin.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Dapagliflozin.]
[L01BC09, floxuridine, The metabolism of Dapagliflozin can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of hyperglycemia can be increased when Fluorometholone is combined with Dapagliflozin.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Dapagliflozin.]
[N06AB03, fluoxetine, The serum concentration of Dapagliflozin can be increased when it is combined with Fluoxetine.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Dapagliflozin.]
[N05AB02, fluphenazine, The metabolism of Dapagliflozin can be decreased when combined with Fluphenazine.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Dapagliflozin.]
[N05CD01, flurazepam, Dapagliflozin may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC04, flurbiprofen, Dapagliflozin may increase the excretion rate of Flurbiprofen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AG01, fluspirilene, The risk or severity of hypoglycemia can be increased when Fluspirilene is combined with Dapagliflozin.]
[L02BB01, flutamide, Dapagliflozin may increase the excretion rate of Flutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX02, folic acid, Dapagliflozin may increase the excretion rate of Folic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[S02AA17, fosfomycin, Dapagliflozin may increase the excretion rate of Fosfomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Dapagliflozin.]
[G01AX06, furazolidone, Furazolidone may increase the orthostatic hypotensive activities of Dapagliflozin.]
[J05AE10, darunavir, The metabolism of Dapagliflozin can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Furosemide.]
[N05CF04, eszopiclone, Dapagliflozin may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DA04, galantamine, The metabolism of Dapagliflozin can be decreased when combined with Galantamine.]
[C08DA02, gallopamil, The risk or severity of hypoglycemia can be increased when Gallopamil is combined with Dapagliflozin.]
[S01AD09, ganciclovir, Dapagliflozin may increase the excretion rate of Ganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Dapagliflozin.]
[C10AB04, gemfibrozil, The metabolism of Dapagliflozin can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Dapagliflozin may increase the excretion rate of Telavancin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Dapagliflozin.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Dapagliflozin.]
[A10BJ02, liraglutide, Dapagliflozin may increase the hypoglycemic activities of Liraglutide.]
[J05AG04, etravirine, The metabolism of Dapagliflozin can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of hypoglycemia can be increased when Methsuximide is combined with Dapagliflozin.]
[N01AH02, alfentanil, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Alfentanil.]
[A10BB01, glyburide, Dapagliflozin may increase the hypoglycemic activities of Glyburide.]
[A10BB09, gliclazide, Dapagliflozin may increase the hypoglycemic activities of Gliclazide.]
[A10BB07, glipizide, Dapagliflozin may increase the hypoglycemic activities of Glipizide.]
[N05CM18, dexmedetomidine, Dapagliflozin may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX01, glycerin, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Glycerin.]
[C05AE01, nitroglycerin, The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Dapagliflozin.]
[C02CA04, doxazosin, The risk or severity of adverse effects can be increased when Doxazosin is combined with Dapagliflozin.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may decrease the hypoglycemic activities of Dapagliflozin.]
[L01EX02, sorafenib, The metabolism of Dapagliflozin can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The risk or severity of adverse effects can be increased when Esmolol is combined with Dapagliflozin.]
[M01CB04, aurothioglucose, Dapagliflozin may increase the excretion rate of Aurothioglucose which could result in a lower serum level and potentially a reduction in efficacy.]
