[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Domperidone.]
[C10AA06, cerivastatin, The metabolism of Domperidone can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Anagrelide is combined with Domperidone.]
[C07AA01, alprenolol, The metabolism of Domperidone can be decreased when combined with Alprenolol.]
[L03AB09, interferon alfacon-1, The metabolism of Domperidone can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Domperidone.]
[N06AF05, iproniazid, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Iproniazid is combined with Domperidone.]
[J05AB13, penciclovir, The metabolism of Domperidone can be decreased when combined with Penciclovir.]
[N06AF01, isocarboxazid, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Isocarboxazid is combined with Domperidone.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Domperidone.]
[N04BX02, entacapone, The metabolism of Domperidone can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Domperidone can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The metabolism of Domperidone can be decreased when combined with Reboxetine.]
[H01AC01, somatropin, The metabolism of Domperidone can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Domperidone can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Domperidone.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Domperidone.]
[J02AB02, ketoconazole, The risk or severity of QTc prolongation can be increased when Ketoconazole is combined with Domperidone.]
[N05AH03, olanzapine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The metabolism of Domperidone can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Domperidone can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Domperidone can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Mizolastine is combined with Domperidone.]
[N04BC09, rotigotine, The metabolism of Domperidone can be decreased when combined with Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Domperidone.]
[C07AG01, labetalol, The metabolism of Domperidone can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Domperidone.]
[G03AD01, levonorgestrel, The metabolism of Domperidone can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The therapeutic efficacy of Levodopa can be decreased when used in combination with Domperidone.]
[S02DA01, lidocaine, The metabolism of Domperidone can be decreased when combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Domperidone.]
[N06BA13, armodafinil, The metabolism of Domperidone can be increased when combined with Armodafinil.]
[N02CA07, lisuride, The therapeutic efficacy of Lisuride can be decreased when used in combination with Domperidone.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Loperamide is combined with Domperidone.]
[C10AA02, lovastatin, The metabolism of Domperidone can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Domperidone.]
[L01EA03, nilotinib, The metabolism of Domperidone can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The therapeutic efficacy of Domperidone can be decreased when used in combination with Maprotiline.]
[R06AE05, meclizine, The metabolism of Domperidone can be decreased when combined with Meclizine.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Domperidone.]
[N05CH01, melatonin, The metabolism of Domperidone can be decreased when combined with Melatonin.]
[N06DX01, memantine, The metabolism of Domperidone can be decreased when combined with Memantine.]
[N02AB02, meperidine, The metabolism of Domperidone can be decreased when combined with Meperidine.]
[N03AB04, mephenytoin, The metabolism of Domperidone can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Domperidone can be decreased when combined with Methylphenobarbital.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Mesoridazine is combined with Domperidone.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Domperidone.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Methadone is combined with Domperidone.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Domperidone.]
[A03AB07, methantheline, The therapeutic efficacy of Domperidone can be decreased when used in combination with Methantheline.]
[G02CB05, metergoline, The therapeutic efficacy of Metergoline can be decreased when used in combination with Domperidone.]
[H03BB02, methimazole, The metabolism of Domperidone can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Domperidone can be decreased when combined with Pemetrexed.]
[L04AX03, methotrexate, The excretion of Methotrexate can be decreased when combined with Domperidone.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Domperidone can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Domperidone can be decreased when combined with Methoxyflurane.]
[V04CG05, methylene blue, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Methylene blue is combined with Domperidone.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Domperidone.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Domperidone.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Metoclopramide is combined with Domperidone.]
[C07AB02, metoprolol, The metabolism of Domperidone can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Domperidone.]
[C01BB02, mexiletine, The metabolism of Domperidone can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Domperidone.]
[S02AA13, miconazole, The metabolism of Domperidone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Domperidone.]
[N05CD08, midazolam, The metabolism of Domperidone can be decreased when combined with Midazolam.]
[G03XB01, mifepristone, The serum concentration of Domperidone can be increased when it is combined with Mifepristone.]
[L01XX23, mitotane, The metabolism of Domperidone can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Domperidone can be decreased when combined with Lisdexamfetamine.]
[C01BD01, amiodarone, The metabolism of Domperidone can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The therapeutic efficacy of Domperidone can be decreased when used in combination with Amitriptyline.]
[N02AA01, morphine, The metabolism of Domperidone can be decreased when combined with Morphine.]
[A04AA05, palonosetron, The metabolism of Domperidone can be decreased when combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Domperidone can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Domperidone can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Domperidone.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Domperidone.]
[G03XC01, raloxifene, The metabolism of Domperidone can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Domperidone.]
[L03AB08, interferon beta-1b, The metabolism of Domperidone can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Domperidone.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Domperidone.]
[J01CF06, nafcillin, The metabolism of Domperidone can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Domperidone can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Domperidone can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Domperidone can be decreased when combined with Amphetamine.]
[M02AA12, naproxen, The metabolism of Domperidone can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Domperidone can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Domperidone can be decreased when combined with Duloxetine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Domperidone.]
[A10BX02, repaglinide, The metabolism of Domperidone can be decreased when combined with Repaglinide.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Levosimendan is combined with Domperidone.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The metabolism of Domperidone can be decreased when combined with Desvenlafaxine.]
[C10AD02, niacin, The metabolism of Domperidone can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Nialamide is combined with Domperidone.]
[C08CA04, nicardipine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Domperidone can be decreased when combined with Nicergoline.]
[P02DA01, niclosamide, The metabolism of Domperidone can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Domperidone can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Domperidone.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Domperidone.]
[C08CA07, nisoldipine, The metabolism of Domperidone can be decreased when combined with Nisoldipine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Domperidone.]
[N05CF03, zaleplon, The metabolism of Domperidone can be decreased when combined with Zaleplon.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Domperidone.]
[G03DC02, norethindrone, The metabolism of Domperidone can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Domperidone.]
[N06AA10, nortriptyline, The therapeutic efficacy of Domperidone can be decreased when used in combination with Nortriptyline.]
[L03AB07, interferon beta-1a, The metabolism of Domperidone can be decreased when combined with Interferon beta-1a.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Domperidone.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Domperidone.]
[L04AC04, rilonacept, The metabolism of Domperidone can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Domperidone can be decreased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Domperidone.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Domperidone.]
[G04CA02, tamsulosin, The metabolism of Domperidone can be decreased when combined with Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Domperidone can be decreased when combined with Oxamniquine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Domperidone.]
[C07AA02, oxprenolol, The metabolism of Domperidone can be decreased when combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Domperidone can be decreased when combined with Oxycodone.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Domperidone.]
[A03AB03, oxyphenonium, The therapeutic efficacy of Domperidone can be decreased when used in combination with Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Domperidone.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Asenapine.]
[M03AC01, pancuronium, The therapeutic efficacy of Domperidone can be decreased when used in combination with Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Domperidone.]
[H02AB05, paramethasone, The metabolism of Domperidone can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Pargyline is combined with Domperidone.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Domperidone.]
[G04BD11, fesoterodine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Fesoterodine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Domperidone.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Penfluridol is combined with Domperidone.]
[N05CA01, pentobarbital, The metabolism of Domperidone can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The metabolism of Domperidone can be decreased when combined with Pentoxifylline.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Domperidone.]
[C08EX02, perhexiline, The metabolism of Domperidone can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Domperidone can be decreased when combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Domperidone.]
[N06AF03, phenelzine, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Phenelzine is combined with Domperidone.]
[A10BA01, phenformin, The metabolism of Domperidone can be decreased when combined with Phenformin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Domperidone.]
[N03AA02, phenobarbital, The metabolism of Domperidone can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Domperidone.]
[S01GA05, phenylephrine, The metabolism of Domperidone can be increased when combined with Phenylephrine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Domperidone.]
[L04AB06, golimumab, The metabolism of Domperidone can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Domperidone.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Mibefradil is combined with Domperidone.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Domperidone.]
[C07AA03, pindolol, The metabolism of Domperidone can be decreased when combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Domperidone can be decreased when combined with Atorvastatin.]
[J05AE01, saquinavir, The metabolism of Domperidone can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Domperidone can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The metabolism of Domperidone can be decreased when combined with Pipotiazine.]
[A02BX03, pirenzepine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Domperidone.]
[S01BC06, piroxicam, The metabolism of Domperidone can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Grepafloxacin is combined with Domperidone.]
[N02CX01, pizotyline, The therapeutic efficacy of Domperidone can be decreased when used in combination with Pizotifen.]
[J05AG02, delavirdine, The metabolism of Domperidone can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Domperidone can be decreased when combined with Irbesartan.]
[D05AX05, tazarotene, The metabolism of Domperidone can be decreased when combined with Tazarotene.]
[A10BG02, rosiglitazone, The metabolism of Domperidone can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Domperidone.]
[A03AE01, alosetron, The metabolism of Domperidone can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Domperidone can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Domperidone can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Domperidone.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Domperidone.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Domperidone.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Domperidone.]
[P02BA01, praziquantel, The metabolism of Domperidone can be decreased when combined with Praziquantel.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Antazoline is combined with Domperidone.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Prenylamine is combined with Domperidone.]
[P01BA03, primaquine, The metabolism of Domperidone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Domperidone can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Domperidone can be increased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Probucol is combined with Domperidone.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Domperidone.]
[S01HA05, procaine, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Procaine is combined with Domperidone.]
[L01XB01, procarbazine, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Procarbazine is combined with Domperidone.]
[C10AB05, fenofibrate, The metabolism of Domperidone can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Domperidone.]
[N04AA04, procyclidine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Procyclidine.]
[G03DA04, progesterone, The metabolism of Domperidone can be decreased when combined with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Promethazine.]
[C01BC03, propafenone, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Domperidone.]
[A03AB05, propantheline, The therapeutic efficacy of Domperidone can be decreased when used in combination with Propantheline.]
[N05CM06, propiomazine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Domperidone.]
[N02AC04, propoxyphene, The metabolism of Domperidone can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Domperidone can be decreased when combined with Propranolol.]
[R03DC03, montelukast, The metabolism of Domperidone can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Domperidone.]
[N05AX12, aripiprazole, The therapeutic efficacy of Domperidone can be decreased when used in combination with Aripiprazole.]
[A03AB15, diphemanil, The therapeutic efficacy of Domperidone can be decreased when used in combination with Diphemanil.]
[A03AB09, isopropamide, The therapeutic efficacy of Domperidone can be decreased when used in combination with Isopropamide.]
[S01FA03, methscopolamine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Methscopolamine.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Domperidone.]
[P01BD01, pyrimethamine, The metabolism of Domperidone can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Domperidone can be decreased when combined with Quinacrine.]
[C01BA01, quinidine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Quinidine.]
[P01BC01, quinine, The metabolism of Domperidone can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Domperidone can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The metabolism of Domperidone can be increased when combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Domperidone can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Roxithromycin is combined with Domperidone.]
[S01FA02, scopolamine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Scopolamine.]
[N05CA06, secobarbital, The metabolism of Domperidone can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Selegiline is combined with Domperidone.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Domperidone.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Domperidone.]
[C03DA01, spironolactone, The metabolism of Domperidone can be decreased when combined with Spironolactone.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Domperidone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Domperidone.]
[H02CA04, levoketoconazole, The metabolism of Domperidone can be decreased when combined with Levoketoconazole.]
[R03BB01, ipratropium bromide, The therapeutic efficacy of Domperidone can be decreased when used in combination with Ipratropium.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AD08, droperidol, QT prolonging agents - QT prolonging agents]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[S01AA17, erythromycin, QT prolonging agents - QT prolonging agents]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
[R06AX12, terfenadine, QT prolonging agents - QT prolonging agents]
[C01BC04, flecainide, QT prolonging agents - QT prolonging agents]
[J02AC01, fluconazole, QT prolonging agents - QT prolonging agents]
[C01BD04, dofetilide, QT prolonging agents - QT prolonging agents]
[P01BX01, halofantrine, QT prolonging agents - QT prolonging agents]
[N05AD01, haloperidol, QT prolonging agents - QT prolonging agents]
[P01BA02, hydroxychloroquine, QT prolonging agents - QT prolonging agents]
[H01BA04, terlipressin, QT prolonging agents - QT prolonging agents]
[L01XX35, anagrelide, QT prolonging agents - QT prolonging agents]
[N05AC03, mesoridazine, QT prolonging agents - QT prolonging agents]
[N07BC02, methadone, QT prolonging agents - QT prolonging agents]
[N05AA02, methotrimeprazine, QT prolonging agents - QT prolonging agents]
[C01BD01, amiodarone, QT prolonging agents - QT prolonging agents]
[S01AE05, levofloxacin, QT prolonging agents - QT prolonging agents]
[N05AG02, pimozide, QT prolonging agents - QT prolonging agents]
[J01MA11, grepafloxacin, QT prolonging agents - QT prolonging agents]
[C10AX02, probucol, QT prolonging agents - QT prolonging agents]
[C01BA02, procainamide, QT prolonging agents - QT prolonging agents]
[N01AX10, propofol, QT prolonging agents - QT prolonging agents]
[C01BA01, quinidine, QT prolonging agents - QT prolonging agents]
[J01FA06, roxithromycin, QT prolonging agents - QT prolonging agents]
[C07AA07, sotalol, QT prolonging agents - QT prolonging agents]
