[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Norfloxacin.]
[A12AA13, calcium citrate, Calcium citrate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA10, calcium gluceptate, Calcium glucoheptonate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA05, calcium lactate, Calcium lactate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Methsuximide.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Lapatinib.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Norfloxacin.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Norfloxacin.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Norfloxacin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Dofetilide.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Norfloxacin.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Norfloxacin.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Norfloxacin.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Histrelin.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Quetiapine.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Norfloxacin.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Norfloxacin.]
[B05CB03, magnesium citrate, Magnesium citrate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC03, magnesium gluconate, Magnesium gluconate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A07EC02, mesalamine, Mesalazine may increase the neuroexcitatory activities of Norfloxacin.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may increase the neuroexcitatory activities of Norfloxacin.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Norfloxacin.]
[S02BA01, hydrocortisone, The risk or severity of tendinopathy can be increased when Hydrocortisone is combined with Norfloxacin.]
[D07AB02, hydrocortisone butyrate, The risk or severity of tendinopathy can be increased when Hydrocortisone butyrate is combined with Norfloxacin.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Hydroxychloroquine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Hydroxyzine.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Risedronic acid is combined with Norfloxacin.]
[R02AX02, ibuprofen, Ibuprofen may increase the neuroexcitatory activities of Norfloxacin.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Norfloxacin.]
[L01CD01, paclitaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Norfloxacin.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be decreased when combined with Norfloxacin.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Norfloxacin.]
[S01BC01, indomethacin, Indomethacin may increase the neuroexcitatory activities of Norfloxacin.]
[A16AX05, zinc acetate, Zinc acetate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CB02, zinc gluconate, Zinc gluconate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Norfloxacin.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Norfloxacin.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Norfloxacin.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Norfloxacin.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Norfloxacin.]
[C10AA06, cerivastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cerivastatin is combined with Norfloxacin.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Norfloxacin.]
[V03AB01, ipecac, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Ipecac.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Stavudine is combined with Norfloxacin.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Norfloxacin.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Norfloxacin.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Norfloxacin.]
[J04AC01, isoniazid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Norfloxacin.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Norfloxacin.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isotretinoin is combined with Norfloxacin.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ivermectin is combined with Norfloxacin.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Norfloxacin.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J02AB02, ketoconazole, The risk or severity of QTc prolongation can be increased when Ketoconazole is combined with Norfloxacin.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Norfloxacin.]
[M02AA10, ketoprofen, Ketoprofen may increase the neuroexcitatory activities of Norfloxacin.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Mizolastine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may increase the neuroexcitatory activities of Norfloxacin.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Norfloxacin.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Norfloxacin.]
[J01CA11, amdinocillin, The serum concentration of Norfloxacin can be increased when it is combined with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The serum concentration of Norfloxacin can be increased when it is combined with Pivmecillinam.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Lidoflazine.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Norfloxacin.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Loperamide.]
[A12AA11, calcium pangamate, Calcium pangamate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Norfloxacin.]
[B05XA11, magnesium chloride, Magnesium chloride can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, Magnesium sulfate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Norfloxacin.]
[M02AA18, meclofenamic acid, Meclofenamic acid may increase the neuroexcitatory activities of Norfloxacin.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Norfloxacin.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Norfloxacin.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Norfloxacin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Mepivacaine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Paliperidone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Norfloxacin.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Methadone.]
[J05AF05, lamivudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Norfloxacin.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Norfloxacin.]
[L04AX03, methotrexate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Methotrexate is combined with Norfloxacin.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Methotrimeprazine.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Methyldopa is combined with Norfloxacin.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Norfloxacin.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Norfloxacin.]
[H02AB04, methylprednisolone, The risk or severity of tendinopathy can be increased when Methylprednisolone is combined with Norfloxacin.]
[D07AC14, methylprednisolone aceponate, The risk or severity of tendinopathy can be increased when Methylprednisolone aceponate is combined with Norfloxacin.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Metoclopramide.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Norfloxacin.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Norfloxacin.]
[J01CA10, mezlocillin, The serum concentration of Norfloxacin can be increased when it is combined with Mezlocillin.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Norfloxacin.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Norfloxacin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Norfloxacin.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be increased when used in combination with Norfloxacin.]
[J01AA08, minocycline, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Minocycline is combined with Norfloxacin.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Amiodarone.]
[N06AA09, amitriptyline, Norfloxacin may increase the QTc-prolonging activities of Amitriptyline.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Norfloxacin.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Norfloxacin.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Norfloxacin.]
[J05AJ01, raltegravir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Raltegravir.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Norfloxacin.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Norfloxacin.]
[J01CA04, amoxicillin, The serum concentration of Norfloxacin can be increased when it is combined with Amoxicillin.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Norfloxacin is combined with Ropinirole.]
[J01CF06, nafcillin, The serum concentration of Norfloxacin can be increased when it is combined with Nafcillin.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Naltrexone is combined with Norfloxacin.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Norfloxacin.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Norfloxacin.]
[L01CD02, docetaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Docetaxel.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Letrozole is combined with Norfloxacin.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Norfloxacin.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Levosimendan.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Norfloxacin.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Amphotericin B is combined with Norfloxacin.]
[S01AA19, ampicillin, The serum concentration of Norfloxacin can be increased when it is combined with Ampicillin.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Niacin is combined with Norfloxacin.]
[C08CA04, nicardipine, The risk or severity of QTc prolongation can be increased when Nicardipine is combined with Norfloxacin.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Norfloxacin.]
[M02AA17, niflumic acid, Niflumic acid may increase the neuroexcitatory activities of Norfloxacin.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Nimodipine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Norfloxacin.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Norfloxacin can be decreased when used in combination with Nitrofurantoin.]
[C02DD01, nitroprusside, Nitroprusside can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Pipemidic acid.]
[N06AA10, nortriptyline, The risk or severity of QTc prolongation can be increased when Nortriptyline is combined with Norfloxacin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Norfloxacin.]
[S02AA16, ofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Ofloxacin.]
[J01CF04, oxacillin, The serum concentration of Norfloxacin can be increased when it is combined with Oxacillin.]
[V08CB01, ferumoxsil, Ferumoxsil can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Oxolinic acid.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may increase the neuroexcitatory activities of Norfloxacin.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Norfloxacin.]
[V04CH30, 4-aminohippuric acid, The excretion of Aminohippuric acid can be decreased when combined with Norfloxacin.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Asenapine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of tendinopathy can be increased when Paramethasone is combined with Norfloxacin.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Norfloxacin.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Penfluridol.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Penicillamine is combined with Norfloxacin.]
[S01AA14, penicillin G, The serum concentration of Norfloxacin can be increased when it is combined with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The serum concentration of Norfloxacin can be increased when it is combined with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The serum concentration of Norfloxacin can be increased when it is combined with Phenoxymethylpenicillin.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Norfloxacin.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Norfloxacin.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Norfloxacin.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Norfloxacin.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Norfloxacin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Pheniramine.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Norfloxacin.]
[M02AA01, phenylbutazone, Phenylbutazone may increase the neuroexcitatory activities of Norfloxacin.]
[N03AB02, phenytoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Phenytoin is combined with Norfloxacin.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Levofloxacin.]
[J05AB12, cidofovir, The excretion of Cidofovir can be decreased when combined with Norfloxacin.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Norfloxacin.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Norfloxacin.]
[J01CA12, piperacillin, The serum concentration of Norfloxacin can be increased when it is combined with Piperacillin.]
[J05AE01, saquinavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Saquinavir.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Eprosartan is combined with Norfloxacin.]
[S01BC06, piroxicam, Piroxicam may increase the neuroexcitatory activities of Norfloxacin.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Grepafloxacin.]
[J01CA02, pivampicillin, The serum concentration of Norfloxacin can be increased when it is combined with Pivampicillin.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Norfloxacin.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Norfloxacin.]
[J05AE03, ritonavir, The risk or severity of QTc prolongation can be increased when Ritonavir is combined with Norfloxacin.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Norfloxacin.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Norfloxacin.]
[C10AA08, pitavastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Pitavastatin.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Prajmaline.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Norfloxacin.]
[S03BA02, prednisolone, The risk or severity of tendinopathy can be increased when Prednisolone is combined with Norfloxacin.]
[H02AB07, prednisone, The risk or severity of tendinopathy can be increased when Prednisone is combined with Norfloxacin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Norfloxacin.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Norfloxacin which could result in a higher serum level.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Procarbazine.]
[C10AB05, fenofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Fenofibrate is combined with Norfloxacin.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Prochlorperazine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Norfloxacin.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Norfloxacin.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Norfloxacin.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Norfloxacin.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Norfloxacin.]
[R03DC03, montelukast, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Montelukast is combined with Norfloxacin.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Norfloxacin.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Norfloxacin.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Mepyramine.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Quinidine.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be increased when used in combination with Norfloxacin.]
[A02BA02, ranitidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Norfloxacin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may increase the neuroexcitatory activities of Norfloxacin.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the neuroexcitatory activities of Norfloxacin.]
[S01BC08, salicylic acid, Salicylic acid may increase the neuroexcitatory activities of Norfloxacin.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Norfloxacin.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Sotalol.]
