[S02DA03, antipyrine, The metabolism of Lacosamide can be decreased when combined with Antipyrine.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Toloxatone.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Lacosamide.]
[C03CA04, torsemide, The metabolism of Lacosamide can be decreased when combined with Torasemide.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Lacosamide.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Lacosamide is combined with Triclofos.]
[A03AB08, tridihexethyl, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Lacosamide.]
[N04AA12, tropatepine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Lacosamide.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Lacosamide is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Lacosamide is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Lacosamide.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Lacosamide.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Lacosamide.]
[C08CA12, mepirodipine, The metabolism of Lacosamide can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Lacosamide can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Lacosamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Lacosamide.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Lacosamide.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Lacosamide.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Lacosamide.]
[N02CA02, ergotamine, The metabolism of Lacosamide can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Lacosamide.]
[S01AA17, erythromycin, The metabolism of Lacosamide can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Lacosamide.]
[A02BC02, pantoprazole, The metabolism of Lacosamide can be decreased when combined with Pantoprazole.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Lacosamide.]
[J04AK02, ethambutol, The metabolism of Lacosamide can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The metabolism of Lacosamide can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Lacosamide can be decreased when combined with Fluvastatin.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Lacosamide.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Lacosamide.]
[N04AA05, profenamine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Lacosamide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Lacosamide.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Lacosamide.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Lacosamide.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Lacosamide.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Sertindole is combined with Lacosamide.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Lacosamide.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Lacosamide.]
[R06AX12, terfenadine, The metabolism of Lacosamide can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Lacosamide.]
[N06AB08, fluvoxamine, The metabolism of Lacosamide can be decreased when combined with Fluvoxamine.]
[P02CA03, albendazole, The metabolism of Lacosamide can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Lacosamide can be decreased when combined with Felodipine.]
[C08EA01, fendiline, Lacosamide may increase the bradycardic activities of Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Lacosamide.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Lacosamide.]
[G04BD02, flavoxate, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Lacosamide can be decreased when combined with Flecainide.]
[J01CF05, floxacillin, The metabolism of Lacosamide can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Lacosamide can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Lacosamide.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Lacosamide.]
[D07AC08, fluocinonide, The metabolism of Lacosamide can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Lacosamide is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Lacosamide can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Lacosamide can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Lacosamide can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Lacosamide.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Lacosamide.]
[S01BC04, flurbiprofen, The metabolism of Lacosamide can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Fluspirilene is combined with Lacosamide.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Lacosamide is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Lacosamide.]
[J05AE10, darunavir, The metabolism of Lacosamide can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Lacosamide is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Lacosamide is combined with Amisulpride.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Lacosamide.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Gallamine.]
[C08DA02, gallopamil, Lacosamide may increase the bradycardic activities of Gallopamil.]
[S01AD09, ganciclovir, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Lacosamide is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Lacosamide can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Lacosamide.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Lacosamide.]
[C01CA21, cafedrine, Lacosamide may increase the excretion rate of Cafedrine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AG04, etravirine, The metabolism of Lacosamide can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Methsuximide is combined with Lacosamide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Lacosamide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Lacosamide.]
[L01EH01, lapatinib, The metabolism of Lacosamide can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Lacosamide can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Lacosamide can be decreased when combined with Gliclazide.]
[A10BB07, glipizide, The metabolism of Lacosamide can be decreased when combined with Glipizide.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Lacosamide.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Lacosamide.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Lacosamide.]
[C02CA04, doxazosin, The metabolism of Lacosamide can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Lacosamide can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Esmolol may increase the bradycardic activities of Lacosamide.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Lacosamide.]
[D01BA01, griseofulvin, The metabolism of Lacosamide can be increased when combined with Griseofulvin.]
[P01BX01, halofantrine, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Lacosamide.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Lacosamide.]
[N05AH04, quetiapine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Lacosamide is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Lacosamide.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Lacosamide is combined with Allobarbital.]
[C09CA01, losartan, The metabolism of Lacosamide can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, The metabolism of Lacosamide can be decreased when combined with Allylestrenol.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Lacosamide.]
[J05AG01, nevirapine, The metabolism of Lacosamide can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Lacosamide can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may increase the bradycardic activities of Lacosamide.]
[C02DB02, hydralazine, The metabolism of Lacosamide can be decreased when combined with Hydralazine.]
[R05DA03, hydrocodone, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Lacosamide can be increased when combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Lacosamide can be increased when combined with Hydrocortisone butyrate.]
[G04BD06, propiverine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Lacosamide is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[J04AB04, rifabutin, The metabolism of Lacosamide can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Lacosamide can be decreased when combined with Ibuprofen.]
[L01DB06, idarubicin, The metabolism of Lacosamide can be decreased when combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Lacosamide.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Lacosamide.]
[N06AA02, imipramine, The metabolism of Lacosamide can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Lacosamide.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Lacosamide.]
[L01CE01, topotecan, Lacosamide may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The metabolism of Lacosamide can be decreased when combined with Indomethacin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Lacosamide is combined with Milnacipran.]
[A03AA30, piperidolate, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Articaine.]
[V08AB02, iohexol, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Lacosamide.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Lacosamide.]
[R06AE01, buclizine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Lacosamide can be increased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Lacosamide.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Lacosamide is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Iproniazid is combined with Lacosamide.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Lacosamide.]
[P01AX06, atovaquone, The metabolism of Lacosamide can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Lacosamide.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Lacosamide.]
[J04AC01, isoniazid, The metabolism of Lacosamide can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Lacosamide.]
[L04AC07, tocilizumab, The metabolism of Lacosamide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Lacosamide.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Lacosamide is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Lacosamide can be decreased when combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Lacosamide can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Lacosamide can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[V03AC03, deferasirox, The metabolism of Lacosamide can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Lacosamide can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Lacosamide may increase the sedative activities of Rotigotine.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Gamolenic acid.]
[C07AG01, labetalol, The metabolism of Lacosamide can be decreased when combined with Labetalol.]
[N07XX04, sodium oxybate, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The metabolism of Lacosamide can be decreased when combined with Mefenamic acid.]
[R03BA09, fluticasone furoate, The metabolism of Lacosamide can be increased when combined with Fluticasone furoate.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Nalidixic acid.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Levodopa is combined with Lacosamide.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Lidocaine.]
[C08EX01, lidoflazine, Lacosamide may increase the bradycardic activities of Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Lacosamide can be decreased when combined with Armodafinil.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Lacosamide.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Lofepramine.]
[A07DA03, loperamide, Loperamide may increase the bradycardic activities of Lacosamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Lacosamide.]
[C10AA02, lovastatin, The metabolism of Lacosamide can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Lacosamide.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Lacosamide.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Lacosamide.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Lacosamide can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Lacosamide can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Lacosamide.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Lacosamide.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Lacosamide is combined with Medazepam.]
[P01BC02, mefloquine, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Lacosamide.]
[N06DX01, memantine, The metabolism of Lacosamide can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Lacosamide.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Lacosamide.]
[N03AA01, mephobarbital, The metabolism of Lacosamide can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Lacosamide.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Lacosamide is combined with Meptazinol.]
[L02BG01, aminoglutethimide, The metabolism of Lacosamide can be increased when combined with Aminoglutethimide.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Lacosamide.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Paliperidone is combined with Lacosamide.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Lacosamide.]
[H01CB03, lanreotide, Lacosamide may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Lacosamide.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Metamfetamine is combined with Lacosamide.]
[A03AB07, methantheline, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Methapyrilene is combined with Lacosamide.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Methaqualone is combined with Lacosamide.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Lacosamide.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Lacosamide is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Lacosamide can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Lacosamide.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Lacosamide.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Lacosamide is combined with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Lacosamide.]
[N05AA02, methotrimeprazine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Lacosamide.]
[C02AB01, methyldopa, Methyldopa may increase the bradycardic activities of Lacosamide.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Lacosamide is combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Lacosamide can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Lacosamide.]
[N06BA04, methylphenidate, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Methylphenidate.]
[H02AB04, methylprednisolone, The metabolism of Lacosamide can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Lacosamide.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Lacosamide.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Lacosamide.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Lacosamide.]
[C07AB02, metoprolol, Metoprolol may increase the bradycardic activities of Lacosamide.]
[P01AB01, metronidazole, The metabolism of Lacosamide can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Lacosamide can be increased when combined with Metyrapone.]
[N06AX03, mianserin, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Lacosamide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Lacosamide can be decreased when combined with Aminophenazone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Lacosamide.]
[C01CA17, midodrine, Midodrine may increase the bradycardic activities of Lacosamide.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Lacosamide.]
[C09CA03, valsartan, The metabolism of Lacosamide can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[J01FA11, miocamycin, The metabolism of Lacosamide can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Lacosamide can be increased when combined with Mitotane.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Molindone is combined with Lacosamide.]
[L03AC01, aldesleukin, The metabolism of Lacosamide can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Lacosamide can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Lacosamide.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Lacosamide.]
[L04AB05, certolizumab pegol, The metabolism of Lacosamide can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Lacosamide.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Lacosamide.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Lacosamide.]
[P01BA06, amodiaquine, The metabolism of Lacosamide can be decreased when combined with Amodiaquine.]
[G03XC01, raloxifene, The metabolism of Lacosamide can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The serum concentration of Lacosamide can be decreased when it is combined with Fosphenytoin.]
[C07AA12, nadolol, Nadolol may increase the bradycardic activities of Lacosamide.]
[N04BC04, ropinirole, Lacosamide may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Lacosamide can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Lacosamide is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Lacosamide.]
[V03AB15, naloxone, The metabolism of Lacosamide can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Lacosamide can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, The metabolism of Lacosamide can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Lacosamide can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Lacosamide.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Lacosamide.]
[L02BG04, letrozole, The metabolism of Lacosamide can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Lacosamide.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Iloperidone is combined with Lacosamide.]
[J02AA01, amphotericin B, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Amphotericin B.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Lacosamide can be decreased when combined with Telmisartan.]
[C10AD02, niacin, The metabolism of Lacosamide can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Nialamide is combined with Lacosamide.]
[C08CA04, nicardipine, The metabolism of Lacosamide can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Lacosamide.]
[C08CA05, nifedipine, Nifedipine may increase the bradycardic activities of Lacosamide.]
[C08CA06, nimodipine, Nimodipine may increase the bradycardic activities of Lacosamide.]
[C08CA07, nisoldipine, Nisoldipine may increase the bradycardic activities of Lacosamide.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Lacosamide.]
[C08CA08, nitrendipine, Nitrendipine may increase the bradycardic activities of Lacosamide.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Lacosamide.]
[N04BC05, pramipexole, Lacosamide may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Lacosamide is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nomifensine is combined with Lacosamide.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Lacosamide.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Lacosamide.]
[C02KX01, bosentan, The metabolism of Lacosamide can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Lacosamide.]
[R05DA07, noscapine, The metabolism of Lacosamide can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, Nylidrin may increase the bradycardic activities of Lacosamide.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Lacosamide.]
[J01FA05, oleandomycin, The metabolism of Lacosamide can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Lacosamide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Lacosamide can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Lacosamide is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Lacosamide is combined with Opium.]
[A14AA08, oxandrolone, The metabolism of Lacosamide can be decreased when combined with Oxandrolone.]
