[S02DA03, antipyrine, The metabolism of Brivaracetam can be decreased when combined with Antipyrine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Brivaracetam.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Brivaracetam.]
[C01CA23, theodrenaline, Brivaracetam may increase the excretion rate of Theodrenaline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Brivaracetam.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Escitalopram.]
[G04BD08, solifenacin, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N06AA01, desipramine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[V04CH02, indigo carmine, Brivaracetam may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Brivaracetam.]
[S03BA01, dexamethasone, The metabolism of Brivaracetam can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Oxiracetam.]
[N04AA08, dexetimide, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Brivaracetam can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Brivaracetam.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Brivaracetam.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Brivaracetam.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Brivaracetam can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Brivaracetam.]
[C01DA05, pentaerythritol tetranitrate, Brivaracetam may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, Brivaracetam may increase the excretion rate of Pentifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Brivaracetam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Brivaracetam.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Brivaracetam.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Cinchocaine.]
[R05DA08, pholcodine, Brivaracetam may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Brivaracetam can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A03AA07, dicyclomine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Pipamperone.]
[A03AB14, pipenzolate, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Brivaracetam.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Brivaracetam.]
[C08CA03, isradipine, The metabolism of Brivaracetam can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, Brivaracetam may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C01AA05, digoxin, Brivaracetam may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Brivaracetam.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Brivaracetam.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Brivaracetam can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Brivaracetam can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, Brivaracetam may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Brivaracetam can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Brivaracetam.]
[V03AB09, dimercaprol, Brivaracetam may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Pridinol.]
[R06AB03, dimethindene, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Brivaracetam.]
[N06BC02, propentofylline, Brivaracetam may increase the excretion rate of Propentofylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C05CA03, diosmin, The metabolism of Brivaracetam can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Proparacaine.]
[R03DA03, proxyphylline, Brivaracetam may increase the excretion rate of Proxyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Brivaracetam.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Brivaracetam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Brivaracetam.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Brivaracetam.]
[S01AX06, resorcinol, Brivaracetam may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Brivaracetam can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Brivaracetam can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Brivaracetam.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Brivaracetam.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Ropivacaine.]
[A04AD12, aprepitant, The metabolism of Brivaracetam can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Brivaracetam can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Brivaracetam can be decreased when combined with Domperidone.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Brivaracetam.]
[N06AA12, doxepin, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Brivaracetam.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Brivaracetam can be increased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, Brivaracetam may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Brivaracetam may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Brivaracetam.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Brivaracetam can be decreased when combined with Terbinafine.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Brivaracetam resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Thiopropazate.]
[G04BD01, emepronium, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Toloxatone.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Brivaracetam.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Brivaracetam.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Triclofos.]
[A03AB08, tridihexethyl, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Brivaracetam.]
[N04AA12, tropatepine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Brivaracetam.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Veralipride.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Brivaracetam.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Brivaracetam.]
[C08CA12, mepirodipine, The metabolism of Brivaracetam can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Brivaracetam can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Brivaracetam.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Brivaracetam.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Brivaracetam.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Brivaracetam.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Brivaracetam.]
[N02CA02, ergotamine, The metabolism of Brivaracetam can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Brivaracetam may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Brivaracetam can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Brivaracetam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Brivaracetam.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C10AA04, fluvastatin, The metabolism of Brivaracetam can be increased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Brivaracetam.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Brivaracetam.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N04AA05, profenamine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Brivaracetam.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Brivaracetam.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Brivaracetam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Brivaracetam.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Sertindole.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[R06AX12, terfenadine, The metabolism of Brivaracetam can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Brivaracetam.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Brivaracetam may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Brivaracetam may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Brivaracetam can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Brivaracetam.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Brivaracetam.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[G04BD02, flavoxate, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Brivaracetam can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Brivaracetam can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Brivaracetam.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Brivaracetam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Melitracen.]
[V03AZ01, ethanol, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Brivaracetam can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Brivaracetam can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Brivaracetam.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Brivaracetam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Fluspirilene is combined with Brivaracetam.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01BC03, tegafur, Brivaracetam may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Brivaracetam.]
[J05AE10, darunavir, The metabolism of Brivaracetam can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Brivaracetam is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Gallamine.]
[S01AD09, ganciclovir, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Brivaracetam can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Brivaracetam may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Brivaracetam.]
[C01CA21, cafedrine, Brivaracetam may increase the excretion rate of Cafedrine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AG04, etravirine, The metabolism of Brivaracetam can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Methsuximide is combined with Brivaracetam.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Brivaracetam.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Brivaracetam.]
[A10BB01, glyburide, The metabolism of Brivaracetam can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Brivaracetam can be decreased when combined with Gliclazide.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Brivaracetam.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Brivaracetam.]
[C02CA04, doxazosin, The metabolism of Brivaracetam can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Brivaracetam can be decreased when combined with Sorafenib.]
[M01CB04, aurothioglucose, Brivaracetam may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Brivaracetam.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[P01BX01, halofantrine, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Brivaracetam.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Brivaracetam.]
[N05AH04, quetiapine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06BX13, idebenone, Brivaracetam may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Brivaracetam can be decreased when combined with Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Brivaracetam can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, Allylestrenol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Brivaracetam.]
[J05AG01, nevirapine, The metabolism of Brivaracetam can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Brivaracetam can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C02DB02, hydralazine, Hydralazine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Brivaracetam can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Brivaracetam may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[G04BD06, propiverine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
