[P02BB01, trichlorfon, The therapeutic efficacy of Thiopental can be decreased when used in combination with Metrifonate.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Thiopental is combined with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Thiopental.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Thiopental.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Thiopental.]
[N05CM18, dexmedetomidine, Thiopental may increase the hypotensive activities of Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Thiopental is combined with Glutethimide.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Thiopental.]
[C05AE01, nitroglycerin, Thiopental may increase the hypotensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Thiopental may increase the hypotensive activities of Doxazosin.]
[C07AB09, esmolol, Thiopental may increase the hypotensive activities of Esmolol.]
[B01AA12, fluindione, The metabolism of Fluindione can be increased when combined with Thiopental.]
[C09AA09, fosinopril, Thiopental may increase the hypotensive activities of Fosinopril.]
[D01BA01, griseofulvin, The serum concentration of Griseofulvin can be decreased when it is combined with Thiopental.]
[S01EX01, guanethidine, Thiopental may increase the hypotensive activities of Guanethidine.]
[P01BX01, halofantrine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Thiopental.]
[N01AB01, halothane, Thiopental may increase the hypotensive activities of Halothane.]
[N05AH04, quetiapine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Thiopental is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Thiopental is combined with Allobarbital.]
[C09CA01, losartan, The metabolism of Thiopental can be decreased when combined with Losartan.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Thiopental.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Thiopental.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Thiopental.]
[C08CA10, nilvadipine, The metabolism of Thiopental can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The metabolism of Nimesulide can be increased when combined with Thiopental.]
[C09AA04, perindopril, Thiopental may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Thiopental may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Thiopental can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Hydroflumethiazide.]
[G04BD06, propiverine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Thiopental is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Thiopental.]
[J04AB04, rifabutin, The metabolism of Thiopental can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Thiopental may increase the hypotensive activities of Rilmenidine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Thiopental.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Thiopental.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Thiopental is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Thiopental can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, Thiopental may increase the hypotensive activities of Paclitaxel.]
[M03BX02, tizanidine, Thiopental may increase the hypotensive activities of Tizanidine.]
[L01CE01, topotecan, Thiopental may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Indapamide.]
[C02CA02, indoramin, Thiopental may increase the hypotensive activities of Indoramin.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Thiopental.]
[A03AA30, piperidolate, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Articaine.]
[V08AB02, iohexol, The therapeutic efficacy of Thiopental can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Thiopental.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Thiopental is combined with Ramelteon.]
[R06AE01, buclizine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C07AA01, alprenolol, The serum concentration of Alprenolol can be decreased when it is combined with Thiopental.]
[C03BA02, quinethazone, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Quinethazone.]
[N06AA13, iprindole, The metabolism of Iprindole can be increased when combined with Thiopental.]
[N06AF05, iproniazid, Iproniazid may increase the orthostatic hypotensive activities of Thiopental.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Chlorproethazine is combined with Thiopental.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the orthostatic hypotensive activities of Thiopental.]
[C09AA16, imidapril, Thiopental may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, Thiopental may increase the hypotensive activities of Isoflurane.]
[S01EB07, isoflurophate, The therapeutic efficacy of Thiopental can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Thiopental.]
[J04AC01, isoniazid, The metabolism of Thiopental can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The therapeutic efficacy of Thiopental can be decreased when used in combination with Isoprenaline.]
[C01DA14, isosorbide mononitrate, Thiopental may increase the hypotensive activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, Thiopental may increase the hypotensive activities of Isosorbide dinitrate.]
[C04AA01, isoxsuprine, Thiopental may increase the hypotensive activities of Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Thiopental.]
[L04AC07, tocilizumab, The metabolism of Thiopental can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Thiopental is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Thiopental is combined with Ketanserin.]
[N05AH03, olanzapine, The metabolism of Thiopental can be decreased when combined with Olanzapine.]
[L04AA24, abatacept, The metabolism of Thiopental can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Thiopental may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Thiopental can be decreased when used in combination with Nalidixic acid.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Thiopental can be decreased when used in combination with Gamolenic acid.]
[C07AG01, labetalol, Thiopental may increase the hypotensive activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Thiopental is combined with Amantadine.]
[C02AA05, deserpidine, Thiopental may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Thiopental.]
[N07AA30, ambenonium, The therapeutic efficacy of Thiopental can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Thiopental.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Thiopental is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Thiopental may increase the hypotensive activities of Etacrynic acid.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Thiopental.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Lidocaine.]
[C08EX01, lidoflazine, The metabolism of Lidoflazine can be increased when combined with Thiopental.]
[N06BA13, armodafinil, The metabolism of Thiopental can be decreased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Thiopental.]
[C03DB01, amiloride, Thiopental may increase the hypotensive activities of Amiloride.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Thiopental.]
[N06AA07, lofepramine, The metabolism of Lofepramine can be increased when combined with Thiopental.]
[A07DA03, loperamide, The metabolism of Loperamide can be increased when combined with Thiopental.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Thiopental.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Thiopental.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Thiopental.]
[J01AA04, lymecycline, The metabolism of Lymecycline can be increased when combined with Thiopental.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Thiopental.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Thiopental.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Thiopental.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Thiopental can be increased when used in combination with Magnesium sulfate.]
[V04CX04, mannitol, Thiopental may increase the hypotensive activities of Mannitol.]
[N06AA21, maprotiline, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Thiopental.]
[C02BB01, mecamylamine, Thiopental may increase the hypotensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Thiopental is combined with Meclizine.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Medazepam.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Thiopental.]
[G03DB03, medrogestone, The serum concentration of Medrogestone can be decreased when it is combined with Thiopental.]
[P01BC02, mefloquine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Thiopental is combined with Melatonin.]
[N06DX01, memantine, The metabolism of Thiopental can be decreased when combined with Memantine.]
[N02AB02, meperidine, Thiopental may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Meperidine.]
[N03AB04, mephenytoin, The metabolism of Thiopental can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Thiopental.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Thiopental.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Thiopental is combined with Meptazinol.]
[L02BG01, aminoglutethimide, The metabolism of Thiopental can be increased when combined with Aminoglutethimide.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Thiopental.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Thiopental is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Thiopental is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Thiopental.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Thiopental is combined with Metamfetamine.]
[A03AB07, methantheline, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Thiopental is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Thiopental is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Thiopental.]
[S01EC05, methazolamide, Thiopental may increase the hypotensive activities of Methazolamide.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Thiopental is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Thiopental can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Thiopental.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Thiopental.]
[A11HA02, pyridoxine, The metabolism of Thiopental can be increased when combined with Pyridoxine.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Thiopental is combined with Ziconotide.]
[N05AA02, methotrimeprazine, The risk or severity of adverse effects can be increased when Methotrimeprazine is combined with Thiopental.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Thiopental is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Methyclothiazide.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Thiopental.]
[C02AB01, methyldopa, Thiopental may increase the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Methylene blue is combined with Thiopental.]
[R03DA05, aminophylline, The therapeutic efficacy of Thiopental can be decreased when used in combination with Aminophylline.]
[N06BA04, methylphenidate, The therapeutic efficacy of Thiopental can be decreased when used in combination with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Thiopental.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Thiopental is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Thiopental.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Thiopental.]
[C03BA08, metolazone, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Metolazone.]
[C07AB02, metoprolol, Thiopental may increase the hypotensive activities of Metoprolol.]
[P01AB01, metronidazole, The therapeutic efficacy of Thiopental can be decreased when used in combination with Metronidazole.]
[N06AX03, mianserin, The therapeutic efficacy of Thiopental can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Thiopental can be decreased when combined with Miconazole.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Thiopental.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Thiopental.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Thiopental.]
[C09CA03, valsartan, Thiopental may increase the hypotensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Thiopental.]
[D11AX01, minoxidil, Thiopental may increase the hypotensive activities of Minoxidil.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Thiopental is combined with Molindone.]
[L03AC01, aldesleukin, Thiopental may increase the hypotensive activities of Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Thiopental can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Thiopental can be decreased when combined with Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Thiopental is combined with Morphine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Thiopental.]
[L04AB05, certolizumab pegol, The metabolism of Thiopental can be increased when combined with Certolizumab pegol.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Thiopental is combined with Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Thiopental.]
[R03BB01, ipratropium bromide, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be increased when combined with Thiopental.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Thiopental.]
[C07AA12, nadolol, Thiopental may increase the hypotensive activities of Nadolol.]
[N04BC04, ropinirole, Thiopental may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Thiopental is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Thiopental is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Thiopental is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Thiopental can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Thiopental.]
[N06BA01, amphetamine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Amphetamine.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Thiopental is combined with Duloxetine.]
[N04BX01, tolcapone, Thiopental may increase the hypotensive activities of Tolcapone.]
[L02BG04, letrozole, The metabolism of Thiopental can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Thiopental is combined with Remifentanil.]
[C01CX08, levosimendan, Thiopental may increase the hypotensive activities of Levosimendan.]
[S01EB06, neostigmine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Thiopental.]
[J02AA01, amphotericin B, Thiopental may increase the hypotensive activities of Amphotericin B.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Thiopental is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Thiopental can be decreased when combined with Telmisartan.]
[N06AF02, nialamide, Nialamide may increase the orthostatic hypotensive activities of Thiopental.]
[C08CA04, nicardipine, The metabolism of Thiopental can be decreased when combined with Nicardipine.]
[C08CA05, nifedipine, Thiopental may increase the hypotensive activities of Nifedipine.]
[V03AB22, amyl nitrite, Thiopental may increase the hypotensive activities of Amyl Nitrite.]
[C08CA06, nimodipine, Thiopental may increase the hypotensive activities of Nimodipine.]
[C08CA07, nisoldipine, Thiopental may increase the hypotensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Nitrazepam.]
[C08CA08, nitrendipine, Thiopental may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Thiopental may increase the hypotensive activities of Nitric Oxide.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Thiopental is combined with Zaleplon.]
[N04BC05, pramipexole, Thiopental may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Thiopental may increase the hypotensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Thiopental is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Thiopental is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Thiopental.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Thiopental.]
[C02KX01, bosentan, Thiopental may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Thiopental.]
[G02CA02, nylidrin, The metabolism of Nylidrin can be increased when combined with Thiopental.]
[L04AC04, rilonacept, The metabolism of Thiopental can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Thiopental can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The metabolism of Opipramol can be increased when combined with Thiopental.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Thiopental is combined with Opium.]
[G04CA02, tamsulosin, Thiopental may increase the hypotensive activities of Tamsulosin.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Oxazepam.]
[C07AA02, oxprenolol, Thiopental may increase the hypotensive activities of Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Thiopental is combined with Oxycodone.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Thiopental is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Thiopental is combined with Oxypertine.]
[A03AB03, oxyphenonium, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Thiopental is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Thiopental.]
[M03AC01, pancuronium, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Thiopental.]
[G04BE02, papaverine, Thiopental may increase the hypotensive activities of Papaverine.]
[N05CC05, paraldehyde, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Pargyline may increase the orthostatic hypotensive activities of Thiopental.]
[G04BD11, fesoterodine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Thiopental may increase the hypotensive activities of Penbutolol.]
[N05AG03, penfluridol, The metabolism of Penfluridol can be increased when combined with Thiopental.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Thiopental is combined with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Thiopental.]
[C04AD03, pentoxifylline, The serum concentration of Pentoxifylline can be decreased when it is combined with Thiopental.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Perazine is combined with Thiopental.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Thiopental is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be increased when combined with Thiopental.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Thiopental.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Thiopental is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the orthostatic hypotensive activities of Thiopental.]
[B01AA02, phenindione, The metabolism of Phenindione can be increased when combined with Thiopental.]
[N03AA02, phenobarbital, The metabolism of Thiopental can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Thiopental.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Thiopental is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Thiopental may increase the hypotensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be increased when combined with Thiopental.]
[V03AB36, phentolamine, Thiopental may increase the hypotensive activities of Phentolamine.]
[A02BC06, dexlansoprazole, The metabolism of Thiopental can be decreased when combined with Dexlansoprazole.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The metabolism of Thiopental can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Thiopental can be increased when combined with Golimumab.]
[V03AB19, physostigmine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Physostigmine.]
[C08CX01, mibefradil, The metabolism of Mibefradil can be increased when combined with Thiopental.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Thiopental is combined with Pimozide.]
[C07AA03, pindolol, Thiopental may increase the hypotensive activities of Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Thiopental.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Pipotiazine is combined with Thiopental.]
[C09CA02, eprosartan, Thiopental may increase the hypotensive activities of Eprosartan.]
[A02BX03, pirenzepine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Thiopental is combined with Piritramide.]
[N02CX01, pizotyline, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Thiopental can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Thiopental may increase the hypotensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Thiopental is combined with Proxibarbal.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Thiopental.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Thiopental is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Thiopental can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Thiopental can be decreased when combined with Ritonavir.]
[C07AB01, practolol, The serum concentration of Practolol can be decreased when it is combined with Thiopental.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Thiopental.]
[C02CA01, prazosin, Thiopental may increase the hypotensive activities of Prazosin.]
[C01DX02, prenylamine, The metabolism of Prenylamine can be increased when combined with Thiopental.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Prilocaine.]
[N03AA03, primidone, The metabolism of Thiopental can be increased when combined with Primidone.]
[C01BA02, procainamide, The therapeutic efficacy of Thiopental can be decreased when used in combination with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Procaine.]
[L01XB01, procarbazine, Procarbazine may increase the orthostatic hypotensive activities of Thiopental.]
[C10AB05, fenofibrate, The metabolism of Thiopental can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Thiopental.]
[N04AA04, procyclidine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Thiopental.]
[N05AA03, promazine, The risk or severity of adverse effects can be increased when Promazine is combined with Thiopental.]
[R06AD02, promethazine, The risk or severity of adverse effects can be increased when Promethazine is combined with Thiopental.]
[C01BC03, propafenone, The serum concentration of Propafenone can be decreased when it is combined with Thiopental.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Thiopental is combined with Propanidid.]
[A03AB05, propantheline, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Periciazine is combined with Thiopental.]
[N05CM06, propiomazine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, Thiopental may increase the hypotensive activities of Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Thiopental is combined with Dextropropoxyphene.]
[C07AA05, propranolol, Thiopental may increase the hypotensive activities of Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Thiopental is combined with Rizatriptan.]
[B01AC09, epoprostenol, Thiopental may increase the hypotensive activities of Epoprostenol.]
[N06AA11, protriptyline, The metabolism of Protriptyline can be increased when combined with Thiopental.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Thiopental.]
[A03AB15, diphemanil, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Thiopental.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Thiopental is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Thiopental is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Thiopental is combined with Styramate.]
