[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Meperidine.]
[L01AX04, dacarbazine, Meperidine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Meperidine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Meperidine is combined with Dantrolene.]
[L01DB02, daunorubicin, The metabolism of Meperidine can be decreased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Meperidine is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N07BB05, nalmefene, The therapeutic efficacy of Meperidine can be decreased when used in combination with Nalmefene.]
[B05XA15, potassium lactate, The therapeutic efficacy of Potassium lactate can be decreased when used in combination with Meperidine.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Nordazepam.]
[S01GX04, nedocromil, Meperidine may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Meperidine can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Meperidine is combined with Niaprazine.]
[C01DX16, nicorandil, Meperidine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Meperidine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Meperidine is combined with Tiagabine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Meperidine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Meperidine is combined with Normethadone.]
[B01AX05, fondaparinux, Meperidine may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of adverse effects can be increased when Solifenacin is combined with Meperidine.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N06AA01, desipramine, The risk or severity of adverse effects can be increased when Desipramine is combined with Meperidine.]
[H01BA02, desmopressin, The risk or severity of hyponatremia can be increased when Meperidine is combined with Desmopressin.]
[V04CH02, indigo carmine, Meperidine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Meperidine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxiracetam.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Dexetimide is combined with Meperidine.]
[G04BD04, oxybutynin, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Meperidine.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Meperidine.]
[L04AB04, adalimumab, The metabolism of Meperidine can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Meperidine can be increased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Meperidine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Meperidine is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Meperidine is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Paroxetine.]
[B01AC04, clopidogrel, Meperidine can cause a decrease in the absorption of Clopidogrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Meperidine is combined with Diamorphine.]
[P03AC04, permethrin, Meperidine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Meperidine is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Meperidine is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Meperidine is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Meperidine is combined with Cinchocaine.]
[R05DA08, pholcodine, Meperidine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Meperidine.]
[J01CF01, dicloxacillin, The metabolism of Meperidine can be increased when combined with Dicloxacillin.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Dicyclomine is combined with Meperidine.]
[J05AF02, didanosine, Meperidine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Meperidine is combined with Pipamperone.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Pipenzolate is combined with Meperidine.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Meperidine.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Meperidine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The therapeutic efficacy of Meperidine can be increased when used in combination with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Meperidine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Meperidine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Meperidine can be increased when combined with Difluocortolone.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Poldine is combined with Meperidine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Meperidine.]
[C01AA05, digoxin, Meperidine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Meperidine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Meperidine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Meperidine.]
[L04AX04, lenalidomide, Meperidine may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Meperidine can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, Meperidine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Meperidine may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Meperidine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Meperidine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Meperidine is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Meperidine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Meperidine is combined with Pridinol.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Dimetindene is combined with Meperidine.]
[M02AX03, dimethyl sulfoxide, The metabolism of Meperidine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Meperidine is combined with Progabide.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C05CA03, diosmin, The metabolism of Meperidine can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The risk or severity of adverse effects can be increased when Diphenhydramine is combined with Meperidine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Meperidine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Meperidine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Meperidine is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Meperidine is combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Meperidine.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Meperidine is combined with Remoxipride.]
[S01AX06, resorcinol, Meperidine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of adverse effects can be increased when Disopyramide is combined with Meperidine.]
[S02AA12, rifamycin SV, The metabolism of Meperidine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Meperidine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Meperidine is combined with Riluzole.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Meperidine is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Meperidine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Meperidine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Meperidine.]
[A04AD12, aprepitant, The metabolism of Meperidine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Meperidine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Meperidine.]
[J05AE07, fosamprenavir, The metabolism of Meperidine can be decreased when combined with Fosamprenavir.]
[G04BE08, tadalafil, Meperidine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C01CA07, dobutamine, Meperidine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Meperidine.]
[C01CA04, dopamine, Meperidine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The risk or severity of adverse effects can be increased when Dosulepin is combined with Meperidine.]
[N06AA12, doxepin, The risk or severity of adverse effects can be increased when Doxepin is combined with Meperidine.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Meperidine.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Meperidine.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Meperidine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[A08AA10, sibutramine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Meperidine can be increased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Meperidine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Meperidine.]
[R03DA01, dyphylline, Meperidine may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Meperidine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Meperidine is combined with Sumatriptan.]
[V04CX07, edrophonium, Meperidine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[H01AA01, corticotropin, The metabolism of Meperidine can be increased when combined with Corticotropin.]
[L01AX03, temozolomide, Meperidine may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Meperidine can be increased when combined with Terbinafine.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Meperidine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Meperidine is combined with Thiopropazate.]
[G04BD01, emepronium, The risk or severity of adverse effects can be increased when Emepronium is combined with Meperidine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Meperidine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Meperidine is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Toloxatone is combined with Meperidine.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Meperidine.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Meperidine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Meperidine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Meperidine is combined with Triclofos.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Meperidine.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Meperidine is combined with Trimethobenzamide.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Tropatepine is combined with Meperidine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Meperidine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Meperidine is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Meperidine is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Meperidine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Meperidine is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Meperidine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Meperidine can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Meperidine is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Meperidine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Meperidine is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Meperidine is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of hypotension and CNS depression can be increased when Moricizine is combined with Meperidine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Meperidine is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Meperidine is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Meperidine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Meperidine.]
[L03AX05, pidotimod, Meperidine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Meperidine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Meperidine is combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[G03CA03, estradiol, Meperidine may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[R03BA05, fluticasone, The metabolism of Meperidine can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Meperidine can be increased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C01CA15, gepefrine, The therapeutic efficacy of Meperidine can be increased when used in combination with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Meperidine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Meperidine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Meperidine is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Meperidine is combined with Ethotoin.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Meperidine is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Meperidine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Meperidine.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Meperidine is combined with Sertindole.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Meperidine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Meperidine.]
[R06AX12, terfenadine, The metabolism of Meperidine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Meperidine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Meperidine.]
[N06AB08, fluvoxamine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Meperidine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Meperidine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[A16AA01, levocarnitine, Meperidine may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Meperidine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Fenfluramine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Fenoterol is combined with Meperidine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Meperidine is combined with Fentanyl.]
[R03CC02, albuterol, Meperidine may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Meperidine may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Flavoxate is combined with Meperidine.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01CF05, floxacillin, The metabolism of Meperidine can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Meperidine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Meperidine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Meperidine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Meperidine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Meperidine can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Meperidine is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Meperidine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Fluoxetine.]
[N05AF01, flupenthixol, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Meperidine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Flurazepam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Meperidine is combined with Fluspirilene.]
[L02BB01, flutamide, Meperidine may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[S02AA17, fosfomycin, Meperidine may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[L01BC03, tegafur, Meperidine may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Alcuronium is combined with Meperidine.]
[G01AX06, furazolidone, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Furazolidone is combined with Meperidine.]
[J05AE10, darunavir, The metabolism of Meperidine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Meperidine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Meperidine is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Gallamine is combined with Meperidine.]
[S01AD09, ganciclovir, Meperidine may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Meperidine.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Meperidine is combined with Bifemelane.]
[C10AB04, gemfibrozil, Meperidine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Meperidine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Meperidine.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Meperidine.]
[J05AG04, etravirine, The metabolism of Meperidine can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Meperidine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Meperidine is combined with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Meperidine can be decreased when combined with Lapatinib.]
[A06AH02, alvimopan, The risk or severity of adverse effects can be increased when Meperidine is combined with Alvimopan.]
[A10BB01, glyburide, The metabolism of Meperidine can be decreased when combined with Glyburide.]
[A10BB07, glipizide, Meperidine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Meperidine is combined with Glutethimide.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Meperidine.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Meperidine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Meperidine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Meperidine.]
[M01CB04, aurothioglucose, Meperidine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Meperidine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Meperidine is combined with Fluindione.]
[C09AA09, fosinopril, Meperidine may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[D01BA01, griseofulvin, The metabolism of Meperidine can be increased when combined with Griseofulvin.]
[S01EX01, guanethidine, Meperidine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Meperidine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Meperidine is combined with Halothane.]
[N05AH04, quetiapine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Meperidine.]
[N06BX13, idebenone, Meperidine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Meperidine is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Meperidine.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Meperidine is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Meperidine can be decreased when combined with Losartan.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Meperidine.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Meperidine.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Meperidine.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Meperidine.]
[J05AG01, nevirapine, The metabolism of Meperidine can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Meperidine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C09AA04, perindopril, Meperidine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, The metabolism of Meperidine can be decreased when combined with Hydralazine.]
