[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ketamine.]
[R06AX02, cyproheptadine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Ketamine can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Ketamine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The risk or severity of Tachycardia can be increased when Ketamine is combined with Moxonidine.]
[M01AH05, etoricoxib, The metabolism of Ketamine can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Ketamine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Ketamine.]
[J04BA02, dapsone, The metabolism of Ketamine can be decreased when combined with Dapsone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Ketamine is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ketamine.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N07BB05, nalmefene, Ketamine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Ketamine is combined with Nordazepam.]
[C07AB12, nebivolol, Ketamine may increase the bradycardic activities of Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Ketamine can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Ketamine is combined with Niaprazine.]
[C01DX16, nicorandil, Ketamine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Ketamine can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Ketamine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Ketamine.]
[C01CA05, norfenefrine, The risk or severity of Tachycardia can be increased when Ketamine is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Ketamine is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Ketamine is combined with Escitalopram.]
[G04BD08, solifenacin, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N06AA01, desipramine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[D07XC02, desoximetasone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Desoximetasone.]
[V04CH02, indigo carmine, Ketamine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[H02AA03, desoxycorticosterone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Desoxycortone.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ketamine.]
[S03BA01, dexamethasone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Ketamine is combined with Oxiracetam.]
[N04AA08, dexetimide, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Ketamine can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Ketamine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Ketamine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Ketamine is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Ketamine is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Ketamine can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Ketamine is combined with Diamorphine.]
[P03AC04, permethrin, Ketamine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Ketamine.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Ketamine.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Ketamine.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Ketamine is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Ketamine.]
[R05DA08, pholcodine, Ketamine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Ketamine can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A03AA07, dicyclomine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A10BG03, pioglitazone, The metabolism of Ketamine can be decreased when combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Ketamine is combined with Pipamperone.]
[A03AB14, pipenzolate, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Ketamine.]
[R03CC07, pirbuterol, The risk or severity of Tachycardia can be increased when Ketamine is combined with Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Ketamine.]
[L02AA01, diethylstilbestrol, The metabolism of Ketamine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Ketamine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Difluocortolone.]
[A03AB11, poldine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C01AA05, digoxin, Ketamine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Ketamine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Ketamine.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Ketamine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Ketamine can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, Ketamine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Ketamine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Ketamine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Ketamine.]
[V03AB09, dimercaprol, Ketamine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Ketamine is combined with Pridinol.]
[R06AB03, dimethindene, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of Tachycardia can be increased when Ketamine is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Ketamine.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C05CA03, diosmin, The metabolism of Ketamine can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Ketamine.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Ketamine is combined with Quazepam.]
[B01AC07, dipyridamole, The therapeutic efficacy of Ketamine can be decreased when used in combination with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Ketamine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Ketamine is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Ketamine.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Ketamine.]
[R03CC14, reproterol, The risk or severity of Tachycardia can be increased when Ketamine is combined with Reproterol.]
[S01AX06, resorcinol, Ketamine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Ketamine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Ketamine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Ketamine.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Ketamine.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Ketamine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Ketamine.]
[A04AD12, aprepitant, The metabolism of Ketamine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Ketamine can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S01BC05, ketorolac, The metabolism of Ketamine can be decreased when combined with Ketorolac.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Ketamine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Ketamine can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Ketamine can be decreased when combined with Domperidone.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Ketamine.]
[N06AA12, doxepin, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Ketamine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Ketamine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Ketamine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ketamine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Ketamine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Ketamine can be decreased when combined with Simvastatin.]
[A12CA02, sodium sulfate, Ketamine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Ketamine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Ketamine.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C07AB13, talinolol, Ketamine may increase the bradycardic activities of Talinolol.]
[H01AA01, corticotropin, The therapeutic efficacy of Ketamine can be decreased when used in combination with Corticotropin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Ketamine can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, Ketamine may increase the bradycardic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The risk or severity of Tachycardia can be increased when Ketamine is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Ketamine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Ketamine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Ketamine is combined with Thiopropazate.]
[G04BD01, emepronium, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Ketamine is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Ketamine is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Ketamine is combined with Toloxatone.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Ketamine.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Ketamine is combined with Tramazoline.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Ketamine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Ketamine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Ketamine is combined with Triclofos.]
[A03AB08, tridihexethyl, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[H02CA01, trilostane, The therapeutic efficacy of Ketamine can be decreased when used in combination with Trilostane.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Ketamine.]
[N04AA12, tropatepine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of Tachycardia can be increased when Ketamine is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Ketamine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Ketamine is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Ketamine is combined with Veralipride.]
[S01FB02, ephedrine, Ketamine may increase the neuromuscular blocking activities of Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Ketamine.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Ketamine.]
[C01CX07, xamoterol, The risk or severity of Tachycardia can be increased when Ketamine is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of Tachycardia can be increased when Ketamine is combined with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Ketamine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Ketamine can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Ketamine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Ketamine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Ketamine is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Ketamine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Ketamine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ketamine is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Ketamine.]
[N02CA02, ergotamine, The metabolism of Ketamine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Ketamine.]
[L03AX05, pidotimod, Ketamine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Ketamine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Ketamine.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[G03CA03, estradiol, The metabolism of Ketamine can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R03BA05, fluticasone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Ketamine can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of Tachycardia can be increased when Ketamine is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Ketamine.]
[L02AA03, ethinyl estradiol, The metabolism of Ketamine can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N04AA05, profenamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Ketamine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Ketamine.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ketamine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of Tachycardia can be increased when Ketamine is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Ketamine.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Ketamine is combined with Sertindole.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R06AX12, terfenadine, The metabolism of Ketamine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Ketamine.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Ketamine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Ketamine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Ketamine can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Ketamine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Ketamine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Ketamine.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Ketamine is combined with Cevimeline.]
[G04BD02, flavoxate, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Ketamine can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Ketamine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Fludrocortisone.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[D07XB01, flumethasone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Flumethasone.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Ketamine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Ketamine is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The therapeutic efficacy of Ketamine can be decreased when used in combination with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Ketamine is combined with Melitracen.]
[H02AB03, fluocortolone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Fluocortolone.]
[V03AZ01, ethanol, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Ketamine can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Fluorometholone.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Ketamine.]
[N06AB03, fluoxetine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ketamine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ketamine.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Ketamine is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Ketamine.]
[N06BX17, adrafinil, The risk or severity of Tachycardia can be increased when Ketamine is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Ketamine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Ketamine.]
[J05AE10, darunavir, The metabolism of Ketamine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Ketamine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Ketamine is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Gallamine.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Ketamine is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Ketamine is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Ketamine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Ketamine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Ketamine.]
[J05AG04, etravirine, The metabolism of Ketamine can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Ketamine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Ketamine.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Ketamine.]
[A10BB01, glyburide, The metabolism of Ketamine can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Ketamine can be decreased when combined with Gliclazide.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ketamine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Ketamine is combined with Glutethimide.]
[C02CA04, doxazosin, The metabolism of Ketamine can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Ketamine.]
[C07AB09, esmolol, Ketamine may increase the bradycardic activities of Esmolol.]
[M01CB04, aurothioglucose, Ketamine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Ketamine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Ketamine.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Ketamine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Ketamine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Ketamine.]
[N05AH04, quetiapine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
