[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Certolizumab pegol.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be increased when combined with Certolizumab pegol.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Deucravacitinib.]
[L01FX20, tremelimumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Tremelimumab.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be increased when combined with Certolizumab pegol.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be increased when combined with Certolizumab pegol.]
[N05AH02, clozapine, The metabolism of Clozapine can be increased when combined with Certolizumab pegol.]
[L04AA57, ublituximab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Ublituximab.]
[L01FE02, panitumumab, The risk or severity of adverse effects can be increased when Panitumumab is combined with Certolizumab pegol.]
[J01GB12, arbekacin, Certolizumab pegol may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Codeine can be increased when combined with Certolizumab pegol.]
[J06BB04, hepatitis B immune globulin, The risk or severity of adverse effects can be increased when Hepatitis B immune globulin is combined with Certolizumab pegol.]
[M04AC01, colchicine, Colchicine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01XB01, colistin, Certolizumab pegol may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Leflunomide.]
[A04AA03, tropisetron, Certolizumab pegol may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be increased when combined with Certolizumab pegol.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Certolizumab pegol.]
[J01FA15, telithromycin, The metabolism of Telithromycin can be increased when combined with Certolizumab pegol.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be increased when combined with Certolizumab pegol.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J05AB14, valganciclovir, Valganciclovir may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C05BB03, invert sugar, Certolizumab pegol may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[V08AB05, iopromide, Certolizumab pegol may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Certolizumab pegol may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Certolizumab pegol may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be increased when combined with Certolizumab pegol.]
[H01AX01, pegvisomant, The therapeutic efficacy of Certolizumab pegol can be decreased when used in combination with Pegvisomant.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be increased when combined with Certolizumab pegol.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be increased when combined with Certolizumab pegol.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be increased when combined with Certolizumab pegol.]
[N05BA10, ketazolam, Ketazolam may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Imatinib can be increased when combined with Certolizumab pegol.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be increased when combined with Certolizumab pegol.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be increased when combined with Certolizumab pegol.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be increased when combined with Certolizumab pegol.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Certolizumab pegol may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be increased when combined with Certolizumab pegol.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be increased when combined with Certolizumab pegol.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be increased when combined with Certolizumab pegol.]
[N05AD03, metylperon, Certolizumab pegol may decrease the excretion rate of Melperone which could result in a higher serum level.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Certolizumab pegol.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be increased when combined with Certolizumab pegol.]
[N06AX07, minaprine, The metabolism of Minaprine can be increased when combined with Certolizumab pegol.]
[S01XA18, cyclosporine, Certolizumab pegol may increase the immunosuppressive activities of Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be increased when combined with Certolizumab pegol.]
[N06BA07, modafinil, The metabolism of Modafinil can be increased when combined with Certolizumab pegol.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be increased when combined with Certolizumab pegol.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be increased when combined with Certolizumab pegol.]
[R03DX05, omalizumab, The risk or severity of adverse effects can be increased when Omalizumab is combined with Certolizumab pegol.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Certolizumab pegol.]
[J05AF10, entecavir, The metabolism of Entecavir can be increased when combined with Certolizumab pegol.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be increased when combined with Certolizumab pegol.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be increased when combined with Certolizumab pegol.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be increased when combined with Certolizumab pegol.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Certolizumab pegol.]
[J04BA02, dapsone, The metabolism of Dapsone can be increased when combined with Certolizumab pegol.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Certolizumab pegol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be increased when combined with Certolizumab pegol.]
[A04AD11, nabilone, The metabolism of Nabilone can be increased when combined with Certolizumab pegol.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be increased when combined with Certolizumab pegol.]
[N07BB05, nalmefene, Nalmefene may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be increased when combined with Certolizumab pegol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be increased when combined with Certolizumab pegol.]
[C01DX16, nicorandil, Certolizumab pegol may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be increased when combined with Certolizumab pegol.]
[L01FE01, cetuximab, The risk or severity of adverse effects can be increased when Cetuximab is combined with Certolizumab pegol.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be increased when combined with Certolizumab pegol.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Certolizumab pegol.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be increased when combined with Certolizumab pegol.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be increased when combined with Certolizumab pegol.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N06AA01, desipramine, The metabolism of Desipramine can be increased when combined with Certolizumab pegol.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Certolizumab pegol.]
[V04CH02, indigo carmine, Certolizumab pegol may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Certolizumab pegol.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S03BA01, dexamethasone, The metabolism of Dexamethasone can be increased when combined with Certolizumab pegol.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be increased when combined with Certolizumab pegol.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be increased when combined with Certolizumab pegol.]
[L04AB04, adalimumab, The risk or severity of infection can be increased when Adalimumab is combined with Certolizumab pegol.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be increased when combined with Certolizumab pegol.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be increased when combined with Certolizumab pegol.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be increased when combined with Certolizumab pegol.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be increased when combined with Certolizumab pegol.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be increased when combined with Certolizumab pegol.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be increased when combined with Certolizumab pegol.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be increased when combined with Certolizumab pegol.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be increased when combined with Certolizumab pegol.]
[R05DA08, pholcodine, Certolizumab pegol may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be increased when combined with Certolizumab pegol.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G03CC02, dienestrol, Dienestrol may increase the thrombogenic activities of Certolizumab pegol.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be increased when combined with Certolizumab pegol.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be increased when combined with Certolizumab pegol.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be increased when combined with Certolizumab pegol.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Pirarubicin.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AA13, pegfilgrastim, The therapeutic efficacy of Certolizumab pegol can be decreased when used in combination with Pegfilgrastim.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Certolizumab pegol.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Difluocortolone.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be increased when combined with Certolizumab pegol.]
[C01AA05, digoxin, Certolizumab pegol may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be increased when combined with Certolizumab pegol.]
[L02AA02, polyestradiol phosphate, Polyestradiol phosphate may increase the thrombogenic activities of Certolizumab pegol.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Certolizumab pegol.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be increased when combined with Certolizumab pegol.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Certolizumab pegol.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be increased when combined with Certolizumab pegol.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Certolizumab pegol.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be increased when combined with Certolizumab pegol.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be increased when combined with Certolizumab pegol.]
[H03BC01, potassium perchlorate, Certolizumab pegol may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be increased when combined with Certolizumab pegol.]
[V03AB09, dimercaprol, Dimercaprol may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G03CA09, promestriene, Promestriene may increase the thrombogenic activities of Certolizumab pegol.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be increased when combined with Certolizumab pegol.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be increased when combined with Certolizumab pegol.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be increased when combined with Certolizumab pegol.]
[N05CD10, quazepam, The metabolism of Quazepam can be increased when combined with Certolizumab pegol.]
[A03FA02, cisapride, The metabolism of Cisapride can be increased when combined with Certolizumab pegol.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be increased when combined with Certolizumab pegol.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be increased when combined with Certolizumab pegol.]
[S01AX06, resorcinol, Certolizumab pegol may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be increased when combined with Certolizumab pegol.]
[J06BB01, Rho(D) immune globulin, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Human Rho(D) immune globulin.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Natalizumab.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be increased when combined with Certolizumab pegol.]
[N07XX02, riluzole, The metabolism of Riluzole can be increased when combined with Certolizumab pegol.]
[N05AX08, risperidone, The metabolism of Risperidone can be increased when combined with Certolizumab pegol.]
[R06AE09, levocetirizine, Levocetirizine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Certolizumab pegol.]
[N01BB09, ropivacaine, The metabolism of Ropivacaine can be increased when combined with Certolizumab pegol.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Certolizumab pegol.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be increased when combined with Certolizumab pegol.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Certolizumab pegol.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Certolizumab pegol.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be increased when combined with Certolizumab pegol.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be increased when combined with Certolizumab pegol.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be increased when combined with Certolizumab pegol.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Certolizumab pegol.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be increased when combined with Certolizumab pegol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be increased when combined with Certolizumab pegol.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be increased when combined with Certolizumab pegol.]
[N06AA12, doxepin, The metabolism of Doxepin can be increased when combined with Certolizumab pegol.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Certolizumab pegol.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Sertraline can be increased when combined with Certolizumab pegol.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be increased when combined with Certolizumab pegol.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be increased when combined with Certolizumab pegol.]
[A12CA02, sodium sulfate, Certolizumab pegol may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C07AB13, talinolol, The metabolism of Talinolol can be increased when combined with Certolizumab pegol.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Corticotropin is combined with Certolizumab pegol.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be increased when combined with Certolizumab pegol.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Certolizumab pegol.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be increased when combined with Certolizumab pegol.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be increased when combined with Certolizumab pegol.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be increased when combined with Certolizumab pegol.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Certolizumab pegol.]
[G03CX01, tibolone, Tibolone may increase the thrombogenic activities of Certolizumab pegol.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N06AG03, toloxatone, Certolizumab pegol may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be increased when combined with Certolizumab pegol.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C03CA04, torsemide, The metabolism of Torasemide can be increased when combined with Certolizumab pegol.]
[N05CC01, chloral hydrate, Chloral hydrate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Certolizumab pegol.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Trofosfamide.]
[N01AB04, enflurane, The metabolism of Enflurane can be increased when combined with Certolizumab pegol.]
[J06BB03, varicella-zoster immune globulin, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Human varicella-zoster immune globulin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Certolizumab pegol.]
[S01GX10, epinastine, The metabolism of Epinastine can be increased when combined with Certolizumab pegol.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be increased when combined with Certolizumab pegol.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Certolizumab pegol.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be increased when combined with Certolizumab pegol.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be increased when combined with Certolizumab pegol.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be increased when combined with Certolizumab pegol.]
[N05AX11, zotepine, The metabolism of Zotepine can be increased when combined with Certolizumab pegol.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Certolizumab pegol.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be increased when combined with Certolizumab pegol.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be increased when combined with Certolizumab pegol.]
[L03AX05, pidotimod, Certolizumab pegol may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Erythromycin can be increased when combined with Certolizumab pegol.]
[N05CD04, estazolam, Estazolam may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be increased when combined with Certolizumab pegol.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be increased when combined with Certolizumab pegol.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Certolizumab pegol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Certolizumab pegol.]
[G03CC06, estriol, Estriol may increase the thrombogenic activities of Certolizumab pegol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Certolizumab pegol.]
[G03CC04, estrone, Estrone may increase the thrombogenic activities of Certolizumab pegol.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be increased when combined with Certolizumab pegol.]
[R03BA05, fluticasone, The metabolism of Fluticasone can be increased when combined with Certolizumab pegol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be increased when combined with Certolizumab pegol.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Certolizumab pegol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N03AD01, ethosuximide, The metabolism of Ethosuximide can be increased when combined with Certolizumab pegol.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be increased when combined with Certolizumab pegol.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be increased when combined with Certolizumab pegol.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Certolizumab pegol.]
[N05AE03, sertindole, The metabolism of Sertindole can be increased when combined with Certolizumab pegol.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Certolizumab pegol.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Certolizumab pegol.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be increased when combined with Certolizumab pegol.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Bupropion can be increased when combined with Certolizumab pegol.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be increased when combined with Certolizumab pegol.]
[C01BB03, tocainide, The metabolism of Tocainide can be increased when combined with Certolizumab pegol.]
[C01BC08, encainide, The metabolism of Encainide can be increased when combined with Certolizumab pegol.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Certolizumab pegol.]
[M01CB01, gold sodium thiomalate, Certolizumab pegol may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Certolizumab pegol may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Certolizumab pegol.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Certolizumab pegol.]
[C08CA02, felodipine, The metabolism of Felodipine can be increased when combined with Certolizumab pegol.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be increased when combined with Certolizumab pegol.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be increased when combined with Certolizumab pegol.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Certolizumab pegol.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Certolizumab pegol.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be increased when combined with Certolizumab pegol.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be increased when combined with Certolizumab pegol.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Certolizumab pegol.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Certolizumab pegol.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be increased when combined with Certolizumab pegol.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be increased when combined with Certolizumab pegol.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Certolizumab pegol.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Ethanol can be increased when combined with Certolizumab pegol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Certolizumab pegol.]
