[S02DA03, antipyrine, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Antipyrine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Nimodipine.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Nimodipine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Insulin aspart.]
[C09CA01, losartan, Nimodipine may increase the arrhythmogenic activities of Losartan.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Heparin.]
[B05CB03, magnesium citrate, The risk or severity of hypotension can be increased when Magnesium citrate is combined with Nimodipine.]
[A12CC03, magnesium gluconate, The risk or severity of hypotension can be increased when Magnesium gluconate is combined with Nimodipine.]
[A07EC02, mesalamine, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Mesalazine.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Nimodipine.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Nimodipine.]
[R03CC05, hexoprenaline, Hexoprenaline may decrease the antihypertensive activities of Nimodipine.]
[C08CA10, nilvadipine, Nimodipine may increase the arrhythmogenic activities of Nilvadipine.]
[M02AA26, nimesulide, Nimodipine may increase the arrhythmogenic activities of Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Oxatomide.]
[C09AA04, perindopril, Nimodipine may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Nimodipine may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Nimodipine can be increased when used in combination with Hydrochlorothiazide.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Nimodipine can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Nimodipine.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Nimodipine.]
[A12BA02, potassium citrate, Potassium citrate may increase the hyperkalemic activities of Nimodipine.]
[G04BD06, propiverine, The risk or severity of hypotension can be increased when Propiverine is combined with Nimodipine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Nimodipine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Hydroxyzine.]
[C02AC06, rilmenidine, Rilmenidine may decrease the antihypertensive activities of Nimodipine.]
[R02AX02, ibuprofen, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Ibuprofen.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Nimodipine.]
[N01AH03, sufentanil, Sufentanil may decrease the antihypertensive activities of Nimodipine.]
[N06AA02, imipramine, The risk or severity of hypotension can be increased when Imipramine is combined with Nimodipine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Nimodipine is combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Nimodipine.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Nimodipine.]
[S01BC01, indomethacin, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Indomethacin.]
[C02CA02, indoramin, The risk or severity of hypotension can be increased when Indoramin is combined with Nimodipine.]
[N06AX17, milnacipran, The metabolism of Nimodipine can be decreased when combined with Milnacipran.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Sitagliptin.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Nimodipine.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Vildagliptin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Anagrelide.]
[C07AA01, alprenolol, Nimodipine may increase the arrhythmogenic activities of Alprenolol.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Nimodipine.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Nimodipine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Nimodipine.]
[S01EC03, dorzolamide, Nimodipine may increase the hypotensive activities of Dorzolamide.]
[R03CC06, isoetharine, Isoetharine may decrease the antihypertensive activities of Nimodipine.]
[C09AA16, imidapril, Nimodipine may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may decrease the antihypertensive activities of Nimodipine.]
[J04AC01, isoniazid, The metabolism of Nimodipine can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, Isoprenaline may decrease the antihypertensive activities of Nimodipine.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Exenatide.]
[C01DA14, isosorbide mononitrate, Nimodipine may increase the vasodilatory activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, Nimodipine may increase the vasodilatory activities of Isosorbide dinitrate.]
[C04AA01, isoxsuprine, Isoxsuprine may decrease the antihypertensive activities of Nimodipine.]
[C02KD01, ketanserin, Nimodipine may increase the hypotensive activities of Ketanserin.]
[H02CA04, levoketoconazole, The metabolism of Nimodipine can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Nimodipine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of hypotension can be increased when Olanzapine is combined with Nimodipine.]
[M02AA10, ketoprofen, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Ketoprofen.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Mizolastine.]
[C01CA22, arbutamine, Arbutamine may decrease the antihypertensive activities of Nimodipine.]
[N04BC09, rotigotine, Rotigotine may decrease the antihypertensive activities of Nimodipine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Tiaprofenic acid.]
[C07AG01, labetalol, The risk or severity of bradycardia can be increased when Nimodipine is combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Nimodipine.]
[C02AA05, deserpidine, Nimodipine may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Nimodipine.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Nimodipine.]
[N03AX18, lacosamide, Nimodipine may increase the bradycardic activities of Lacosamide.]
[C03CC01, ethacrynic acid, The risk or severity of adverse effects can be increased when Nimodipine is combined with Etacrynic acid.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Nimodipine is combined with Levodopa.]
[S02DA01, lidocaine, Lidocaine may increase the arrhythmogenic activities of Nimodipine.]
[C08EX01, lidoflazine, Nimodipine may increase the arrhythmogenic activities of Lidoflazine.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Nimodipine is combined with Amiloride.]
[N02CA07, lisuride, Lisuride may decrease the antihypertensive activities of Nimodipine.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Nimodipine.]
[A07DA03, loperamide, Nimodipine may increase the arrhythmogenic activities of Loperamide.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Calcium pangamate.]
[C10AA02, lovastatin, The metabolism of Nimodipine can be decreased when combined with Lovastatin.]
[B05XA11, magnesium chloride, The risk or severity of hypotension can be increased when Magnesium chloride is combined with Nimodipine.]
[G04BX01, magnesium hydroxide, The risk or severity of hypotension can be increased when Magnesium hydroxide is combined with Nimodipine.]
[A12CC10, magnesium oxide, The risk or severity of hypotension can be increased when Magnesium oxide is combined with Nimodipine.]
[V04CC02, magnesium sulfate, Nimodipine may increase the arrhythmogenic activities of Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Nimodipine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Nimodipine is combined with Mannitol.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Nimodipine.]
[C02BB01, mecamylamine, Nimodipine may increase the hypotensive activities of Mecamylamine.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Meclofenamic acid.]
[C01AA08, medigoxin, Nimodipine may increase the arrhythmogenic activities of Metildigoxin.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Nimodipine.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Nimodipine.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Dalteparin.]
[N05CH01, melatonin, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Melatonin.]
[C01CA11, mephentermine, Mephentermine may decrease the antihypertensive activities of Nimodipine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Nimodipine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Paliperidone.]
[C01CA09, metaraminol, Metaraminol may decrease the antihypertensive activities of Nimodipine.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Metformin.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Dolasetron.]
[H01CB03, lanreotide, Nimodipine may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Methadone is combined with Nimodipine.]
[N06BA03, methamphetamine, Metamfetamine may decrease the antihypertensive activities of Nimodipine.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Nimodipine is combined with Methazolamide.]
[G02CB05, metergoline, Metergoline may decrease the antihypertensive activities of Nimodipine.]
[H03BB02, methimazole, The metabolism of Nimodipine can be decreased when combined with Methimazole.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Nimodipine.]
[N02BG08, ziconotide, Nimodipine may increase the arrhythmogenic activities of Ziconotide.]
[N05AA02, methotrimeprazine, The risk or severity of hypotension can be increased when Methotrimeprazine is combined with Nimodipine.]
[C01CA10, methoxamine, Methoxamine may decrease the antihypertensive activities of Nimodipine.]
[N02BG09, methoxyflurane, Methoxyflurane may decrease the antihypertensive activities of Nimodipine.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Nimodipine can be increased when used in combination with Methyclothiazide.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Nimodipine.]
[C02AB01, methyldopa, Nimodipine may increase the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, Methylene blue may increase the hypotensive activities of Nimodipine.]
[G02AB01, methylergonovine, Methylergometrine may decrease the antihypertensive activities of Nimodipine.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Nimodipine.]
[N02CA04, methysergide, Methysergide may decrease the antihypertensive activities of Nimodipine.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Metoclopramide is combined with Nimodipine.]
[C03BA08, metolazone, Nimodipine may increase the hypotensive activities of Metolazone.]
[C07AB02, metoprolol, Metoprolol may increase the arrhythmogenic activities of Nimodipine.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Nimodipine.]
[C01BB02, mexiletine, Mexiletine may increase the arrhythmogenic activities of Nimodipine.]
[N06AX03, mianserin, Mianserin may decrease the antihypertensive activities of Nimodipine.]
[S02AA13, miconazole, The metabolism of Nimodipine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Parnaparin.]
[C01CA17, midodrine, Midodrine may decrease the antihypertensive activities of Nimodipine.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Tinzaparin.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Nimodipine.]
[C09CA03, valsartan, Valsartan may increase the hypotensive activities of Nimodipine.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Nimodipine.]
[L01XX23, mitotane, The metabolism of Nimodipine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the antihypertensive activities of Nimodipine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Nimodipine.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Nimodipine.]
[C01BD01, amiodarone, The risk or severity of adverse effects can be increased when Amiodarone is combined with Nimodipine.]
[N06AA09, amitriptyline, The risk or severity of hypotension can be increased when Amitriptyline is combined with Nimodipine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Nimodipine.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Ammonium chloride.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Pazopanib.]
[M03AC03, vecuronium, Nimodipine may increase the neuromuscular blocking activities of Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Nimodipine.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Nimodipine.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Nimodipine is combined with Silodosin.]
[N06AA17, amoxapine, The risk or severity of hypotension can be increased when Amoxapine is combined with Nimodipine.]
[N03AB05, fosphenytoin, The serum concentration of Nimodipine can be decreased when it is combined with Fosphenytoin.]
[C07AA12, nadolol, Nimodipine may increase the arrhythmogenic activities of Nadolol.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Nimodipine.]
[J01CF06, nafcillin, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Nafcillin.]
[V03AB15, naloxone, The metabolism of Nimodipine can be decreased when combined with Naloxone.]
[S01GA01, naphazoline, Naphazoline may decrease the antihypertensive activities of Nimodipine.]
[N06BA01, amphetamine, Amphetamine may decrease the antihypertensive activities of Nimodipine.]
[M02AA12, naproxen, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Naproxen.]
[A10BG01, troglitazone, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Nimodipine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Nimodipine.]
[N01AH06, remifentanil, Remifentanil may decrease the antihypertensive activities of Nimodipine.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Repaglinide.]
[C01CX08, levosimendan, Nimodipine may increase the arrhythmogenic activities of Levosimendan.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Iloperidone.]
[J02AA01, amphotericin B, Nimodipine may decrease the nephrotoxic activities of Amphotericin B.]
[N06AX23, desvenlafaxine, The metabolism of Nimodipine can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Nimodipine may increase the hypotensive activities of Telmisartan.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Nimodipine.]
[C08CA04, nicardipine, Nimodipine may increase the arrhythmogenic activities of Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypotension can be increased when Nicergoline is combined with Nimodipine.]
[C08CA05, nifedipine, Nimodipine may increase the arrhythmogenic activities of Nifedipine.]
[M02AA17, niflumic acid, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Niflumic acid.]
[V03AB22, amyl nitrite, Nimodipine may increase the vasodilatory activities of Amyl Nitrite.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Nimodipine.]
[C01DA05, pentaerythritol tetranitrate, Nimodipine may increase the vasodilatory activities of Pentaerythritol tetranitrate.]
[C08CA07, nisoldipine, Nimodipine may increase the arrhythmogenic activities of Nisoldipine.]
[C08CA08, nitrendipine, Nimodipine may increase the arrhythmogenic activities of Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nimodipine is combined with Nitric Oxide.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Nitrofurantoin.]
[N04BC05, pramipexole, The risk or severity of adverse effects can be increased when Nimodipine is combined with Pramipexole.]
[C02DD01, nitroprusside, Nimodipine may increase the hypotensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Nimodipine.]
[C01CA03, norepinephrine, Norepinephrine may decrease the antihypertensive activities of Nimodipine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Nimodipine.]
[C02KX01, bosentan, Nimodipine may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, The risk or severity of hypotension can be increased when Nortriptyline is combined with Nimodipine.]
[G02CA02, nylidrin, Nimodipine may increase the arrhythmogenic activities of Nylidrin.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Nimodipine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Ofloxacin.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Nimodipine.]
[R03CB03, metaproterenol, Orciprenaline may decrease the antihypertensive activities of Nimodipine.]
[G04CA02, tamsulosin, The risk or severity of hypotension can be increased when Tamsulosin is combined with Nimodipine.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Nimodipine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Nimodipine.]
[C07AA02, oxprenolol, Nimodipine may increase the arrhythmogenic activities of Oxprenolol.]
[C01DX03, oxyfedrine, Oxyfedrine may decrease the antihypertensive activities of Nimodipine.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Oxymetazoline.]
[S01BC02, oxyphenbutazone, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Oxyphenbutazone.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Nimodipine.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Danaparoid.]
[M03AC01, pancuronium, Nimodipine may increase the neuromuscular blocking activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Papaverine.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Nimodipine.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Nimodipine.]
[C07AA23, penbutolol, The risk or severity of bradycardia can be increased when Nimodipine is combined with Penbutolol.]
[N05AG03, penfluridol, Nimodipine may increase the arrhythmogenic activities of Penfluridol.]
[N05CA01, pentobarbital, The metabolism of Nimodipine can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Nimodipine.]
[N04BC02, pergolide, Pergolide may decrease the antihypertensive activities of Nimodipine.]
[C08EX02, perhexiline, Nimodipine may increase the arrhythmogenic activities of Perhexiline.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Nimodipine.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Phenformin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Nimodipine.]
[N03AA02, phenobarbital, The metabolism of Nimodipine can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Nimodipine.]
[C04AX02, phenoxybenzamine, The risk or severity of hypotension can be increased when Phenoxybenzamine is combined with Nimodipine.]
[A08AA01, phentermine, Phentermine may decrease the antihypertensive activities of Nimodipine.]
[V03AB36, phentolamine, The risk or severity of hypotension can be increased when Phentolamine is combined with Nimodipine.]
[M02AA01, phenylbutazone, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be decreased when Nimodipine is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, Phenylpropanolamine may decrease the antihypertensive activities of Nimodipine.]
[N03AB02, phenytoin, The serum concentration of Nimodipine can be decreased when it is combined with Phenytoin.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Levofloxacin.]
[C08CX01, mibefradil, Nimodipine may increase the arrhythmogenic activities of Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of bradycardia can be increased when Nimodipine is combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Nimodipine can be decreased when combined with Saquinavir.]
[C09CA02, eprosartan, Nimodipine may increase the hypotensive activities of Eprosartan.]
[S01BC06, piroxicam, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Grepafloxacin.]
[N02CX01, pizotyline, The risk or severity of hypotension can be increased when Pizotifen is combined with Nimodipine.]
[J05AG02, delavirdine, The metabolism of Nimodipine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Nimodipine may increase the hypotensive activities of Irbesartan.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Rosiglitazone.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Nimodipine.]
[C03AA05, polythiazide, The therapeutic efficacy of Nimodipine can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Nimodipine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Saxagliptin.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Nimodipine.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Nimodipine.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Insulin lispro.]
[C07AB01, practolol, Nimodipine may increase the arrhythmogenic activities of Practolol.]
[C01BA08, prajmaline, Nimodipine may increase the arrhythmogenic activities of Prajmaline.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Nimodipine.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Antazoline.]
[C01DX02, prenylamine, Nimodipine may increase the arrhythmogenic activities of Prenylamine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Primaquine.]
[N03AA03, primidone, The metabolism of Nimodipine can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Probucol.]
[C01BA02, procainamide, Nimodipine may increase the arrhythmogenic activities of Procainamide.]
[S01HA05, procaine, Procaine may increase the hypotensive activities of Nimodipine.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Nimodipine.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Prochlorperazine.]
[N05AA03, promazine, The risk or severity of hypotension can be increased when Promazine is combined with Nimodipine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Promethazine is combined with Nimodipine.]
[C01BC03, propafenone, Nimodipine may increase the arrhythmogenic activities of Propafenone.]
[N05AC01, periciazine, The risk or severity of hypotension can be increased when Periciazine is combined with Nimodipine.]
[N05CM06, propiomazine, The risk or severity of hypotension can be increased when Propiomazine is combined with Nimodipine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Romidepsin.]
[N01AX10, propofol, Propofol may decrease the antihypertensive activities of Nimodipine.]
[C07AA05, propranolol, Nimodipine may increase the arrhythmogenic activities of Propranolol.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Nimodipine.]
[N02CC04, rizatriptan, Rizatriptan may decrease the antihypertensive activities of Nimodipine.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Nimodipine.]
[N06AA11, protriptyline, Protriptyline may decrease the antihypertensive activities of Nimodipine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the antihypertensive activities of Nimodipine.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Nimodipine.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Nimodipine.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Nimodipine.]
[C01BA01, quinidine, Nimodipine may increase the arrhythmogenic activities of Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Quinine.]
[C02AA01, rescinnamine, Rescinnamine may decrease the antihypertensive activities of Nimodipine.]
[C02AA02, reserpine, Reserpine may increase the hypotensive activities of Nimodipine.]
[J04AB02, rifampin, The metabolism of Nimodipine can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, Rimiterol may decrease the antihypertensive activities of Nimodipine.]
[G02CA01, ritodrine, Ritodrine may decrease the antihypertensive activities of Nimodipine.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Roxithromycin.]
[N02BA05, salicylamide, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Salicylamide.]
[A07EC01, sulfasalazine, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Sulfasalazine.]
[S01BC08, salicylic acid, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Salicylic acid.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Nimodipine.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Nimodipine.]
[L01FA03, obinutuzumab, Nimodipine may increase the hypotensive activities of Obinutuzumab.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Nimodipine.]
[C07AA07, sotalol, Nimodipine may increase the arrhythmogenic activities of Sotalol.]
[C03DA01, spironolactone, The risk or severity of adverse effects can be increased when Nimodipine is combined with Spironolactone.]
