[S02DA03, antipyrine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Antipyrine.]
[R03DA01, dyphylline, Bumetanide may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CC01, sumatriptan, Bumetanide may increase the excretion rate of Sumatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX07, edrophonium, Bumetanide may increase the excretion rate of Edrophonium which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB13, talinolol, Bumetanide may increase the hypotensive activities of Talinolol.]
[H01AA01, corticotropin, The risk or severity of hypokalemia can be increased when Corticotropin is combined with Bumetanide.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Bumetanide.]
[L01AX03, temozolomide, Bumetanide may increase the excretion rate of Temozolomide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC02, tenoxicam, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Tenoxicam.]
[G04CA03, terazosin, The risk or severity of adverse effects can be increased when Bumetanide is combined with Terazosin.]
[D01BA02, terbinafine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Terbinafine is combined with Bumetanide.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Emetine.]
[N06AX14, tianeptine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Tianeptine.]
[C09AA02, enalapril, The excretion of Bumetanide can be decreased when combined with Enalapril.]
[M01AG02, tolfenamic acid, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the orthostatic hypotensive activities of Bumetanide.]
[N06BA09, atomoxetine, Bumetanide may increase the excretion rate of Atomoxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX11, topiramate, The risk or severity of hypokalemia can be increased when Bumetanide is combined with Topiramate.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA10, trandolapril, The risk or severity of adverse effects can be increased when Trandolapril is combined with Bumetanide.]
[N05CC01, chloral hydrate, Bumetanide may increase the excretion rate of Chloral hydrate which could result in a lower serum level and potentially a reduction in efficacy.]
[H02CA01, trilostane, The risk or severity of hypokalemia can be increased when Trilostane is combined with Bumetanide.]
[C02CA06, urapidil, Bumetanide may increase the hypotensive activities of Urapidil.]
[S01FB02, ephedrine, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Bumetanide.]
[N06AX16, venlafaxine, Bumetanide may increase the excretion rate of Venlafaxine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA12, mepirodipine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Bumetanide.]
[C09AA15, zofenopril, Bumetanide may increase the hypotensive activities of Zofenopril.]
[M01AB04, zomepirac, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Zomepirac.]
[N03AX15, zonisamide, Bumetanide may increase the excretion rate of Zonisamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Bumetanide is combined with Insulin glulisine.]
[L01XA02, carboplatin, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Carboplatin.]
[C02AC02, guanfacine, Bumetanide may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Iloprost.]
[L03AX05, pidotimod, Bumetanide may increase the excretion rate of Pidotimod which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD04, estazolam, Bumetanide may increase the excretion rate of Estazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC02, pantoprazole, The excretion of Bumetanide can be decreased when combined with Pantoprazole.]
[G03CA03, estradiol, The excretion of Estradiol can be decreased when combined with Bumetanide.]
[G03CA57, estrogens, conjugated (USP), The excretion of Bumetanide can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, Bumetanide may increase the excretion rate of Ethambutol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA09, fluticasone furoate, The risk or severity of hypokalemia can be increased when Fluticasone furoate is combined with Bumetanide.]
[C10AA04, fluvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Fluvastatin.]
[V08CA03, gadodiamide, Bumetanide may increase the excretion rate of Gadodiamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Amifostine.]
[C01BD05, ibutilide, Bumetanide may increase the excretion rate of Ibutilide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC06, meloxicam, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Meloxicam.]
[S01XA06, ethylmorphine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Ethylmorphine.]
[N01AX07, etomidate, Bumetanide may increase the excretion rate of Etomidate which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AD02, tacrolimus, The risk or severity of nephrotoxicity can be increased when Tacrolimus is combined with Bumetanide.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nizatidine is combined with Bumetanide.]
[P01AX07, trimetrexate, Bumetanide may increase the excretion rate of Trimetrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX12, bupropion, Bumetanide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB08, fluvoxamine, Bumetanide may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AE02, leuprolide, Bumetanide may increase the excretion rate of Leuprolide which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA03, pravastatin, The excretion of Bumetanide can be decreased when combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, Bumetanide may increase the excretion rate of Sodium aurothiomalate which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA05, dextran, Bumetanide may increase the excretion rate of Dextran which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AF02, dexrazoxane, Bumetanide may increase the excretion rate of Dexrazoxane which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BA03, famotidine, The excretion of Famotidine can be decreased when combined with Bumetanide.]
[A16AA01, levocarnitine, The excretion of Levocarnitine can be decreased when combined with Bumetanide.]
[C08CA02, felodipine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Felodipine.]
[M01AE04, fenoprofen, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypokalemia can be increased when Fenoterol is combined with Bumetanide.]
[N02AB03, fentanyl, Bumetanide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC02, albuterol, The risk or severity of hypokalemia can be increased when Salbutamol is combined with Bumetanide.]
[L01BB06, clofarabine, The excretion of Clofarabine can be decreased when combined with Bumetanide.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Bumetanide.]
[N07AX03, cevimeline, Bumetanide may increase the excretion rate of Cevimeline which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD02, flavoxate, Bumetanide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG04, floctafenine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Floctafenine.]
[J02AC01, fluconazole, Bumetanide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AX01, flucytosine, Bumetanide may increase the excretion rate of Flucytosine which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA02, fludrocortisone, The risk or severity of hypokalemia can be increased when Fludrocortisone is combined with Bumetanide.]
[V03AB25, flumazenil, Bumetanide may increase the excretion rate of Flumazenil which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XB01, flumethasone, The risk or severity of hypokalemia can be increased when Flumethasone is combined with Bumetanide.]
[D07AC08, fluocinonide, The risk or severity of hypokalemia can be increased when Fluocinonide is combined with Bumetanide.]
[H02AB03, fluocortolone, The risk or severity of hypokalemia can be increased when Fluocortolone is combined with Bumetanide.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Bumetanide.]
[L01BC09, floxuridine, Bumetanide may increase the excretion rate of Floxuridine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD01, flurazepam, Bumetanide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC04, flurbiprofen, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Flurbiprofen.]
[L02BB01, flutamide, Bumetanide may increase the excretion rate of Flutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX02, folic acid, Bumetanide may increase the excretion rate of Folic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[S02AA17, fosfomycin, Bumetanide may increase the excretion rate of Fosfomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA07, framycetin, The serum concentration of Framycetin can be increased when it is combined with Bumetanide.]
[L01BC03, tegafur, Bumetanide may increase the excretion rate of Tegafur which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AA01, alcuronium, Bumetanide may decrease the neuromuscular blocking activities of Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the orthostatic hypotensive activities of Bumetanide.]
[C03CA01, furosemide, The excretion of Bumetanide can be decreased when combined with Furosemide.]
[M05BA04, alendronic acid, The risk or severity of hypocalcemia can be increased when Bumetanide is combined with Alendronic acid.]
[N05CF04, eszopiclone, Bumetanide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC02, gallamine, Bumetanide may decrease the neuromuscular blocking activities of Gallamine.]
[S01AD09, ganciclovir, The excretion of Bumetanide can be decreased when combined with Ganciclovir.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Bumetanide.]
[C10AB04, gemfibrozil, The excretion of Bumetanide can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Bumetanide may increase the excretion rate of Telavancin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Bumetanide.]
[N01AH02, alfentanil, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Alfentanil.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Bumetanide.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Bumetanide.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Bumetanide.]
[N05CM18, dexmedetomidine, Bumetanide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX01, glycerin, The risk or severity of adverse effects can be increased when Bumetanide is combined with Glycerin.]
[C05AE01, nitroglycerin, The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Bumetanide.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation, torsade de pointes, hypokalemia, hypomagnesemia, and cardiac arrest can be increased when Bumetanide is combined with Dofetilide.]
[C02CA04, doxazosin, The risk or severity of adverse effects can be increased when Doxazosin is combined with Bumetanide.]
[L01EX02, sorafenib, Bumetanide may increase the excretion rate of Sorafenib which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB09, esmolol, The risk or severity of adverse effects can be increased when Esmolol is combined with Bumetanide.]
[M01CB04, aurothioglucose, Bumetanide may increase the excretion rate of Aurothioglucose which could result in a lower serum level and potentially a reduction in efficacy.]
[S01LA03, pegaptanib, Bumetanide may increase the excretion rate of Pegaptanib which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA09, fosinopril, Bumetanide may increase the excretion rate of Fosinopril which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EX01, guanethidine, Bumetanide may increase the excretion rate of Guanethidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AE03, goserelin, Bumetanide may increase the excretion rate of Goserelin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD01, haloperidol, Bumetanide may increase the excretion rate of Haloperidol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Bumetanide is combined with Halothane.]
[N05AH04, quetiapine, Bumetanide may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BX13, idebenone, Bumetanide may increase the excretion rate of Idebenone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Bumetanide is combined with Insulin aspart.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Bumetanide is combined with Allopurinol.]
[C09CA01, losartan, The risk or severity of adverse effects can be increased when Losartan is combined with Bumetanide.]
[B05CB03, magnesium citrate, The risk or severity of adverse effects can be increased when Bumetanide is combined with Magnesium citrate.]
[G03DC01, allylestrenol, Bumetanide may increase the excretion rate of Allylestrenol which could result in a lower serum level and potentially a reduction in efficacy.]
[A07EC02, mesalamine, The risk or severity of nephrotoxicity can be increased when Mesalazine is combined with Bumetanide.]
[C01CE02, milrinone, Bumetanide may increase the excretion rate of Milrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[A12CD02, sodium monofluorophosphate, The risk or severity of adverse effects can be increased when Bumetanide is combined with Sodium fluorophosphate.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Bumetanide.]
[R03CC05, hexoprenaline, The risk or severity of hypokalemia can be increased when Hexoprenaline is combined with Bumetanide.]
[C08CA10, nilvadipine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Nilvadipine.]
[M02AA26, nimesulide, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Nimesulide.]
[C09AA04, perindopril, Bumetanide may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DB02, hydralazine, Bumetanide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA03, hydrochlorothiazide, The excretion of Hydrochlorothiazide can be decreased when combined with Bumetanide.]
[R05DA03, hydrocodone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Hydrocodone.]
[S02BA01, hydrocortisone, The excretion of Hydrocortisone can be decreased when combined with Bumetanide.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Bumetanide may increase the excretion rate of Potassium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Bumetanide may increase the excretion rate of Hydroxocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD06, propiverine, Bumetanide may increase the excretion rate of Propiverine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA07, hetastarch, Bumetanide may increase the excretion rate of Hydroxyethyl Starch which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC06, rilmenidine, Bumetanide may increase the hypotensive activities of Rilmenidine.]
[M05BA07, risedronic acid, The risk or severity of hypocalcemia can be increased when Bumetanide is combined with Risedronic acid.]
[R02AX02, ibuprofen, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Ibuprofen.]
[B05XA08, sodium acetate, Bumetanide may increase the excretion rate of Sodium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AD21, sodium tartrate, The risk or severity of adverse effects can be increased when Bumetanide is combined with Sodium tartrate.]
[L01AA06, ifosfamide, Bumetanide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AH03, sufentanil, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Sufentanil.]
[N06AA02, imipramine, Bumetanide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CD01, paclitaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Paclitaxel.]
[R01AD07, tixocortol, Bumetanide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Bumetanide.]
[L01CE01, topotecan, Bumetanide may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Indomethacin.]
[C02CA02, indoramin, The risk or severity of adverse effects can be increased when Bumetanide is combined with Indoramin.]
[A11HA07, inositol, Bumetanide may increase the excretion rate of Inositol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX17, milnacipran, Bumetanide may increase the excretion rate of Milnacipran which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA02, cyclopentamine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Cyclopentamine.]
[S01XA28, varenicline, Bumetanide may increase the excretion rate of Varenicline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH01, sitagliptin, The excretion of Sitagliptin can be decreased when combined with Bumetanide.]
[N05BA12, alprazolam, Bumetanide may increase the excretion rate of Alprazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH02, ramelteon, Bumetanide may increase the excretion rate of Ramelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Bumetanide.]
[C10AA06, cerivastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cerivastatin is combined with Bumetanide.]
[C07AA01, alprenolol, Bumetanide may increase the hypotensive activities of Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Bumetanide may increase the excretion rate of Ipecac which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Stavudine is combined with Bumetanide.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Bumetanide.]
[N06AF05, iproniazid, Iproniazid may increase the orthostatic hypotensive activities of Bumetanide.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the orthostatic hypotensive activities of Bumetanide.]
[R03CC06, isoetharine, The risk or severity of hypokalemia can be increased when Isoetharine is combined with Bumetanide.]
[C09AA16, imidapril, The risk or severity of adverse effects can be increased when Bumetanide is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Bumetanide.]
[J04AC01, isoniazid, Bumetanide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AX05, inosine pranobex, Bumetanide may increase the excretion rate of Inosine pranobex which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CB01, isoproterenol, The risk or severity of hypokalemia can be increased when Isoprenaline is combined with Bumetanide.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Bumetanide.]
[C01DA14, isosorbide mononitrate, Bumetanide may increase the excretion rate of Isosorbide mononitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Isosorbide dinitrate is combined with Bumetanide.]
[D10BA01, isotretinoin, Bumetanide may increase the excretion rate of Isotretinoin which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AA01, isoxsuprine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Isoxsuprine.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ivermectin is combined with Bumetanide.]
[S01AA24, kanamycin, The serum concentration of Kanamycin can be increased when it is combined with Bumetanide.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Bumetanide.]
[N01AX03, ketamine, Bumetanide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02KD01, ketanserin, Bumetanide may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Bumetanide may increase the excretion rate of Prasugrel which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Bumetanide.]
[M02AA10, ketoprofen, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Ketoprofen.]
[C01CA22, arbutamine, The risk or severity of hypokalemia can be increased when Arbutamine is combined with Bumetanide.]
[N04BC09, rotigotine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Rotigotine.]
[D10AX03, azelaic acid, Bumetanide may increase the excretion rate of Azelaic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AE11, tiaprofenic acid, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Tiaprofenic acid.]
[C07AG01, labetalol, Bumetanide may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BB01, amantadine, Bumetanide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AA05, deserpidine, Bumetanide may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The risk or severity of adverse effects can be increased when Bumetanide is combined with Lactulose.]
[A06AX03, lubiprostone, The risk or severity of adverse effects can be increased when Bumetanide is combined with Lubiprostone.]
[C03CC01, ethacrynic acid, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Etacrynic acid.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Bumetanide is combined with Levodopa.]
[S01AA21, amikacin, The serum concentration of Amikacin can be increased when it is combined with Bumetanide.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA06, lorazepam, Bumetanide may increase the excretion rate of Lorazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA02, lovastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lovastatin is combined with Bumetanide.]
[B05XA11, magnesium chloride, Bumetanide may increase the excretion rate of Magnesium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BX01, magnesium hydroxide, The risk or severity of adverse effects can be increased when Bumetanide is combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The risk or severity of adverse effects can be increased when Bumetanide is combined with Magnesium oxide.]
[V04CC02, magnesium sulfate, The risk or severity of adverse effects can be increased when Bumetanide is combined with Magnesium sulfate.]
[L01BA05, pralatrexate, Bumetanide may increase the excretion rate of Pralatrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX04, mannitol, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Bumetanide.]
[N06AA21, maprotiline, Bumetanide may increase the excretion rate of Maprotiline which could result in a lower serum level and potentially a reduction in efficacy.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Mecamylamine.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Meclofenamic acid.]
[C01AA08, medigoxin, The risk or severity of adverse effects can be increased when Bumetanide is combined with Metildigoxin.]
[A06AB07, cascara sagrada, The risk or severity of adverse effects can be increased when Bumetanide is combined with Frangula purshiana bark.]
[P01BC02, mefloquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Mefloquine is combined with Bumetanide.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The excretion of Bumetanide can be decreased when combined with Melatonin.]
[N06DX01, memantine, Bumetanide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AB02, meperidine, Bumetanide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Bumetanide.]
[N01BB03, mepivacaine, Bumetanide may increase the excretion rate of Mepivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX05, meptazinol, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Meptazinol.]
[G04BX16, tiopronin, Bumetanide may increase the excretion rate of Tiopronin which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BC01, mersalyl, Bumetanide may increase the excretion rate of Mersalyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Bumetanide may increase the excretion rate of Paliperidone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Bumetanide.]
[N07BC02, methadone, Bumetanide may increase the excretion rate of Methadone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA03, methamphetamine, Bumetanide may increase the excretion rate of Metamfetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF05, lamivudine, Bumetanide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Bumetanide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BA04, pemetrexed, Bumetanide may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Bumetanide.]
[A11HA02, pyridoxine, Bumetanide may increase the excretion rate of Pyridoxine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Bumetanide is combined with Ziconotide.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Bumetanide is combined with Methotrexate.]
[D05BA02, methoxsalen, Bumetanide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC06, methylcellulose, The risk or severity of adverse effects can be increased when Bumetanide is combined with Methylcellulose.]
[C02AB01, methyldopa, Bumetanide may increase the excretion rate of Methyldopa which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CG05, methylene blue, Methylene blue may increase the orthostatic hypotensive activities of Bumetanide.]
[H02AB04, methylprednisolone, The risk or severity of hypokalemia can be increased when Methylprednisolone is combined with Bumetanide.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hypokalemia can be increased when Methylprednisolone aceponate is combined with Bumetanide.]
[G03EK01, methyltestosterone, Bumetanide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[A03FA01, metoclopramide, Bumetanide may increase the excretion rate of Metoclopramide which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Bumetanide may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CD01, metyrapone, Bumetanide may increase the excretion rate of Metyrapone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB03, aminopyrine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Aminophenazone.]
[N05CD08, midazolam, Bumetanide may increase the excretion rate of Midazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Bumetanide.]
