[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cisapride.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Cisapride can be increased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Cisapride.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Cisapride is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Cisapride is combined with Thiopropazate.]
[G04BD01, emepronium, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Cisapride.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Cisapride is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Cisapride is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Cisapride.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Cisapride.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Toremifene is combined with Cisapride.]
[C03CA04, torsemide, The metabolism of Cisapride can be decreased when combined with Torasemide.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Cisapride is combined with Loprazolam.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Cisapride is combined with Triclofos.]
[A03AB08, tridihexethyl, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Cisapride is combined with Trimethobenzamide.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Cisapride.]
[N04AA12, tropatepine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Cisapride.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Cisapride is combined with Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Cisapride.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Cisapride is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Cisapride.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Cisapride.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Cisapride can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Cisapride can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Cisapride.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Cisapride is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Cisapride is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Cisapride is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Cisapride.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Cisapride is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Cisapride is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Cisapride can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The serum concentration of Cisapride can be increased when it is combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Cisapride is combined with Estazolam.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Cisapride.]
[J04AK02, ethambutol, The metabolism of Cisapride can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Cisapride can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Cisapride can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Cisapride.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Cisapride.]
[L02AA03, ethinyl estradiol, The metabolism of Cisapride can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Ibutilide is combined with Cisapride.]
[N04AA05, profenamine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Cisapride.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Cisapride is combined with Ethotoin.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Cisapride.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Cisapride.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Cisapride.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Cisapride.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Cisapride.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Cisapride.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Cisapride.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Cisapride.]
[R06AX12, terfenadine, The metabolism of Cisapride can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Cisapride is combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Cisapride.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Cisapride.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Cisapride.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Cisapride.]
[P02CA03, albendazole, The metabolism of Cisapride can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Cisapride can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Fendiline is combined with Cisapride.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Fenfluramine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Cisapride is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Cisapride.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Cisapride.]
[G04BD02, flavoxate, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Cisapride.]
[J01CF05, floxacillin, The metabolism of Cisapride can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Cisapride can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Cisapride.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Cisapride can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Cisapride is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Cisapride can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The risk or severity of adverse effects can be increased when Cisapride is combined with Ethanol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Cisapride.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Cisapride is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Flurazepam.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Fluspirilene is combined with Cisapride.]
[L02BB01, flutamide, The metabolism of Cisapride can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Cisapride.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Cisapride is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Cisapride is combined with Furazolidone.]
[J05AE10, darunavir, The serum concentration of Cisapride can be increased when it is combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Cisapride is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Amisulpride is combined with Cisapride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Cisapride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Cisapride is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Cisapride.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Cisapride is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Cisapride is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Cisapride can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Telavancin is combined with Cisapride.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Cisapride.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Cisapride.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Cisapride.]
[J05AG04, etravirine, The metabolism of Cisapride can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Cisapride.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Cisapride is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Cisapride.]
[A10BB01, glyburide, The metabolism of Cisapride can be decreased when combined with Glyburide.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Cisapride is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Cisapride is combined with Glutethimide.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Dofetilide is combined with Cisapride.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Cisapride.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Cisapride.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Cisapride.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Cisapride is combined with Fluindione.]
[D01BA01, griseofulvin, The metabolism of Cisapride can be increased when combined with Griseofulvin.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Cisapride.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Cisapride is combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Cisapride.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Cisapride.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Cisapride is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Cisapride.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Cisapride is combined with Allobarbital.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Cisapride.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Cisapride.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Cisapride is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Cisapride.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Nilvadipine is combined with Cisapride.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Oxatomide is combined with Cisapride.]
[C02DB02, hydralazine, The metabolism of Cisapride can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Cisapride.]
[R05DA03, hydrocodone, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Cisapride can be increased when combined with Hydrocortisone.]
[G04BD06, propiverine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Cisapride.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Cisapride is combined with Prothipendyl.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Cisapride can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Cisapride.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Cisapride.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Cisapride.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Cisapride is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Cisapride.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Cisapride.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Terlipressin is combined with Cisapride.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Cisapride.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Cisapride.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Cisapride is combined with Milnacipran.]
[A03AA30, piperidolate, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Cisapride is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Cisapride.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Cisapride.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Cisapride is combined with Ramelteon.]
[R06AE01, buclizine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Cisapride can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Anagrelide is combined with Cisapride.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Cisapride.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Cisapride.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Cisapride is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Cisapride is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Cisapride is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Cisapride is combined with Isocarboxazid.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Cisapride.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Cisapride.]
[J04AC01, isoniazid, The metabolism of Cisapride can be decreased when combined with Isoniazid.]
[J01FA07, josamycin, The serum concentration of Cisapride can be increased when it is combined with Josamycin.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Cisapride.]
[L04AC07, tocilizumab, The metabolism of Cisapride can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Cisapride is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Cisapride is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Cisapride.]
[J02AB02, ketoconazole, The metabolism of Cisapride can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Cisapride.]
[M02AA10, ketoprofen, The metabolism of Cisapride can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Cisapride can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Cisapride can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Mizolastine is combined with Cisapride.]
[N04BC09, rotigotine, Cisapride may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Cisapride.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Cisapride.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Cisapride.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Cisapride is combined with Lacosamide.]
[G03AD01, levonorgestrel, The metabolism of Cisapride can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Cisapride is combined with Levodopa.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Cisapride.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Cisapride.]
[N06BA13, armodafinil, The metabolism of Cisapride can be increased when combined with Armodafinil.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Cisapride.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Cisapride is combined with Lofepramine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Loperamide is combined with Cisapride.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Cisapride.]
[C10AA02, lovastatin, The metabolism of Cisapride can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Cisapride.]
[L01EG01, temsirolimus, The serum concentration of Cisapride can be increased when it is combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Cisapride can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Cisapride can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Cisapride.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Cisapride.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Cisapride.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Medazepam.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Cisapride.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Cisapride is combined with Melatonin.]
[N06DX01, memantine, The metabolism of Cisapride can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Cisapride.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Mephentermine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Cisapride.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Cisapride is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Cisapride is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Cisapride.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Cisapride is combined with Meptazinol.]
[L02BG01, aminoglutethimide, The metabolism of Cisapride can be increased when combined with Aminoglutethimide.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Mesoridazine is combined with Cisapride.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Cisapride.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Cisapride.]
[H01CB03, lanreotide, The metabolism of Cisapride can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Cisapride.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Cisapride.]
[A03AB07, methantheline, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Cisapride is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Cisapride is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Cisapride.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Cisapride is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Cisapride can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Cisapride.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Cisapride.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Cisapride is combined with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Cisapride.]
[N05AA02, methotrimeprazine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Cisapride can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Cisapride.]
[V04CG05, methylene blue, Cisapride may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Cisapride can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Cisapride.]
[H02AB04, methylprednisolone, The metabolism of Cisapride can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Cisapride.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Cisapride.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Cisapride is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Cisapride.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Cisapride.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Cisapride.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Cisapride.]
[V04CD01, metyrapone, The metabolism of Cisapride can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Cisapride.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Cisapride.]
[S02AA13, miconazole, The metabolism of Cisapride can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Cisapride.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Cisapride is combined with Midazolam.]
[G03XB01, mifepristone, The serum concentration of Cisapride can be increased when it is combined with Mifepristone.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[J01FA11, miocamycin, The serum concentration of Cisapride can be increased when it is combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Cisapride can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Cisapride.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Cisapride is combined with Molindone.]
[L03AC01, aldesleukin, The metabolism of Cisapride can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Cisapride can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may increase the arrhythmogenic activities of Cisapride.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Cisapride.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Cisapride.]
[L04AB05, certolizumab pegol, The metabolism of Cisapride can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Cisapride can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Cisapride.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Cisapride is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Cisapride is combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Cisapride.]
[G03XC01, raloxifene, The metabolism of Cisapride can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Cisapride.]
[N03AB05, fosphenytoin, The metabolism of Cisapride can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Cisapride.]
[N04BC04, ropinirole, Cisapride may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Cisapride can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Cisapride is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Cisapride is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Cisapride can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Cisapride can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Cisapride.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Cisapride.]
[A10BG01, troglitazone, The metabolism of Cisapride can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Cisapride.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Cisapride.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Cisapride.]
[L02BG04, letrozole, The metabolism of Cisapride can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Cisapride is combined with Remifentanil.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Cisapride.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Levosimendan is combined with Cisapride.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Cisapride.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Cisapride is combined with Desvenlafaxine.]
[C10AD02, niacin, The metabolism of Cisapride can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Cisapride is combined with Nialamide.]
[C08CA04, nicardipine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Cisapride.]
[N07BA01, nicotine, The metabolism of Cisapride can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The serum concentration of Nifedipine can be increased when it is combined with Cisapride.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Cisapride.]
[C08CA07, nisoldipine, The metabolism of Cisapride can be decreased when combined with Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Cisapride.]
