[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Isoniazid.]
[S01BA03, cortisone, The serum concentration of Isoniazid can be decreased when it is combined with Cortisone.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Isoniazid.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Isoniazid.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[R06AX13, loratadine, The metabolism of Loratadine can be decreased when combined with Isoniazid.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Isoniazid may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Manidipine can be decreased when combined with Isoniazid.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Mebeverine.]
[S01BA08, medrysone, The serum concentration of Isoniazid can be decreased when it is combined with Medrysone.]
[H02AB15, meprednisone, The serum concentration of Isoniazid can be decreased when it is combined with Meprednisone.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C04AX01, cyclandelate, The metabolism of Cyclandelate can be decreased when combined with Isoniazid.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Methoxyphenamine.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Isoniazid.]
[N05AD03, metylperon, Isoniazid may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Midecamycin can be decreased when combined with Isoniazid.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Isoniazid.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Isoniazid.]
[N06AX07, minaprine, The risk or severity of serotonin syndrome can be increased when Minaprine is combined with Isoniazid.]
[J04AB01, cycloserine, The risk or severity of adverse effects can be increased when Isoniazid is combined with Cycloserine.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Isoniazid.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Isoniazid.]
[N06BA07, modafinil, The metabolism of Modafinil can be decreased when combined with Isoniazid.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Isoniazid.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Isoniazid.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Isoniazid.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Isoniazid.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Isoniazid.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Isoniazid.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Isoniazid.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Isoniazid.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Isoniazid.]
[N07BB05, nalmefene, Isoniazid may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Isoniazid.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be decreased when combined with Isoniazid.]
[C01DX16, nicorandil, Isoniazid may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Isoniazid.]
[N03AG06, tiagabine, The metabolism of Tiagabine can be decreased when combined with Isoniazid.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be decreased when combined with Isoniazid.]
[C01CA23, theodrenaline, The serum concentration of Theodrenaline can be increased when it is combined with Isoniazid.]
[M03AC11, cisatracurium, Isoniazid may increase the neuromuscular blocking activities of Cisatracurium.]
[R05DA06, normethadone, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Isoniazid.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N06AA01, desipramine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[S01BA11, desonide, The serum concentration of Isoniazid can be decreased when it is combined with Desonide.]
[D07XC02, desoximetasone, The serum concentration of Isoniazid can be decreased when it is combined with Desoximetasone.]
[V04CH02, indigo carmine, Isoniazid may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[H02AA03, desoxycorticosterone, The serum concentration of Isoniazid can be decreased when it is combined with Desoxycortone.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C09XA02, aliskiren, The metabolism of Aliskiren can be decreased when combined with Isoniazid.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Isoniazid.]
[S03BA01, dexamethasone, The serum concentration of Isoniazid can be decreased when it is combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Isoniazid.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Isoniazid.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Isoniazid.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Isoniazid.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Isoniazid.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Isoniazid.]
[N02AC01, dextromoramide, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Isoniazid.]
[B01AC04, clopidogrel, The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Isoniazid resulting in a loss in efficacy.]
[C04AD01, pentifylline, The serum concentration of Pentifylline can be increased when it is combined with Isoniazid.]
[P03AC04, permethrin, Isoniazid may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Isoniazid.]
[N03AX07, phenacemide, The therapeutic efficacy of Phenacemide can be decreased when used in combination with Isoniazid.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Phenol.]
[N03AD02, phensuximide, The therapeutic efficacy of Phensuximide can be decreased when used in combination with Isoniazid.]
[N06AA08, dibenzepin, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Cinchocaine.]
[R05DA08, pholcodine, Isoniazid may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Isoniazid.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C02DG01, pinacidil, The metabolism of Pinacidil can be decreased when combined with Isoniazid.]
[A03AX04, pinaverium, The metabolism of Pinaverium can be decreased when combined with Isoniazid.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Isoniazid.]
[N05AD05, pipamperone, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Pipamperone.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Isoniazid.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Isoniazid.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of serotonin syndrome can be increased when Diethylpropion is combined with Isoniazid.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Isoniazid.]
[C08CA03, isradipine, The metabolism of Isradipine can be decreased when combined with Isoniazid.]
[D07XC04, diflucortolone, The serum concentration of Isoniazid can be decreased when it is combined with Difluocortolone.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Isoniazid.]
[C01AA05, digoxin, Isoniazid may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Isoniazid.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Isoniazid.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Isoniazid.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Isoniazid.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be decreased when combined with Isoniazid.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Isoniazid.]
[H03BC01, potassium perchlorate, Isoniazid may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Pramocaine.]
[D07AC18, prednicarbate, The serum concentration of Isoniazid can be decreased when it is combined with Prednicarbate.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Isoniazid.]
[V03AB09, dimercaprol, Isoniazid may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Isoniazid may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Isoniazid.]
[N06BC02, propentofylline, The serum concentration of Propentofylline can be increased when it is combined with Isoniazid.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Proparacaine.]
[R03DA03, proxyphylline, The serum concentration of Proxyphylline can be increased when it is combined with Isoniazid.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Diphenoxylate.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Isoniazid.]
[N06BA11, dexmethylphenidate, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Isoniazid.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Isoniazid.]
[S01AX06, resorcinol, Isoniazid may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Isoniazid.]
[P03AA04, disulfiram, The risk or severity of adverse effects can be increased when Disulfiram is combined with Isoniazid.]
[S02AA12, rifamycin SV, Rifamycin may increase the hepatotoxic activities of Isoniazid.]
[J04AB05, rifapentine, Rifapentine may increase the hepatotoxic activities of Isoniazid.]
[D06AX11, rifaximin, Rifaximin may increase the hepatotoxic activities of Isoniazid.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Isoniazid.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Isoniazid.]
[R06AE09, levocetirizine, The metabolism of Levocetirizine can be decreased when combined with Isoniazid.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Isoniazid.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be decreased when combined with Isoniazid.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Isoniazid.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Isoniazid.]
[J05AE07, fosamprenavir, The metabolism of Fosamprenavir can be decreased when combined with Isoniazid.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Isoniazid.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Isoniazid.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Isoniazid.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Isoniazid.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Isoniazid.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Isoniazid.]
[C01CA04, dopamine, Isoniazid may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Isoniazid.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Isoniazid.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Isoniazid.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Isoniazid.]
[A08AA10, sibutramine, The metabolism of Sibutramine can be decreased when combined with Isoniazid.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Isoniazid.]
[A12CA02, sodium sulfate, Isoniazid may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[G03DB01, dydrogesterone, The metabolism of Dydrogesterone can be decreased when combined with Isoniazid.]
[R03DA01, dyphylline, The serum concentration of Dyphylline can be increased when it is combined with Isoniazid.]
[N02CC01, sumatriptan, The risk or severity of serotonin syndrome can be increased when Sumatriptan is combined with Isoniazid.]
[V04CX07, edrophonium, Isoniazid may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[H01AA01, corticotropin, The serum concentration of Isoniazid can be decreased when it is combined with Corticotropin.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be decreased when combined with Isoniazid.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Isoniazid.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Isoniazid.]
[G04BD05, terodiline, The metabolism of Terodiline can be decreased when combined with Isoniazid.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Emetine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Isoniazid.]
[C09AA02, enalapril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Enalapril is combined with Isoniazid.]
[M01AG02, tolfenamic acid, The metabolism of Tolfenamic acid can be decreased when combined with Isoniazid.]
[N06AG03, toloxatone, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Isoniazid.]
[N03AX11, topiramate, The therapeutic efficacy of Topiramate can be decreased when used in combination with Isoniazid.]
[L02BA02, toremifene, The metabolism of Toremifene can be decreased when combined with Isoniazid.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Isoniazid may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[H02CA01, trilostane, The serum concentration of Isoniazid can be decreased when it is combined with Trilostane.]
[N01AB04, enflurane, The metabolism of Enflurane can be decreased when combined with Isoniazid.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Isoniazid.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Isoniazid.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Barnidipine can be decreased when combined with Isoniazid.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Isoniazid.]
[M01AB04, zomepirac, The metabolism of Zomepirac can be decreased when combined with Isoniazid.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be decreased when combined with Isoniazid.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Isoniazid.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Isoniazid.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Isoniazid.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C02AC02, guanfacine, The metabolism of Guanfacine can be decreased when combined with Isoniazid.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Iloprost.]
[G02AB03, ergonovine, The metabolism of Ergometrine can be decreased when combined with Isoniazid.]
[C04AE01, ergoloid mesylates, USP, The metabolism of Ergoloid mesylate can be decreased when combined with Isoniazid.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Isoniazid.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Isoniazid.]
[L03AX05, pidotimod, Isoniazid may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Erythromycin can be decreased when combined with Isoniazid.]
[N05CD04, estazolam, The metabolism of Estazolam can be decreased when combined with Isoniazid.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Isoniazid.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Isoniazid.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Isoniazid.]
[L01XX11, estramustine, The metabolism of Estramustine can be decreased when combined with Isoniazid.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Isoniazid.]
[R03BA05, fluticasone, The serum concentration of Isoniazid can be decreased when it is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Isoniazid.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Gepefrine.]
[D07AC21, halobetasol, The serum concentration of Isoniazid can be decreased when it is combined with Ulobetasol.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Isoniazid.]
[J04AD03, ethionamide, The serum concentration of Isoniazid can be increased when it is combined with Ethionamide.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N03AD01, ethosuximide, The metabolism of Ethosuximide can be decreased when combined with Isoniazid.]
[N03AB01, ethotoin, The therapeutic efficacy of Ethotoin can be decreased when used in combination with Isoniazid.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Isoniazid.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Isoniazid.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Isoniazid.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Isoniazid.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nizatidine is combined with Isoniazid.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Isoniazid.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be decreased when combined with Isoniazid.]
[P01AX07, trimetrexate, Isoniazid may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Isoniazid.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Isoniazid.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Isoniazid.]
[L02AE02, leuprolide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leuprolide is combined with Isoniazid.]
[C10AA03, pravastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pravastatin is combined with Isoniazid.]
[M01CB01, gold sodium thiomalate, Isoniazid may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[A05AA01, chenodeoxycholic acid, The metabolism of Chenodeoxycholic acid can be decreased when combined with Isoniazid.]
[B05AA05, dextran, Isoniazid may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Isoniazid.]
[C08CA02, felodipine, The metabolism of Felodipine can be decreased when combined with Isoniazid.]
[C08EA01, fendiline, The metabolism of Fendiline can be decreased when combined with Isoniazid.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Fenfluramine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Isoniazid.]
[R03CC02, albuterol, Isoniazid may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Isoniazid.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Isoniazid.]
[G04BD02, flavoxate, Isoniazid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Isoniazid.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J02AX01, flucytosine, Isoniazid may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The serum concentration of Isoniazid can be decreased when it is combined with Fludrocortisone.]
[V03AB25, flumazenil, Isoniazid may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The serum concentration of Isoniazid can be decreased when it is combined with Flumethasone.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Isoniazid.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Isoniazid.]
[D07AC08, fluocinonide, The serum concentration of Isoniazid can be decreased when it is combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Melitracen.]
[H02AB03, fluocortolone, The serum concentration of Isoniazid can be decreased when it is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Isoniazid.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[S01CB05, fluorometholone, The serum concentration of Isoniazid can be decreased when it is combined with Fluorometholone.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Isoniazid.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of serotonin syndrome can be increased when Flupentixol is combined with Isoniazid.]
[D07AC07, flurandrenolide, The serum concentration of Isoniazid can be decreased when it is combined with Flurandrenolide.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be decreased when combined with Isoniazid.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Isoniazid.]
[N05AG01, fluspirilene, The metabolism of Fluspirilene can be decreased when combined with Isoniazid.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Isoniazid.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Isoniazid.]
[G01AX06, furazolidone, The risk or severity of serotonin syndrome can be increased when Furazolidone is combined with Isoniazid.]
[J05AE10, darunavir, The metabolism of Darunavir can be decreased when combined with Isoniazid.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Alendronic acid is combined with Isoniazid.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Isoniazid.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Isoniazid.]
[C08DA02, gallopamil, The metabolism of Gallopamil can be decreased when combined with Isoniazid.]
[S01AD09, ganciclovir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Ganciclovir.]
[N03AA04, barbexaclone, The therapeutic efficacy of Barbexaclone can be decreased when used in combination with Isoniazid.]
