[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Moclobemide.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Moclobemide is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Moclobemide is combined with Thiopropazate.]
[G04BD01, emepronium, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Tianeptine is combined with Moclobemide.]
[C09AA02, enalapril, Moclobemide may increase the hypotensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Moclobemide is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Atomoxetine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Moclobemide.]
[C03CA04, torsemide, Moclobemide may increase the hypotensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Moclobemide is combined with Tramazoline.]
[C09AA10, trandolapril, Moclobemide may increase the hypotensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Loprazolam.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Moclobemide is combined with Triclofos.]
[A03AB08, tridihexethyl, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Triflusal.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Moclobemide.]
[N04AA12, tropatepine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[C05CA04, troxerutin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Troxerutin.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Moclobemide is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Moclobemide.]
[C02CA06, urapidil, Moclobemide may increase the hypotensive activities of Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Moclobemide is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Moclobemide can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Moclobemide is combined with Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Moclobemide.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Moclobemide is combined with Xamoterol.]
[S01GA03, xylometazoline, Moclobemide may increase the hypertensive activities of Xylometazoline.]
[C08CA12, mepirodipine, Moclobemide may increase the orthostatic hypotensive activities of Barnidipine.]
[S01EA01, epinephrine, Moclobemide may increase the hypertensive activities of Epinephrine.]
[C09AA15, zofenopril, Moclobemide may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Moclobemide is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Moclobemide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Moclobemide is combined with Insulin glulisine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Zotepine.]
[B01AD03, anistreplase, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Anistreplase.]
[C02AC02, guanfacine, Moclobemide may increase the hypotensive activities of Guanfacine.]
[B01AC11, iloprost, Moclobemide may increase the orthostatic hypotensive activities of Iloprost.]
[C01BG01, moricizine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Moricizine.]
[G02AB03, ergonovine, Moclobemide may increase the hypertensive activities of Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Moclobemide.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Moclobemide.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Estazolam.]
[A02BC02, pantoprazole, The metabolism of Moclobemide can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Moclobemide can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Moclobemide.]
[J04AK02, ethambutol, The metabolism of Moclobemide can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Moclobemide.]
[C01CA15, gepefrine, Moclobemide may increase the hypertensive activities of Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Moclobemide.]
[L02AA03, ethinyl estradiol, The metabolism of Moclobemide can be decreased when combined with Ethinylestradiol.]
[V03AF05, amifostine, Moclobemide may increase the orthostatic hypotensive activities of Amifostine.]
[N04AA05, profenamine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Moclobemide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Moclobemide.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Moclobemide.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Moclobemide.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Moclobemide is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Moclobemide.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Moclobemide is combined with Sertindole.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Moclobemide.]
[R06AX12, terfenadine, The metabolism of Moclobemide can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Moclobemide is combined with Bupropion.]
[N06AB08, fluvoxamine, Moclobemide may increase the serotonergic activities of Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Moclobemide.]
[B05AA05, dextran, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Dextran.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Moclobemide.]
[C08CA02, felodipine, Moclobemide may increase the hypotensive activities of Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Moclobemide.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Moclobemide is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Salbutamol is combined with Moclobemide.]
[B01AD05, plasmin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Fibrinolysin.]
[L01BB06, clofarabine, Moclobemide may increase the orthostatic hypotensive activities of Clofarabine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Moclobemide.]
[G04BD02, flavoxate, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Moclobemide.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Moclobemide is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Moclobemide can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Flunitrazepam.]
[N06AA14, melitracen, Moclobemide may increase the serotonergic activities of Melitracen.]
[V03AZ01, ethanol, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Fluoxetine.]
[N05AF01, flupenthixol, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Moclobemide.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Moclobemide.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Moclobemide is combined with Fluspirilene.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Moclobemide is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Moclobemide is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Moclobemide.]
[J05AE10, darunavir, The metabolism of Moclobemide can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Moclobemide may increase the hypotensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Moclobemide is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Moclobemide is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Moclobemide.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Gallamine.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Moclobemide is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Moclobemide can be decreased when combined with Gemfibrozil.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Moclobemide.]
[A10BJ02, liraglutide, Moclobemide may increase the hypoglycemic activities of Liraglutide.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Moclobemide.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Moclobemide.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Moclobemide.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Moclobemide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Moclobemide.]
[A10BB07, glipizide, Moclobemide may increase the hypoglycemic activities of Glipizide.]
[N05CM18, dexmedetomidine, Moclobemide may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Glutethimide.]
[C05AE01, nitroglycerin, Moclobemide may increase the hypotensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Moclobemide may increase the hypotensive activities of Doxazosin.]
[C07AB09, esmolol, Moclobemide may increase the hypotensive activities of Esmolol.]
[B01AA12, fluindione, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Fluindione.]
[C09AA09, fosinopril, Moclobemide may increase the hypotensive activities of Fosinopril.]
[S01EX01, guanethidine, Moclobemide may increase the hypotensive activities of Guanethidine.]
[P01BX01, halofantrine, The metabolism of Moclobemide can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Moclobemide.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Moclobemide.]
[N05AH04, quetiapine, Moclobemide may increase the orthostatic hypotensive activities of Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Moclobemide is combined with Insulin aspart.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Moclobemide is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Moclobemide is combined with Allobarbital.]
[C09CA01, losartan, Moclobemide may increase the hypotensive activities of Losartan.]
[S01XA14, heparin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Heparin.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Moclobemide.]
[L01XX03, altretamine, Altretamine may increase the orthostatic hypotensive activities of Moclobemide.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Moclobemide is combined with Hexobarbital.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Moclobemide is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Moclobemide.]
[C08CA10, nilvadipine, Moclobemide may increase the hypotensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Nimesulide.]
[C09AA04, perindopril, Moclobemide may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Moclobemide may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Moclobemide may increase the hypotensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, Moclobemide may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Moclobemide may increase the hypotensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Moclobemide.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Moclobemide is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Moclobemide.]
[J04AB04, rifabutin, The metabolism of Moclobemide can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Moclobemide may increase the hypotensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Ibuprofen is combined with Moclobemide.]
[B05CB02, sodium citrate, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Moclobemide.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Moclobemide.]
[N06AA02, imipramine, Moclobemide may increase the serotonergic activities of Imipramine.]
[L01CD01, paclitaxel, Moclobemide may increase the orthostatic hypotensive activities of Paclitaxel.]
[M03BX02, tizanidine, Moclobemide may increase the orthostatic hypotensive activities of Tizanidine.]
[C03BA11, indapamide, Moclobemide may increase the hypotensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Moclobemide.]
[C02CA02, indoramin, Moclobemide may increase the hypotensive activities of Indoramin.]
[N06AX17, milnacipran, Moclobemide may increase the serotonergic activities of Milnacipran.]
[A03AA30, piperidolate, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Articaine.]
[A10BH01, sitagliptin, Moclobemide may increase the hypoglycemic activities of Sitagliptin.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Moclobemide.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Moclobemide.]
[R06AE01, buclizine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, Moclobemide may increase the hypoglycemic activities of Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Moclobemide can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Anagrelide.]
[C07AA01, alprenolol, Moclobemide may increase the hypotensive activities of Alprenolol.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Moclobemide.]
[N06AA13, iprindole, Moclobemide may increase the serotonergic activities of Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Moclobemide is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Moclobemide is combined with Isocarboxazid.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Moclobemide.]
[C09AA16, imidapril, Moclobemide may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Moclobemide.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Moclobemide.]
[J04AC01, isoniazid, The metabolism of Moclobemide can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Isoprenaline is combined with Moclobemide.]
[A10BJ01, exenatide, Moclobemide may increase the hypoglycemic activities of Exenatide.]
[C05AE02, isosorbide dinitrate, Moclobemide may increase the orthostatic hypotensive activities of Isosorbide dinitrate.]
[C04AA01, isoxsuprine, Moclobemide may increase the orthostatic hypotensive activities of Isoxsuprine.]
[B01AE06, bivalirudin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Bivalirudin.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Moclobemide.]
[L04AC07, tocilizumab, The metabolism of Moclobemide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Ketamine.]
[C02KD01, ketanserin, Moclobemide may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Moclobemide can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Moclobemide may increase the orthostatic hypotensive activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Ketoprofen is combined with Moclobemide.]
[L04AA24, abatacept, The metabolism of Moclobemide can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Arbutamine is combined with Moclobemide.]
[N04BC09, rotigotine, Moclobemide may increase the sedative activities of Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Moclobemide is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Moclobemide may increase the hypotensive activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Moclobemide.]
[C02AA05, deserpidine, Moclobemide may increase the hypotensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Moclobemide may increase the orthostatic hypotensive activities of Etacrynic acid.]
[N04BA01, levodopa, Moclobemide may increase the orthostatic hypotensive activities of Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Moclobemide.]
[N06BA13, armodafinil, The metabolism of Moclobemide can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, Moclobemide may increase the orthostatic hypotensive activities of Amiloride.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Moclobemide.]
[N06AA07, lofepramine, Moclobemide may increase the serotonergic activities of Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Moclobemide.]
[C10AA02, lovastatin, The metabolism of Moclobemide can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Moclobemide.]
[L01EG01, temsirolimus, The metabolism of Moclobemide can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Moclobemide can be increased when used in combination with Magnesium sulfate.]
[V04CX04, mannitol, Moclobemide may increase the orthostatic hypotensive activities of Mannitol.]
[N06AA21, maprotiline, The risk or severity of adverse effects can be increased when Moclobemide is combined with Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Moclobemide.]
[C02BB01, mecamylamine, Moclobemide may increase the hypotensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Moclobemide.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Moclobemide.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Medazepam.]
[B01AB06, nadroparin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Dalteparin.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Moclobemide.]
[N06DX01, memantine, The metabolism of Moclobemide can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Moclobemide is combined with Meperidine.]
[C01CA11, mephentermine, Moclobemide may increase the hypertensive activities of Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Moclobemide.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Moclobemide.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Moclobemide.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Moclobemide.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Meptazinol is combined with Moclobemide.]
[N05AC03, mesoridazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Paliperidone.]
[C01CA09, metaraminol, Moclobemide may increase the hypertensive activities of Metaraminol.]
[A10BA02, metformin, Moclobemide may increase the hypoglycemic activities of Metformin.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Moclobemide.]
[N07BC02, methadone, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Methadone.]
[N06BA03, methamphetamine, Moclobemide may increase the hypertensive activities of Metamfetamine.]
[A03AB07, methantheline, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Moclobemide is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Moclobemide.]
[S01EC05, methazolamide, Moclobemide may increase the orthostatic hypotensive activities of Methazolamide.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Moclobemide is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Moclobemide can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Moclobemide.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Moclobemide.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, Moclobemide may increase the hypertensive activities of Methoxamine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Moclobemide.]
[C03AA08, methyclothiazide, Moclobemide may increase the orthostatic hypotensive activities of Methyclothiazide.]
[C02AB01, methyldopa, Moclobemide may decrease the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, Moclobemide may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Moclobemide.]
[N06BA04, methylphenidate, Moclobemide may increase the hypertensive activities of Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Moclobemide.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Moclobemide.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Moclobemide.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Metoclopramide.]
[C03BA08, metolazone, Moclobemide may increase the hypotensive activities of Metolazone.]
[C07AB02, metoprolol, The metabolism of Moclobemide can be decreased when combined with Metoprolol.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Moclobemide.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Moclobemide is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Moclobemide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Moclobemide.]
[B01AB07, parnaparin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Parnaparin.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Moclobemide.]
[C01CA17, midodrine, Moclobemide may increase the hypertensive activities of Midodrine.]
[G03XB01, mifepristone, The metabolism of Moclobemide can be decreased when combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Tinzaparin.]
[C09CA03, valsartan, Moclobemide may increase the hypotensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Moclobemide.]
[D11AX01, minoxidil, Moclobemide may increase the hypotensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, Moclobemide may increase the hypertensive activities of Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Molindone.]
[L03AC01, aldesleukin, Moclobemide may increase the orthostatic hypotensive activities of Aldesleukin.]
[C01BD01, amiodarone, Moclobemide may increase the orthostatic hypotensive activities of Amiodarone.]
[N06AA09, amitriptyline, Moclobemide may increase the serotonergic activities of Amitriptyline.]
[N02AA01, morphine, Moclobemide may increase the analgesic activities of Morphine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Moclobemide.]
[L04AB05, certolizumab pegol, The metabolism of Moclobemide can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Moclobemide.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Moclobemide is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Moclobemide is combined with Amobarbital.]
[N06AA17, amoxapine, Moclobemide may increase the serotonergic activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Moclobemide.]
[C07AA12, nadolol, Moclobemide may increase the hypotensive activities of Nadolol.]
[N04BC04, ropinirole, Moclobemide may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Moclobemide is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Moclobemide.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Moclobemide.]
[L04AC03, anakinra, The metabolism of Moclobemide can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Moclobemide may increase the hypertensive activities of Naphazoline.]
[N06BA01, amphetamine, Moclobemide may increase the hypertensive activities of Amphetamine.]
