[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Antipyrine is combined with Lurasidone.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Lurasidone is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Lurasidone is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Lurasidone is combined with Thiopropazate.]
[G04BD01, emepronium, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Tianeptine is combined with Lurasidone.]
[C09AA02, enalapril, Lurasidone may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Tofisopam is combined with Lurasidone.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Lurasidone is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Lurasidone is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Lurasidone.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Lurasidone.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Toremifene.]
[C03CA04, torsemide, Lurasidone may decrease the antihypertensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Lurasidone is combined with Tramazoline.]
[C09AA10, trandolapril, Lurasidone may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Lurasidone is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Lurasidone.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Triclofos is combined with Lurasidone.]
[A03AB08, tridihexethyl, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Lurasidone.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Lurasidone.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Lurasidone.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Lurasidone is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Lurasidone.]
[C02CA06, urapidil, Urapidil may increase the hypotensive activities of Lurasidone.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Lurasidone.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Lurasidone is combined with Veralipride.]
[L01CA04, vinorelbine, Vinorelbine may increase the neurotoxic activities of Lurasidone.]
[S01FB02, ephedrine, Lurasidone may decrease the hypertensive activities of Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Lurasidone.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Lurasidone is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Lurasidone is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Xylometazoline is combined with Lurasidone.]
[C08CA12, mepirodipine, The metabolism of Lurasidone can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, Epinephrine may increase the hypotensive activities of Lurasidone.]
[C09AA15, zofenopril, Lurasidone may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Zomepirac is combined with Lurasidone.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Lurasidone.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Lurasidone.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Lurasidone is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Lurasidone.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Lurasidone.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Lurasidone.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Lurasidone.]
[N02CA02, ergotamine, Ergotamine may increase the hypotensive activities of Lurasidone.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Valproic acid.]
[S01AA17, erythromycin, The metabolism of Lurasidone can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Lurasidone.]
[C01CA15, gepefrine, The therapeutic efficacy of Lurasidone can be decreased when used in combination with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Lurasidone.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Ibutilide.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Lurasidone.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Lurasidone.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Lurasidone.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Lurasidone.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Lurasidone.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Lurasidone is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Lurasidone.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Sertindole is combined with Lurasidone.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Lurasidone.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Lurasidone.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Lurasidone.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Lurasidone can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Lurasidone.]
[N06AB08, fluvoxamine, The metabolism of Lurasidone can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Lurasidone.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Lurasidone.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Lurasidone.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Fendiline.]
[N03AX26, fenfluramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Lurasidone.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Lurasidone.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Fenoterol is combined with Lurasidone.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Lurasidone.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Lurasidone.]
[G04BD02, flavoxate, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Flecainide.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Lurasidone is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Lurasidone can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Lurasidone.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Lurasidone.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Lurasidone is combined with Melitracen.]
[V03AZ01, ethanol, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Lurasidone is combined with Fluoxetine.]
[N05AF01, flupenthixol, Flupentixol may increase the hypotensive activities of Lurasidone.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Lurasidone.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Lurasidone.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Lurasidone.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Fluspirilene is combined with Lurasidone.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Lurasidone is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Lurasidone is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Lurasidone.]
[J05AE10, darunavir, The metabolism of Lurasidone can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Lurasidone may decrease the antihypertensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Lurasidone is combined with Eszopiclone.]
[N05AL05, amisulpride, Lurasidone may increase the antipsychotic activities of Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Lurasidone.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Gallopamil.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Lurasidone is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Lurasidone is combined with Bifemelane.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Lurasidone.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Lurasidone.]
[N04BC06, cabergoline, The therapeutic efficacy of Cabergoline can be decreased when used in combination with Lurasidone.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Lurasidone.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Methsuximide is combined with Lurasidone.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Lurasidone.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Lurasidone.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Lurasidone.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Lurasidone.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Lurasidone.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Lurasidone.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Lurasidone.]
[C05AE01, nitroglycerin, Lurasidone may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Dofetilide.]
[C02CA04, doxazosin, Doxazosin may increase the hypotensive activities of Lurasidone.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Lurasidone.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Lurasidone.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Lurasidone is combined with Fluindione.]
[C09AA09, fosinopril, Lurasidone may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Lurasidone may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Halofantrine.]
[N05AD01, haloperidol, The metabolism of Lurasidone can be decreased when combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Lurasidone.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Lurasidone.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Lurasidone.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Lurasidone.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Lurasidone is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Lurasidone is combined with Allobarbital.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Lurasidone.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Lurasidone.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Lurasidone.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Lurasidone is combined with Hexoprenaline.]
[C08CA10, nilvadipine, The metabolism of Lurasidone can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Nimesulide is combined with Lurasidone.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Oxatomide.]
[C09AA04, perindopril, Lurasidone may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Lurasidone may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Lurasidone.]
[R05DA03, hydrocodone, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Lurasidone may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Propiverine may increase the hypotensive activities of Lurasidone.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Lurasidone.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Lurasidone is combined with Prothipendyl.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Hydroxyzine.]
[C02AC06, rilmenidine, Lurasidone may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Ibuprofen is combined with Lurasidone.]
[B05CB02, sodium citrate, Lurasidone may increase the neurotoxic activities of Sodium citrate.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Lurasidone.]
[N06AA02, imipramine, Imipramine may increase the hypotensive activities of Lurasidone.]
[L01CD01, paclitaxel, Paclitaxel may increase the neurotoxic activities of Lurasidone.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Lurasidone.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Lurasidone.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Lurasidone.]
[C02CA02, indoramin, Indoramin may increase the hypotensive activities of Lurasidone.]
[N06AX17, milnacipran, The metabolism of Lurasidone can be decreased when combined with Milnacipran.]
[A03AA30, piperidolate, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Lurasidone.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Lurasidone.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Lurasidone.]
[R06AE01, buclizine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Lurasidone.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Lurasidone.]
[J05AF04, stavudine, Stavudine may increase the neurotoxic activities of Lurasidone.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Lurasidone is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Iproniazid is combined with Lurasidone.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Lurasidone.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Lurasidone.]
[C09AA16, imidapril, Lurasidone may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Lurasidone.]
[N04BX02, entacapone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Lurasidone.]
[J04AC01, isoniazid, The metabolism of Lurasidone can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Isoprenaline is combined with Lurasidone.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Lurasidone.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Lurasidone is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Lurasidone.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Lurasidone.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Lurasidone is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Lurasidone can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Lurasidone can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Olanzapine may increase the hypotensive activities of Lurasidone.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Ketoprofen is combined with Lurasidone.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Mizolastine.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Arbutamine is combined with Lurasidone.]
[N04BC09, rotigotine, Lurasidone may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Tiaprofenic acid is combined with Lurasidone.]
[C07AG01, labetalol, Labetalol may increase the hypotensive activities of Lurasidone.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Lurasidone.]
[C02AA05, deserpidine, Lurasidone may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Lacosamide is combined with Lurasidone.]
[N04BA01, levodopa, The therapeutic efficacy of Levodopa can be decreased when used in combination with Lurasidone.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Lurasidone.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Lidoflazine.]
[J01FF02, lincomycin, Lincomycin may increase the neurotoxic activities of Lurasidone.]
[N02CA07, lisuride, The therapeutic efficacy of Lisuride can be decreased when used in combination with Lurasidone.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Lofepramine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Lurasidone.]
[C10AA02, lovastatin, The metabolism of Lurasidone can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Lurasidone.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Lurasidone can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Lurasidone can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Lurasidone.]
[C02BB01, mecamylamine, Lurasidone may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Lurasidone.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Lurasidone.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Lurasidone is combined with Medazepam.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Lurasidone.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Lurasidone.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Lurasidone.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Lurasidone.]
[C01CA11, mephentermine, The therapeutic efficacy of Lurasidone can be decreased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Lurasidone.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Lurasidone.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Lurasidone.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Lurasidone.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Lurasidone is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Lurasidone.]
[N05AX13, paliperidone, Paliperidone may increase the hypotensive activities of Lurasidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Lurasidone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Lurasidone.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Lurasidone.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Lurasidone.]
[N06BA03, methamphetamine, The therapeutic efficacy of Lurasidone can be decreased when used in combination with Metamfetamine.]
[A03AB07, methantheline, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Methapyrilene is combined with Lurasidone.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Methaqualone is combined with Lurasidone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Lurasidone.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Lurasidone is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Lurasidone can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Lurasidone.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Lurasidone.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Lurasidone is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Lurasidone.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Lurasidone.]
[C02AB01, methyldopa, Lurasidone may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Lurasidone may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Lurasidone.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Lurasidone is combined with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Lurasidone.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Lurasidone.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Lurasidone.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Metoclopramide is combined with Lurasidone.]
[C03BA08, metolazone, Lurasidone may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, Lurasidone may decrease the antihypertensive activities of Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Lurasidone.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Mianserin is combined with Lurasidone.]
[S02AA13, miconazole, The metabolism of Lurasidone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Aminophenazone is combined with Lurasidone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Lurasidone.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Lurasidone.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Lurasidone.]
[C09CA03, valsartan, Lurasidone may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[D11AX01, minoxidil, Lurasidone may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Lurasidone can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Lurasidone can be decreased when used in combination with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Molindone is combined with Lurasidone.]
[C01BD01, amiodarone, The metabolism of Lurasidone can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may increase the hypotensive activities of Lurasidone.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Lurasidone.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Lurasidone.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Pazopanib.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Lurasidone.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Lurasidone.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Lurasidone.]
[G04CA04, silodosin, Silodosin may increase the hypotensive activities of Lurasidone.]
[R03BB01, ipratropium bromide, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, Amoxapine may increase the hypotensive activities of Lurasidone.]
[N03AB05, fosphenytoin, The metabolism of Lurasidone can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Lurasidone may decrease the antihypertensive activities of Nadolol.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Lurasidone.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Lurasidone is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Lurasidone.]
[V03AB15, naloxone, The metabolism of Lurasidone can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Lurasidone.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Naphazoline is combined with Lurasidone.]
