[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Budesonide.]
[M01AX22, morniflumate, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Budesonide can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Budesonide.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be increased when combined with Budesonide.]
[M01AH05, etoricoxib, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Budesonide.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Budesonide.]
[G03XA01, danazol, The metabolism of Budesonide can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be increased when combined with Budesonide.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Budesonide.]
[M01AX01, nabumetone, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Nabumetone.]
[N07BB05, nalmefene, Budesonide may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Budesonide can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, The risk or severity of ulceration can be increased when Budesonide is combined with Nicorandil.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[G03DB04, nomegestrol, The serum concentration of Budesonide can be increased when it is combined with Nomegestrol.]
[M03AC11, cisatracurium, The risk or severity of myopathy and weakness can be increased when Cisatracurium is combined with Budesonide.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Budesonide.]
[A07EC03, olsalazine, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Olsalazine.]
[N06AA01, desipramine, Desipramine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C01AA07, deslanoside, The risk or severity of adverse effects can be increased when Budesonide is combined with Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Budesonide.]
[V04CH02, indigo carmine, Budesonide may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Budesonide.]
[M01AE12, oxaprozin, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Budesonide is combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be increased when combined with Budesonide.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Budesonide.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be increased when combined with Budesonide.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be increased when combined with Budesonide.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be increased when combined with Budesonide.]
[C01DA05, pentaerythritol tetranitrate, Budesonide may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Budesonide may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be increased when combined with Budesonide.]
[S02DA04, dibucaine, The therapeutic efficacy of Cinchocaine can be decreased when used in combination with Budesonide.]
[R05DA08, pholcodine, Budesonide may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[G03CC02, dienestrol, The serum concentration of Budesonide can be increased when it is combined with Dienestrol.]
[A10BG03, pioglitazone, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Pioglitazone.]
[L01DC04, ixabepilone, The serum concentration of Budesonide can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Budesonide.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Budesonide is combined with Pirarubicin.]
[R03CC07, pirbuterol, The risk or severity of hypokalemia can be increased when Budesonide is combined with Pirbuterol.]
[C03CA03, piretanide, The risk or severity of hypokalemia can be increased when Budesonide is combined with Piretanide.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Budesonide.]
[L02AA01, diethylstilbestrol, The serum concentration of Budesonide can be increased when it is combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Budesonide can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Budesonide is combined with Difluocortolone.]
[N02BA11, diflunisal, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of adverse effects can be increased when Budesonide is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of adverse effects can be increased when Budesonide is combined with Digoxin.]
[L02AA02, polyestradiol phosphate, The serum concentration of Budesonide can be increased when it is combined with Polyestradiol phosphate.]
[C10AX09, ezetimibe, Ezetimibe may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Budesonide.]
[C04AE04, dihydroergocristine, Budesonide may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Budesonide.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Budesonide.]
[A11CC02, dihydrotachysterol, The therapeutic efficacy of Dihydrotachysterol can be decreased when used in combination with Budesonide.]
[J05AE08, atazanavir, The metabolism of Budesonide can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, Budesonide may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C08DB01, diltiazem, The metabolism of Budesonide can be decreased when combined with Diltiazem.]
[V03AB09, dimercaprol, Budesonide may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R03CC08, procaterol, The risk or severity of hypokalemia can be increased when Budesonide is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[G03CA09, promestriene, The serum concentration of Budesonide can be increased when it is combined with Promestriene.]
[N02BB04, propyphenazone, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Proglumetacin.]
[B01AC07, dipyridamole, Dipyridamole may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A03FA02, cisapride, The metabolism of Cisapride can be increased when combined with Budesonide.]
[S01XA23, sirolimus, The serum concentration of Budesonide can be increased when it is combined with Sirolimus.]
[S01AX06, resorcinol, Budesonide may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Natalizumab.]
[N07AA03, distigmine, The therapeutic efficacy of Distigmine can be decreased when used in combination with Budesonide.]
[P03AA04, disulfiram, Disulfiram may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[S02AA12, rifamycin SV, The metabolism of Budesonide can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Budesonide can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The metabolism of Risperidone can be increased when combined with Budesonide.]
[R06AE09, levocetirizine, Budesonide may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Budesonide.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01MB01, rosoxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Budesonide can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Budesonide.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Budesonide.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be increased when combined with Budesonide.]
[S01BC05, ketorolac, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be increased when combined with Budesonide.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Budesonide.]
[N02BA06, salsalate, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypokalemia can be increased when Budesonide is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C01CA07, dobutamine, The risk or severity of hypokalemia can be increased when Budesonide is combined with Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be increased when combined with Budesonide.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N06AA12, doxepin, Doxepin can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Budesonide.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C10AA01, simvastatin, Simvastatin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[B05XA02, sodium bicarbonate, The bioavailability of Budesonide can be decreased when combined with Sodium bicarbonate.]
[A12CA02, sodium sulfate, Budesonide may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[V04CX07, edrophonium, The therapeutic efficacy of Edrophonium can be decreased when used in combination with Budesonide.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Budesonide is combined with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Budesonide.]
[M01AC02, tenoxicam, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Tenoxicam.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Budesonide.]
[G03CX01, tibolone, The serum concentration of Budesonide can be increased when it is combined with Tibolone.]
[M01AG02, tolfenamic acid, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Budesonide may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C03CA04, torsemide, The risk or severity of hypokalemia can be increased when Budesonide is combined with Torasemide.]
[N05CC01, chloral hydrate, Budesonide may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[H02CA01, trilostane, The risk or severity of edema formation can be increased when Trilostane is combined with Budesonide.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Budesonide is combined with Trofosfamide.]
[J01MA04, enoxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Enoxacin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Budesonide.]
[S01FB02, ephedrine, Ephedrine may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01GX10, epinastine, Epinastine can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C08CA12, mepirodipine, The metabolism of Budesonide can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypokalemia can be increased when Budesonide is combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Budesonide.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be increased when combined with Budesonide.]
[M01AB04, zomepirac, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AB06, insulin glulisine, human, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Insulin glulisine.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Budesonide.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A11CC01, ergocalciferol, The therapeutic efficacy of Ergocalciferol can be decreased when used in combination with Budesonide.]
[N02CA02, ergotamine, The metabolism of Budesonide can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Budesonide may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The serum concentration of Budesonide can be increased when it is combined with Erythromycin.]
[N05CD04, estazolam, Estazolam may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03CA03, estradiol, The serum concentration of Budesonide can be increased when it is combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Budesonide.]
[G03CC06, estriol, The serum concentration of Budesonide can be increased when it is combined with Estriol.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Budesonide can be increased when it is combined with Conjugated estrogens.]
[G03CC04, estrone, The serum concentration of Budesonide can be increased when it is combined with Estrone.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Budesonide is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Budesonide is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be increased when combined with Budesonide.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The serum concentration of Budesonide can be increased when it is combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Budesonide.]
[M01AC06, meloxicam, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Meloxicam.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Budesonide.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Budesonide.]
[A02BA04, nizatidine, Nizatidine can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA08, fleroxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Budesonide.]
[R06AX12, terfenadine, The metabolism of Budesonide can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N06AX12, bupropion, Bupropion may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N06AB08, fluvoxamine, The metabolism of Budesonide can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Budesonide.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Budesonide may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA05, dextran, Budesonide may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Budesonide.]
[A02BA03, famotidine, Famotidine can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Budesonide.]
[C08CA02, felodipine, Felodipine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AE04, fenoprofen, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypokalemia can be increased when Budesonide is combined with Fenoterol.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[R03CC02, albuterol, The risk or severity of hypokalemia can be increased when Budesonide is combined with Salbutamol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Budesonide.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Budesonide.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N02BG04, floctafenine, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Floctafenine.]
[J01CF05, floxacillin, Flucloxacillin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Budesonide can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Budesonide.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Budesonide.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Budesonide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Budesonide is combined with Fluocortolone.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Budesonide.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Budesonide.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Budesonide.]
[G03BA01, fluoxymesterone, The risk or severity of fluid retention can be increased when Budesonide is combined with Fluoxymesterone.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[S01BC04, flurbiprofen, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Flurbiprofen.]
[L02BB01, flutamide, The metabolism of Flutamide can be increased when combined with Budesonide.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be increased when combined with Budesonide.]
[M03AA01, alcuronium, The risk or severity of myopathy and weakness can be increased when Alcuronium is combined with Budesonide.]
[J05AE10, darunavir, The metabolism of Budesonide can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The risk or severity of hypokalemia can be increased when Budesonide is combined with Furosemide.]
[N05CF04, eszopiclone, The serum concentration of Eszopiclone can be decreased when it is combined with Budesonide.]
[N06DA04, galantamine, The therapeutic efficacy of Galantamine can be decreased when used in combination with Budesonide.]
[M03AC02, gallamine, The risk or severity of myopathy and weakness can be increased when Gallamine is combined with Budesonide.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C10AB04, gemfibrozil, Budesonide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Budesonide may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Budesonide.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Budesonide.]
[A10BJ02, liraglutide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Liraglutide.]
[G03XA02, gestrinone, The serum concentration of Budesonide can be increased when it is combined with Gestrinone.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be increased when combined with Budesonide.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be increased when combined with Budesonide.]
[A10BB01, glyburide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Glipizide.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Budesonide.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be increased when combined with Budesonide.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Budesonide.]
[M01CB04, aurothioglucose, Budesonide may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Budesonide may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, Budesonide may increase the anticoagulant activities of Fluindione.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be increased when combined with Budesonide.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Budesonide.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be increased when combined with Budesonide.]
[N06BX13, idebenone, Budesonide may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Insulin aspart.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Budesonide.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C09CA01, losartan, Losartan may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Budesonide.]
[A07EC02, mesalamine, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Mesalazine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Budesonide.]
[R03CC05, hexoprenaline, The risk or severity of hypokalemia can be increased when Budesonide is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be increased when combined with Budesonide.]
[C08CA10, nilvadipine, The metabolism of Budesonide can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Nimesulide.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C02DB02, hydralazine, Budesonide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The risk or severity of electrolyte imbalance can be increased when Budesonide is combined with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be increased when combined with Budesonide.]
[C03AA02, hydroflumethiazide, The risk or severity of electrolyte imbalance can be increased when Budesonide is combined with Hydroflumethiazide.]
[B05XA17, potassium acetate, Budesonide may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[G04BD06, propiverine, Budesonide may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Budesonide is combined with Hydroxychloroquine.]
[B05AA07, hetastarch, Budesonide may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Budesonide.]
[N05BB01, hydroxyzine, The metabolism of Hydroxyzine can be increased when combined with Budesonide.]
[R02AX02, ibuprofen, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Ibuprofen.]
[B05XA08, sodium acetate, Budesonide may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Budesonide.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Budesonide.]
[N06AA02, imipramine, Imipramine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Budesonide.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Budesonide is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Budesonide.]
[C03BA11, indapamide, Budesonide may increase the hypokalemic activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Indomethacin.]
[A11HA07, inositol, Budesonide may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Budesonide.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Budesonide.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Budesonide.]
[S01XA28, varenicline, Budesonide may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Eculizumab.]
[A10BH01, sitagliptin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Sitagliptin.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be increased when combined with Budesonide.]
