[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Methoxsalen.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Methoxsalen.]
[V04CD01, metyrapone, Methoxsalen may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Methoxsalen.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Methoxsalen.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Methoxsalen.]
[N05CD08, midazolam, Methoxsalen may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[J05AH01, zanamivir, Methoxsalen may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Methoxsalen.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Methoxsalen may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Methoxsalen.]
[G04BA01, ammonium chloride, Methoxsalen may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Methoxsalen.]
[L04AA06, mycophenolic acid, Methoxsalen may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[C07AA12, nadolol, Methoxsalen may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Methoxsalen may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Methoxsalen is combined with Ropinirole.]
[V03AB15, naloxone, Methoxsalen may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Methoxsalen.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L02BG04, letrozole, The metabolism of Letrozole can be decreased when combined with Methoxsalen.]
[S03AA01, neomycin, Methoxsalen may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Methoxsalen may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L03AX16, plerixafor, Methoxsalen may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Methoxsalen may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Methoxsalen may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C01CE01, inamrinone, Methoxsalen may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Methoxsalen.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Methoxsalen.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Methoxsalen may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Methoxsalen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02AA02, opium, Methoxsalen may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Methoxsalen may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[J01CF04, oxacillin, Methoxsalen may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, Methoxsalen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Methoxsalen.]
[J04AB30, capreomycin, Methoxsalen may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[G04BD11, fesoterodine, Methoxsalen may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Methoxsalen may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[J01CE09, penicillin G procaine, Methoxsalen may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01XX08, pentostatin, Methoxsalen may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Methoxsalen.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Methoxsalen.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Methoxsalen.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N06AF03, phenelzine, Methoxsalen may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[V03AB36, phentolamine, Methoxsalen may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Methoxsalen.]
[S01AE05, levofloxacin, Methoxsalen may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Methoxsalen may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Methoxsalen.]
[C07AA03, pindolol, Methoxsalen may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N06BX03, piracetam, Methoxsalen may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Methoxsalen.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Methoxsalen.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH03, saxagliptin, Methoxsalen may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Methoxsalen may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Methoxsalen.]
[H02AB07, prednisone, Methoxsalen may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Methoxsalen.]
[M04AB01, probenecid, Methoxsalen may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Methoxsalen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AB05, fenofibrate, Methoxsalen may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Methoxsalen.]
[R06AD02, promethazine, Methoxsalen may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Methoxsalen.]
[A03AB05, propantheline, Methoxsalen may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Methoxsalen.]
[N02CC04, rizatriptan, Methoxsalen may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Methoxsalen may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Methoxsalen.]
[N07XX07, dalfampridine, Methoxsalen may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Methoxsalen may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C01BA01, quinidine, Methoxsalen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Methoxsalen.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Methoxsalen.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J05AP01, ribavirin, Methoxsalen may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Methoxsalen.]
[J01GB08, sisomicin, Methoxsalen may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Methoxsalen may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Methoxsalen may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
