[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Fentanyl is combined with Antipyrine.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Fentanyl is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Fentanyl can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Fentanyl may decrease the antihypertensive activities of Moxonidine.]
[M01AH05, etoricoxib, The metabolism of Fentanyl can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Fentanyl may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Fentanyl can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Fentanyl is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Fentanyl can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Fentanyl can be decreased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Deanol.]
[C02CC04, debrisoquin, Fentanyl may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Fentanyl.]
[N07BB05, nalmefene, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Nalmefene.]
[B05XA15, potassium lactate, The therapeutic efficacy of Potassium lactate can be decreased when used in combination with Fentanyl.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Nordazepam.]
[C07AB12, nebivolol, Fentanyl may decrease the antihypertensive activities of Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Fentanyl can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Niaprazine.]
[C01DX16, nicorandil, Fentanyl may decrease the antihypertensive activities of Nicorandil.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Tiagabine.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Fentanyl is combined with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Fentanyl.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Fentanyl is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of adverse effects can be increased when Solifenacin is combined with Fentanyl.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Fentanyl is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Fentanyl can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hyponatremia can be increased when Fentanyl is combined with Desmopressin.]
[V04CH02, indigo carmine, Fentanyl may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C09XA02, aliskiren, Fentanyl may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Fentanyl is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The metabolism of Fentanyl can be decreased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Fentanyl can be decreased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Oxiracetam.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Dexetimide is combined with Fentanyl.]
[G04BD04, oxybutynin, The metabolism of Fentanyl can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Fentanyl.]
[L04AB04, adalimumab, The metabolism of Fentanyl can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may increase the analgesic activities of Fentanyl.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Fentanyl.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Fentanyl.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Fentanyl can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, Fentanyl can cause a decrease in the absorption of Clopidogrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Fentanyl is combined with Diamorphine.]
[A03AX15, peppermint oil, The metabolism of Fentanyl can be decreased when combined with Peppermint oil.]
[P03AC04, permethrin, Fentanyl may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Fentanyl can be decreased when combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Phenacemide.]
[V03AH01, diazoxide, Fentanyl may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Fentanyl is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Fentanyl.]
[R05DA08, pholcodine, Fentanyl may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Diclofenac is combined with Fentanyl.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Dicyclomine is combined with Fentanyl.]
[J05AF02, didanosine, Fentanyl may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, Fentanyl may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, Fentanyl may increase the bradycardic activities of Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Pipamperone.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Pipenzolate is combined with Fentanyl.]
[L01EB02, erlotinib, The metabolism of Fentanyl can be decreased when combined with Erlotinib.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, Diethylpropion may increase the analgesic activities of Fentanyl.]
[L02AA01, diethylstilbestrol, The metabolism of Fentanyl can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Fentanyl can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, Fentanyl may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Poldine is combined with Fentanyl.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Fentanyl is combined with Diflunisal.]
[C01AA05, digoxin, Fentanyl may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Fentanyl may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Fentanyl is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Fentanyl can be decreased when combined with Dihydroergotamine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Fentanyl.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Fentanyl can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Fentanyl may decrease the antihypertensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, Fentanyl may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Fentanyl can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Fentanyl is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Fentanyl may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Pridinol.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Dimetindene is combined with Fentanyl.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Fentanyl can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Progabide.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Fentanyl is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Fentanyl is combined with Proglumetacin.]
[R06AA02, diphenhydramine, The risk or severity of adverse effects can be increased when Diphenhydramine is combined with Fentanyl.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Fentanyl is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Quazepam.]
[C09AA06, quinapril, Fentanyl may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Fentanyl is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Fentanyl.]
[C09AA05, ramipril, Fentanyl may decrease the antihypertensive activities of Ramipril.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Fentanyl.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Fentanyl is combined with Remoxipride.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Reproterol.]
[S01AX06, resorcinol, Fentanyl may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of adverse effects can be increased when Disopyramide is combined with Fentanyl.]
[S02AA12, rifamycin SV, The metabolism of Fentanyl can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Fentanyl can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Fentanyl.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Fentanyl.]
[L01EX01, sunitinib, The metabolism of Fentanyl can be decreased when combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Fentanyl can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Fentanyl may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Fentanyl.]
[C02KX02, ambrisentan, Fentanyl may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The metabolism of Fentanyl can be decreased when combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Fentanyl is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C01CA07, dobutamine, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Fentanyl.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Fentanyl is combined with Dopamine.]
[N06AA16, dothiepin, The risk or severity of adverse effects can be increased when Dosulepin is combined with Fentanyl.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Fentanyl.]
[N06AA12, doxepin, The risk or severity of adverse effects can be increased when Doxepin is combined with Fentanyl.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Fentanyl.]
[L01DB01, doxorubicin, The metabolism of Fentanyl can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Fentanyl is combined with Sevoflurane.]
[A08AA10, sibutramine, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Fentanyl can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Fentanyl.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Fentanyl.]
[C09AA11, spirapril, Fentanyl may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Fentanyl is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Fentanyl.]
[V04CX07, edrophonium, Fentanyl may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, Fentanyl may decrease the antihypertensive activities of Talinolol.]
[L01AX03, temozolomide, Fentanyl may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Fentanyl.]
[G04CA03, terazosin, Fentanyl may decrease the antihypertensive activities of Terazosin.]
[G04BD05, terodiline, Fentanyl may increase the bradycardic activities of Terodiline.]
[C07AA16, tertatolol, Fentanyl may increase the bradycardic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Fentanyl is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Fentanyl is combined with Thiopropazate.]
[G04BD01, emepronium, The risk or severity of adverse effects can be increased when Emepronium is combined with Fentanyl.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Tianeptine.]
[C09AA02, enalapril, Fentanyl may decrease the antihypertensive activities of Enalapril.]
[G01AF08, tioconazole, The metabolism of Fentanyl can be decreased when combined with Tioconazole.]
[N05BA23, tofisopam, The metabolism of Fentanyl can be decreased when combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Fentanyl is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of serotonin syndrome can be increased when Toloxatone is combined with Fentanyl.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Fentanyl.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Fentanyl.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Fentanyl is combined with Tramazoline.]
[C09AA10, trandolapril, Fentanyl may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Fentanyl is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Fentanyl is combined with Triclofos.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Fentanyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Fentanyl.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Tropatepine is combined with Fentanyl.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Fentanyl.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Fentanyl is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Fentanyl is combined with Veralipride.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Fentanyl is combined with Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Fentanyl.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Xamoterol.]
[S01GA03, xylometazoline, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Fentanyl can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Fentanyl can be decreased when combined with Epinephrine.]
[C09AA15, zofenopril, Fentanyl may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Fentanyl may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Fentanyl is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of hypotension and CNS depression can be increased when Moricizine is combined with Fentanyl.]
[G02AB03, ergonovine, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Fentanyl is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Fentanyl can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Fentanyl can be decreased when combined with Valproic acid.]
[L03AX05, pidotimod, Fentanyl may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Fentanyl can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03BA05, fluticasone, The metabolism of Fentanyl can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fentanyl can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C01CA15, gepefrine, Gepefrine may increase the analgesic activities of Fentanyl.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Fentanyl.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Fentanyl.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Fentanyl.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Fentanyl.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Fentanyl is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Fentanyl is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Fentanyl.]
[L01CB01, etoposide, The metabolism of Fentanyl can be decreased when combined with Etoposide.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Fentanyl is combined with Sertindole.]
[L04AD02, tacrolimus, The metabolism of Fentanyl can be decreased when combined with Tacrolimus.]
[R06AX11, astemizole, The metabolism of Fentanyl can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Fentanyl can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Fentanyl may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Fentanyl.]
[N06AB08, fluvoxamine, The metabolism of Fentanyl can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[B05AA05, dextran, Fentanyl may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C08CA02, felodipine, Fentanyl may decrease the antihypertensive activities of Felodipine.]
[C08EA01, fendiline, Fentanyl may increase the bradycardic activities of Fendiline.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Fentanyl.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Fenoterol is combined with Fentanyl.]
[S01AA13, fusidic acid, The metabolism of Fentanyl can be decreased when combined with Fusidic acid.]
[N07XX04, sodium oxybate, Fentanyl may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Fentanyl.]
[C01DA05, pentaerythritol tetranitrate, Fentanyl may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Fentanyl can be decreased when combined with Fluticasone furoate.]
[M01CB01, gold sodium thiomalate, Fentanyl may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Salbutamol.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Flavoxate is combined with Fentanyl.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Fentanyl is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Fentanyl can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Fentanyl may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Fentanyl may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Fentanyl is combined with Melitracen.]
[V03AZ01, ethanol, The metabolism of Fentanyl can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Fluoxetine.]
[N05AF01, flupenthixol, Fentanyl may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Fentanyl.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Flurazepam.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Fentanyl.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Fentanyl is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[S02AA17, fosfomycin, Fentanyl may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[L01BC03, tegafur, Fentanyl may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Fentanyl is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Alcuronium is combined with Fentanyl.]
[G01AX06, furazolidone, The risk or severity of serotonin syndrome can be increased when Furazolidone is combined with Fentanyl.]
[J05AE10, darunavir, The metabolism of Fentanyl can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Fentanyl is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Fentanyl is combined with Amisulpride.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Fentanyl.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Gallamine is combined with Fentanyl.]
[C08DA02, gallopamil, Fentanyl may increase the bradycardic activities of Gallopamil.]
[S01AD09, ganciclovir, Fentanyl may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Fentanyl is combined with Bifemelane.]
[C10AB04, gemfibrozil, Fentanyl may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Fentanyl may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Fentanyl can be decreased when combined with Dasatinib.]
[N04BC06, cabergoline, The metabolism of Fentanyl can be decreased when combined with Cabergoline.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Methsuximide.]
