[P02BB01, trichlorfon, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Metrifonate.]
[N06AG03, toloxatone, Toloxatone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Oxybutynin.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Oxybutynin is combined with Topiramate.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Oxybutynin.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Tramazoline.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Oxybutynin.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Tulobuterol.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C02CA06, urapidil, Urapidil may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Oxybutynin.]
[S01FB02, ephedrine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Ephedrine.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AX16, venlafaxine, Venlafaxine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C01CX07, xamoterol, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Oxybutynin can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Oxybutynin.]
[N05CF02, zolpidem, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Oxybutynin.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C02AC02, guanfacine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[G02AB03, ergonovine, Ergometrine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02CA02, ergotamine, The metabolism of Oxybutynin can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Oxybutynin can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Oxybutynin.]
[R03BA09, fluticasone furoate, The metabolism of Oxybutynin can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Oxybutynin can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Oxybutynin.]
[C01CA15, gepefrine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Gepefrine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Oxybutynin.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Oxybutynin.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Etilefrine.]
[N01AX07, etomidate, Etomidate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Oxybutynin.]
[N05AE03, sertindole, Sertindole may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Oxybutynin.]
[A02BA04, nizatidine, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Nizatidine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Oxybutynin.]
[R06AX12, terfenadine, The metabolism of Oxybutynin can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AB08, fluvoxamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Oxybutynin.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Oxybutynin.]
[C08CA02, felodipine, The metabolism of Oxybutynin can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Fenoterol.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Oxybutynin.]
[R03CC02, albuterol, The risk or severity of Tachycardia can be increased when Salbutamol is combined with Oxybutynin.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Oxybutynin.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Oxybutynin.]
[J02AC01, fluconazole, The metabolism of Oxybutynin can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[D07AC08, fluocinonide, The metabolism of Oxybutynin can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[H02AB03, fluocortolone, The metabolism of Oxybutynin can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Ethanol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Oxybutynin.]
[N06AB03, fluoxetine, Fluoxetine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AF01, flupenthixol, Flupentixol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L02BB01, flutamide, The metabolism of Oxybutynin can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Oxybutynin.]
[N06BX17, adrafinil, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Adrafinil.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[G01AX06, furazolidone, Furazolidone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J05AE10, darunavir, The metabolism of Oxybutynin can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Oxybutynin.]
[N05AL05, amisulpride, Amisulpride may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Oxybutynin.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AA04, barbexaclone, Barbexaclone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Oxybutynin.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Oxybutynin.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Oxybutynin.]
[A10BB01, glyburide, The metabolism of Oxybutynin can be decreased when combined with Glyburide.]
[H04AA01, glucagon, Oxybutynin may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Oxybutynin.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Oxybutynin.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Oxybutynin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Oxybutynin.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Oxybutynin.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Oxybutynin.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Oxybutynin.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AH04, quetiapine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Oxybutynin.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Oxybutynin.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Oxybutynin.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Oxybutynin.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R03CC05, hexoprenaline, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Oxybutynin.]
[C08CA10, nilvadipine, The metabolism of Oxybutynin can be decreased when combined with Nilvadipine.]
[C03AA03, hydrochlorothiazide, The serum concentration of Hydrochlorothiazide can be increased when it is combined with Oxybutynin.]
[R05DA03, hydrocodone, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Oxybutynin can be decreased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The serum concentration of Hydroflumethiazide can be increased when it is combined with Oxybutynin.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Oxybutynin.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C02AC06, rilmenidine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Rilmenidine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Oxybutynin.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Oxybutynin.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Oxybutynin.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Oxybutynin.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Oxybutynin.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Oxybutynin.]
[M03BX02, tizanidine, Tizanidine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C03BA11, indapamide, The serum concentration of Indapamide can be increased when it is combined with Oxybutynin.]
[N06AX17, milnacipran, Milnacipran may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Piperidolate.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Oxybutynin.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Oxybutynin.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R06AE01, buclizine, The risk or severity of adverse effects can be increased when Buclizine is combined with Oxybutynin.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Oxybutynin.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Anagrelide is combined with Oxybutynin.]
[C07AA01, alprenolol, Alprenolol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C03BA02, quinethazone, The serum concentration of Quinethazone can be increased when it is combined with Oxybutynin.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Oxybutynin.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AF05, iproniazid, Iproniazid may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R03CC06, isoetharine, The risk or severity of Tachycardia can be increased when Isoetharine is combined with Oxybutynin.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01EB07, isoflurophate, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J04AC01, isoniazid, The metabolism of Oxybutynin can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Isoprenaline.]
[C04AA01, isoxsuprine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Isoxsuprine.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AC07, tocilizumab, The metabolism of Oxybutynin can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J02AB02, ketoconazole, The metabolism of Oxybutynin can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AA24, abatacept, The metabolism of Oxybutynin can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Arbutamine.]
[N04BC09, rotigotine, Rotigotine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Oxybutynin.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Amantadine is combined with Oxybutynin.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Oxybutynin.]
[N07AA30, ambenonium, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Oxybutynin.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[G03AD01, levonorgestrel, The metabolism of Oxybutynin can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The absorption of Levodopa can be decreased when combined with Oxybutynin.]
[S02DA01, lidocaine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06BA13, armodafinil, The metabolism of Oxybutynin can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Oxybutynin.]
[N02CA07, lisuride, Lisuride may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Oxybutynin.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Oxybutynin.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Oxybutynin.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Oxybutynin.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Oxybutynin.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01EA03, nilotinib, The metabolism of Oxybutynin can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Maprotiline may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Oxybutynin.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Oxybutynin.]
[P01BC02, mefloquine, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06DX01, memantine, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Mephentermine.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Meptazinol.]
[N05AC03, mesoridazine, Mesoridazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AX13, paliperidone, Paliperidone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C01CA09, metaraminol, The risk or severity of Tachycardia can be increased when Metaraminol is combined with Oxybutynin.]
[A04AA04, dolasetron, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Methadone.]
[N06BA03, methamphetamine, Metamfetamine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Methantheline is combined with Oxybutynin.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[H03BB02, methimazole, The metabolism of Oxybutynin can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02BG08, ziconotide, Ziconotide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Oxybutynin.]
[N05AA02, methotrimeprazine, Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C01CA10, methoxamine, The risk or severity of Tachycardia can be increased when Methoxamine is combined with Oxybutynin.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C03AA08, methyclothiazide, The serum concentration of Methyclothiazide can be increased when it is combined with Oxybutynin.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Oxybutynin.]
[V04CG05, methylene blue, Methylene blue may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Oxybutynin.]
[N03AF03, rufinamide, Rufinamide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Oxybutynin.]
[C03BA08, metolazone, The serum concentration of Metolazone can be increased when it is combined with Oxybutynin.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Oxybutynin.]
[P01AB01, metronidazole, The metabolism of Oxybutynin can be decreased when combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Oxybutynin.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Oxybutynin.]
[S02AA13, miconazole, The metabolism of Oxybutynin can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Oxybutynin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Oxybutynin.]
[C01CA17, midodrine, The risk or severity of Tachycardia can be increased when Midodrine is combined with Oxybutynin.]
[G03XB01, mifepristone, The metabolism of Oxybutynin can be decreased when combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Oxybutynin.]
[L01XX23, mitotane, The metabolism of Oxybutynin can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Oxybutynin.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C01BD01, amiodarone, The metabolism of Oxybutynin can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Oxybutynin.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Morphine.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AB05, certolizumab pegol, The metabolism of Oxybutynin can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Oxybutynin.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Oxybutynin.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CA02, amobarbital, Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Oxybutynin.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Oxybutynin.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Oxybutynin.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Oxybutynin.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Oxybutynin can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Oxybutynin can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Naphazoline.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Oxybutynin.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Oxybutynin.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be decreased when combined with Oxybutynin.]
[N06AX21, duloxetine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Oxybutynin.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Remifentanil.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Oxybutynin.]
[S01EB06, neostigmine, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Oxybutynin.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AF02, nialamide, Nialamide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C08CA04, nicardipine, The metabolism of Oxybutynin can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Oxybutynin.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Oxybutynin.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Oxybutynin.]
[C08CA07, nisoldipine, The metabolism of Oxybutynin can be decreased when combined with Nisoldipine.]
