[S02DA03, antipyrine, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Antipyrine.]
[R03DA01, dyphylline, Olsalazine may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N02CC01, sumatriptan, The risk or severity of hypertension can be increased when Sumatriptan is combined with Olsalazine.]
[V04CX07, edrophonium, Olsalazine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, Olsalazine may decrease the antihypertensive activities of Talinolol.]
[H01AA01, corticotropin, The risk or severity of gastrointestinal irritation can be increased when Corticotropin is combined with Olsalazine.]
[J01MA05, temafloxacin, Olsalazine may increase the neuroexcitatory activities of Temafloxacin.]
[L01AX03, temozolomide, Olsalazine may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Tenoxicam.]
[G04CA03, terazosin, The therapeutic efficacy of Terazosin can be decreased when used in combination with Olsalazine.]
[G04BD05, terodiline, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Terodiline.]
[C07AA16, tertatolol, Olsalazine may decrease the antihypertensive activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Olsalazine is combined with Tetryzoline.]
[N06AX14, tianeptine, The risk or severity of gastrointestinal bleeding can be increased when Tianeptine is combined with Olsalazine.]
[C09AA02, enalapril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of adverse effects can be increased when Olsalazine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of hypertension can be increased when Olsalazine is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Olsalazine.]
[N03AX11, topiramate, Olsalazine may decrease the excretion rate of Topiramate which could result in a higher serum level.]
[C03CA04, torsemide, The therapeutic efficacy of Torasemide can be decreased when used in combination with Olsalazine.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Olsalazine is combined with Tramazoline.]
[C09AA10, trandolapril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Trandolapril.]
[B01AC18, triflusal, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Triflusal.]
[H02CA01, trilostane, The risk or severity of gastrointestinal irritation can be increased when Trilostane is combined with Olsalazine.]
[C05CA04, troxerutin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Troxerutin.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Olsalazine is combined with Tulobuterol.]
[C02CA06, urapidil, The therapeutic efficacy of Urapidil can be decreased when used in combination with Olsalazine.]
[J01MA04, enoxacin, Olsalazine may increase the neuroexcitatory activities of Enoxacin.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Olsalazine is combined with Ephedrine.]
[N06AX16, venlafaxine, Olsalazine may decrease the excretion rate of Venlafaxine which could result in a higher serum level.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Olsalazine is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Olsalazine is combined with Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypertension can be increased when Epinephrine is combined with Olsalazine.]
[C09AA15, zofenopril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Zofenopril.]
[M01AB04, zomepirac, The risk or severity of adverse effects can be increased when Olsalazine is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Olsalazine is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Olsalazine is combined with Insulin glulisine.]
[B01AD03, anistreplase, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Anistreplase.]
[L01XA02, carboplatin, The risk or severity of nephrotoxicity can be increased when Carboplatin is combined with Olsalazine.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Olsalazine.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Olsalazine is combined with Iloprost.]
[G02AB03, ergonovine, The risk or severity of hypertension can be increased when Olsalazine is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of hypertension can be increased when Ergoloid mesylate is combined with Olsalazine.]
[N02CA02, ergotamine, The risk or severity of hypertension can be increased when Ergotamine is combined with Olsalazine.]
[L03AX05, pidotimod, Olsalazine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Olsalazine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Olsalazine may decrease the excretion rate of Pantoprazole which could result in a higher serum level.]
[G03CA03, estradiol, Olsalazine may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Olsalazine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[J04AK02, ethambutol, Olsalazine may decrease the excretion rate of Ethambutol which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of gastrointestinal irritation can be increased when Fluticasone furoate is combined with Olsalazine.]
[R03BA05, fluticasone, The risk or severity of gastrointestinal irritation can be increased when Fluticasone is combined with Olsalazine.]
[V08CA03, gadodiamide, Olsalazine may decrease the excretion rate of Gadodiamide which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Olsalazine is combined with Gepefrine.]
[C01BD05, ibutilide, Olsalazine may decrease the excretion rate of Ibutilide which could result in a higher serum level.]
[N03AD01, ethosuximide, The risk or severity of hyperkalemia can be increased when Ethosuximide is combined with Olsalazine.]
[M01AC06, meloxicam, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Meloxicam.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Olsalazine is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of hypertension can be increased when Etomidate is combined with Olsalazine.]
[L04AD02, tacrolimus, The risk or severity of renal failure can be increased when Olsalazine is combined with Tacrolimus.]
[J01MA08, fleroxacin, Olsalazine may increase the neuroexcitatory activities of Fleroxacin.]
[P01AX07, trimetrexate, Olsalazine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Olsalazine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Olsalazine.]
[L02AE02, leuprolide, Olsalazine may decrease the excretion rate of Leuprolide which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Olsalazine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Dextran.]
[V03AF02, dexrazoxane, Olsalazine may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A16AA01, levocarnitine, Olsalazine may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[C08CA02, felodipine, The therapeutic efficacy of Felodipine can be decreased when used in combination with Olsalazine.]
[C08EA01, fendiline, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Fendiline.]
[M01AE04, fenoprofen, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Olsalazine is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of hypertension can be increased when Fentanyl is combined with Olsalazine.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Salbutamol is combined with Olsalazine.]
[S01EE01, latanoprost, The therapeutic efficacy of Latanoprost can be decreased when used in combination with Olsalazine.]
[B01AD05, plasmin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Fibrinolysin.]
[L01BB06, clofarabine, Olsalazine may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Olsalazine may decrease the excretion rate of Cevimeline which could result in a higher serum level.]
[G04BD02, flavoxate, Olsalazine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, The risk or severity of adverse effects can be increased when Olsalazine is combined with Floctafenine.]
[J02AC01, fluconazole, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Olsalazine.]
[J02AX01, flucytosine, Olsalazine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The risk or severity of gastrointestinal irritation can be increased when Fludrocortisone is combined with Olsalazine.]
[V03AB25, flumazenil, Olsalazine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The risk or severity of gastrointestinal irritation can be increased when Flumethasone is combined with Olsalazine.]
[N07CA03, flunarizine, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Flunarizine.]
[D07AC08, fluocinonide, The risk or severity of gastrointestinal irritation can be increased when Fluocinonide is combined with Olsalazine.]
[N06AA14, melitracen, The risk or severity of gastrointestinal bleeding can be increased when Melitracen is combined with Olsalazine.]
[H02AB03, fluocortolone, The risk or severity of gastrointestinal irritation can be increased when Fluocortolone is combined with Olsalazine.]
[V03AZ01, ethanol, The risk or severity of gastrointestinal irritation can be increased when Ethanol is combined with Olsalazine.]
[L01BC09, floxuridine, Olsalazine may decrease the excretion rate of Floxuridine which could result in a higher serum level.]
[S01CB05, fluorometholone, The risk or severity of gastrointestinal irritation can be increased when Fluorometholone is combined with Olsalazine.]
[N06AB03, fluoxetine, The risk or severity of gastrointestinal bleeding can be increased when Fluoxetine is combined with Olsalazine.]
[N05AF01, flupenthixol, The risk or severity of hypertension can be increased when Flupentixol is combined with Olsalazine.]
[N05CD01, flurazepam, Olsalazine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Fluspirilene.]
[L02BB01, flutamide, Olsalazine may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Olsalazine may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[S02AA17, fosfomycin, Olsalazine may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, The risk or severity of nephrotoxicity can be increased when Framycetin is combined with Olsalazine.]
[L01BC03, tegafur, Olsalazine may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Olsalazine is combined with Adrafinil.]
[G01AX06, furazolidone, The risk or severity of hypertension can be increased when Furazolidone is combined with Olsalazine.]
[C03CA01, furosemide, The risk or severity of adverse effects can be increased when Furosemide is combined with Olsalazine.]
[N05CF04, eszopiclone, Olsalazine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C08DA02, gallopamil, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Gallopamil.]
[S01AD09, ganciclovir, Olsalazine may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, Olsalazine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Olsalazine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, The risk or severity of hypertension can be increased when Cabergoline is combined with Olsalazine.]
[A10BJ02, liraglutide, Olsalazine may increase the hypoglycemic activities of Liraglutide.]
[N03AD03, methsuximide, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of hypertension can be increased when Alfentanil is combined with Olsalazine.]
[A10BB01, glyburide, Olsalazine may increase the hypoglycemic activities of Glyburide.]
[A10BB09, gliclazide, Olsalazine may increase the hypoglycemic activities of Gliclazide.]
[A10BB07, glipizide, Olsalazine may increase the hypoglycemic activities of Glipizide.]
[N05CM18, dexmedetomidine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Olsalazine.]
[C05AE01, nitroglycerin, The therapeutic efficacy of Nitroglycerin can be decreased when used in combination with Olsalazine.]
[C02CA04, doxazosin, The therapeutic efficacy of Doxazosin can be decreased when used in combination with Olsalazine.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Olsalazine.]
[L01EX02, sorafenib, Olsalazine may decrease the excretion rate of Sorafenib which could result in a higher serum level.]
[C07AB09, esmolol, Olsalazine may decrease the antihypertensive activities of Esmolol.]
[M01CB04, aurothioglucose, Olsalazine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Olsalazine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Fluindione.]
[C09AA09, fosinopril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Fosinopril.]
[S01EX01, guanethidine, The therapeutic efficacy of Guanethidine can be decreased when used in combination with Olsalazine.]
[L02AE03, goserelin, Olsalazine may decrease the excretion rate of Goserelin which could result in a higher serum level.]
[N05AD01, haloperidol, The therapeutic efficacy of Haloperidol can be increased when used in combination with Olsalazine.]
[N01AB01, halothane, The risk or severity of hypertension can be increased when Halothane is combined with Olsalazine.]
[N05AH04, quetiapine, The risk or severity of hypertension can be increased when Quetiapine is combined with Olsalazine.]
[N06BX13, idebenone, Olsalazine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Olsalazine is combined with Insulin aspart.]
[M04AA01, allopurinol, Olsalazine may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Losartan is combined with Olsalazine.]
[S01XA14, heparin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Heparin.]
[G03DC01, allylestrenol, Olsalazine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of nephrotoxicity can be increased when Mesalazine is combined with Olsalazine.]
[C01CE02, milrinone, Olsalazine may decrease the excretion rate of Milrinone which could result in a higher serum level.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Olsalazine is combined with Hexoprenaline.]
[C08CA10, nilvadipine, The therapeutic efficacy of Nilvadipine can be decreased when used in combination with Olsalazine.]
[M02AA26, nimesulide, The risk or severity of adverse effects can be increased when Olsalazine is combined with Nimesulide.]
[C09AA04, perindopril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Perindopril.]
[C02DB02, hydralazine, Olsalazine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Hydrochlorothiazide can be decreased when used in combination with Olsalazine.]
[S02BA01, hydrocortisone, The risk or severity of gastrointestinal irritation can be increased when Hydrocortisone is combined with Olsalazine.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Hydroflumethiazide can be decreased when used in combination with Olsalazine.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Olsalazine.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Olsalazine.]
[A12BA02, potassium citrate, Potassium citrate may increase the hyperkalemic activities of Olsalazine.]
[V03AB33, hydroxocobalamin, Olsalazine may decrease the excretion rate of Hydroxocobalamin which could result in a higher serum level.]
[G04BD06, propiverine, The risk or severity of hypertension can be increased when Olsalazine is combined with Propiverine.]
[B05AA07, hetastarch, Olsalazine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Olsalazine.]
[M05BA07, risedronic acid, The risk or severity of gastrointestinal bleeding can be increased when Olsalazine is combined with Risedronic acid.]
[R02AX02, ibuprofen, The risk or severity of adverse effects can be increased when Ibuprofen is combined with Olsalazine.]
[B05XA08, sodium acetate, Olsalazine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Sodium citrate.]
[L01AA06, ifosfamide, Olsalazine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, The risk or severity of hypertension can be increased when Sufentanil is combined with Olsalazine.]
[N06AA02, imipramine, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Olsalazine.]
[R01AD07, tixocortol, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Olsalazine.]
[L01CE01, topotecan, Olsalazine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be decreased when used in combination with Olsalazine.]
[S01BC01, indomethacin, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Indomethacin.]
[C02CA02, indoramin, The therapeutic efficacy of Indoramin can be decreased when used in combination with Olsalazine.]
[A11HA07, inositol, Olsalazine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of gastrointestinal bleeding can be increased when Milnacipran is combined with Olsalazine.]
[S01XA28, varenicline, Olsalazine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, Olsalazine may increase the hypoglycemic activities of Sitagliptin.]
[N05BA12, alprazolam, Olsalazine may decrease the excretion rate of Alprazolam which could result in a higher serum level.]
[N05CH02, ramelteon, Olsalazine may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[A10BH02, vildagliptin, Olsalazine may increase the hypoglycemic activities of Vildagliptin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Olsalazine is combined with Anagrelide.]
[C07AA01, alprenolol, Olsalazine may decrease the antihypertensive activities of Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Quinethazone can be decreased when used in combination with Olsalazine.]
[V03AB01, ipecac, Olsalazine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of gastrointestinal bleeding can be increased when Iprindole is combined with Olsalazine.]
[N06AF05, iproniazid, The risk or severity of hypertension can be increased when Olsalazine is combined with Iproniazid.]
[N06AF01, isocarboxazid, The risk or severity of hypertension can be increased when Isocarboxazid is combined with Olsalazine.]
[S01EC03, dorzolamide, The risk or severity of metabolic acidosis can be increased when Dorzolamide is combined with Olsalazine.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Olsalazine.]
[C09AA16, imidapril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of hypertension can be increased when Isoflurane is combined with Olsalazine.]
[J04AC01, isoniazid, Olsalazine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Olsalazine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Isoprenaline is combined with Olsalazine.]
[A10BJ01, exenatide, Olsalazine may increase the hypoglycemic activities of Exenatide.]
[D10BA01, isotretinoin, Olsalazine may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Olsalazine is combined with Isoxsuprine.]
[B01AE06, bivalirudin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Bivalirudin.]
[S01AA24, kanamycin, Olsalazine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Olsalazine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Olsalazine is combined with Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Prasugrel.]
[J02AB02, ketoconazole, The risk or severity of hyperkalemia can be increased when Ketoconazole is combined with Olsalazine.]
[M02AA10, ketoprofen, The risk or severity of bleeding and gastrointestinal bleeding can be increased when Olsalazine is combined with Ketoprofen.]
[V03AC03, deferasirox, The risk or severity of gastrointestinal bleeding and peptic ulcer can be increased when Olsalazine is combined with Deferasirox.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Arbutamine is combined with Olsalazine.]
[N04BC09, rotigotine, The risk or severity of hypertension can be increased when Olsalazine is combined with Rotigotine.]
[J01MB02, nalidixic acid, Olsalazine may increase the neuroexcitatory activities of Nalidixic acid.]
[M01AE11, tiaprofenic acid, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Tiaprofenic acid.]
[C07AG01, labetalol, Olsalazine may decrease the antihypertensive activities of Labetalol.]
[N04BB01, amantadine, Olsalazine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C02AA05, deserpidine, The therapeutic efficacy of Deserpidine can be decreased when used in combination with Olsalazine.]
[A06AX03, lubiprostone, Olsalazine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Etacrynic acid can be decreased when used in combination with Olsalazine.]
[C08EX01, lidoflazine, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Lidoflazine.]
[S01AA21, amikacin, Olsalazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Amiloride.]
[N02CA07, lisuride, The risk or severity of hypertension can be increased when Lisuride is combined with Olsalazine.]
[N06AA07, lofepramine, The risk or severity of gastrointestinal bleeding can be increased when Lofepramine is combined with Olsalazine.]
[A07DA03, loperamide, The risk or severity of hyperkalemia can be increased when Loperamide is combined with Olsalazine.]
[N05BA06, lorazepam, Olsalazine may decrease the excretion rate of Lorazepam which could result in a higher serum level.]
[B05XA11, magnesium chloride, Olsalazine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Olsalazine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The risk or severity of hyperkalemia can be increased when Magnesium sulfate is combined with Olsalazine.]
[L01BA05, pralatrexate, The serum concentration of Pralatrexate can be increased when it is combined with Olsalazine.]
[V04CX04, mannitol, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Olsalazine.]
[N06AA21, maprotiline, Olsalazine may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, The therapeutic efficacy of Mecamylamine can be decreased when used in combination with Olsalazine.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Meclofenamic acid.]
[C01AA08, medigoxin, Olsalazine may decrease the excretion rate of Metildigoxin which could result in a higher serum level.]
[B01AB06, nadroparin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Dalteparin.]
[N06DX01, memantine, Olsalazine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Olsalazine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Olsalazine is combined with Mephentermine.]
[N01BB03, mepivacaine, Olsalazine may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Olsalazine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Olsalazine may decrease the excretion rate of Mersalyl which could result in a higher serum level.]
[N05AX13, paliperidone, The risk or severity of hypertension can be increased when Olsalazine is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Olsalazine.]
[A10BA02, metformin, Olsalazine may increase the hypoglycemic activities of Metformin.]
[N07BC02, methadone, Olsalazine may decrease the excretion rate of Methadone which could result in a higher serum level.]
[N06BA03, methamphetamine, The risk or severity of hypertension can be increased when Olsalazine is combined with Metamfetamine.]
[J05AF05, lamivudine, Olsalazine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Olsalazine is combined with Methazolamide.]
[G02CB05, metergoline, The risk or severity of hypertension can be increased when Olsalazine is combined with Metergoline.]
[H03BB02, methimazole, Olsalazine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Olsalazine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Olsalazine may decrease the excretion rate of Pyridoxine which could result in a higher serum level.]
[L04AX03, methotrexate, The serum concentration of Methotrexate can be increased when it is combined with Olsalazine.]
[N05AA02, methotrimeprazine, The risk or severity of hypertension can be increased when Olsalazine is combined with Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Olsalazine.]
[D05BA02, methoxsalen, Olsalazine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of hypertension can be increased when Methoxyflurane is combined with Olsalazine.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Methyclothiazide can be decreased when used in combination with Olsalazine.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Olsalazine.]
[V04CG05, methylene blue, The risk or severity of hypertension can be increased when Olsalazine is combined with Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Olsalazine.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Olsalazine.]
[H02AB04, methylprednisolone, The risk or severity of gastrointestinal irritation can be increased when Methylprednisolone is combined with Olsalazine.]
[D07AC14, methylprednisolone aceponate, The risk or severity of gastrointestinal irritation can be increased when Methylprednisolone aceponate is combined with Olsalazine.]
[G03EK01, methyltestosterone, Olsalazine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, The risk or severity of hypertension can be increased when Methysergide is combined with Olsalazine.]
[A03FA01, metoclopramide, Olsalazine may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Olsalazine.]
[C07AB02, metoprolol, Olsalazine may decrease the antihypertensive activities of Metoprolol.]
[V04CD01, metyrapone, Olsalazine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N06AX03, mianserin, The risk or severity of hypertension can be increased when Olsalazine is combined with Mianserin.]
[N02BB03, aminopyrine, The risk or severity of adverse effects can be increased when Olsalazine is combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Parnaparin.]
[N05CD08, midazolam, Olsalazine may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Olsalazine.]
[G03XB01, mifepristone, Olsalazine may increase the hypoglycemic activities of Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Tinzaparin.]
[J05AH01, zanamivir, Olsalazine may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Valsartan is combined with Olsalazine.]
[D11AX01, minoxidil, The therapeutic efficacy of Minoxidil can be decreased when used in combination with Olsalazine.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Olsalazine is combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, Olsalazine may decrease the excretion rate of Aldesleukin which could result in a higher serum level.]
[C01BD01, amiodarone, The risk or severity of hyperkalemia can be increased when Amiodarone is combined with Olsalazine.]
