[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Diazepam.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Diazepam is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Diazepam can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Diazepam.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Diazepam can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Diazepam.]
[M01AH05, etoricoxib, The metabolism of Diazepam can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Diazepam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Diazepam can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Diazepam is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Diazepam can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Diazepam can be increased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Diazepam is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Diazepam.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N07BB05, nalmefene, Diazepam may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Diazepam.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Diazepam can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Niaprazine.]
[C01DX16, nicorandil, Diazepam may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Diazepam can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Diazepam is combined with Tiagabine.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Diazepam.]
[C01CA23, theodrenaline, The therapeutic efficacy of Diazepam can be decreased when used in combination with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Diazepam.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Normethadone is combined with Diazepam.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Diazepam is combined with Escitalopram.]
[G04BD08, solifenacin, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N06AA01, desipramine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V04CH02, indigo carmine, Diazepam may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Diazepam.]
[S03BA01, dexamethasone, The metabolism of Diazepam can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Diazepam is combined with Oxiracetam.]
[N04AA08, dexetimide, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Diazepam can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Diazepam can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Diazepam.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Diazepam.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Diazepam.]
[H05AA02, teriparatide, The therapeutic efficacy of Teriparatide can be decreased when used in combination with Diazepam.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Diazepam is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Diazepam can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Diazepam.]
[C04AD01, pentifylline, The therapeutic efficacy of Diazepam can be decreased when used in combination with Pentifylline.]
[P03AC04, permethrin, Diazepam may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Diazepam can be decreased when combined with Fusidic acid.]
[N07XX04, sodium oxybate, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Diazepam may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Diazepam is combined with Phenacemide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Diazepam is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Diazepam is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Cinchocaine.]
[R05DA08, pholcodine, Diazepam may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[A03AA07, dicyclomine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Diazepam may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Diazepam is combined with Pipamperone.]
[A03AB14, pipenzolate, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Diazepam.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diazepam is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Diazepam.]
[C08CA03, isradipine, The metabolism of Diazepam can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Diazepam can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C01AA05, digoxin, Diazepam may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Diazepam.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Diazepam.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Diazepam can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Diazepam can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, The therapeutic efficacy of Potassium perchlorate can be decreased when used in combination with Diazepam.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diazepam can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Diazepam is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Diazepam may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Diazepam is combined with Pridinol.]
[R06AB03, dimethindene, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Diazepam can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Diazepam is combined with Progabide.]
[N06BC02, propentofylline, The therapeutic efficacy of Diazepam can be decreased when used in combination with Propentofylline.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C05CA03, diosmin, The metabolism of Diazepam can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Proparacaine.]
[R03DA03, proxyphylline, The therapeutic efficacy of Diazepam can be decreased when used in combination with Proxyphylline.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Diazepam.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Diazepam is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Diazepam is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Diazepam.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Diazepam.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Diazepam.]
[S01AX06, resorcinol, Diazepam may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The therapeutic efficacy of Diazepam can be decreased when used in combination with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Diazepam can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Diazepam can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Diazepam.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Diazepam.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Diazepam is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Diazepam.]
[A04AD12, aprepitant, The metabolism of Diazepam can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Diazepam can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Diazepam.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Diazepam.]
[H05BA01, salmon calcitonin, The therapeutic efficacy of Salmon calcitonin can be decreased when used in combination with Diazepam.]
[C01CA07, dobutamine, Diazepam may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Diazepam.]
[C01CA04, dopamine, Diazepam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Diazepam.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Diazepam is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Diazepam is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Diazepam.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Diazepam is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Diazepam can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Diazepam can be decreased when used in combination with Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, Diazepam may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, The therapeutic efficacy of Diazepam can be decreased when used in combination with Dyphylline.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Diazepam is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Diazepam.]
[V04CX07, edrophonium, Diazepam may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[L01AX03, temozolomide, Diazepam may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Diazepam.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Diazepam resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Diazepam is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Diazepam is combined with Thiopropazate.]
[G04BD01, emepronium, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Diazepam is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Diazepam is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Diazepam is combined with Toloxatone.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Diazepam.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Diazepam is combined with Loprazolam.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Diazepam is combined with Triclofos.]
[A03AB08, tridihexethyl, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Diazepam.]
[G03GA05, follitropin alfa, The therapeutic efficacy of Follitropin can be decreased when used in combination with Diazepam.]
[N04AA12, tropatepine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Diazepam.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Diazepam is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Diazepam is combined with Veralipride.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Diazepam.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Diazepam.]
[C08CA12, mepirodipine, The metabolism of Diazepam can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Diazepam can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Diazepam is combined with Zonisamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Diazepam.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Diazepam is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Diazepam is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Diazepam.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Diazepam is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Diazepam is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Diazepam can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Diazepam may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Diazepam can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Diazepam is combined with Estazolam.]
[A02BC02, pantoprazole, The metabolism of Diazepam can be decreased when combined with Pantoprazole.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Diazepam.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Diazepam can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Diazepam can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Diazepam can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Diazepam can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Diazepam.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Diazepam.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N04AA05, profenamine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Diazepam.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Diazepam.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Diazepam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Diazepam.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Diazepam.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Diazepam is combined with Sertindole.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Diazepam.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Diazepam.]
[R06AX12, terfenadine, The metabolism of Diazepam can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Diazepam may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Diazepam is combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Diazepam can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Diazepam may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Diazepam may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Diazepam can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Diazepam can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Diazepam.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Diazepam.]
[R03CC02, albuterol, Diazepam may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[G04BD02, flavoxate, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Diazepam can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Diazepam can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Diazepam may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Flumazenil may decrease the sedative activities of Diazepam.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Diazepam is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Diazepam can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Diazepam is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Diazepam can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Diazepam can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Diazepam can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The serum concentration of Diazepam can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Flupentixol may increase the sedative activities of Diazepam.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Diazepam.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Diazepam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Diazepam is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Diazepam.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Diazepam is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Diazepam.]
[J05AE10, darunavir, The metabolism of Diazepam can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Diazepam is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Diazepam is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Diazepam is combined with Gallamine.]
[S01AD09, ganciclovir, The therapeutic efficacy of Diazepam can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Diazepam is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Diazepam is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Diazepam can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Diazepam may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Diazepam.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Diazepam.]
[C01CA21, cafedrine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Cafedrine.]
[J05AG04, etravirine, The metabolism of Diazepam can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Diazepam is combined with Methsuximide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Diazepam.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Diazepam.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Diazepam.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Diazepam.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Diazepam.]
[A10BB07, glipizide, Diazepam may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Diazepam.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Diazepam is combined with Glutethimide.]
[C02CA04, doxazosin, The metabolism of Diazepam can be decreased when combined with Doxazosin.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Diazepam.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Diazepam.]
[M01CB04, aurothioglucose, Diazepam may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Diazepam may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Diazepam.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[S01EX01, guanethidine, Diazepam may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
