[J01EC01, sulfamethoxazole, The metabolism of Alfuzosin can be decreased when combined with Sulfamethoxazole.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Prochlorperazine.]
[N05AA03, promazine, Promazine may increase the hypotensive activities of Alfuzosin.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Promethazine.]
[C01BC03, propafenone, Propafenone may increase the orthostatic hypotensive activities of Alfuzosin.]
[N05AC01, periciazine, Periciazine may increase the hypotensive activities of Alfuzosin.]
[N05CM06, propiomazine, Propiomazine may increase the hypotensive activities of Alfuzosin.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Romidepsin.]
[N01AX10, propofol, The metabolism of Alfuzosin can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Alfuzosin can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, Alfuzosin may increase the hypotensive activities of Propranolol.]
[B01AC09, epoprostenol, Alfuzosin may increase the hypotensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Alfuzosin.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Alfuzosin can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, Aripiprazole may increase the hypotensive activities of Alfuzosin.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Mepyramine.]
[C01BA01, quinidine, Quinidine may increase the hypotensive activities of Alfuzosin.]
[P01BC01, quinine, The metabolism of Alfuzosin can be decreased when combined with Quinine.]
[C02AA01, rescinnamine, Alfuzosin may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, Alfuzosin may increase the hypotensive activities of Reserpine.]
[J04AB02, rifampin, The metabolism of Alfuzosin can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Alfuzosin.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Alfuzosin.]
[J01FA06, roxithromycin, The metabolism of Alfuzosin can be decreased when combined with Roxithromycin.]
[C05CA01, rutin, The metabolism of Alfuzosin can be decreased when combined with Rutin.]
[H01CB01, somatostatin, The metabolism of Alfuzosin can be decreased when combined with Somatostatin.]
[C07AA07, sotalol, Sotalol may increase the orthostatic hypotensive activities of Alfuzosin.]
[N03AG01, valproic acid, The metabolism of Alfuzosin can be decreased when combined with Valproic acid.]
