[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BX03, piracetam, Piracetam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CA02, pivampicillin, The serum concentration of Amikacin can be decreased when it is combined with Pivampicillin.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S03AA03, polymyxin B, The risk or severity of adverse effects can be increased when Amikacin is combined with Polymyxin B.]
[A10BH03, saxagliptin, Saxagliptin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Prilocaine.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01BA02, procainamide, Amikacin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Procaine.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R06AD02, promethazine, Promethazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01AB01, proscillaridin, The risk or severity of adverse effects can be increased when Amikacin is combined with Proscillaridin.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AC09, epoprostenol, Epoprostenol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N07XX07, dalfampridine, Dalfampridine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[P02CC01, pyrantel, Pyrantel may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01BA01, quinidine, Amikacin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A02BA02, ranitidine, Ranitidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01GB08, sisomicin, Amikacin may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Sodium fluoride may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
