[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nabilone.]
[L01BC02, fluorouracil, The metabolism of Nabilone can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[N05CD01, flurazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Nabilone.]
[N05AG01, fluspirilene, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Fluspirilene.]
[N06BX17, adrafinil, The risk or severity of Tachycardia can be increased when Nabilone is combined with Adrafinil.]
[M03AA01, alcuronium, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Alcuronium.]
[G01AX06, furazolidone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Furazolidone.]
[J05AE10, darunavir, The metabolism of Nabilone can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The risk or severity of adverse effects can be increased when Nabilone is combined with Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Nabilone is combined with Eszopiclone.]
[N05AL05, amisulpride, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Amisulpride.]
[M03AC02, gallamine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Gallamine.]
[N03AA04, barbexaclone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Barbexaclone.]
[N06AX08, bifemelane, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Nabilone can be decreased when combined with Gemfibrozil.]
[N04BC06, cabergoline, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cabergoline.]
[J05AG04, etravirine, The metabolism of Nabilone can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Methsuximide.]
[N01AH02, alfentanil, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Alfentanil.]
[A10BB01, glyburide, The metabolism of Nabilone can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Nabilone.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Nabilone.]
[N05CM18, dexmedetomidine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[N05CE01, glutethimide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Glutethimide.]
[C05AE01, nitroglycerin, The risk or severity of adverse effects can be increased when Nabilone is combined with Nitroglycerin.]
[C02CA04, doxazosin, The risk or severity of adverse effects can be increased when Nabilone is combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Nabilone can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The risk or severity of adverse effects can be increased when Esmolol is combined with Nabilone.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Nabilone.]
[C09AA09, fosinopril, The risk or severity of adverse effects can be increased when Nabilone is combined with Fosinopril.]
[S01EX01, guanethidine, Nabilone may increase the hypotensive activities of Guanethidine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Nabilone.]
[N01AB01, halothane, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[N05AH04, quetiapine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Iprazochrome.]
[N05CA21, allobarbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Allobarbital.]
[C09CA01, losartan, The risk or severity of adverse effects can be increased when Nabilone is combined with Losartan.]
[N05CA16, hexobarbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Hexobarbital.]
[R03CC05, hexoprenaline, The risk or severity of Tachycardia can be increased when Nabilone is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nabilone can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Nabilone can be decreased when combined with Nilvadipine.]
[C09AA04, perindopril, The risk or severity of adverse effects can be increased when Nabilone is combined with Perindopril.]
[C02DB02, hydralazine, The risk or severity of adverse effects can be increased when Nabilone is combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of adverse effects can be increased when Nabilone is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, The risk or severity of adverse effects can be increased when Nabilone is combined with Hydroflumethiazide.]
[G04BD06, propiverine, The risk or severity of Tachycardia and drowsiness can be increased when Propiverine is combined with Nabilone.]
[N05AX07, prothipendyl, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Nabilone.]
[C02AC06, rilmenidine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Rilmenidine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Nabilone.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Nabilone.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Nabilone.]
[N01AH03, sufentanil, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[N06AA02, imipramine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Nabilone is combined with Paclitaxel.]
[M03BX02, tizanidine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tizanidine.]
[C03BA11, indapamide, The risk or severity of adverse effects can be increased when Nabilone is combined with Indapamide.]
[S01BC01, indomethacin, The metabolism of Nabilone can be decreased when combined with Indomethacin.]
[C02CA02, indoramin, The risk or severity of adverse effects can be increased when Nabilone is combined with Indoramin.]
[N06AX17, milnacipran, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Milnacipran.]
[A03AA30, piperidolate, The risk or severity of Tachycardia and drowsiness can be increased when Piperidolate is combined with Nabilone.]
[N01BB08, articaine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Articaine.]
[N05BA12, alprazolam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Alprazolam.]
[N05CH02, ramelteon, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ramelteon.]
[R06AE01, buclizine, The risk or severity of Tachycardia and drowsiness can be increased when Buclizine is combined with Nabilone.]
[C10AA06, cerivastatin, The metabolism of Nabilone can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Anagrelide is combined with Nabilone.]
[C07AA01, alprenolol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Alprenolol.]
[N06AA13, iprindole, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Iprindole.]
[N06AF05, iproniazid, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Iproniazid.]
[N05AA07, chlorproethazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Chlorproethazine.]
[N06AF01, isocarboxazid, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Isocarboxazid.]
[P01AX06, atovaquone, The metabolism of Nabilone can be decreased when combined with Atovaquone.]
[R03CC06, isoetharine, The risk or severity of Tachycardia can be increased when Isoetharine is combined with Nabilone.]
[C09AA16, imidapril, The risk or severity of adverse effects can be increased when Nabilone is combined with Imidapril.]
[N01AB06, isoflurane, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[N04BX02, entacapone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[J04AC01, isoniazid, The metabolism of Nabilone can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Isoprenaline.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Nabilone is combined with Isosorbide dinitrate.]
[C04AA01, isoxsuprine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Isoxsuprine.]
[N06AX18, reboxetine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Reboxetine.]
[L04AC07, tocilizumab, The metabolism of Nabilone can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ketamine.]
[C02KD01, ketanserin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Nabilone.]
[J02AB02, ketoconazole, The metabolism of Nabilone can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L04AA24, abatacept, The metabolism of Nabilone can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Arbutamine.]
[N04BC09, rotigotine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Rotigotine.]
[C07AG01, labetalol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Labetalol.]
[C02AA05, deserpidine, Nabilone may increase the hypotensive activities of Deserpidine.]
[N03AX18, lacosamide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[C03CC01, ethacrynic acid, The risk or severity of adverse effects can be increased when Nabilone is combined with Etacrynic acid.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Nabilone is combined with Levodopa.]
[S02DA01, lidocaine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[N06BA13, armodafinil, The metabolism of Nabilone can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Nabilone is combined with Amiloride.]
[N02CA07, lisuride, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lisuride.]
[N06AA07, lofepramine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lofepramine.]
[N05BA06, lorazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lorazepam.]
[C10AA02, lovastatin, The metabolism of Nabilone can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Nabilone.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Nabilone can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Nabilone can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Nabilone is combined with Mannitol.]
[N06AA21, maprotiline, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Mazindol.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Nabilone is combined with Mecamylamine.]
[R06AE05, meclizine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Meclizine.]
[N05BA03, medazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Medazepam.]
[N05CH01, melatonin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Melatonin.]
[N02AB02, meperidine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[C01CA11, mephentermine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Mephentermine.]
[N03AB04, mephenytoin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Mephenytoin.]
[N03AA01, mephobarbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Methylphenobarbital.]
[N01BB03, mepivacaine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Mepivacaine.]
[N05BC01, meprobamate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Meprobamate.]
[N02AX05, meptazinol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Meptazinol.]
[N05AC03, mesoridazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Mesoridazine.]
[N05AX13, paliperidone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Paliperidone.]
[C01CA09, metaraminol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Metaraminol.]
[A04AA04, dolasetron, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Nabilone.]
[N06BA03, methamphetamine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Metamfetamine.]
[A03AB07, methantheline, The risk or severity of Tachycardia and drowsiness can be increased when Methantheline is combined with Nabilone.]
[R06AC05, methapyrilene, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Methapyrilene.]
[N05CM01, methaqualone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Methaqualone.]
[N03AA30, metharbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Metharbital.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Nabilone is combined with Methazolamide.]
[G02CB05, metergoline, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Metergoline.]
[H03BB02, methimazole, The metabolism of Nabilone can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Methocarbamol.]
[N05CA15, methohexital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Methohexital.]
[N02BG08, ziconotide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ziconotide.]
[N05AA02, methotrimeprazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Methoxamine.]
[N02BG09, methoxyflurane, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Methoxyflurane.]
[C03AA08, methyclothiazide, The risk or severity of adverse effects can be increased when Methyclothiazide is combined with Nabilone.]
[C02AB01, methyldopa, The risk or severity of adverse effects can be increased when Nabilone is combined with Methyldopa.]
[V04CG05, methylene blue, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Methylene blue.]
[N03AF03, rufinamide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Rufinamide.]
[N05CE02, methyprylon, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Methyprylon.]
[N02CA04, methysergide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Methysergide.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Nabilone.]
[C03BA08, metolazone, The risk or severity of adverse effects can be increased when Nabilone is combined with Metolazone.]
[C07AB02, metoprolol, The risk or severity of adverse effects can be increased when Metoprolol is combined with Nabilone.]
[P01AB01, metronidazole, The metabolism of Nabilone can be decreased when combined with Metronidazole.]
[N06AX03, mianserin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Mianserin.]
[S02AA13, miconazole, The metabolism of Nabilone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Nabilone.]
[N05CD08, midazolam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Midazolam.]
[C01CA17, midodrine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Midodrine.]
[G03XB01, mifepristone, The metabolism of Nabilone can be decreased when combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Nabilone can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Nabilone.]
[D11AX01, minoxidil, The risk or severity of adverse effects can be increased when Minoxidil is combined with Nabilone.]
[L01XX23, mitotane, The metabolism of Nabilone can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Lisdexamfetamine.]
[N05AE02, molindone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Molindone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Nabilone.]
[C01BD01, amiodarone, The metabolism of Nabilone can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[A04AA05, palonosetron, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Nabilone can be increased when combined with Certolizumab pegol.]
[M03AC03, vecuronium, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Vecuronium.]
[N05CA02, amobarbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Nabilone can be decreased when combined with Amodiaquine.]
[N06AA17, amoxapine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Fosphenytoin.]
[C07AA12, nadolol, The risk or severity of adverse effects can be increased when Nabilone is combined with Nadolol.]
[N04BC04, ropinirole, Nabilone may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Naftidrofuryl.]
[N02AF02, nalbuphine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Nalbuphine.]
[V03AB15, naloxone, The metabolism of Nabilone can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Nabilone can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of Tachycardia can be increased when Nabilone is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Amphetamine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Nabilone.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be decreased when combined with Nabilone.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Nabilone is combined with Duloxetine.]
[N04BX01, tolcapone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tolcapone.]
[N01AH06, remifentanil, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Remifentanil.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Nabilone is combined with Levosimendan.]
[N05AX14, iloperidone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Nabilone is combined with Amphotericin B.]
[N06AX23, desvenlafaxine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Desvenlafaxine.]
[C09CA07, telmisartan, The risk or severity of adverse effects can be increased when Nabilone is combined with Telmisartan.]
[N06AF02, nialamide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Nialamide.]
[C08CA04, nicardipine, The metabolism of Nabilone can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Nabilone.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Nabilone.]
[C08CA05, nifedipine, The risk or severity of adverse effects can be increased when Nabilone is combined with Nifedipine.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Nabilone is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of adverse effects can be increased when Nimodipine is combined with Nabilone.]
[C08CA07, nisoldipine, The risk or severity of adverse effects can be increased when Nisoldipine is combined with Nabilone.]
[N05CD02, nitrazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of adverse effects can be increased when Nabilone is combined with Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Nabilone.]
[N05CF03, zaleplon, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[N04BC05, pramipexole, Nabilone may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, The risk or severity of adverse effects can be increased when Nitroprusside is combined with Nabilone.]
[N01AX13, nitrous oxide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Nitrous oxide.]
[N06AX04, nomifensine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Norepinephrine.]
[C02KX01, bosentan, The metabolism of Nabilone can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[R05DA07, noscapine, The metabolism of Nabilone can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of Tachycardia can be increased when Nabilone is combined with Nylidrin.]
[L04AC04, rilonacept, The metabolism of Nabilone can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Nabilone can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Opipramol.]
[N02AA02, opium, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Opium.]
[R03CB03, metaproterenol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Orciprenaline.]
[G04CA02, tamsulosin, The risk or severity of adverse effects can be increased when Nabilone is combined with Tamsulosin.]
[A14AA08, oxandrolone, The metabolism of Nabilone can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[C07AA02, oxprenolol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxprenolol.]
[N02AA05, oxycodone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of Tachycardia can be increased when Nabilone is combined with Oxymetazoline.]
[N02AA11, oxymorphone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxymorphone.]
[N05AE01, oxypertine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxypertine.]
[A03AB03, oxyphenonium, The risk or severity of Tachycardia and drowsiness can be increased when Oxyphenonium is combined with Nabilone.]
[N05AH05, asenapine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Nabilone.]
[M03AC01, pancuronium, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Nabilone is combined with Papaverine.]
[N05CC05, paraldehyde, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pargyline.]
[G04BD11, fesoterodine, The risk or severity of Tachycardia and drowsiness can be increased when Fesoterodine is combined with Nabilone.]
[C07AA23, penbutolol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Penbutolol.]
[N05AG03, penfluridol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Penfluridol.]
[N02AD01, pentazocine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pentazocine.]
[N05CA01, pentobarbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pentobarbital.]
[N05AB10, perazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Perazine.]
[N04BC02, pergolide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pergolide.]
[N05AB03, perphenazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Nabilone.]
[N02AD02, phenazocine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Phenazocine.]
[N06AF03, phenelzine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Phenelzine.]
[N03AA02, phenobarbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Phenobarbital.]
[N01AH04, phenoperidine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Phenoperidine.]
[C04AX02, phenoxybenzamine, The risk or severity of adverse effects can be increased when Nabilone is combined with Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Nabilone.]
[A08AA01, phentermine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Phentermine.]
[V03AB36, phentolamine, The risk or severity of adverse effects can be increased when Nabilone is combined with Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Nabilone can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Phenytoin.]
[L04AB06, golimumab, The metabolism of Nabilone can be increased when combined with Golimumab.]
[C08CX01, mibefradil, Nabilone may increase the hypotensive activities of Mibefradil.]
[N05AG02, pimozide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pimozide.]
[C07AA03, pindolol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pindolol.]
[J05AE01, saquinavir, The metabolism of Nabilone can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pipotiazine.]
[C09CA02, eprosartan, The risk or severity of adverse effects can be increased when Nabilone is combined with Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of Tachycardia and drowsiness can be increased when Pirenzepine is combined with Nabilone.]
[N02AC03, pirinitramide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Piritramide.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Nabilone.]
[N02CX01, pizotyline, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Nabilone can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The risk or severity of adverse effects can be increased when Nabilone is combined with Irbesartan.]
[N05CA22, proxibarbal, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Proxibarbal.]
[A10BG02, rosiglitazone, The metabolism of Nabilone can be decreased when combined with Rosiglitazone.]
[A03AE01, alosetron, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Alosetron.]
[L04AC08, canakinumab, The metabolism of Nabilone can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Nabilone may increase the hypotensive activities of Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Nabilone can be increased when it is combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Nabilone.]
[C07AB01, practolol, Nabilone may increase the hypotensive activities of Practolol.]
[N05BA11, prazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Prazepam.]
[C02CA01, prazosin, The risk or severity of adverse effects can be increased when Prazosin is combined with Nabilone.]
[N01BB04, prilocaine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Prilocaine.]
[P01BA03, primaquine, The metabolism of Nabilone can be decreased when combined with Primaquine.]
[N03AA03, primidone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Primidone.]
[M04AB01, probenecid, The metabolism of Nabilone can be decreased when combined with Probenecid.]
[S01HA05, procaine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Procaine.]
[L01XB01, procarbazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Nabilone can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[N04AA04, procyclidine, The risk or severity of Tachycardia and drowsiness can be increased when Procyclidine is combined with Nabilone.]
