[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Thalidomide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Thalidomide is combined with Phenol.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M05BA02, clodronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Thalidomide is combined with Clodronic acid.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Thalidomide can be decreased when combined with Diclofenac.]
[A03AA07, dicyclomine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[G03CC02, dienestrol, Dienestrol may increase the thrombogenic activities of Thalidomide.]
[C02DG01, pinacidil, Thalidomide may increase the hypotensive activities of Pinacidil.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03AB14, pipenzolate, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be increased when combined with Thalidomide.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Pirarubicin.]
[A08AA03, diethylpropion, Diethylpropion may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may increase the thrombogenic activities of Thalidomide.]
[C08CA03, isradipine, The risk or severity of adverse effects can be increased when Isradipine is combined with Thalidomide.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Thalidomide is combined with Difluocortolone.]
[A03AB11, poldine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, Digitoxin may decrease the cardiotoxic activities of Thalidomide.]
[C01AA05, digoxin, Digoxin may decrease the cardiotoxic activities of Thalidomide.]
[C02DB01, dihydralazine, Thalidomide may increase the hypotensive activities of Dihydralazine.]
[L02AA02, polyestradiol phosphate, Polyestradiol phosphate may increase the thrombogenic activities of Thalidomide.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Thalidomide.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02AA03, hydromorphone, Hydromorphone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Thalidomide.]
[J05AE08, atazanavir, The metabolism of Thalidomide can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Thalidomide can be decreased when combined with Treprostinil.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be increased when combined with Thalidomide.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R06AB03, dimethindene, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03CA09, promestriene, Promestriene may increase the thrombogenic activities of Thalidomide.]
[C05CA03, diosmin, The metabolism of Thalidomide can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Thalidomide is combined with Proparacaine.]
[R06AA02, diphenhydramine, Diphenhydramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A07DA01, diphenoxylate, Diphenoxylate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C09AA06, quinapril, The risk or severity of adverse effects can be increased when Quinapril is combined with Thalidomide.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Dipyridamole is combined with Thalidomide.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Thalidomide.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03FA02, cisapride, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C09AA05, ramipril, The risk or severity of adverse effects can be increased when Ramipril is combined with Thalidomide.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Thalidomide.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C01BA03, disopyramide, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Natalizumab.]
[P03AA04, disulfiram, The risk or severity of peripheral neuropathy can be increased when Thalidomide is combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Thalidomide can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AX08, risperidone, Risperidone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Thalidomide.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be increased when combined with Thalidomide.]
[L01XG01, bortezomib, The risk or severity of peripheral neuropathy can be increased when Thalidomide is combined with Bortezomib.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be increased when combined with Thalidomide.]
[S01BC05, ketorolac, The metabolism of Thalidomide can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be increased when combined with Thalidomide.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be increased when combined with Thalidomide.]
[A03FA03, domperidone, The metabolism of Domperidone can be increased when combined with Thalidomide.]
[N06AA16, dothiepin, Dosulepin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AA12, doxepin, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Doxorubicin is combined with Thalidomide.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AB06, sertraline, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A08AA10, sibutramine, Sibutramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be increased when combined with Thalidomide.]
[C09AA11, spirapril, Thalidomide may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C07AB13, talinolol, Thalidomide may increase the hypotensive activities of Talinolol.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Thalidomide.]
[M01AC02, tenoxicam, The metabolism of Thalidomide can be decreased when combined with Tenoxicam.]
[G04CA03, terazosin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Terazosin.]
[D01BA02, terbinafine, The metabolism of Thalidomide can be decreased when combined with Terbinafine.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G04BD01, emepronium, Emepronium may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03CX01, tibolone, Tibolone may increase the thrombogenic activities of Thalidomide.]
[C09AA02, enalapril, The risk or severity of adverse effects can be increased when Enalapril is combined with Thalidomide.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AG03, toloxatone, Toloxatone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AX11, topiramate, Topiramate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C03CA04, torsemide, The metabolism of Thalidomide can be decreased when combined with Torasemide.]
[C09AA10, trandolapril, The risk or severity of adverse effects can be increased when Trandolapril is combined with Thalidomide.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03AB08, tridihexethyl, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Thalidomide.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Thalidomide is combined with Trilostane.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Trofosfamide.]
[N04AA12, tropatepine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Thalidomide.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C02CA06, urapidil, Urapidil may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Thalidomide.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AX16, venlafaxine, Venlafaxine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C08CA12, mepirodipine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Thalidomide can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Thalidomide.]
[C09AA15, zofenopril, Thalidomide may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Thalidomide.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Thalidomide.]
[C02AC02, guanfacine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Thalidomide is combined with Iloprost.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G02AB03, ergonovine, Ergometrine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02CA02, ergotamine, Ergotamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AG01, valproic acid, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S01AA17, erythromycin, The metabolism of Erythromycin can be increased when combined with Thalidomide.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03CA03, estradiol, Estradiol may increase the thrombogenic activities of Thalidomide.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Estramustine.]
[G03CC06, estriol, Estriol may increase the thrombogenic activities of Thalidomide.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Thalidomide.]
[G03CC04, estrone, Estrone may increase the thrombogenic activities of Thalidomide.]
[J04AK02, ethambutol, The metabolism of Thalidomide can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Thalidomide is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Thalidomide is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be increased when combined with Thalidomide.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L02AA03, ethinyl estradiol, Ethinylestradiol may increase the thrombogenic activities of Thalidomide.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Amifostine.]
[N04AA05, profenamine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Thalidomide is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Thalidomide is combined with Meloxicam.]
[S01XA06, ethylmorphine, Ethylmorphine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Thalidomide is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Thalidomide.]
[N05AE03, sertindole, Sertindole may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Thalidomide.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Thalidomide.]
[R06AX12, terfenadine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AB08, fluvoxamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Thalidomide.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Thalidomide.]
[M05BA01, etidronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Thalidomide is combined with Etidronic acid.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Thalidomide.]
[C08CA02, felodipine, The metabolism of Felodipine can be increased when combined with Thalidomide.]
[N03AX26, fenfluramine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02AB03, fentanyl, Fentanyl may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Thalidomide.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Thalidomide.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Thalidomide.]
[G04BD02, flavoxate, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Thalidomide can be decreased when combined with Flecainide.]
[J02AC01, fluconazole, The metabolism of Thalidomide can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Thalidomide.]
[N07CA03, flunarizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Fluocinonide.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Thalidomide is combined with Fluocortolone.]
[V03AZ01, ethanol, The risk or severity of somnolence and peripheral neuropathy can be increased when Thalidomide is combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Thalidomide.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Thalidomide.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Thalidomide.]
[N06AB03, fluoxetine, Fluoxetine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AF01, flupenthixol, Flupentixol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S01BC04, flurbiprofen, The metabolism of Thalidomide can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L02BB01, flutamide, The metabolism of Flutamide can be increased when combined with Thalidomide.]
[L01BC03, tegafur, The metabolism of Tegafur can be increased when combined with Thalidomide.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G01AX06, furazolidone, Furazolidone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C03CA01, furosemide, The risk or severity of adverse effects can be increased when Furosemide is combined with Thalidomide.]
[M05BA04, alendronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Thalidomide is combined with Alendronic acid.]
[N05CF04, eszopiclone, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AL05, amisulpride, Amisulpride may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AA04, barbexaclone, Barbexaclone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C10AB04, gemfibrozil, The metabolism of Thalidomide can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Dasatinib.]
[N04BC06, cabergoline, Cabergoline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J05AG04, etravirine, The metabolism of Thalidomide can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03XA02, gestrinone, Gestrinone may increase the thrombogenic activities of Thalidomide.]
[N01AH02, alfentanil, Alfentanil may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be increased when combined with Thalidomide.]
[A10BB01, glyburide, The metabolism of Glyburide can be increased when combined with Thalidomide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Thalidomide.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Thalidomide.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C05AE01, nitroglycerin, The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Thalidomide.]
[C02CA04, doxazosin, The risk or severity of adverse effects can be increased when Doxazosin is combined with Thalidomide.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Sorafenib is combined with Thalidomide.]
[C07AB09, esmolol, The risk or severity of adverse effects can be increased when Esmolol is combined with Thalidomide.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Thalidomide is combined with Fluindione.]
[C09AA09, fosinopril, The risk or severity of adverse effects can be increased when Fosinopril is combined with Thalidomide.]
[S01EX01, guanethidine, Thalidomide may increase the hypotensive activities of Guanethidine.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be increased when combined with Thalidomide.]
[N05AD01, haloperidol, Haloperidol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AH04, quetiapine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Thalidomide.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Thalidomide.]
[C09CA01, losartan, The risk or severity of adverse effects can be increased when Losartan is combined with Thalidomide.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Thalidomide.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Thalidomide.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be increased when combined with Thalidomide.]
[C08CA10, nilvadipine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Thalidomide.]
[C09AA04, perindopril, The risk or severity of adverse effects can be increased when Perindopril is combined with Thalidomide.]
[C02DB02, hydralazine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of adverse effects can be increased when Hydrochlorothiazide is combined with Thalidomide.]
[R05DA03, hydrocodone, Hydrocodone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be increased when combined with Thalidomide.]
[C03AA02, hydroflumethiazide, The risk or severity of adverse effects can be increased when Hydroflumethiazide is combined with Thalidomide.]
[G04BD06, propiverine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Thalidomide.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C02AC06, rilmenidine, Thalidomide may increase the hypotensive activities of Rilmenidine.]
[M05BA07, risedronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Thalidomide is combined with Risedronic acid.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Thalidomide.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Thalidomide.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ifosfamide.]
[N01AH03, sufentanil, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AA02, imipramine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01CD01, paclitaxel, The risk or severity of peripheral neuropathy can be increased when Thalidomide is combined with Paclitaxel.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Thalidomide is combined with Paclitaxel poliglumex.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Thalidomide is combined with Tixocortol.]
[M03BX02, tizanidine, Tizanidine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Thalidomide.]
[C03BA11, indapamide, The risk or severity of adverse effects can be increased when Indapamide is combined with Thalidomide.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Thalidomide.]
[C02CA02, indoramin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Indoramin.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Thalidomide.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Thalidomide.]
[N06AX17, milnacipran, Milnacipran may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03AA30, piperidolate, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Eculizumab.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R06AE01, buclizine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be increased when combined with Thalidomide.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Thalidomide.]
[C07AA01, alprenolol, Alprenolol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Thalidomide.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AF05, iproniazid, Iproniazid may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[P01AX06, atovaquone, The metabolism of Thalidomide can be decreased when combined with Atovaquone.]
[C09AA16, imidapril, The risk or severity of adverse effects can be increased when Thalidomide is combined with Imidapril.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
