[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Hydralazine.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Hydralazine.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05AF01, flupenthixol, Flupentixol may decrease the antihypertensive activities of Hydralazine.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the antihypertensive activities of Hydralazine.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01BC03, tegafur, Hydralazine may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, Adrafinil may decrease the antihypertensive activities of Hydralazine.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Hydralazine.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Hydralazine.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Hydralazine.]
[C10AB04, gemfibrozil, Gemfibrozil may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01XA03, telavancin, Hydralazine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Hydralazine.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Hydralazine.]
[N01AH02, alfentanil, Alfentanil may decrease the antihypertensive activities of Hydralazine.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the antihypertensive activities of Hydralazine.]
[C05AE01, nitroglycerin, Nitroglycerin may increase the hypotensive activities of Hydralazine.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Hydralazine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Hydralazine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Hydralazine.]
[C07AB09, esmolol, Esmolol may increase the hypotensive activities of Hydralazine.]
[M01CB04, aurothioglucose, Hydralazine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Hydralazine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may increase the hypotensive activities of Hydralazine.]
[S01EX01, guanethidine, Guanethidine may increase the hypotensive activities of Hydralazine.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Hydralazine.]
[N01AB01, halothane, Halothane may decrease the antihypertensive activities of Hydralazine.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Hydralazine.]
[N06BX13, idebenone, Hydralazine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Hydralazine.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C09CA01, losartan, Losartan may increase the hypotensive activities of Hydralazine.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Hydralazine.]
[A07EC02, mesalamine, Mesalazine may decrease the antihypertensive activities of Hydralazine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Hydralazine.]
[R03CC05, hexoprenaline, Hexoprenaline may decrease the antihypertensive activities of Hydralazine.]
[C08CA10, nilvadipine, Hydralazine may increase the hypotensive activities of Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the antihypertensive activities of Hydralazine.]
[C09AA04, perindopril, Perindopril may increase the hypotensive activities of Hydralazine.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the antihypertensive activities of Hydralazine.]
[C01DA05, pentaerythritol tetranitrate, Hydralazine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Hydralazine can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Hydralazine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[G04BD06, propiverine, Propiverine may decrease the antihypertensive activities of Hydralazine.]
[B05AA07, hetastarch, Hydralazine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[C02AC06, rilmenidine, Rilmenidine may decrease the antihypertensive activities of Hydralazine.]
[R02AX02, ibuprofen, Ibuprofen may decrease the antihypertensive activities of Hydralazine.]
[B05XA08, sodium acetate, Hydralazine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Hydralazine.]
[N01AH03, sufentanil, Sufentanil may decrease the antihypertensive activities of Hydralazine.]
[N06AA02, imipramine, Imipramine may decrease the antihypertensive activities of Hydralazine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Hydralazine.]
[R01AD07, tixocortol, Hydralazine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Hydralazine.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Hydralazine.]
[S01BC01, indomethacin, Indomethacin may decrease the antihypertensive activities of Hydralazine.]
[C02CA02, indoramin, Indoramin may decrease the antihypertensive activities of Hydralazine.]
[A11HA07, inositol, Hydralazine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Hydralazine may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Varenicline may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[A10BH01, sitagliptin, Sitagliptin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Hydralazine.]
[N05CH02, ramelteon, Ramelteon may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C07AA01, alprenolol, Alprenolol may increase the hypotensive activities of Hydralazine.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Hydralazine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Hydralazine.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Hydralazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Hydralazine.]
[S01EC03, dorzolamide, Dorzolamide may increase the hypotensive activities of Hydralazine.]
[R03CC06, isoetharine, Isoetharine may decrease the antihypertensive activities of Hydralazine.]
[C09AA16, imidapril, Hydralazine may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may decrease the antihypertensive activities of Hydralazine.]
[J04AC01, isoniazid, Isoniazid may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J05AX05, inosine pranobex, Hydralazine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, Isoprenaline may decrease the antihypertensive activities of Hydralazine.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C04AA01, isoxsuprine, Isoxsuprine may decrease the antihypertensive activities of Hydralazine.]
[S01AA24, kanamycin, Hydralazine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Ketamine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C02KD01, ketanserin, Hydralazine may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Hydralazine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Hydralazine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the antihypertensive activities of Hydralazine.]
[C01CA22, arbutamine, Arbutamine may decrease the antihypertensive activities of Hydralazine.]
[N04BC09, rotigotine, Rotigotine may decrease the antihypertensive activities of Hydralazine.]
[C07AG01, labetalol, Labetalol may increase the hypotensive activities of Hydralazine.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C02AA05, deserpidine, Deserpidine may increase the hypotensive activities of Hydralazine.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Hydralazine.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Hydralazine is combined with Levodopa.]
[S01AA21, amikacin, Hydralazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Hydralazine.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Lisuride may decrease the antihypertensive activities of Hydralazine.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Hydralazine.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Hydralazine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Hydralazine.]
[B05XA11, magnesium chloride, Hydralazine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Hydralazine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Hydralazine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be decreased when combined with Hydralazine.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Maprotiline may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may increase the hypotensive activities of Hydralazine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the antihypertensive activities of Hydralazine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Hydralazine.]
[C01CA11, mephentermine, Mephentermine may decrease the antihypertensive activities of Hydralazine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Hydralazine.]
[N01BB03, mepivacaine, Mepivacaine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[G04BX16, tiopronin, Hydralazine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Paliperidone may decrease the antihypertensive activities of Hydralazine.]
[C01CA09, metaraminol, Metaraminol may decrease the antihypertensive activities of Hydralazine.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N06BA03, methamphetamine, Metamfetamine may decrease the antihypertensive activities of Hydralazine.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may decrease the antihypertensive activities of Hydralazine.]
[H03BB02, methimazole, Methimazole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01BA04, pemetrexed, Hydralazine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Hydralazine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Hydralazine.]
[N05AA02, methotrimeprazine, Methotrimeprazine may decrease the antihypertensive activities of Hydralazine.]
[C01CA10, methoxamine, Methoxamine may decrease the antihypertensive activities of Hydralazine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N02BG09, methoxyflurane, Methoxyflurane may decrease the antihypertensive activities of Hydralazine.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Hydralazine can be increased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, Methyldopa may increase the hypotensive activities of Hydralazine.]
[V04CG05, methylene blue, Methylene blue may increase the hypotensive activities of Hydralazine.]
[G02AB01, methylergonovine, Methylergometrine may decrease the antihypertensive activities of Hydralazine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Hydralazine.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Hydralazine.]
[G03EK01, methyltestosterone, Hydralazine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, The metabolism of Methysergide can be decreased when combined with Hydralazine.]
[A03FA01, metoclopramide, Metoclopramide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may increase the hypotensive activities of Hydralazine.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N06AX03, mianserin, Mianserin may decrease the antihypertensive activities of Hydralazine.]
[N02BB03, aminopyrine, Aminophenazone may decrease the antihypertensive activities of Hydralazine.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Hydralazine.]
[C01CA17, midodrine, Midodrine may decrease the antihypertensive activities of Hydralazine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C09CA03, valsartan, Valsartan may increase the hypotensive activities of Hydralazine.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Hydralazine.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the antihypertensive activities of Hydralazine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Hydralazine.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Hydralazine.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Hydralazine.]
[N06AA09, amitriptyline, Amitriptyline may decrease the antihypertensive activities of Hydralazine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Hydralazine.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Hydralazine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Hydralazine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Hydralazine.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Hydralazine.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Hydralazine is combined with Silodosin.]
[N06AA17, amoxapine, Amoxapine may decrease the antihypertensive activities of Hydralazine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Hydralazine.]
[C07AA12, nadolol, Nadolol may increase the hypotensive activities of Hydralazine.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Hydralazine.]
[V03AB15, naloxone, Naloxone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S01GA01, naphazoline, Naphazoline may decrease the antihypertensive activities of Hydralazine.]
[N06BA01, amphetamine, Amphetamine may decrease the antihypertensive activities of Hydralazine.]
[M02AA12, naproxen, Naproxen may decrease the antihypertensive activities of Hydralazine.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Hydralazine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Hydralazine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Hydralazine.]
[S03AA01, neomycin, Hydralazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, Remifentanil may decrease the antihypertensive activities of Hydralazine.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Levosimendan is combined with Hydralazine.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Hydralazine.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Hydralazine.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L03AX16, plerixafor, Hydralazine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Hydralazine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Hydralazine may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[C09CA07, telmisartan, Telmisartan may increase the hypotensive activities of Hydralazine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C01CE01, inamrinone, Hydralazine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Hydralazine.]
[C08CA04, nicardipine, Nicardipine may increase the hypotensive activities of Hydralazine.]
[C04AE02, nicergoline, Nicergoline may decrease the antihypertensive activities of Hydralazine.]
[C08CA05, nifedipine, The risk or severity of adverse effects can be increased when Nifedipine is combined with Hydralazine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the antihypertensive activities of Hydralazine.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Hydralazine is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Nimodipine may increase the hypotensive activities of Hydralazine.]
[C08CA07, nisoldipine, Nisoldipine may increase the hypotensive activities of Hydralazine.]
[C08CA08, nitrendipine, Nitrendipine may increase the hypotensive activities of Hydralazine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Hydralazine.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N04BC05, pramipexole, The risk or severity of adverse effects can be increased when Pramipexole is combined with Hydralazine.]
[C02DD01, nitroprusside, Nitroprusside may increase the hypotensive activities of Hydralazine.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Hydralazine.]
[C01CA03, norepinephrine, Norepinephrine may decrease the antihypertensive activities of Hydralazine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Hydralazine.]
[C02KX01, bosentan, Bosentan may increase the hypotensive activities of Hydralazine.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Hydralazine.]
[G02CA02, nylidrin, Nylidrin may decrease the antihypertensive activities of Hydralazine.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Hydralazine.]
[N02AA02, opium, Hydralazine may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, Orciprenaline may decrease the antihypertensive activities of Hydralazine.]
[G04CA02, tamsulosin, The risk or severity of adverse effects can be increased when Tamsulosin is combined with Hydralazine.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C07AA02, oxprenolol, Hydralazine may increase the hypotensive activities of Oxprenolol.]
[C01DX03, oxyfedrine, Oxyfedrine may decrease the antihypertensive activities of Hydralazine.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Hydralazine can be decreased when used in combination with Oxymetazoline.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the antihypertensive activities of Hydralazine.]
[N05AH05, asenapine, Asenapine may decrease the antihypertensive activities of Hydralazine.]
[J04AB30, capreomycin, Hydralazine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Papaverine is combined with Hydralazine.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Hydralazine.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[G04BD11, fesoterodine, Hydralazine may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Hydralazine may increase the hypotensive activities of Penbutolol.]
[J01CE09, penicillin G procaine, Hydralazine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Hydralazine.]
[L01XX08, pentostatin, Hydralazine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Hydralazine.]
[N04BC02, pergolide, Pergolide may decrease the antihypertensive activities of Hydralazine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Hydralazine.]
[N03AA02, phenobarbital, Phenobarbital may increase the hypotensive activities of Hydralazine.]
[C04AX02, phenoxybenzamine, Phenoxybenzamine may decrease the antihypertensive activities of Hydralazine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Hydralazine.]
[A08AA01, phentermine, Phentermine may decrease the antihypertensive activities of Hydralazine.]
[V03AB36, phentolamine, Phentolamine may decrease the antihypertensive activities of Hydralazine.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the antihypertensive activities of Hydralazine.]
[S01GA05, phenylephrine, Phenylephrine may decrease the antihypertensive activities of Hydralazine.]
[R01BA01, phenylpropanolamine, Phenylpropanolamine may decrease the antihypertensive activities of Hydralazine.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Hydralazine.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C08CX01, mibefradil, Hydralazine may increase the hypotensive activities of Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Hydralazine.]
[C07AA03, pindolol, Pindolol may increase the hypotensive activities of Hydralazine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Hydralazine.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N06BX03, piracetam, Hydralazine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Eprosartan may increase the hypotensive activities of Hydralazine.]
[S01BC06, piroxicam, Piroxicam may decrease the antihypertensive activities of Hydralazine.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N02CX01, pizotyline, Pizotifen may decrease the antihypertensive activities of Hydralazine.]
[C09CA04, irbesartan, Irbesartan may increase the hypotensive activities of Hydralazine.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA05, polythiazide, The therapeutic efficacy of Hydralazine can be increased when used in combination with Polythiazide.]
[A10BH03, saxagliptin, Hydralazine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C07AB01, practolol, Hydralazine may increase the hypotensive activities of Practolol.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Hydralazine.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Hydralazine.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C01BA02, procainamide, Hydralazine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the hypotensive activities of Hydralazine.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Hydralazine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Hydralazine.]
[N05AA03, promazine, Promazine may decrease the antihypertensive activities of Hydralazine.]
[R06AD02, promethazine, Promethazine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C01BC03, propafenone, Propafenone may decrease the antihypertensive activities of Hydralazine.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05AC01, periciazine, Periciazine may decrease the antihypertensive activities of Hydralazine.]
[N05CM06, propiomazine, Propiomazine may decrease the antihypertensive activities of Hydralazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Hydralazine.]
[N01AX10, propofol, Propofol may decrease the antihypertensive activities of Hydralazine.]
[C07AA05, propranolol, Propranolol may increase the hypotensive activities of Hydralazine.]
[N02CC04, rizatriptan, Rizatriptan may decrease the antihypertensive activities of Hydralazine.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Hydralazine.]
[N06AA11, protriptyline, Protriptyline may decrease the antihypertensive activities of Hydralazine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the antihypertensive activities of Hydralazine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Hydralazine.]
[N07XX07, dalfampridine, Hydralazine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Hydralazine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Hydralazine.]
[P01BC01, quinine, Quinine may increase the hypotensive activities of Hydralazine.]
[A02BA02, ranitidine, Ranitidine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C02AA01, rescinnamine, Rescinnamine may decrease the antihypertensive activities of Hydralazine.]
