[S02DA03, antipyrine, The protein binding of Gliclazide can be decreased when combined with Antipyrine.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Gliclazide.]
[G03EK01, methyltestosterone, Methyltestosterone may increase the hypoglycemic activities of Gliclazide.]
[C03BA08, metolazone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Gliclazide can be decreased when combined with Metronidazole.]
[S02AA13, miconazole, The serum concentration of Gliclazide can be increased when it is combined with Miconazole.]
[N02BB03, aminopyrine, The protein binding of Gliclazide can be decreased when combined with Aminophenazone.]
[G03XB01, mifepristone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Mifepristone.]
[C09CA03, valsartan, The metabolism of Gliclazide can be decreased when combined with Valsartan.]
[C01BD01, amiodarone, The metabolism of Gliclazide can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may decrease the hypoglycemic activities of Gliclazide.]
[L04AB05, certolizumab pegol, The metabolism of Gliclazide can be increased when combined with Certolizumab pegol.]
[P01BA06, amodiaquine, The metabolism of Gliclazide can be decreased when combined with Amodiaquine.]
[N06AA17, amoxapine, Amoxapine may decrease the hypoglycemic activities of Gliclazide.]
[N03AB05, fosphenytoin, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Fosphenytoin.]
[C07AA12, nadolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Nadolol.]
[L04AC03, anakinra, The metabolism of Gliclazide can be increased when combined with Anakinra.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Gliclazide.]
[M02AA12, naproxen, The protein binding of Gliclazide can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The therapeutic efficacy of Gliclazide can be increased when used in combination with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Gliclazide.]
[L02BG04, letrozole, The metabolism of Gliclazide can be decreased when combined with Letrozole.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Gliclazide.]
[N05AX14, iloperidone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Desvenlafaxine is combined with Gliclazide.]
[C09CA07, telmisartan, The metabolism of Gliclazide can be decreased when combined with Telmisartan.]
[C10AD02, niacin, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypoglycemic activities of Gliclazide.]
[C08CA04, nicardipine, The metabolism of Gliclazide can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Gliclazide.]
[C08CA05, nifedipine, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Gliclazide.]
[M02AA17, niflumic acid, The protein binding of Gliclazide can be decreased when combined with Niflumic acid.]
[C08CA06, nimodipine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Gliclazide.]
[C08CA07, nisoldipine, The risk or severity of hypoglycemia can be increased when Nisoldipine is combined with Gliclazide.]
[C08CA08, nitrendipine, The risk or severity of hypoglycemia can be increased when Nitrendipine is combined with Gliclazide.]
[G03DC02, norethindrone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Norethisterone.]
[S01AE02, norfloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Norfloxacin.]
[G03AC07, norgestrienone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Norgestrienone.]
[C02KX01, bosentan, The therapeutic efficacy of Gliclazide can be increased when used in combination with Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may decrease the hypoglycemic activities of Gliclazide.]
[R05DA07, noscapine, The metabolism of Gliclazide can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Gliclazide.]
[H01CB02, octreotide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Gliclazide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Gliclazide can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Gliclazide.]
[G04CA02, tamsulosin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Tamsulosin.]
[A14AA08, oxandrolone, The metabolism of Gliclazide can be decreased when combined with Oxandrolone.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Gliclazide can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Oxprenolol.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Gliclazide.]
[S01BC02, oxyphenbutazone, The protein binding of Gliclazide can be decreased when combined with Oxyphenbutazone.]
[J04AA01, aminosalicylic acid, Aminosalicylic acid may increase the hypoglycemic activities of Gliclazide.]
[N05AH05, asenapine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Asenapine.]
[G03DB06, chlormadinone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Chlormadinone.]
[H02AB05, paramethasone, The risk or severity of hyperglycemia can be increased when Paramethasone is combined with Gliclazide.]
[C02KC01, pargyline, Pargyline may increase the hypoglycemic activities of Gliclazide.]
[J01MA03, pefloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Pefloxacin.]
[C07AA23, penbutolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypoglycemia can be increased when Penfluridol is combined with Gliclazide.]
[N05CA01, pentobarbital, The metabolism of Gliclazide can be decreased when combined with Pentobarbital.]
[N05AB10, perazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Perazine.]
[C08EX02, perhexiline, The risk or severity of hypoglycemia can be increased when Perhexiline is combined with Gliclazide.]
[N05AB03, perphenazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Gliclazide.]
[N06AF03, phenelzine, Phenelzine may increase the hypoglycemic activities of Gliclazide.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Phenformin.]
[B01AA02, phenindione, Gliclazide may increase the anticoagulant activities of Phenindione.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Gliclazide.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Gliclazide can be increased when used in combination with Phenprocoumon.]
[A08AA01, phentermine, The therapeutic efficacy of Gliclazide can be increased when used in combination with Phentermine.]
[M02AA01, phenylbutazone, The protein binding of Gliclazide can be decreased when combined with Phenylbutazone.]
[A02BC06, dexlansoprazole, The metabolism of Gliclazide can be decreased when combined with Dexlansoprazole.]
[N03AB02, phenytoin, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Phenytoin.]
[L04AB06, golimumab, The metabolism of Gliclazide can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of hypoglycemia can be increased when Mibefradil is combined with Gliclazide.]
[C07AA03, pindolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Pindolol.]
[J05AE01, saquinavir, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Saquinavir.]
[P02CB01, piperazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Piperazine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Pipotiazine.]
[S01BC06, piroxicam, The protein binding of Gliclazide can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Gliclazide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Gliclazide can be decreased when combined with Irbesartan.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Gliclazide can be increased when used in combination with Rosiglitazone.]
[A03AE01, alosetron, The metabolism of Gliclazide can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Gliclazide can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Ritonavir.]
[A10BH03, saxagliptin, Saxagliptin may increase the hypoglycemic activities of Gliclazide.]
[V03AB21, potassium iodide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Potassium Iodide.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Gliclazide.]
[C07AB01, practolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Practolol.]
[P02BA01, praziquantel, The metabolism of Gliclazide can be decreased when combined with Praziquantel.]
[S03BA02, prednisolone, The risk or severity of hyperglycemia can be increased when Prednisolone is combined with Gliclazide.]
[H02AB07, prednisone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Gliclazide.]
[C01DX02, prenylamine, The risk or severity of hypoglycemia can be increased when Prenylamine is combined with Gliclazide.]
[N03AA03, primidone, The metabolism of Gliclazide can be decreased when combined with Primidone.]
[M04AB01, probenecid, The protein binding of Gliclazide can be decreased when combined with Probenecid.]
[S01HA05, procaine, Procaine may increase the hypoglycemic activities of Gliclazide.]
[L01XB01, procarbazine, Procarbazine may increase the hypoglycemic activities of Gliclazide.]
[C10AB05, fenofibrate, The risk or severity of hypoglycemia can be increased when Fenofibrate is combined with Gliclazide.]
[N05AB04, prochlorperazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Prochlorperazine.]
[G03DA04, progesterone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Promethazine.]
[C01BC03, propafenone, The therapeutic efficacy of Gliclazide can be increased when used in combination with Propafenone.]
[N05AC01, periciazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Periciazine.]
[N01AX10, propofol, The metabolism of Gliclazide can be decreased when combined with Propofol.]
[C07AA05, propranolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Propranolol.]
[H03BA02, propylthiouracil, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Propylthiouracil.]
[R03DC03, montelukast, The metabolism of Gliclazide can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Gliclazide.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Aripiprazole.]
[C01BA01, quinidine, The metabolism of Gliclazide can be decreased when combined with Quinidine.]
[P01BC01, quinine, The risk or severity of hypoglycemia can be increased when Quinine is combined with Gliclazide.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Gliclazide.]
[A02BA02, ranitidine, The serum concentration of Gliclazide can be increased when it is combined with Ranitidine.]
[J04AB02, rifampin, The serum concentration of Gliclazide can be decreased when it is combined with Rifampicin.]
[N02BA05, salicylamide, The protein binding of Gliclazide can be decreased when combined with Salicylamide.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the hypoglycemic activities of Gliclazide.]
[S01BC08, salicylic acid, Salicylic acid may increase the hypoglycemic activities of Gliclazide.]
[N04BD01, selegiline, Selegiline may increase the hypoglycemic activities of Gliclazide.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Gliclazide.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hyperglycemia can be increased when Hydrocortisone aceponate is combined with Gliclazide.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hyperglycemia can be increased when Hydrocortisone butyrate is combined with Gliclazide.]
[D07AB11, hydrocortisone probutate, The risk or severity of hyperglycemia can be increased when Hydrocortisone probutate is combined with Gliclazide.]
[M01AE11, tiaprofenic acid, The protein binding of Gliclazide can be decreased when combined with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Etacrynic acid.]
