[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Trifluoperazine.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Thiopropazate.]
[G04BD01, emepronium, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The serum concentration of Tianeptine can be increased when it is combined with Trifluoperazine.]
[C09AA02, enalapril, Trifluoperazine may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of extrapyramidal symptoms can be increased when Toloxatone is combined with Trifluoperazine.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Trifluoperazine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Trifluoperazine.]
[C03CA04, torsemide, Trifluoperazine may decrease the antihypertensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Tramazoline.]
[C09AA10, trandolapril, Trifluoperazine may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Triclofos.]
[A03AB08, tridihexethyl, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Trifluoperazine.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Trifluoperazine.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Trifluoperazine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Trifluoperazine.]
[C02CA06, urapidil, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Urapidil.]
[J01MA04, enoxacin, The metabolism of Trifluoperazine can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Veralipride.]
[L01CA04, vinorelbine, Vinorelbine may increase the neurotoxic activities of Trifluoperazine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Trifluoperazine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Trifluoperazine.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Trifluoperazine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Trifluoperazine.]
[S01GA03, xylometazoline, The therapeutic efficacy of Xylometazoline can be decreased when used in combination with Trifluoperazine.]
[C08CA12, mepirodipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Trifluoperazine.]
[C09AA15, zofenopril, Trifluoperazine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Trifluoperazine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Zotepine.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Trifluoperazine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Trifluoperazine.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Trifluoperazine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Trifluoperazine.]
[N02CA02, ergotamine, Ergotamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Trifluoperazine.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Estazolam.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Trifluoperazine.]
[G03CA03, estradiol, The metabolism of Trifluoperazine can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Trifluoperazine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Trifluoperazine can be decreased when combined with Ethambutol.]
[C01CA15, gepefrine, The therapeutic efficacy of Trifluoperazine can be decreased when used in combination with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Trifluoperazine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Trifluoperazine.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Trifluoperazine.]
[N03AD01, ethosuximide, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Trifluoperazine.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Trifluoperazine.]
[S01XA06, ethylmorphine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Trifluoperazine.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Trifluoperazine.]
[L01CB01, etoposide, The metabolism of Trifluoperazine can be decreased when combined with Etoposide.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Sertindole.]
[R06AX12, terfenadine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Trifluoperazine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Trifluoperazine.]
[A02BA03, famotidine, The metabolism of Trifluoperazine can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Trifluoperazine can be increased when combined with Albendazole.]
[C08CA02, felodipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Trifluoperazine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Trifluoperazine.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Trifluoperazine.]
[N02AB03, fentanyl, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Fentanyl.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Trifluoperazine.]
[G04BD02, flavoxate, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Trifluoperazine.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Floctafenine.]
[N07CA03, flunarizine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Flunitrazepam.]
[N06AA14, melitracen, The serum concentration of Melitracen can be increased when it is combined with Trifluoperazine.]
[V03AZ01, ethanol, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The metabolism of Trifluoperazine can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Trifluoperazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Trifluoperazine.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Trifluoperazine.]
[N05AG01, fluspirilene, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Trifluoperazine can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Trifluoperazine.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Trifluoperazine.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of extrapyramidal symptoms can be increased when Furazolidone is combined with Trifluoperazine.]
[C03CA01, furosemide, Trifluoperazine may decrease the antihypertensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Trifluoperazine is combined with Eszopiclone.]
[N05AL05, amisulpride, Trifluoperazine may increase the antipsychotic activities of Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Gallopamil.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Trifluoperazine can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Trifluoperazine.]
[N04BC06, cabergoline, The therapeutic efficacy of Cabergoline can be decreased when used in combination with Trifluoperazine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Trifluoperazine.]
[N03AD03, methsuximide, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Alfentanil.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Trifluoperazine.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Trifluoperazine.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Trifluoperazine.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Trifluoperazine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Glutethimide.]
[C05AE01, nitroglycerin, Trifluoperazine may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Doxazosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[L01EX02, sorafenib, The metabolism of Trifluoperazine can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The serum concentration of Esmolol can be increased when it is combined with Trifluoperazine.]
[C09AA09, fosinopril, Trifluoperazine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Trifluoperazine may decrease the antihypertensive activities of Guanethidine.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Halofantrine is combined with Trifluoperazine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Trifluoperazine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Halothane.]
[N05AH04, quetiapine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Trifluoperazine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Allobarbital.]
[C09CA01, losartan, Trifluoperazine may decrease the antihypertensive activities of Losartan.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Trifluoperazine.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Hexobarbital.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Trifluoperazine.]
[J05AG01, nevirapine, The metabolism of Trifluoperazine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Nimesulide.]
[C09AA04, perindopril, Trifluoperazine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Trifluoperazine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Trifluoperazine may decrease the antihypertensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Trifluoperazine may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Trifluoperazine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Trifluoperazine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Ibuprofen.]
[B05CB02, sodium citrate, Trifluoperazine may increase the neurotoxic activities of Sodium citrate.]
[H01AC02, somatrem, The metabolism of Trifluoperazine can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Sufentanil.]
[N06AA02, imipramine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[L01CD01, paclitaxel, Trifluoperazine may increase the neurotoxic activities of Paclitaxel.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Trifluoperazine.]
[C03BA11, indapamide, Trifluoperazine may decrease the antihypertensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Trifluoperazine.]
[C02CA02, indoramin, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Indoramin.]
[L03AB04, interferon alfa-2a, The metabolism of Trifluoperazine can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Trifluoperazine can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Milnacipran.]
[A03AA30, piperidolate, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Trifluoperazine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Ramelteon.]
[R06AE01, buclizine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[L01XX35, anagrelide, The metabolism of Trifluoperazine can be decreased when combined with Anagrelide.]
[C07AA01, alprenolol, The serum concentration of Alprenolol can be increased when it is combined with Trifluoperazine.]
[L03AB09, interferon alfacon-1, The metabolism of Trifluoperazine can be decreased when combined with Interferon alfacon-1.]
[J05AF04, stavudine, Stavudine may increase the neurotoxic activities of Trifluoperazine.]
[N06AA13, iprindole, The serum concentration of Iprindole can be increased when it is combined with Trifluoperazine.]
[N06AF05, iproniazid, The risk or severity of extrapyramidal symptoms can be increased when Iproniazid is combined with Trifluoperazine.]
[J05AB13, penciclovir, The metabolism of Trifluoperazine can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of extrapyramidal symptoms can be increased when Isocarboxazid is combined with Trifluoperazine.]
[P01AX06, atovaquone, The risk or severity of QTc prolongation can be increased when Atovaquone is combined with Trifluoperazine.]
[R03CC06, isoetharine, The therapeutic efficacy of Isoetharine can be decreased when used in combination with Trifluoperazine.]
[C09AA16, imidapril, Trifluoperazine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Trifluoperazine.]
[N04BX02, entacapone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Trifluoperazine.]
[J04AC01, isoniazid, The metabolism of Trifluoperazine can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Trifluoperazine.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Trifluoperazine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Trifluoperazine.]
[H01AC01, somatropin, The metabolism of Trifluoperazine can be increased when combined with Somatotropin.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AC07, tocilizumab, The metabolism of Trifluoperazine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Trifluoperazine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Trifluoperazine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Trifluoperazine can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Trifluoperazine.]
[N04BC09, rotigotine, Trifluoperazine may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The metabolism of Trifluoperazine can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Trifluoperazine.]
[C02AA05, deserpidine, Trifluoperazine may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Lacosamide.]
[N04BA01, levodopa, The therapeutic efficacy of Levodopa can be decreased when used in combination with Trifluoperazine.]
[S02DA01, lidocaine, The metabolism of Trifluoperazine can be decreased when combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Lidoflazine.]
[J01FF02, lincomycin, Trifluoperazine may increase the neurotoxic activities of Lincomycin.]
[N06BA13, armodafinil, The metabolism of Trifluoperazine can be increased when combined with Armodafinil.]
[N02CA07, lisuride, The therapeutic efficacy of Lisuride can be decreased when used in combination with Trifluoperazine.]
[N06AA07, lofepramine, The serum concentration of Lofepramine can be increased when it is combined with Trifluoperazine.]
[A07DA03, loperamide, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Trifluoperazine.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Trifluoperazine.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Trifluoperazine can be increased when used in combination with Magnesium sulfate.]
[N06AA21, maprotiline, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Trifluoperazine.]
[C02BB01, mecamylamine, Trifluoperazine may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Trifluoperazine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Medazepam.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Trifluoperazine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Melatonin.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Trifluoperazine.]
[N02AB02, meperidine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Meperidine.]
[C01CA11, mephentermine, The therapeutic efficacy of Trifluoperazine can be decreased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Trifluoperazine.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Trifluoperazine.]
[N02AX05, meptazinol, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Mesoridazine.]
[N05AX13, paliperidone, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Trifluoperazine.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Trifluoperazine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Trifluoperazine.]
[N06BA03, methamphetamine, The therapeutic efficacy of Trifluoperazine can be decreased when used in combination with Metamfetamine.]
[A03AB07, methantheline, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Trifluoperazine.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Trifluoperazine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Trifluoperazine can be decreased when combined with Pemetrexed.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Trifluoperazine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Trifluoperazine.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Trifluoperazine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Trifluoperazine.]
[D05BA02, methoxsalen, The metabolism of Trifluoperazine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Methoxyflurane.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Trifluoperazine.]
[V04CG05, methylene blue, The risk or severity of extrapyramidal symptoms can be increased when Methylene blue is combined with Trifluoperazine.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Trifluoperazine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Trifluoperazine.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Trifluoperazine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Trifluoperazine.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Metoclopramide is combined with Trifluoperazine.]
[C03BA08, metolazone, Trifluoperazine may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, The serum concentration of Metoprolol can be increased when it is combined with Trifluoperazine.]
[C01BB02, mexiletine, The metabolism of Trifluoperazine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Mianserin is combined with Trifluoperazine.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Trifluoperazine.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Trifluoperazine.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Trifluoperazine.]
[C09CA03, valsartan, Trifluoperazine may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[D11AX01, minoxidil, Trifluoperazine may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Trifluoperazine can be decreased when used in combination with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Trifluoperazine can be decreased when combined with Amiodarone.]
[N02AA01, morphine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Morphine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Trifluoperazine.]
[L04AB05, certolizumab pegol, The metabolism of Trifluoperazine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Trifluoperazine.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Trifluoperazine.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Vecuronium.]
