[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cimetidine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Cimetidine.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[S03BA01, dexamethasone, The excretion of Dexamethasone can be decreased when combined with Cimetidine.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Cimetidine.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Cimetidine.]
[L01EB01, gefitinib, Cimetidine can cause a decrease in the absorption of Gefitinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the sedative and stimulatory activities of Cimetidine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Cimetidine.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Cimetidine.]
[N06AB05, paroxetine, The serum concentration of Paroxetine can be increased when it is combined with Cimetidine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Cimetidine.]
[C01DA05, pentaerythritol tetranitrate, Cimetidine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Cimetidine.]
[P03AC04, permethrin, Cimetidine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Cimetidine.]
[R05DA08, pholcodine, Cimetidine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Cimetidine may decrease the excretion rate of Diclofenac which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[A03AA07, dicyclomine, Cimetidine may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF03, zalcitabine, The excretion of Zalcitabine can be decreased when combined with Cimetidine.]
[J05AF02, didanosine, Cimetidine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[A03AX04, pinaverium, The serum concentration of Pinaverium can be increased when it is combined with Cimetidine.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be decreased when combined with Cimetidine.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Cimetidine.]
[L01EB02, erlotinib, Cimetidine can cause a decrease in the absorption of Erlotinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, Diethylpropion may decrease the sedative and stimulatory activities of Cimetidine.]
[L02AA01, diethylstilbestrol, Cimetidine may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[C08CA03, isradipine, The serum concentration of Isradipine can be increased when it is combined with Cimetidine.]
[D07XC04, diflucortolone, Cimetidine may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Cimetidine.]
[C01AA05, digoxin, Cimetidine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Cimetidine.]
[C10AX09, ezetimibe, Cimetidine may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Cimetidine may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Cimetidine.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Cimetidine.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J05AE08, atazanavir, Cimetidine can cause a decrease in the absorption of Atazanavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Cimetidine.]
[H03BC01, potassium perchlorate, Cimetidine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Cimetidine may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[C08DB01, diltiazem, The serum concentration of Diltiazem can be increased when it is combined with Cimetidine.]
[V03AB09, dimercaprol, Cimetidine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Cimetidine may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Cimetidine.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Cimetidine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Cimetidine.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Cimetidine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Cimetidine.]
[C09AA06, quinapril, The excretion of Quinapril can be decreased when combined with Cimetidine.]
[B01AC07, dipyridamole, Cimetidine may decrease the excretion rate of Dipyridamole which could result in a higher serum level.]
[N06BA11, dexmethylphenidate, The therapeutic efficacy of Dexmethylphenidate can be decreased when used in combination with Cimetidine.]
[A03FA02, cisapride, The serum concentration of Cisapride can be increased when it is combined with Cimetidine.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Cimetidine.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Cimetidine.]
[S01AX06, resorcinol, Cimetidine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of adverse effects can be increased when Disopyramide is combined with Cimetidine.]
[P03AA04, disulfiram, Cimetidine may decrease the excretion rate of Disulfiram which could result in a higher serum level.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Cimetidine.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Cimetidine.]
[R06AE09, levocetirizine, Cimetidine may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Cimetidine.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be decreased when combined with Cimetidine.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Cimetidine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Cimetidine.]
[J05AE07, fosamprenavir, Cimetidine can cause a decrease in the absorption of Fosamprenavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Cimetidine.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Cimetidine.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Cimetidine.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Cimetidine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[R03AC12, salmeterol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C01CA07, dobutamine, Cimetidine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Cimetidine.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Cimetidine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Cimetidine.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Cimetidine.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Cimetidine.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Cimetidine.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Cimetidine.]
[A08AA10, sibutramine, Cimetidine may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The serum concentration of Simvastatin can be increased when it is combined with Cimetidine.]
[A12CA02, sodium sulfate, Cimetidine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, The metabolism of Dyphylline can be decreased when combined with Cimetidine.]
[N02CC01, sumatriptan, Cimetidine may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Cimetidine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Cimetidine.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Cimetidine.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be decreased when combined with Cimetidine.]
[L01AX03, temozolomide, Cimetidine may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The excretion of Cimetidine can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Terbinafine.]
[G04BD05, terodiline, The serum concentration of Terodiline can be increased when it is combined with Cimetidine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Cimetidine.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Emetine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Cimetidine.]
[C09AA02, enalapril, The excretion of Cimetidine can be decreased when combined with Enalapril.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N06AG03, toloxatone, Cimetidine may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Cimetidine.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AB04, enflurane, The metabolism of Enflurane can be decreased when combined with Cimetidine.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Cimetidine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Cimetidine.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Cimetidine.]
[S01GA03, xylometazoline, The serum concentration of Xylometazoline can be increased when it is combined with Cimetidine.]
[C08CA12, mepirodipine, The serum concentration of Barnidipine can be increased when it is combined with Cimetidine.]
[S01EA01, epinephrine, The serum concentration of Epinephrine can be increased when it is combined with Cimetidine.]
[L01DB03, epirubicin, The serum concentration of Epirubicin can be increased when it is combined with Cimetidine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Cimetidine.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N03AX15, zonisamide, The serum concentration of Zonisamide can be increased when it is combined with Cimetidine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Cimetidine.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Cimetidine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Cimetidine is combined with Guanfacine.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Iloprost.]
[C01BG01, moricizine, The metabolism of Moricizine can be decreased when combined with Cimetidine.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Cimetidine.]
[L03AX05, pidotimod, Cimetidine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, Cimetidine may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[N05CD04, estazolam, Cimetidine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, The excretion of Cimetidine can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Cimetidine.]
[G03CA03, estradiol, The excretion of Estradiol can be decreased when combined with Cimetidine.]
[G03CA57, estrogens, conjugated (USP), The excretion of Cimetidine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be decreased when combined with Cimetidine.]
[R03BA05, fluticasone, The metabolism of Fluticasone can be decreased when combined with Cimetidine.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Cimetidine.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C01CA15, gepefrine, Gepefrine may decrease the sedative and stimulatory activities of Cimetidine.]
[L02AA03, ethinyl estradiol, The risk or severity of liver damage can be increased when Cimetidine is combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N03AD01, ethosuximide, The serum concentration of Ethosuximide can be increased when it is combined with Cimetidine.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Cimetidine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Cimetidine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Cimetidine.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Cimetidine.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Nizatidine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Cimetidine.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be decreased when combined with Cimetidine.]
[P01AX07, trimetrexate, Cimetidine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Cimetidine.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Cimetidine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Cimetidine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Cimetidine.]
[L02AE02, leuprolide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leuprolide is combined with Cimetidine.]
[C10AA03, pravastatin, Cimetidine may decrease the excretion rate of Pravastatin which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Cimetidine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Cimetidine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[A02BA03, famotidine, The excretion of Famotidine can be decreased when combined with Cimetidine.]
[A16AA01, levocarnitine, The excretion of Levocarnitine can be decreased when combined with Cimetidine.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Cimetidine.]
[C08CA02, felodipine, The serum concentration of Felodipine can be increased when it is combined with Cimetidine.]
[C08EA01, fendiline, The serum concentration of Fendiline can be increased when it is combined with Cimetidine.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Cimetidine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Cimetidine.]
[R03CC02, albuterol, Cimetidine may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Cimetidine.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Cimetidine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Cimetidine.]
[G04BD02, flavoxate, Cimetidine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Cimetidine.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01CF05, floxacillin, Cimetidine may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J02AC01, fluconazole, The bioavailability of Fluconazole can be decreased when combined with Cimetidine.]
[J02AX01, flucytosine, The serum concentration of Flucytosine can be increased when it is combined with Cimetidine.]
[V03AB25, flumazenil, Cimetidine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The serum concentration of Flunarizine can be increased when it is combined with Cimetidine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Cimetidine.]
[V03AZ01, ethanol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01BC02, fluorouracil, The serum concentration of Fluorouracil can be increased when it is combined with Cimetidine.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be decreased when combined with Cimetidine.]
[N05CD01, flurazepam, Cimetidine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Cimetidine.]
[N05AG01, fluspirilene, The serum concentration of Fluspirilene can be increased when it is combined with Cimetidine.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Cimetidine.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[S02AA17, fosfomycin, Cimetidine may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01BC03, tegafur, The serum concentration of Tegafur can be increased when it is combined with Cimetidine.]
[J05AE10, darunavir, Cimetidine can cause a decrease in the absorption of Darunavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C03CA01, furosemide, The excretion of Cimetidine can be decreased when combined with Furosemide.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Cimetidine.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Cimetidine.]
[C08DA02, gallopamil, The serum concentration of Gallopamil can be increased when it is combined with Cimetidine.]
[S01AD09, ganciclovir, The excretion of Cimetidine can be decreased when combined with Ganciclovir.]
[C10AB04, gemfibrozil, The excretion of Cimetidine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Cimetidine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, Cimetidine can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Cimetidine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Cimetidine.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Cimetidine.]
[N03AD03, methsuximide, The serum concentration of Methsuximide can be increased when it is combined with Cimetidine.]
[N01AH02, alfentanil, The serum concentration of Alfentanil can be increased when it is combined with Cimetidine.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Cimetidine.]
[A10BB01, glyburide, The serum concentration of Glyburide can be increased when it is combined with Cimetidine.]
[A10BB09, gliclazide, The serum concentration of Gliclazide can be increased when it is combined with Cimetidine.]
[A10BB07, glipizide, The serum concentration of Glipizide can be increased when it is combined with Cimetidine.]
[N05CM18, dexmedetomidine, Cimetidine may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C01BD04, dofetilide, Cimetidine may decrease the excretion rate of Dofetilide which could result in a higher serum level.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Cimetidine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Cimetidine.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Cimetidine.]
[M01CB04, aurothioglucose, Cimetidine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Cimetidine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Cimetidine.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[S01EX01, guanethidine, Cimetidine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Cimetidine.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Cimetidine.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Cimetidine.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Cimetidine.]
[N06BX13, idebenone, Cimetidine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Cimetidine.]
[M04AA01, allopurinol, The excretion of Allopurinol can be decreased when combined with Cimetidine.]
[C09CA01, losartan, Cimetidine may decrease the excretion rate of Losartan which could result in a higher serum level.]
[G03DC01, allylestrenol, Cimetidine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Cimetidine can cause a decrease in the absorption of Mesalazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Cimetidine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Cimetidine.]
[C08CA10, nilvadipine, The serum concentration of Nilvadipine can be increased when it is combined with Cimetidine.]
[M02AA26, nimesulide, The serum concentration of Nimesulide can be increased when it is combined with Cimetidine.]
[C09AA04, perindopril, Cimetidine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Cimetidine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The excretion of Hydrochlorothiazide can be decreased when combined with Cimetidine.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Cimetidine.]
[S02BA01, hydrocortisone, The excretion of Hydrocortisone can be decreased when combined with Cimetidine.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Cimetidine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[G04BD06, propiverine, Cimetidine may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Cimetidine.]
[B05AA07, hetastarch, Cimetidine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, The metabolism of Hydroxyzine can be decreased when combined with Cimetidine.]
[M05BA07, risedronic acid, Cimetidine can cause an increase in the absorption of Risedronic acid resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[R02AX02, ibuprofen, The excretion of Cimetidine can be decreased when combined with Ibuprofen.]
[B05XA08, sodium acetate, Cimetidine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Cimetidine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Cimetidine.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Cimetidine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Cimetidine.]
[R01AD07, tixocortol, Cimetidine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The serum concentration of Tizanidine can be increased when it is combined with Cimetidine.]
[L01CE01, topotecan, The excretion of Topotecan can be decreased when combined with Cimetidine.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Cimetidine may decrease the excretion rate of Indomethacin which could result in a higher serum level.]
[A11HA07, inositol, Cimetidine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Cimetidine may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Cimetidine.]
[A10BH01, sitagliptin, The excretion of Sitagliptin can be decreased when combined with Cimetidine.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Cimetidine.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Cimetidine.]
[C10AA06, cerivastatin, Cimetidine may decrease the excretion rate of Cerivastatin which could result in a higher serum level.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Cimetidine.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Cimetidine.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Cimetidine.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Stavudine.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Cimetidine.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Cimetidine.]
[N01AB06, isoflurane, The metabolism of Isoflurane can be decreased when combined with Cimetidine.]
[J04AC01, isoniazid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Isoniazid.]
[J05AX05, inosine pranobex, Cimetidine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Cimetidine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Isotretinoin.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Ivermectin.]
[S01AA24, kanamycin, Cimetidine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Cimetidine.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Cimetidine.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Cimetidine.]
