[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Oxazepam is combined with Triclofos.]
[A03AB08, tridihexethyl, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Oxazepam.]
[N04AA12, tropatepine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Oxazepam.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Oxazepam is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Oxazepam is combined with Veralipride.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Oxazepam.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Oxazepam.]
[N05CF02, zolpidem, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Oxazepam.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Ergotamine is combined with Oxazepam.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Oxazepam.]
[L03AX05, pidotimod, Oxazepam may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Oxazepam.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N04AA05, profenamine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Oxazepam.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Oxazepam.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Oxazepam.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Oxazepam.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Oxazepam is combined with Sertindole.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[R06AX12, terfenadine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[P01AX07, trimetrexate, Oxazepam may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Oxazepam is combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Oxazepam may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[A05AA01, chenodeoxycholic acid, The metabolism of Oxazepam can be decreased when combined with Chenodeoxycholic acid.]
[B05AA05, dextran, Oxazepam may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Oxazepam.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Oxazepam.]
[R03CC02, albuterol, Oxazepam may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[G04BD02, flavoxate, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J02AX01, flucytosine, Oxazepam may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Flumazenil may decrease the sedative activities of Oxazepam.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Oxazepam is combined with Melitracen.]
[V03AZ01, ethanol, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06AB03, fluoxetine, The serum concentration of Oxazepam can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Flupentixol may increase the sedative activities of Oxazepam.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Oxazepam.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Oxazepam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Oxazepam is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[L01BC03, tegafur, Oxazepam may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Oxazepam is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Oxazepam.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Oxazepam is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Oxazepam is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Gallamine.]
[S01AD09, ganciclovir, Oxazepam may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Oxazepam is combined with Bifemelane.]
[C10AB04, gemfibrozil, Oxazepam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Oxazepam may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Oxazepam.]
[C01CA21, cafedrine, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Cafedrine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Oxazepam.]
[A10BB07, glipizide, Oxazepam may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Oxazepam.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Glutethimide.]
[L01EX02, sorafenib, The metabolism of Oxazepam can be decreased when combined with Sorafenib.]
[M01CB04, aurothioglucose, Oxazepam may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Oxazepam may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01EX01, guanethidine, Oxazepam may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Oxazepam.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Oxazepam is combined with Halothane.]
[N05AH04, quetiapine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06BX13, idebenone, Oxazepam may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Oxazepam is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Oxazepam is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[G03DC01, allylestrenol, Oxazepam may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Oxazepam is combined with Hexobarbital.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C02DB02, hydralazine, Oxazepam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Oxazepam may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[G04BD06, propiverine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Oxazepam is combined with Prothipendyl.]
[B05AA07, hetastarch, Oxazepam may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[B05XA08, sodium acetate, Oxazepam may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Oxazepam may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Oxazepam.]
[N06AA02, imipramine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[R01AD07, tixocortol, Oxazepam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Oxazepam.]
[L01CE01, topotecan, Oxazepam may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[A11HA07, inositol, Oxazepam may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Oxazepam is combined with Milnacipran.]
[A03AA30, piperidolate, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Oxazepam may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Articaine.]
[A10BH01, sitagliptin, Oxazepam may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Oxazepam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ramelteon.]
[R06AE01, buclizine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Oxazepam may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Oxazepam is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Oxazepam is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Oxazepam is combined with Isocarboxazid.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxazepam.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxazepam.]
[J04AC01, isoniazid, Oxazepam may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Oxazepam may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Oxazepam may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Oxazepam may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Oxazepam.]
[S01AA24, kanamycin, Oxazepam may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ketanserin.]
[B01AC22, prasugrel, Oxazepam may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Oxazepam can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[V03AC03, deferasirox, The metabolism of Oxazepam can be decreased when combined with Deferasirox.]
[N04BC09, rotigotine, Oxazepam may increase the sedative activities of Rotigotine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N04BB01, amantadine, Oxazepam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Oxazepam may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Oxazepam is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Oxazepam.]
[S01AA21, amikacin, Oxazepam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Oxazepam.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Oxazepam.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Oxazepam.]
[B05XA11, magnesium chloride, Oxazepam may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Oxazepam may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Oxazepam can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Oxazepam may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Oxazepam.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Oxazepam.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Medazepam.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Oxazepam is combined with Melatonin.]
[N06DX01, memantine, Oxazepam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxazepam.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Oxazepam.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Oxazepam is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Oxazepam.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Meptazinol is combined with Oxazepam.]
[G04BX16, tiopronin, Oxazepam may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Paliperidone.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Oxazepam.]
[N07BC02, methadone, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Methadone.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Metamfetamine.]
[A03AB07, methantheline, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Oxazepam is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Methaqualone.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Oxazepam.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Oxazepam is combined with Metergoline.]
[H03BB02, methimazole, Methimazole may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[L01BA04, pemetrexed, Oxazepam may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Oxazepam.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Oxazepam.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Oxazepam is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Oxazepam is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Oxazepam may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Oxazepam is combined with Methylene blue.]
[R03DA05, aminophylline, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Aminophylline.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Oxazepam.]
[G03EK01, methyltestosterone, Oxazepam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Oxazepam is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Oxazepam.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Oxazepam.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[V04CD01, metyrapone, Oxazepam may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Oxazepam is combined with Mianserin.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Oxazepam.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06AA09, amitriptyline, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Oxazepam.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Oxazepam.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Oxazepam may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B02BX05, eltrombopag, The metabolism of Oxazepam can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Oxazepam may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Oxazepam may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Oxazepam is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Oxazepam is combined with Amobarbital.]
[R03BB01, ipratropium bromide, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Oxazepam.]
[C07AA12, nadolol, Oxazepam may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Oxazepam may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Oxazepam may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Oxazepam is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Oxazepam.]
[V03AB15, naloxone, Oxazepam may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Naltrexone is combined with Oxazepam.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Oxazepam.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Oxazepam.]
[S03AA01, neomycin, Oxazepam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Oxazepam.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[L03AX16, plerixafor, Oxazepam may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Oxazepam may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Desvenlafaxine.]
