[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluvoxamine.]
[A11CC05, cholecalciferol, The metabolism of Fluvoxamine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Etifoxine is combined with Fluvoxamine.]
[N02BA07, ethenzamide, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Ethenzamide.]
[N02BA03, choline salicylate, Fluvoxamine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Vinpocetine is combined with Fluvoxamine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Fluvoxamine.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be decreased when combined with Fluvoxamine.]
[M01AB08, etodolac, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Fluvoxamine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Fluvoxamine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Fluvoxamine.]
[M01AX25, chondroitin sulfates, Fluvoxamine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The metabolism of Voclosporin can be decreased when combined with Fluvoxamine.]
[P03AX07, abametapir, The serum concentration of Fluvoxamine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Tepotinib can be decreased when combined with Fluvoxamine.]
[V03AF12, trilaciclib, The metabolism of Fluvoxamine can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Febarbamate is combined with Fluvoxamine.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Fluvoxamine.]
[M01AE05, fenbufen, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Fenbufen.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Fluvoxamine.]
[C01CA19, fenoldopam, Fluvoxamine may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Fluvoxamine.]
[J01DD15, cefdinir, Fluvoxamine may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[J01MB07, flumequine, The metabolism of Fluvoxamine can be decreased when combined with Flumequine.]
[S01JA01, fluorescein, Fluvoxamine may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[N02BG07, flupirtine, Fluvoxamine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Fluvoxamine.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Insulin human.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Fluvoxamine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Fluvoxamine.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Fluvoxamine can be increased when it is combined with Peginterferon alfa-2b.]
[G03GA06, follitropin beta, The therapeutic efficacy of Follitropin can be decreased when used in combination with Fluvoxamine.]
[A02BA01, cimetidine, The metabolism of Fluvoxamine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Fluvoxamine.]
[V08CA04, gadoteridol, Fluvoxamine may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Fluvoxamine.]
[J01MB06, cinoxacin, The metabolism of Fluvoxamine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Fluvoxamine can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Fluvoxamine.]
[S03AA07, ciprofloxacin, The metabolism of Fluvoxamine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Fluvoxamine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Fluvoxamine.]
[H01AC07, somapacitan, The metabolism of Fluvoxamine can be increased when combined with Somapacitan.]
[J02AX07, ibrexafungerp, The metabolism of Ibrexafungerp can be decreased when combined with Fluvoxamine.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Fluvoxamine.]
[L04AA48, belumosudil, The metabolism of Belumosudil can be decreased when combined with Fluvoxamine.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Fluvoxamine.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Fluvoxamine.]
[H01AC09, lonapegsomatropin, The metabolism of Fluvoxamine can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Fluvoxamine.]
[L01FX23, tisotumab vedotin, The metabolism of Tisotumab vedotin can be decreased when combined with Fluvoxamine.]
[N02CD07, atogepant, The metabolism of Atogepant can be decreased when combined with Fluvoxamine.]
[V09AB03, ioflupane I-123, Fluvoxamine may decrease effectiveness of Ioflupane I-123 as a diagnostic agent.]
[V09AA01, technetium Tc 99m exametazime, Fluvoxamine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Fluvoxamine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[L04AA59, avacopan, The metabolism of Avacopan can be decreased when combined with Fluvoxamine.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Fluvoxamine.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Glimepiride.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Gliquidone.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Fluvoxamine.]
[N06AX25, St. John's wort extract, The metabolism of Fluvoxamine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Asciminib can be decreased when combined with Fluvoxamine.]
[L02BG06, exemestane, The metabolism of Exemestane can be decreased when combined with Fluvoxamine.]
[J05AX10, maribavir, The metabolism of Maribavir can be decreased when combined with Fluvoxamine.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Fluvoxamine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Fluvoxamine.]
[B01AD11, tenecteplase, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Tenecteplase.]
[C10AB01, clofibrate, The metabolism of Clofibrate can be decreased when combined with Fluvoxamine.]
[B06AX04, mitapivat, The metabolism of Mitapivat can be decreased when combined with Fluvoxamine.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Fluvoxamine.]
[L01EJ03, pacritinib, The serum concentration of Pacritinib can be increased when it is combined with Fluvoxamine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Fluvoxamine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Fluvoxamine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Fluvoxamine.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Fluvoxamine.]
[J05AH02, oseltamivir, Fluvoxamine may decrease the excretion rate of Oseltamivir which could result in a higher serum level.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Tirzepatide.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Fluvoxamine.]
[A05BA08, glycyrrhizic acid, Fluvoxamine may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Clothiapine is combined with Fluvoxamine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Fluvoxamine.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Fluvoxamine.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Fluvoxamine.]
[N05AH02, clozapine, The serum concentration of Clozapine can be increased when it is combined with Fluvoxamine.]
[L01EN04, futibatinib, The metabolism of Futibatinib can be decreased when combined with Fluvoxamine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Sotagliflozin.]
[J01GB12, arbekacin, Fluvoxamine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Fluvoxamine.]
[H01AC08, somatrogon, The metabolism of Fluvoxamine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[M09AX11, palovarotene, The metabolism of Palovarotene can be decreased when combined with Fluvoxamine.]
[C02KB01, metyrosine, The risk or severity of extrapyramidal symptoms can be increased when Metyrosine is combined with Fluvoxamine.]
[L04AC21, bimekizumab, The metabolism of Fluvoxamine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of serotonin syndrome can be increased when Codeine is combined with Fluvoxamine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Fluvoxamine.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Fluvoxamine.]
[A03AB10, hexocyclium, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Fluvoxamine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[L04AA13, leflunomide, The serum concentration of Fluvoxamine can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Fluvoxamine.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Tropisetron is combined with Fluvoxamine.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Ifenprodil is combined with Fluvoxamine.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Fluvoxamine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Fluvoxamine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Fluvoxamine.]
[B01AC10, indobufen, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Fluvoxamine.]
[J05AB14, valganciclovir, Fluvoxamine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Fluvoxamine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Fluvoxamine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Fluvoxamine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Fluvoxamine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Fluvoxamine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Valdecoxib.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Fluvoxamine.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Fluvoxamine.]
[M01AH04, parecoxib, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Fluvoxamine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Bemiparin.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Fluvoxamine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Fluvoxamine.]
[M01AA06, kebuzone, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Fluvoxamine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Fluvoxamine can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Fluvoxamine.]
[C08CA09, lacidipine, The metabolism of Lacidipine can be decreased when combined with Fluvoxamine.]
[N03AX09, lamotrigine, The risk or severity of adverse effects can be increased when Lamotrigine is combined with Fluvoxamine.]
[S01GX02, levocabastine, The risk or severity of adverse effects can be increased when Levocabastine is combined with Fluvoxamine.]
[N07BC04, lofexidine, The therapeutic efficacy of Fluvoxamine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Fluvoxamine.]
[M01AB09, lonazolac, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Lonazolac.]
[R06AX13, loratadine, The metabolism of Loratadine can be decreased when combined with Fluvoxamine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Lormetazepam is combined with Fluvoxamine.]
[M02AA31, loxoprofen, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[C09AA03, lisinopril, Fluvoxamine may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Fluvoxamine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Fluvoxamine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Medifoxamine is combined with Fluvoxamine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Fluvoxamine.]
[H02AB15, meprednisone, The metabolism of Meprednisone can be decreased when combined with Fluvoxamine.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Fluvoxamine.]
[J01DH02, meropenem, Fluvoxamine may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[N04AA03, methixene, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The metabolism of Cyclandelate can be decreased when combined with Fluvoxamine.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Fluvoxamine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Cyclobarbital is combined with Fluvoxamine.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Fluvoxamine.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Melperone is combined with Fluvoxamine.]
[C03AA07, cyclopenthiazide, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Cyclopenthiazide.]
[J01FA03, midecamycin, The metabolism of Midecamycin can be decreased when combined with Fluvoxamine.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Miglitol.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Fluvoxamine.]
[N06AX07, minaprine, Minaprine may increase the serotonergic activities of Fluvoxamine.]
[S01XA18, cyclosporine, The metabolism of Fluvoxamine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the serotonergic activities of Fluvoxamine.]
[N06BA07, modafinil, The metabolism of Fluvoxamine can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Fluvoxamine can be decreased when used in combination with Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Fluvoxamine.]
[M02AA02, mofebutazone, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Fluvoxamine can be decreased when combined with Conivaptan.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Fluvoxamine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Fluvoxamine.]
[M01AH05, etoricoxib, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Etoricoxib.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Fluvoxamine.]
[G03XA01, danazol, The metabolism of Fluvoxamine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Fluvoxamine.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Fluvoxamine.]
[L01DB02, daunorubicin, Fluvoxamine may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Deanol is combined with Fluvoxamine.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Fluvoxamine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.]
[M01AX01, nabumetone, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Nabumetone.]
[N07BB05, nalmefene, Fluvoxamine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Nordazepam is combined with Fluvoxamine.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Fluvoxamine.]
[S01GX04, nedocromil, Fluvoxamine may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Fluvoxamine can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Niaprazine is combined with Fluvoxamine.]
[C01DX16, nicorandil, Fluvoxamine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Fluvoxamine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Fluvoxamine.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be decreased when combined with Fluvoxamine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Fluvoxamine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Fluvoxamine.]
[R05DA06, normethadone, The risk or severity of serotonin syndrome can be increased when Normethadone is combined with Fluvoxamine.]
[B01AX05, fondaparinux, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Fondaparinux.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Fluvoxamine.]
[A07EC03, olsalazine, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Fluvoxamine.]
[H01BA02, desmopressin, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Desmopressin.]
[V04CH02, indigo carmine, Fluvoxamine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Fluvoxamine may decrease the excretion rate of Ertapenem which could result in a higher serum level.]
[C09XA02, aliskiren, The metabolism of Aliskiren can be decreased when combined with Fluvoxamine.]
[M01AE12, oxaprozin, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Fluvoxamine.]
[S03BA01, dexamethasone, The metabolism of Fluvoxamine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Oxiracetam is combined with Fluvoxamine.]
[N04AA08, dexetimide, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Fluvoxamine.]
[A03AA01, oxyphencyclimine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Fluvoxamine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Fluvoxamine.]
[N06BA02, dextroamphetamine, The metabolism of Dextroamphetamine can be decreased when combined with Fluvoxamine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Fluvoxamine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Fluvoxamine.]
[N02AC01, dextromoramide, The risk or severity of serotonin syndrome can be increased when Dextromoramide is combined with Fluvoxamine.]
[H05AA02, teriparatide, The therapeutic efficacy of Teriparatide can be decreased when used in combination with Fluvoxamine.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Fluvoxamine.]
[B01AC04, clopidogrel, The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Fluvoxamine resulting in a loss in efficacy.]
[N07BC06, heroin, The risk or severity of serotonin syndrome can be increased when Diamorphine is combined with Fluvoxamine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Fluvoxamine.]
[P03AC04, permethrin, Fluvoxamine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Fluvoxamine.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Fluvoxamine.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Fluvoxamine.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Dibenzepin is combined with Fluvoxamine.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Fluvoxamine.]
[R05DA08, pholcodine, Fluvoxamine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[A03AA07, dicyclomine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Fluvoxamine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, The metabolism of Pinacidil can be decreased when combined with Fluvoxamine.]
[A03AX04, pinaverium, The metabolism of Pinaverium can be decreased when combined with Fluvoxamine.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Pipamperone is combined with Fluvoxamine.]
[A03AB14, pipenzolate, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Fluvoxamine.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Fluvoxamine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Fluvoxamine.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Fluvoxamine.]
[C08CA03, isradipine, The metabolism of Isradipine can be decreased when combined with Fluvoxamine.]
[D07XC04, diflucortolone, The metabolism of Difluocortolone can be decreased when combined with Fluvoxamine.]
[A03AB11, poldine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Diflunisal.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Fluvoxamine.]
[C01AA05, digoxin, Fluvoxamine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Fluvoxamine.]
[C10AX09, ezetimibe, Fluvoxamine may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Fluvoxamine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Fluvoxamine.]
[N02AA03, hydromorphone, The risk or severity of serotonin syndrome can be increased when Hydromorphone is combined with Fluvoxamine.]
[L04AX04, lenalidomide, Fluvoxamine may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Fluvoxamine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Fluvoxamine.]
[H03BC01, potassium perchlorate, The therapeutic efficacy of Potassium perchlorate can be decreased when used in combination with Fluvoxamine.]
[V03AB04, pralidoxime, Fluvoxamine may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Pramocaine is combined with Fluvoxamine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Fluvoxamine.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Fluvoxamine.]
[V03AB09, dimercaprol, Fluvoxamine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Pridinol is combined with Fluvoxamine.]
[R06AB03, dimethindene, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Fluvoxamine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Fluvoxamine.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Fluvoxamine.]
[N02BB04, propyphenazone, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Proglumetacin.]
