[S02DA03, antipyrine, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Antipyrine.]
[C09AA15, zofenopril, Tadalafil may increase the hypotensive activities of Zofenopril.]
[M01AB04, zomepirac, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C02AC02, guanfacine, Guanfacine may decrease the antihypertensive activities of Tadalafil.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Tadalafil.]
[G02AB03, ergonovine, Ergometrine may decrease the antihypertensive activities of Tadalafil.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may decrease the antihypertensive activities of Tadalafil.]
[N02CA02, ergotamine, The serum concentration of Tadalafil can be increased when it is combined with Ergotamine.]
[C01DA13, erythrityl tetranitrate, The risk or severity of hypotension can be increased when Tadalafil is combined with Erythrityl tetranitrate.]
[L03AX05, pidotimod, Tadalafil may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Tadalafil can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Tadalafil may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Tadalafil can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Tadalafil can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Tadalafil.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C01CA15, gepefrine, Gepefrine may decrease the antihypertensive activities of Tadalafil.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Tadalafil.]
[V03AF05, amifostine, Tadalafil may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[M01AC06, meloxicam, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Meloxicam.]
[C01CA01, etilefrine, Etilefrine may decrease the antihypertensive activities of Tadalafil.]
[N01AX07, etomidate, Etomidate may decrease the antihypertensive activities of Tadalafil.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Tadalafil.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Tadalafil.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Tadalafil.]
[R06AX12, terfenadine, The serum concentration of Tadalafil can be increased when it is combined with Terfenadine.]
[P01AX07, trimetrexate, Tadalafil may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Tadalafil may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The metabolism of Tadalafil can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Tadalafil may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Tadalafil may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C08CA02, felodipine, Tadalafil may increase the hypotensive activities of Felodipine.]
[M01AE04, fenoprofen, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Fenoprofen.]
[R03CC04, fenoterol, Fenoterol may decrease the antihypertensive activities of Tadalafil.]
[N02AB03, fentanyl, Fentanyl may decrease the antihypertensive activities of Tadalafil.]
[R03CC02, albuterol, Salbutamol may decrease the antihypertensive activities of Tadalafil.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[G04BD02, flavoxate, Tadalafil may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Tadalafil can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Tadalafil may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Tadalafil may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07AC08, fluocinonide, The metabolism of Tadalafil can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Tadalafil.]
[H02AB03, fluocortolone, The metabolism of Tadalafil can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Tadalafil.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N05AF01, flupenthixol, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Flupentixol.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC04, flurbiprofen, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Flurbiprofen.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S02AA17, fosfomycin, Tadalafil may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Tadalafil.]
[N06BX17, adrafinil, Adrafinil may decrease the antihypertensive activities of Tadalafil.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Tadalafil.]
[J05AE10, darunavir, The serum concentration of Tadalafil can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01AD09, ganciclovir, Tadalafil may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, Tadalafil may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Tadalafil may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Tadalafil.]
[N04BC06, cabergoline, Cabergoline may decrease the antihypertensive activities of Tadalafil.]
[N01AH02, alfentanil, Alfentanil may decrease the antihypertensive activities of Tadalafil.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Tadalafil.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Tadalafil.]
[A10BB07, glipizide, Tadalafil may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the antihypertensive activities of Tadalafil.]
[C05AE01, nitroglycerin, The risk or severity of hypotension can be increased when Tadalafil is combined with Nitroglycerin.]
[C02CA04, doxazosin, The risk or severity of hypotension can be increased when Tadalafil is combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Tadalafil.]
[C07AB09, esmolol, Esmolol may increase the hypotensive activities of Tadalafil.]
[M01CB04, aurothioglucose, Tadalafil may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Tadalafil may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may increase the hypotensive activities of Tadalafil.]
[S01EX01, guanethidine, Tadalafil may increase the hypotensive activities of Guanethidine.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Tadalafil.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Tadalafil.]
[N01AB01, halothane, Halothane may decrease the antihypertensive activities of Tadalafil.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Tadalafil.]
[N06BX13, idebenone, Tadalafil may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The metabolism of Tadalafil can be decreased when combined with Irinotecan.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C09CA01, losartan, Losartan may increase the hypotensive activities of Tadalafil.]
[G03DC01, allylestrenol, Tadalafil may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Mesalazine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[R03CC05, hexoprenaline, Hexoprenaline may decrease the antihypertensive activities of Tadalafil.]
[J05AG01, nevirapine, The metabolism of Tadalafil can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Tadalafil can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Nimesulide.]
[C09AA04, perindopril, Perindopril may increase the hypotensive activities of Tadalafil.]
[C02DB02, hydralazine, Tadalafil may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Tadalafil can be increased when used in combination with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The metabolism of Tadalafil can be decreased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Tadalafil can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Tadalafil may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[G04BD06, propiverine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Propiverine.]
[B05AA07, hetastarch, Tadalafil may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, The metabolism of Tadalafil can be decreased when combined with Hydroxyzine.]
[C02AC06, rilmenidine, Rilmenidine may decrease the antihypertensive activities of Tadalafil.]
[R02AX02, ibuprofen, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Ibuprofen.]
[B05XA08, sodium acetate, Tadalafil may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Tadalafil.]
[N01AH03, sufentanil, Sufentanil may decrease the antihypertensive activities of Tadalafil.]
[N06AA02, imipramine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Tadalafil.]
[R01AD07, tixocortol, Tadalafil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, Tizanidine may increase the hypotensive activities of Tadalafil.]
[L01CE01, topotecan, Tadalafil may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Tadalafil.]
[S01BC01, indomethacin, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Indomethacin.]
[C02CA02, indoramin, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Indoramin.]
[A11HA07, inositol, Tadalafil may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Tadalafil can be decreased when combined with Milnacipran.]
[S01XA28, varenicline, Tadalafil may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, Tadalafil may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N05CH02, ramelteon, Tadalafil may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[C10AA06, cerivastatin, The metabolism of Tadalafil can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, Tadalafil may increase the hypotensive activities of Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Tadalafil may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Tadalafil.]
[G04BE01, alprostadil, The risk or severity of hypotension and priapism can be increased when Tadalafil is combined with Alprostadil.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Tadalafil.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Tadalafil.]
[S01EC03, dorzolamide, Tadalafil may increase the hypotensive activities of Dorzolamide.]
[R03CC06, isoetharine, Isoetharine may decrease the antihypertensive activities of Tadalafil.]
[C09AA16, imidapril, Tadalafil may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may decrease the antihypertensive activities of Tadalafil.]
[J04AC01, isoniazid, The metabolism of Tadalafil can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Tadalafil may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, Isoprenaline may decrease the antihypertensive activities of Tadalafil.]
[C05AE02, isosorbide dinitrate, The risk or severity of hypotension can be increased when Tadalafil is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Tadalafil may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, Isoxsuprine may decrease the antihypertensive activities of Tadalafil.]
[S01AA24, kanamycin, Tadalafil may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Tadalafil can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Tadalafil may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02KD01, ketanserin, Tadalafil may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Tadalafil may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The serum concentration of Tadalafil can be increased when it is combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Olanzapine.]
[M02AA10, ketoprofen, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Ketoprofen.]
[L04AA24, abatacept, The metabolism of Tadalafil can be increased when combined with Abatacept.]
[C01CA22, arbutamine, Arbutamine may decrease the antihypertensive activities of Tadalafil.]
[N04BC09, rotigotine, Rotigotine may decrease the antihypertensive activities of Tadalafil.]
[M01AE11, tiaprofenic acid, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Tiaprofenic acid.]
[C07AG01, labetalol, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Labetalol.]
[N04BB01, amantadine, Tadalafil may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C02AA05, deserpidine, Tadalafil may increase the hypotensive activities of Deserpidine.]
[A06AX03, lubiprostone, Tadalafil may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The metabolism of Tadalafil can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, Levodopa may increase the hypotensive activities of Tadalafil.]
[S02DA01, lidocaine, The metabolism of Tadalafil can be decreased when combined with Lidocaine.]
[S01AA21, amikacin, Tadalafil may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Tadalafil can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Lisuride may decrease the antihypertensive activities of Tadalafil.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Tadalafil.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Tadalafil can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Tadalafil.]
[B05XA11, magnesium chloride, Tadalafil may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Tadalafil may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Tadalafil may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The serum concentration of Tadalafil can be increased when it is combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Tadalafil may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may increase the hypotensive activities of Tadalafil.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Meclofenamic acid.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Tadalafil may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C01CA11, mephentermine, Mephentermine may decrease the antihypertensive activities of Tadalafil.]
[N01BB03, mepivacaine, Tadalafil may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Tadalafil may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Paliperidone.]
[C01CA09, metaraminol, Metaraminol may decrease the antihypertensive activities of Tadalafil.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N06BA03, methamphetamine, Metamfetamine may decrease the antihypertensive activities of Tadalafil.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may decrease the antihypertensive activities of Tadalafil.]
[H03BB02, methimazole, The serum concentration of Tadalafil can be increased when it is combined with Methimazole.]
[L01BA04, pemetrexed, Tadalafil may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Methotrimeprazine.]
[C01CA10, methoxamine, Methoxamine may decrease the antihypertensive activities of Tadalafil.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N02BG09, methoxyflurane, Methoxyflurane may decrease the antihypertensive activities of Tadalafil.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Tadalafil can be increased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, Tadalafil may increase the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, Methylene blue may increase the hypotensive activities of Tadalafil.]
[G02AB01, methylergonovine, Methylergometrine may decrease the antihypertensive activities of Tadalafil.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Tadalafil.]
[G03EK01, methyltestosterone, Tadalafil may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, Methysergide may decrease the antihypertensive activities of Tadalafil.]
[A03FA01, metoclopramide, Tadalafil may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may increase the hypotensive activities of Tadalafil.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Tadalafil.]
[V04CD01, metyrapone, Tadalafil may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N06AX03, mianserin, Mianserin may decrease the antihypertensive activities of Tadalafil.]
[S02AA13, miconazole, The metabolism of Tadalafil can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Aminophenazone.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C01CA17, midodrine, Midodrine may decrease the antihypertensive activities of Tadalafil.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be decreased when combined with Tadalafil.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C09CA03, valsartan, Valsartan may increase the hypotensive activities of Tadalafil.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Tadalafil.]
[L01XX23, mitotane, The metabolism of Tadalafil can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the antihypertensive activities of Tadalafil.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Tadalafil.]
[C01BD01, amiodarone, The serum concentration of Tadalafil can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Amitriptyline.]
[N02AA01, morphine, Morphine may increase the hypotensive activities of Tadalafil.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Tadalafil can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Tadalafil may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Tadalafil may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Tadalafil is combined with Silodosin.]
[N06AA17, amoxapine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Tadalafil can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Tadalafil may increase the hypotensive activities of Nadolol.]
[J01CA04, amoxicillin, Tadalafil may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Ropinirole may increase the hypotensive activities of Tadalafil.]
[V03AB15, naloxone, The serum concentration of Tadalafil can be increased when it is combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Tadalafil can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Naphazoline may decrease the antihypertensive activities of Tadalafil.]
[N06BA01, amphetamine, Amphetamine may decrease the antihypertensive activities of Tadalafil.]
[M02AA12, naproxen, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Naproxen.]
[A10BG01, troglitazone, The metabolism of Tadalafil can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Tadalafil.]
[S03AA01, neomycin, Tadalafil may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, Remifentanil may decrease the antihypertensive activities of Tadalafil.]
[C01CX08, levosimendan, Levosimendan may increase the hypotensive activities of Tadalafil.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L03AX16, plerixafor, Tadalafil may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Tadalafil may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Tadalafil can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Tadalafil may increase the hypotensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C01CE01, inamrinone, Tadalafil may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Tadalafil.]
[C08CA04, nicardipine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Nicergoline.]
[C08CA05, nifedipine, The risk or severity of hypotension can be increased when Tadalafil is combined with Nifedipine.]
[M02AA17, niflumic acid, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of hypotension can be increased when Tadalafil is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Nimodipine may increase the hypotensive activities of Tadalafil.]
[C08CA07, nisoldipine, Nisoldipine may increase the hypotensive activities of Tadalafil.]
[C08CA08, nitrendipine, Tadalafil may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N05CF03, zaleplon, Tadalafil may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may increase the hypotensive activities of Tadalafil.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Tadalafil.]
[C01CA03, norepinephrine, Norepinephrine may decrease the antihypertensive activities of Tadalafil.]
[G03DC02, norethindrone, The metabolism of Tadalafil can be decreased when combined with Norethisterone.]
[C02KX01, bosentan, Bosentan may increase the hypotensive activities of Tadalafil.]
[N06AA10, nortriptyline, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Nortriptyline.]
[A16AX07, sapropterin, Sapropterin may increase the hypotensive activities of Tadalafil.]
[G02CA02, nylidrin, Nylidrin may decrease the antihypertensive activities of Tadalafil.]
[L04AC04, rilonacept, The metabolism of Tadalafil can be increased when combined with Rilonacept.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Tadalafil.]
[N02AA02, opium, Tadalafil may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, Orciprenaline may decrease the antihypertensive activities of Tadalafil.]
