[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Sertraline.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Sertraline.]
[M01AC02, tenoxicam, The risk or severity of bleeding can be increased when Tenoxicam is combined with Sertraline.]
[D01BA02, terbinafine, The metabolism of Sertraline can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The serum concentration of Tertatolol can be increased when it is combined with Sertraline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Tetrazepam is combined with Sertraline.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Thiocolchicoside is combined with Sertraline.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Thiopropazate is combined with Sertraline.]
[G04BD01, emepronium, The risk or severity of adverse effects can be increased when Emepronium is combined with Sertraline.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Tianeptine is combined with Sertraline.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Tofisopam is combined with Sertraline.]
[M01AG02, tolfenamic acid, The risk or severity of bleeding can be increased when Tolfenamic acid is combined with Sertraline.]
[N06AG03, toloxatone, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Sertraline.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Sertraline.]
[C03CA04, torsemide, The metabolism of Sertraline can be decreased when combined with Torasemide.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Loprazolam is combined with Sertraline.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Triclofos is combined with Sertraline.]
[A03AB08, tridihexethyl, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Sertraline is combined with Triflusal.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Sertraline.]
[G03GA05, follitropin alfa, The therapeutic efficacy of Follitropin can be decreased when used in combination with Sertraline.]
[N04AA12, tropatepine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Sertraline is combined with Troxerutin.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Sertraline.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Urapidil is combined with Sertraline.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Veralipride is combined with Sertraline.]
[L01CA04, vinorelbine, The metabolism of Sertraline can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Sertraline.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Sertraline can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Sertraline can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of bleeding can be increased when Zomepirac is combined with Sertraline.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Sertraline.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Insulin glulisine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Zopiclone is combined with Sertraline.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Zotepine is combined with Sertraline.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Sertraline is combined with Anistreplase.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Sertraline.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Sertraline is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Sertraline.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Sertraline.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Sertraline.]
[N02CA02, ergotamine, The metabolism of Sertraline can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Sertraline can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Sertraline.]
[A02BC02, pantoprazole, The metabolism of Sertraline can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Sertraline can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Sertraline can be decreased when combined with Estradiol.]
[J04AK02, ethambutol, The metabolism of Sertraline can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Sertraline can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Sertraline.]
[L02AA03, ethinyl estradiol, The metabolism of Sertraline can be decreased when combined with Ethinylestradiol.]
[N04AA05, profenamine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Sertraline.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Sertraline.]
[M01AC06, meloxicam, The risk or severity of bleeding can be increased when Meloxicam is combined with Sertraline.]
[S01XA06, ethylmorphine, The risk or severity of serotonin syndrome can be increased when Ethylmorphine is combined with Sertraline.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Sertraline.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Sertindole is combined with Sertraline.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Sertraline.]
[R06AX12, terfenadine, The metabolism of Sertraline can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Sertraline.]
[N06AB08, fluvoxamine, The metabolism of Sertraline can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Sertraline.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Sertraline is combined with Dextran.]
[P02CA03, albendazole, The metabolism of Sertraline can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Sertraline can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of bleeding can be increased when Fenoprofen is combined with Sertraline.]
[N02AB03, fentanyl, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Sertraline.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Sertraline is combined with Fibrinolysin.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Sertraline.]
[G04BD02, flavoxate, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Sertraline.]
[N02BG04, floctafenine, The risk or severity of bleeding can be increased when Floctafenine is combined with Sertraline.]
[J02AC01, fluconazole, The metabolism of Sertraline can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Sertraline.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Sertraline.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Melitracen is combined with Sertraline.]
[V03AZ01, ethanol, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Sertraline can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Sertraline can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The serum concentration of Sertraline can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of adverse effects can be increased when Flupentixol is combined with Sertraline.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Sertraline.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Sertraline.]
[S01BC04, flurbiprofen, The risk or severity of bleeding can be increased when Flurbiprofen is combined with Sertraline.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Fluspirilene is combined with Sertraline.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Alcuronium is combined with Sertraline.]
[G01AX06, furazolidone, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Furazolidone.]
[J05AE10, darunavir, The serum concentration of Sertraline can be decreased when it is combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Sertraline is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Amisulpride is combined with Sertraline.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Sertraline.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Gallamine is combined with Sertraline.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Barbexaclone is combined with Sertraline.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Bifemelane is combined with Sertraline.]
[C10AB04, gemfibrozil, The metabolism of Sertraline can be decreased when combined with Gemfibrozil.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Sertraline.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Liraglutide.]
[J05AG04, etravirine, The metabolism of Sertraline can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Methsuximide is combined with Sertraline.]
[N01AH02, alfentanil, The risk or severity of serotonin syndrome can be increased when Alfentanil is combined with Sertraline.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Sertraline.]
[A10BB01, glyburide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Glipizide.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Sertraline.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Sertraline.]
[C02CA04, doxazosin, The metabolism of Sertraline can be decreased when combined with Doxazosin.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Sertraline.]
[L01EX02, sorafenib, The metabolism of Sertraline can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The serum concentration of Esmolol can be increased when it is combined with Sertraline.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Sertraline is combined with Fluindione.]
[P01BX01, halofantrine, The metabolism of Sertraline can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Sertraline.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Sertraline.]
[N05AH04, quetiapine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Sertraline.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Insulin aspart.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Iprazochrome is combined with Sertraline.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Sertraline.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Allobarbital is combined with Sertraline.]
[C09CA01, losartan, The metabolism of Sertraline can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Sertraline is combined with Heparin.]
[A07EC02, mesalamine, The risk or severity of bleeding can be increased when Mesalazine is combined with Sertraline.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Sertraline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Sertraline.]
[C08CA10, nilvadipine, The metabolism of Sertraline can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Sertraline is combined with Nimesulide.]
[C03AA03, hydrochlorothiazide, The risk or severity of hyponatremia can be increased when Sertraline is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, The risk or severity of hyponatremia can be increased when Sertraline is combined with Hydroflumethiazide.]
[G04BD06, propiverine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Sertraline can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Prothipendyl is combined with Sertraline.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Sertraline.]
[J04AB04, rifabutin, The metabolism of Sertraline can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The risk or severity of bleeding can be increased when Ibuprofen is combined with Sertraline.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sertraline is combined with Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Sertraline.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Sertraline.]
[N01AH03, sufentanil, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Sertraline.]
[N06AA02, imipramine, The metabolism of Sertraline can be decreased when combined with Imipramine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Sertraline.]
[C03BA11, indapamide, The risk or severity of hyponatremia can be increased when Sertraline is combined with Indapamide.]
[S01BC01, indomethacin, The risk or severity of bleeding can be increased when Indomethacin is combined with Sertraline.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Sertraline is combined with Milnacipran.]
[A03AA30, piperidolate, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Articaine is combined with Sertraline.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Sitagliptin.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Sertraline.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Sertraline.]
[R06AE01, buclizine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Sertraline can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Sertraline is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Sertraline.]
[C03BA02, quinethazone, The risk or severity of hyponatremia can be increased when Sertraline is combined with Quinethazone.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Sertraline.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Iprindole is combined with Sertraline.]
[N06AF05, iproniazid, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Chlorproethazine is combined with Sertraline.]
[N06AF01, isocarboxazid, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Isocarboxazid.]
[P01AX06, atovaquone, The metabolism of Sertraline can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Sertraline.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Sertraline.]
[J04AC01, isoniazid, The metabolism of Sertraline can be decreased when combined with Isoniazid.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Exenatide.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Sertraline is combined with Bivalirudin.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Sertraline.]
[L04AC07, tocilizumab, The metabolism of Sertraline can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Sertraline.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Sertraline is combined with Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Sertraline is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Sertraline can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Sertraline.]
[M02AA10, ketoprofen, The risk or severity of bleeding can be increased when Ketoprofen is combined with Sertraline.]
[L04AA24, abatacept, The metabolism of Sertraline can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Sertraline may increase the sedative activities of Rotigotine.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Sertraline.]
[M01AE11, tiaprofenic acid, The risk or severity of bleeding can be increased when Tiaprofenic acid is combined with Sertraline.]
[C07AG01, labetalol, The serum concentration of Labetalol can be increased when it is combined with Sertraline.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Sertraline.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Lacosamide is combined with Sertraline.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Levodopa is combined with Sertraline.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Sertraline.]
[N06BA13, armodafinil, The metabolism of Sertraline can be decreased when combined with Armodafinil.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Sertraline.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Lofepramine is combined with Sertraline.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Sertraline.]
[C10AA02, lovastatin, The metabolism of Sertraline can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Sertraline.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Sertraline.]
[L01EG01, temsirolimus, The metabolism of Sertraline can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Sertraline can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Sertraline can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of adverse effects can be increased when Maprotiline is combined with Sertraline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Sertraline.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Sertraline.]
[M02AA18, meclofenamic acid, The risk or severity of bleeding can be increased when Meclofenamic acid is combined with Sertraline.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Medazepam is combined with Sertraline.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Sertraline is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Sertraline is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Sertraline is combined with Dalteparin.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Sertraline.]
[N06DX01, memantine, The metabolism of Sertraline can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Sertraline.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Sertraline.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Sertraline.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Sertraline.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Sertraline.]
[N02AX05, meptazinol, The risk or severity of serotonin syndrome can be increased when Meptazinol is combined with Sertraline.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Sertraline.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Paliperidone is combined with Sertraline.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Metformin.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Sertraline.]
[H01CB03, lanreotide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Sertraline.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Metamfetamine is combined with Sertraline.]
[A03AB07, methantheline, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Methapyrilene is combined with Sertraline.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Methaqualone is combined with Sertraline.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Sertraline.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Metergoline is combined with Sertraline.]
[H03BB02, methimazole, The metabolism of Sertraline can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Sertraline.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Sertraline.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Ziconotide is combined with Sertraline.]
[N05AA02, methotrimeprazine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Sertraline.]
[C03AA08, methyclothiazide, The risk or severity of hyponatremia can be increased when Sertraline is combined with Methyclothiazide.]
[V04CG05, methylene blue, Sertraline may increase the serotonergic activities of Methylene blue.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Sertraline.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Sertraline.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Sertraline.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Sertraline.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Sertraline.]
[C03BA08, metolazone, The risk or severity of hyponatremia can be increased when Sertraline is combined with Metolazone.]
[C07AB02, metoprolol, The metabolism of Sertraline can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Sertraline can be decreased when combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Sertraline.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Mianserin is combined with Sertraline.]
[S02AA13, miconazole, The metabolism of Sertraline can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of bleeding can be increased when Aminophenazone is combined with Sertraline.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Sertraline is combined with Parnaparin.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Sertraline.]
[G03XB01, mifepristone, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Sertraline is combined with Tinzaparin.]
[C09CA03, valsartan, The metabolism of Sertraline can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Sertraline.]
[L01XX23, mitotane, The metabolism of Sertraline can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Molindone is combined with Sertraline.]
[C01BD01, amiodarone, The metabolism of Sertraline can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Sertraline.]
[N02AA01, morphine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Sertraline.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Sertraline.]
[L04AB05, certolizumab pegol, The metabolism of Sertraline can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Sertraline.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Sertraline.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Sertraline.]
[P01BA06, amodiaquine, The metabolism of Sertraline can be decreased when combined with Amodiaquine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Sertraline.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Sertraline.]
[C07AA12, nadolol, The serum concentration of Nadolol can be increased when it is combined with Sertraline.]
[N04BC04, ropinirole, Sertraline may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Naftidrofuryl is combined with Sertraline.]
[N02AF02, nalbuphine, The risk or severity of serotonin syndrome can be increased when Nalbuphine is combined with Sertraline.]
[V03AB15, naloxone, The metabolism of Sertraline can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Sertraline.]
[L04AC03, anakinra, The metabolism of Sertraline can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Sertraline.]
[M02AA12, naproxen, The risk or severity of bleeding can be increased when Naproxen is combined with Sertraline.]
[A10BG01, troglitazone, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Sertraline can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Sertraline.]
[L02BG04, letrozole, The metabolism of Sertraline can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, The risk or severity of serotonin syndrome can be increased when Remifentanil is combined with Sertraline.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Repaglinide.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Sertraline is combined with Tirofiban.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Iloperidone is combined with Sertraline.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Sertraline is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Sertraline can be decreased when combined with Telmisartan.]
[C10AD02, niacin, The metabolism of Sertraline can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Sertraline can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Sertraline.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Sertraline.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Sertraline.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Sertraline.]
[M02AA17, niflumic acid, The risk or severity of bleeding can be increased when Niflumic acid is combined with Sertraline.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Sertraline.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Sertraline.]
[N04BC05, pramipexole, Sertraline may increase the sedative activities of Pramipexole.]
