[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nifedipine.]
[M01AH03, valdecoxib, The risk or severity of hyperkalemia can be increased when Valdecoxib is combined with Nifedipine.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Nifedipine.]
[N02CC05, almotriptan, Almotriptan may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M01AH04, parecoxib, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Nifedipine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Bemiparin.]
[S01AD03, acyclovir, The metabolism of Nifedipine can be decreased when combined with Acyclovir.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Nifedipine.]
[N05BA10, ketazolam, Nifedipine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Nifedipine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Nifedipine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Nifedipine may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Nifedipine.]
[N03AX09, lamotrigine, Lamotrigine may increase the arrhythmogenic activities of Nifedipine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Nifedipine.]
[S01BA03, cortisone, The metabolism of Nifedipine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Nifedipine.]
[M01AB09, lonazolac, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Lonazolac.]
[R06AX13, loratadine, Loratadine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA31, loxoprofen, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C09AA03, lisinopril, The risk or severity of adverse effects can be increased when Lisinopril is combined with Nifedipine.]
[A02AD02, magaldrate, The risk or severity of hypotension can be increased when Magaldrate is combined with Nifedipine.]
[A06AD01, magnesium carbonate, The risk or severity of hypotension can be increased when Magnesium carbonate is combined with Nifedipine.]
[C08CA11, manidipine, Nifedipine may increase the arrhythmogenic activities of Manidipine.]
[C07AA14, mepindolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Mepindolol.]
[H02AB15, meprednisone, The metabolism of Nifedipine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Nifedipine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C01EB10, adenosine, Adenosine may increase the arrhythmogenic activities of Nifedipine.]
[C04AX01, cyclandelate, Nifedipine may increase the arrhythmogenic activities of Cyclandelate.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Nifedipine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Nifedipine may increase the arrhythmogenic activities of Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Miglitol.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Nifedipine.]
[N06AX07, minaprine, Minaprine may increase the orthostatic hypotensive activities of Nifedipine.]
[S01XA18, cyclosporine, The metabolism of Nifedipine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the orthostatic hypotensive activities of Nifedipine.]
[N06BA07, modafinil, The metabolism of Nifedipine can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Nifedipine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Nifedipine.]
[C10AA07, rosuvastatin, Rosuvastatin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA02, mofebutazone, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Nifedipine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The risk or severity of adverse effects can be increased when Nifedipine is combined with Moxonidine.]
[J05AF10, entecavir, The metabolism of Nifedipine can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The risk or severity of hypotension can be increased when Vardenafil is combined with Nifedipine.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Nifedipine.]
[L01AX04, dacarbazine, The metabolism of Nifedipine can be decreased when combined with Dacarbazine.]
[G03XA01, danazol, The metabolism of Nifedipine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nifedipine.]
[J04BA02, dapsone, The metabolism of Nifedipine can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, Daunorubicin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Nifedipine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nabilone is combined with Nifedipine.]
[M01AX01, nabumetone, The metabolism of Nifedipine can be decreased when combined with Nabumetone.]
[N07BB05, nalmefene, Nifedipine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Nifedipine.]
[C07AB12, nebivolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Nifedipine can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Nifedipine.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Nifedipine.]
[M03AC11, cisatracurium, Nifedipine may increase the neuromuscular blocking activities of Cisatracurium.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N06AB10, escitalopram, The serum concentration of Nifedipine can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Solifenacin is combined with Nifedipine.]
[A07EC03, olsalazine, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Nifedipine can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Deslanoside may increase the arrhythmogenic activities of Nifedipine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[V04CH02, indigo carmine, Nifedipine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C09XA02, aliskiren, The risk or severity of adverse effects can be increased when Nifedipine is combined with Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Nifedipine.]
[M01AE12, oxaprozin, The risk or severity of hyperkalemia can be increased when Oxaprozin is combined with Nifedipine.]
[N03AF02, oxcarbazepine, The metabolism of Nifedipine can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Nifedipine can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Nifedipine can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Nifedipine.]
[L04AB04, adalimumab, The metabolism of Nifedipine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Nifedipine can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Nifedipine can be decreased when combined with Dextromethorphan.]
[N06AB05, paroxetine, The metabolism of Nifedipine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The therapeutic efficacy of Clopidogrel can be decreased when used in combination with Nifedipine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Nifedipine.]
[P03AC04, permethrin, Nifedipine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[V03AH01, diazoxide, The risk or severity of adverse effects can be increased when Nifedipine is combined with Diazoxide.]
[R05DA08, pholcodine, Nifedipine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Nifedipine.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C02DG01, pinacidil, Nifedipine may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, Nifedipine may increase the arrhythmogenic activities of Pinaverium.]
[A10BG03, pioglitazone, The serum concentration of Nifedipine can be decreased when it is combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Nifedipine is combined with Pipamperone.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Nifedipine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C08CA03, isradipine, Isradipine may increase the arrhythmogenic activities of Nifedipine.]
[D07XC04, diflucortolone, The metabolism of Nifedipine can be increased when combined with Difluocortolone.]
[N02BA11, diflunisal, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Nifedipine.]
[C01AA04, digitoxin, Nifedipine may increase the arrhythmogenic activities of Digitoxin.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Nifedipine.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Nifedipine.]
[C10AX09, ezetimibe, Ezetimibe may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Nifedipine may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The risk or severity of hypotension can be increased when Dihydroergotamine is combined with Nifedipine.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Nifedipine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Nifedipine.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Nifedipine.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C08DB01, diltiazem, The serum concentration of Nifedipine can be increased when it is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Nifedipine.]
[V03AB09, dimercaprol, Nifedipine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, The metabolism of Nifedipine can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Nifedipine.]
[N02BB04, propyphenazone, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Proglumetacin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Nifedipine.]
[R06AA02, diphenhydramine, The metabolism of Nifedipine can be decreased when combined with Diphenhydramine.]
[C09AA06, quinapril, The risk or severity of adverse effects can be increased when Quinapril is combined with Nifedipine.]
[B01AC07, dipyridamole, The risk or severity of hypotension can be increased when Dipyridamole is combined with Nifedipine.]
[A03FA02, cisapride, The serum concentration of Nifedipine can be increased when it is combined with Cisapride.]
[C09AA05, ramipril, The risk or severity of adverse effects can be increased when Ramipril is combined with Nifedipine.]
[S01XA23, sirolimus, Nifedipine may increase the immunosuppressive activities of Sirolimus.]
[N05AL04, remoxipride, The metabolism of Nifedipine can be decreased when combined with Remoxipride.]
[S01AX06, resorcinol, Nifedipine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may increase the arrhythmogenic activities of Nifedipine.]
[P03AA04, disulfiram, Disulfiram may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[S02AA12, rifamycin SV, The metabolism of Nifedipine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Nifedipine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Nifedipine can be decreased when combined with Riluzole.]
[N05AX08, risperidone, Nifedipine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Nifedipine.]
[N01BB09, ropivacaine, The metabolism of Nifedipine can be decreased when combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Nifedipine can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Nifedipine.]
[A04AD12, aprepitant, The metabolism of Nifedipine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Nifedipine can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, The risk or severity of hypotension can be increased when Tadalafil is combined with Nifedipine.]
[S01BC05, ketorolac, The risk or severity of hyperkalemia can be increased when Ketorolac is combined with Nifedipine.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Nifedipine.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Nifedipine.]
[N02BA06, salsalate, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Nifedipine.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Domperidone.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Nifedipine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of hypotension can be increased when Doxepin is combined with Nifedipine.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Nifedipine.]
[L01DB01, doxorubicin, Doxorubicin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Nifedipine.]
[N06AB06, sertraline, The metabolism of Nifedipine can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of hypotension can be increased when Sevoflurane is combined with Nifedipine.]
[N05AD08, droperidol, The risk or severity of hypotension can be increased when Droperidol is combined with Nifedipine.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C10AA01, simvastatin, Simvastatin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Nifedipine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Nifedipine.]
[C09AA11, spirapril, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Spirapril.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Sultopride.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C07AB13, talinolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Temafloxacin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of hyperkalemia can be increased when Tenoxicam is combined with Nifedipine.]
[G04CA03, terazosin, The risk or severity of hypotension can be increased when Terazosin is combined with Nifedipine.]
[D01BA02, terbinafine, The metabolism of Nifedipine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, Nifedipine may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Tertatolol.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Nifedipine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C09AA02, enalapril, The risk or severity of adverse effects can be increased when Enalapril is combined with Nifedipine.]
[M01AG02, tolfenamic acid, Nifedipine may increase the bradycardic activities of Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the orthostatic hypotensive activities of Nifedipine.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Nifedipine.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA10, trandolapril, The risk or severity of adverse effects can be increased when Trandolapril is combined with Nifedipine.]
[N05CC01, chloral hydrate, Nifedipine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Nifedipine.]
[C02CA06, urapidil, The risk or severity of hypotension can be increased when Urapidil is combined with Nifedipine.]
[J01MA04, enoxacin, The metabolism of Nifedipine can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The metabolism of Nifedipine can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Nifedipine.]
[N06AX16, venlafaxine, The metabolism of Nifedipine can be decreased when combined with Venlafaxine.]
[S01GA03, xylometazoline, Nifedipine may increase the arrhythmogenic activities of Xylometazoline.]
[C08CA12, mepirodipine, Nifedipine may increase the arrhythmogenic activities of Barnidipine.]
[C09AA15, zofenopril, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Zofenopril.]
[N05CF02, zolpidem, The metabolism of Nifedipine can be decreased when combined with Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the arrhythmogenic activities of Nifedipine.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Insulin glulisine.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Nifedipine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Nifedipine.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Iloprost is combined with Nifedipine.]
[C01BG01, moricizine, Moricizine may increase the arrhythmogenic activities of Nifedipine.]
[N02CA02, ergotamine, The metabolism of Nifedipine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, Valproic acid may increase the hypotensive activities of Nifedipine.]
[C01DA13, erythrityl tetranitrate, Nifedipine may increase the vasodilatory activities of Erythrityl tetranitrate.]
[L03AX05, pidotimod, Nifedipine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, Erythromycin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05CD04, estazolam, Nifedipine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Nifedipine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Nifedipine can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Nifedipine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Nifedipine can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Nifedipine can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Nifedipine can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, Ethinylestradiol may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Nifedipine is combined with Amifostine.]
[C01BD05, ibutilide, Ibutilide may increase the arrhythmogenic activities of Nifedipine.]
[N03AD01, ethosuximide, Ethosuximide may increase the arrhythmogenic activities of Nifedipine.]
[M01AC06, meloxicam, The risk or severity of hyperkalemia can be increased when Meloxicam is combined with Nifedipine.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Nifedipine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Nifedipine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Nifedipine.]
[C01BA05, ajmaline, Nifedipine may increase the arrhythmogenic activities of Ajmaline.]
[L04AD02, tacrolimus, Nifedipine may increase the immunosuppressive activities of Tacrolimus.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Nifedipine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Nifedipine.]
[R06AX12, terfenadine, The metabolism of Nifedipine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Nifedipine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Nifedipine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Nifedipine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, Tocainide may increase the arrhythmogenic activities of Nifedipine.]
[C01BC08, encainide, Nifedipine may increase the arrhythmogenic activities of Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Nifedipine.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Nifedipine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA05, dextran, Nifedipine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Nifedipine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Nifedipine can be increased when combined with Albendazole.]
[C08CA02, felodipine, Felodipine may increase the arrhythmogenic activities of Nifedipine.]
[C08EA01, fendiline, Nifedipine may increase the arrhythmogenic activities of Fendiline.]
[N03AX26, fenfluramine, The metabolism of Nifedipine can be decreased when combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hyperkalemia can be increased when Fenoprofen is combined with Nifedipine.]
[N02AB03, fentanyl, Fentanyl may increase the bradycardic activities of Nifedipine.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Nifedipine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Nifedipine.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[G04BD02, flavoxate, Nifedipine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, Nifedipine may increase the arrhythmogenic activities of Flecainide.]
[N02BG04, floctafenine, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Floctafenine.]
[J01CF05, floxacillin, Flucloxacillin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Nifedipine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[V03AB25, flumazenil, Nifedipine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, Nifedipine may increase the arrhythmogenic activities of Flunarizine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Nifedipine.]
[D07AC08, fluocinonide, The metabolism of Nifedipine can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Nifedipine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Nifedipine.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Nifedipine.]
[N06AB03, fluoxetine, The serum concentration of Nifedipine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Flupentixol.]
[N05AB02, fluphenazine, The metabolism of Nifedipine can be decreased when combined with Fluphenazine.]
[N05CD01, flurazepam, The metabolism of Nifedipine can be decreased when combined with Flurazepam.]
[S01BC04, flurbiprofen, The risk or severity of hyperkalemia can be increased when Flurbiprofen is combined with Nifedipine.]
[N05AG01, fluspirilene, Nifedipine may increase the arrhythmogenic activities of Fluspirilene.]
[L02BB01, flutamide, The metabolism of Nifedipine can be decreased when combined with Flutamide.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
