[S02DA03, antipyrine, The metabolism of Perampanel can be decreased when combined with Antipyrine.]
[N02CA02, ergotamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ergotamine.]
[S01AA17, erythromycin, The metabolism of Perampanel can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Estazolam.]
[H05BX01, cinacalcet, The metabolism of Perampanel can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Perampanel.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Perampanel can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Perampanel can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Perampanel can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Perampanel can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Perampanel can be increased when combined with Fluvastatin.]
[N05CM08, ethchlorvynol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ethchlorvynol.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Perampanel.]
[N04AA05, profenamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ethosuximide.]
[N03AB01, ethotoin, The metabolism of Perampanel can be increased when combined with Ethotoin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Perampanel is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Perampanel is combined with Meloxicam.]
[S01XA06, ethylmorphine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ethylmorphine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Perampanel is combined with Etidocaine.]
[N01AX07, etomidate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Etomidate.]
[L01CB01, etoposide, The metabolism of Perampanel can be increased when combined with Etoposide.]
[N05AE03, sertindole, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Sertindole.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be increased when combined with Perampanel.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Perampanel.]
[R06AX12, terfenadine, The metabolism of Perampanel can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[N06AB08, fluvoxamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Perampanel can be decreased when combined with Tocainide.]
[A02BA03, famotidine, The metabolism of Perampanel can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Perampanel can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Perampanel can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[N02AB03, fentanyl, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[G04BD02, flavoxate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Perampanel can be decreased when combined with Flecainide.]
[J01CF05, floxacillin, The metabolism of Perampanel can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Perampanel can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[N05CD03, flunitrazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Perampanel can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Melitracen.]
[H02AB03, fluocortolone, The metabolism of Perampanel can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The metabolism of Perampanel can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[N05CD01, flurazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[N05AG01, fluspirilene, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Fluspirilene.]
[L02BB01, flutamide, The metabolism of Perampanel can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Perampanel.]
[M03AA01, alcuronium, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Alcuronium.]
[G01AX06, furazolidone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Furazolidone.]
[J05AE10, darunavir, The metabolism of Perampanel can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Perampanel is combined with Eszopiclone.]
[N05AL05, amisulpride, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Amisulpride.]
[M03AC02, gallamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Gallamine.]
[S01AD09, ganciclovir, The therapeutic efficacy of Perampanel can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, The metabolism of Perampanel can be increased when combined with Barbexaclone.]
[N06AX08, bifemelane, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Perampanel can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Perampanel.]
[N04BC06, cabergoline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cabergoline.]
[C01CA21, cafedrine, Perampanel may increase the excretion rate of Cafedrine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AG04, etravirine, The metabolism of Perampanel can be increased when combined with Etravirine.]
[N03AD03, methsuximide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Methsuximide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Perampanel.]
[N01AH02, alfentanil, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Alfentanil.]
[L01EH01, lapatinib, The metabolism of Perampanel can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Perampanel can be decreased when combined with Glyburide.]
[N05CM18, dexmedetomidine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[N05CE01, glutethimide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Glutethimide.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Perampanel.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be increased when combined with Perampanel.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Perampanel.]
[D01BA01, griseofulvin, The metabolism of Perampanel can be increased when combined with Griseofulvin.]
[P01BX01, halofantrine, The therapeutic efficacy of Perampanel can be decreased when used in combination with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Perampanel.]
[N01AB01, halothane, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[N05AH04, quetiapine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Perampanel.]
[N05CA21, allobarbital, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Allobarbital.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Perampanel.]
[N05CA16, hexobarbital, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Perampanel can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Perampanel can be decreased when combined with Nilvadipine.]
[R05DA03, hydrocodone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Perampanel can be increased when combined with Hydrocortisone.]
[G04BD06, propiverine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Perampanel can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Perampanel.]
[J04AB04, rifabutin, The metabolism of Perampanel can be increased when combined with Rifabutin.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Perampanel.]
[H01AC02, somatrem, The metabolism of Perampanel can be increased when combined with Somatrem.]
[N01AH03, sufentanil, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[N06AA02, imipramine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CD01, paclitaxel, The metabolism of Perampanel can be increased when combined with Paclitaxel.]
[M03BX02, tizanidine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tizanidine.]
[L01CE01, topotecan, Perampanel may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB04, interferon alfa-2a, The metabolism of Perampanel can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Perampanel can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Milnacipran.]
[A03AA30, piperidolate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Articaine.]
[V08AB02, iohexol, The therapeutic efficacy of Perampanel can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Alprazolam.]
[N05CH02, ramelteon, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ramelteon.]
[R06AE01, buclizine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Perampanel can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Perampanel can be decreased when combined with Anagrelide.]
[C07AA01, alprenolol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Alprenolol.]
[L03AB09, interferon alfacon-1, The metabolism of Perampanel can be decreased when combined with Interferon alfacon-1.]
[N06AA13, iprindole, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Iprindole.]
[N06AF05, iproniazid, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Iproniazid.]
[J05AB13, penciclovir, The metabolism of Perampanel can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Chlorproethazine.]
[N06AF01, isocarboxazid, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Isocarboxazid.]
[N01AB06, isoflurane, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[N04BX02, entacapone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[J04AC01, isoniazid, The metabolism of Perampanel can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Reboxetine.]
[H01AC01, somatropin, The metabolism of Perampanel can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Perampanel can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Perampanel can be increased when combined with Ketamine.]
[C02KD01, ketanserin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ketanserin.]
[B01AC22, prasugrel, The metabolism of Perampanel can be decreased when combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Perampanel can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Perampanel can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[V03AC03, deferasirox, The metabolism of Perampanel can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Perampanel can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Rotigotine.]
[J01MB02, nalidixic acid, The metabolism of Perampanel can be decreased when combined with Nalidixic acid.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Perampanel can be decreased when used in combination with Gamolenic acid.]
[N03AX18, lacosamide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Perampanel.]
[N04BA01, levodopa, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Levodopa.]
[S02DA01, lidocaine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[N06BA13, armodafinil, The metabolism of Perampanel can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be increased when combined with Perampanel.]
[N02CA07, lisuride, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Lisuride.]
[N06AA07, lofepramine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Lofepramine.]
[N05BA06, lorazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Lorazepam.]
[C10AA02, lovastatin, The metabolism of Perampanel can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Perampanel.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be increased when combined with Perampanel.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Perampanel can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Perampanel can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Mazindol.]
[R06AE05, meclizine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Meclizine.]
[N05BA03, medazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Medazepam.]
[P01BC02, mefloquine, The therapeutic efficacy of Perampanel can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Melatonin.]
[N06DX01, memantine, The metabolism of Perampanel can be decreased when combined with Memantine.]
[N02AB02, meperidine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[N03AB04, mephenytoin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Perampanel can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Mepivacaine.]
[N05BC01, meprobamate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Meprobamate.]
[N02AX05, meptazinol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Meptazinol.]
[L02BG01, aminoglutethimide, The metabolism of Perampanel can be increased when combined with Aminoglutethimide.]
[N05AC03, mesoridazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Mesoridazine.]
[N05AX13, paliperidone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Paliperidone.]
[A04AA04, dolasetron, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Perampanel.]
[N06BA03, methamphetamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Metamfetamine.]
[A03AB07, methantheline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Methapyrilene.]
[N05CM01, methaqualone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Methaqualone.]
[N03AA30, metharbital, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Metharbital.]
[G02CB05, metergoline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Metergoline.]
[H03BB02, methimazole, The metabolism of Perampanel can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Perampanel can be decreased when combined with Pemetrexed.]
[M03BA03, methocarbamol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Methocarbamol.]
[N05CA15, methohexital, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Methohexital.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Perampanel is combined with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Perampanel.]
[N05AA02, methotrimeprazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Perampanel can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Methoxyflurane.]
[V04CG05, methylene blue, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Perampanel.]
[N06BA04, methylphenidate, The therapeutic efficacy of Perampanel can be decreased when used in combination with Methylphenidate.]
[H02AB04, methylprednisolone, The metabolism of Perampanel can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Perampanel can be increased when combined with Rufinamide.]
[G03EK01, methyltestosterone, The metabolism of Perampanel can be decreased when combined with Methyltestosterone.]
[N05CE02, methyprylon, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Methyprylon.]
[N02CA04, methysergide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Methysergide.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Perampanel.]
[P01AB01, metronidazole, The therapeutic efficacy of Perampanel can be decreased when used in combination with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Perampanel can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Perampanel can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The therapeutic efficacy of Perampanel can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Perampanel can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Perampanel can be decreased when combined with Aminophenazone.]
[N05CD08, midazolam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Midazolam.]
[G03XB01, mifepristone, The metabolism of Perampanel can be increased when combined with Mifepristone.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Perampanel.]
[L01XX23, mitotane, The metabolism of Perampanel can be increased when combined with Mitotane.]
[N05AE02, molindone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Molindone.]
[C01BD01, amiodarone, The metabolism of Perampanel can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[A04AA05, palonosetron, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Perampanel can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Perampanel can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Perampanel.]
[M03AC03, vecuronium, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Vecuronium.]
[N05CA02, amobarbital, The metabolism of Perampanel can be increased when combined with Amobarbital.]
[R03BB01, ipratropium bromide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[G03XC01, raloxifene, The metabolism of Perampanel can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The serum concentration of Perampanel can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Perampanel can be decreased when combined with Interferon beta-1b.]
[N04BC04, ropinirole, Perampanel may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Perampanel can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Naftidrofuryl.]
[N02AF02, nalbuphine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Nalbuphine.]
[V03AB15, naloxone, The metabolism of Perampanel can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Perampanel can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The therapeutic efficacy of Perampanel can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, The metabolism of Perampanel can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Perampanel can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Duloxetine.]
[N04BX01, tolcapone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tolcapone.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Perampanel.]
[N01AH06, remifentanil, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Remifentanil.]
[N05AX14, iloperidone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Iloperidone.]
[J02AA01, amphotericin B, The therapeutic efficacy of Perampanel can be decreased when used in combination with Amphotericin B.]
[N06AX23, desvenlafaxine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Desvenlafaxine.]
[N06AF02, nialamide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Nialamide.]
[C08CA04, nicardipine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[P02DA01, niclosamide, The metabolism of Perampanel can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Perampanel can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Perampanel can be increased when combined with Nifedipine.]
[C08CA07, nisoldipine, The metabolism of Perampanel can be decreased when combined with Nisoldipine.]
[N05CD02, nitrazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[C08CA08, nitrendipine, The metabolism of Perampanel can be decreased when combined with Nitrendipine.]
[N05CF03, zaleplon, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[N04BC05, pramipexole, Perampanel may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Nitrous oxide.]
[N06AX04, nomifensine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Nomifensine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Perampanel.]
[S01AE02, norfloxacin, The metabolism of Perampanel can be decreased when combined with Norfloxacin.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Perampanel.]
[C02KX01, bosentan, The metabolism of Perampanel can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[L03AB07, interferon beta-1a, The metabolism of Perampanel can be decreased when combined with Interferon beta-1a.]
[L04AC04, rilonacept, The metabolism of Perampanel can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Perampanel can be increased when combined with Omeprazole.]
[N06AA05, opipramol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Opipramol.]
[N02AA02, opium, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Opium.]
[N05BA04, oxazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[C07AA02, oxprenolol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxprenolol.]
[N02AA05, oxycodone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N02AA11, oxymorphone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxymorphone.]
[N05AE01, oxypertine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxypertine.]
[A03AB03, oxyphenonium, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Perampanel.]
[M03AC01, pancuronium, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Perampanel.]
[N05CC05, paraldehyde, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Perampanel can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pargyline.]
[J01MA03, pefloxacin, The metabolism of Perampanel can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Penbutolol.]
[N05AG03, penfluridol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Penfluridol.]
[N02AD01, pentazocine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Perampanel can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, Perampanel may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB10, perazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Perazine.]
[N04BC02, pergolide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pergolide.]
[C08EX02, perhexiline, The metabolism of Perampanel can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Perphenazine.]
[N02BE03, phenacetin, The metabolism of Perampanel can be decreased when combined with Phenacetin.]
[N02AD02, phenazocine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Phenazocine.]
[N06AF03, phenelzine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Phenelzine.]
[N03AA02, phenobarbital, The metabolism of Perampanel can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be increased when combined with Perampanel.]
[M02AA01, phenylbutazone, The metabolism of Perampanel can be increased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Perampanel can be increased when combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Perampanel can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Perampanel can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Perampanel can be increased when combined with Golimumab.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Perampanel.]
[C08CX01, mibefradil, The metabolism of Perampanel can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pimozide.]
[C07AA03, pindolol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pindolol.]
[C10AA05, atorvastatin, The metabolism of Perampanel can be decreased when combined with Atorvastatin.]
[J05AE01, saquinavir, The metabolism of Perampanel can be decreased when combined with Saquinavir.]
