[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Morphine.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Morphine.]
[R03BA09, fluticasone furoate, The metabolism of Morphine can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Morphine can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Morphine can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, Gepefrine may increase the analgesic activities of Morphine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Morphine.]
[L02AA03, ethinyl estradiol, Ethinylestradiol may increase the excretion rate of Morphine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Morphine is combined with Amifostine.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Morphine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Morphine is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Morphine is combined with Ethotoin.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Morphine is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Morphine.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Morphine.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Morphine is combined with Sertindole.]
[L04AD02, tacrolimus, The serum concentration of Morphine can be increased when it is combined with Tacrolimus.]
[R06AX12, terfenadine, The metabolism of Morphine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Morphine is combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Fluvoxamine.]
[C10AA03, pravastatin, The serum concentration of Morphine can be increased when it is combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, The metabolism of Morphine can be decreased when combined with Sodium aurothiomalate.]
[A05AA01, chenodeoxycholic acid, The metabolism of Morphine can be decreased when combined with Chenodeoxycholic acid.]
[C08CA02, felodipine, The metabolism of Morphine can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Fenfluramine.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Fenoterol is combined with Morphine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Morphine is combined with Fentanyl.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Morphine is combined with Clofarabine.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Flavoxate is combined with Morphine.]
[J02AC01, fluconazole, The metabolism of Morphine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Morphine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Morphine is combined with Melitracen.]
[V03AZ01, ethanol, Morphine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Morphine.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Fluoxetine.]
[N05AF01, flupenthixol, Morphine may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Morphine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Flurazepam.]
[S01BC04, flurbiprofen, The metabolism of Morphine can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Morphine is combined with Fluspirilene.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Morphine.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Alcuronium is combined with Morphine.]
[G01AX06, furazolidone, Furazolidone may increase the analgesic activities of Morphine.]
[J05AE10, darunavir, The metabolism of Morphine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Furosemide can be decreased when used in combination with Morphine.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Morphine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Morphine is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Gallamine is combined with Morphine.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Morphine.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Morphine is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Morphine can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Morphine.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Morphine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Morphine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Morphine is combined with Alfentanil.]
[L01EH01, lapatinib, The serum concentration of Morphine can be increased when it is combined with Lapatinib.]
[A06AH02, alvimopan, The risk or severity of adverse effects can be increased when Morphine is combined with Alvimopan.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Morphine is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Morphine is combined with Glutethimide.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Morphine.]
[C05AE01, nitroglycerin, The risk or severity of adverse effects can be increased when Morphine is combined with Nitroglycerin.]
[C02CA04, doxazosin, The risk or severity of adverse effects can be increased when Morphine is combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Morphine.]
[C07AB09, esmolol, The risk or severity of adverse effects can be increased when Esmolol is combined with Morphine.]
[C09AA09, fosinopril, The risk or severity of adverse effects can be increased when Morphine is combined with Fosinopril.]
[S01EX01, guanethidine, Morphine may increase the hypotensive activities of Guanethidine.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Morphine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Morphine.]
[N01AB01, halothane, The therapeutic efficacy of Morphine can be increased when used in combination with Halothane.]
[N05AH04, quetiapine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Morphine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Morphine is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Morphine is combined with Allobarbital.]
[C09CA01, losartan, The metabolism of Morphine can be decreased when combined with Losartan.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Morphine.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Morphine.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Morphine.]
[C08CA10, nilvadipine, The metabolism of Morphine can be decreased when combined with Nilvadipine.]
[C09AA04, perindopril, The risk or severity of adverse effects can be increased when Morphine is combined with Perindopril.]
[C02DB02, hydralazine, The risk or severity of adverse effects can be increased when Morphine is combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Hydrochlorothiazide can be decreased when used in combination with Morphine.]
[R05DA03, hydrocodone, Morphine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Morphine can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Hydroflumethiazide can be decreased when used in combination with Morphine.]
[A12BA02, potassium citrate, The therapeutic efficacy of Potassium citrate can be decreased when used in combination with Morphine.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Propiverine is combined with Morphine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Morphine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Morphine is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[J04AB04, rifabutin, The metabolism of Morphine can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Morphine may increase the hypotensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Morphine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Morphine.]
[L01AA06, ifosfamide, The metabolism of Morphine can be increased when combined with Ifosfamide.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Morphine is combined with Sufentanil.]
[N06AA02, imipramine, The risk or severity of adverse effects can be increased when Imipramine is combined with Morphine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Morphine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Morphine is combined with Tizanidine.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Morphine.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be decreased when used in combination with Morphine.]
[S01BC01, indomethacin, The metabolism of Morphine can be decreased when combined with Indomethacin.]
[C02CA02, indoramin, The risk or severity of adverse effects can be increased when Morphine is combined with Indoramin.]
[N06AX17, milnacipran, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Milnacipran.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Piperidolate is combined with Morphine.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Morphine is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Morphine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Morphine is combined with Alprazolam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Morphine is combined with Ramelteon.]
[R06AE01, buclizine, The risk or severity of adverse effects can be increased when Buclizine is combined with Morphine.]
[C10AA06, cerivastatin, The metabolism of Morphine can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Morphine is combined with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Quinethazone can be decreased when used in combination with Morphine.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Morphine is combined with Iprindole.]
[N06AF05, iproniazid, Iproniazid may increase the analgesic activities of Morphine.]
[N05AA07, chlorproethazine, The risk or severity of hypotension and CNS depression can be increased when Chlorproethazine is combined with Morphine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the analgesic activities of Morphine.]
[C09AA16, imidapril, The risk or severity of adverse effects can be increased when Morphine is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Morphine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Morphine is combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Morphine can be decreased when combined with Isoniazid.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Morphine is combined with Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Morphine is combined with Isosorbide dinitrate.]
[C04AA01, isoxsuprine, The risk or severity of adverse effects can be increased when Morphine is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Morphine.]
[L04AC07, tocilizumab, The metabolism of Morphine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Morphine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Morphine is combined with Ketanserin.]
[B01AC22, prasugrel, The serum concentration of the active metabolites of Prasugrel can be reduced when Prasugrel is used in combination with Morphine resulting in a loss in efficacy.]
[H02CA04, levoketoconazole, The metabolism of Morphine can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Morphine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Morphine.]
[M02AA10, ketoprofen, The metabolism of Morphine can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Morphine can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Morphine can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Morphine may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, The risk or severity of adverse effects can be increased when Morphine is combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Amantadine is combined with Morphine.]
[C02AA05, deserpidine, Morphine may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Morphine.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Morphine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Morphine is combined with Lacosamide.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Etacrynic acid can be decreased when used in combination with Morphine.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Morphine is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Morphine.]
[C03DB01, amiloride, The therapeutic efficacy of Amiloride can be decreased when used in combination with Morphine.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Morphine is combined with Lisuride.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Morphine is combined with Lofepramine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Morphine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Lorazepam.]
[C10AA02, lovastatin, The metabolism of Morphine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Morphine is combined with Loxapine.]
[L01EG01, temsirolimus, The serum concentration of Morphine can be increased when it is combined with Temsirolimus.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Morphine.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Morphine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Morphine can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Morphine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Mannitol can be increased when it is combined with Morphine.]
[N06AA21, maprotiline, The risk or severity of adverse effects can be increased when Maprotiline is combined with Morphine.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Morphine is combined with Mazindol.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Morphine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Morphine.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Medazepam.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Morphine.]
[P01BC02, mefloquine, The serum concentration of Morphine can be increased when it is combined with Mefloquine.]
[C03BA05, mefruside, The therapeutic efficacy of Mefruside can be decreased when used in combination with Morphine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Morphine is combined with Melatonin.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Morphine is combined with Meperidine.]
[C01CA11, mephentermine, Mephentermine may increase the analgesic activities of Morphine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Morphine is combined with Mephenytoin.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Morphine.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Morphine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Morphine is combined with Meprobamate.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Morphine is combined with Meptazinol.]
[C03BC01, mersalyl, The therapeutic efficacy of Mersalyl can be decreased when used in combination with Morphine.]
[N05AC03, mesoridazine, The risk or severity of hypotension and CNS depression can be increased when Mesoridazine is combined with Morphine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Morphine is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Morphine is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Morphine.]
[N06BA03, methamphetamine, Metamfetamine may increase the analgesic activities of Morphine.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Methantheline is combined with Morphine.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Morphine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Morphine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Morphine.]
[S01EC05, methazolamide, The therapeutic efficacy of Methazolamide can be decreased when used in combination with Morphine.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Morphine is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Morphine can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Morphine is combined with Methocarbamol.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Morphine.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Morphine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Morphine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Morphine is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Methyclothiazide can be decreased when used in combination with Morphine.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Morphine.]
[C02AB01, methyldopa, The risk or severity of adverse effects can be increased when Morphine is combined with Methyldopa.]
[V04CG05, methylene blue, Morphine may increase the serotonergic activities of Methylene blue.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Morphine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Morphine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Morphine.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Morphine.]
[C03BA08, metolazone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Morphine.]
[C07AB02, metoprolol, The risk or severity of adverse effects can be increased when Metoprolol is combined with Morphine.]
[P01AB01, metronidazole, The metabolism of Morphine can be decreased when combined with Metronidazole.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Morphine is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Morphine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Morphine.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Morphine is combined with Midazolam.]
[G03XB01, mifepristone, The serum concentration of Morphine can be increased when it is combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Morphine.]
[C09CA03, valsartan, The risk or severity of adverse effects can be increased when Valsartan is combined with Morphine.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[D11AX01, minoxidil, The risk or severity of adverse effects can be increased when Morphine is combined with Minoxidil.]
[L01XX23, mitotane, The metabolism of Morphine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may increase the analgesic activities of Morphine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Morphine is combined with Molindone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Morphine.]
[C01BD01, amiodarone, The metabolism of Morphine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of adverse effects can be increased when Amitriptyline is combined with Morphine.]
[N07XX04, sodium oxybate, Morphine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Morphine is combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Morphine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Morphine can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Morphine.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Morphine.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Morphine.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Morphine.]
[G04CA04, silodosin, The serum concentration of Silodosin can be increased when it is combined with Morphine.]
[G03XC01, raloxifene, The metabolism of Morphine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Morphine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Morphine.]
[C07AA12, nadolol, The risk or severity of adverse effects can be increased when Morphine is combined with Nadolol.]
[N04BC04, ropinirole, Morphine may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Morphine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The therapeutic efficacy of Morphine can be decreased when used in combination with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Morphine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Morphine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Naphazoline may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[N06BA01, amphetamine, Amphetamine may increase the analgesic activities of Morphine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Morphine.]
[A10BG01, troglitazone, The metabolism of Morphine can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Morphine is combined with Duloxetine.]
[N02BG06, nefopam, The therapeutic efficacy of Morphine can be increased when used in combination with Nefopam.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Morphine is combined with Tolcapone.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Morphine is combined with Remifentanil.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Morphine.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Morphine is combined with Levosimendan.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Morphine is combined with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Morphine is combined with Amphotericin B.]
[N06AX23, desvenlafaxine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The risk or severity of adverse effects can be increased when Morphine is combined with Telmisartan.]
[N06AF02, nialamide, Nialamide may increase the analgesic activities of Morphine.]
[C08CA04, nicardipine, The risk or severity of adverse effects can be increased when Nicardipine is combined with Morphine.]
[C08CA05, nifedipine, The risk or severity of adverse effects can be increased when Morphine is combined with Nifedipine.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Morphine is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of adverse effects can be increased when Morphine is combined with Nimodipine.]
[C08CA07, nisoldipine, The risk or severity of adverse effects can be increased when Morphine is combined with Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of adverse effects can be increased when Morphine is combined with Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Morphine is combined with Nitric Oxide.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Morphine is combined with Zaleplon.]
[N04BC05, pramipexole, Morphine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, The risk or severity of adverse effects can be increased when Morphine is combined with Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of myocardial depression can be increased when Morphine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Morphine is combined with Nomifensine.]
[C02KX01, bosentan, Morphine may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, The risk or severity of adverse effects can be increased when Nortriptyline is combined with Morphine.]
[A16AX07, sapropterin, The serum concentration of Morphine can be increased when it is combined with Sapropterin.]
[L04AC04, rilonacept, The metabolism of Morphine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Morphine.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Morphine is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Morphine is combined with Opium.]
[G04CA02, tamsulosin, The risk or severity of adverse effects can be increased when Morphine is combined with Tamsulosin.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Morphine is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Morphine is combined with Oxycodone.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Morphine is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Morphine is combined with Oxypertine.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Morphine.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Morphine is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Morphine.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Morphine is combined with Papaverine.]
[N05CC05, paraldehyde, Morphine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Pargyline may increase the analgesic activities of Morphine.]
[G04BD11, fesoterodine, The risk or severity of adverse effects can be increased when Fesoterodine is combined with Morphine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Morphine is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Morphine is combined with Penfluridol.]
[N02AD01, pentazocine, The therapeutic efficacy of Morphine can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Morphine.]
[N05AB10, perazine, The risk or severity of hypotension and CNS depression can be increased when Perazine is combined with Morphine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Morphine is combined with Pergolide.]
[N05AB03, perphenazine, The risk or severity of hypotension and CNS depression can be increased when Perphenazine is combined with Morphine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Morphine is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the analgesic activities of Morphine.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Phenobarbital is combined with Morphine.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Morphine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Morphine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, The risk or severity of adverse effects can be increased when Morphine is combined with Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Morphine.]
[A08AA01, phentermine, Phentermine may increase the analgesic activities of Morphine.]
[V03AB36, phentolamine, The risk or severity of adverse effects can be increased when Morphine is combined with Phentolamine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Morphine.]
[L04AB06, golimumab, The metabolism of Morphine can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The serum concentration of Morphine can be increased when it is combined with Mibefradil.]
