[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Zidovudine is combined with Antipyrine.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Nevirapine.]
[M01AH03, valdecoxib, The metabolism of Nevirapine can be decreased when combined with Valdecoxib.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Nevirapine.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Nevirapine.]
[J02AC02, itraconazole, The serum concentration of Itraconazole can be decreased when it is combined with Nevirapine.]
[S01AD03, acyclovir, The risk or severity of adverse effects can be increased when Nevirapine is combined with Acyclovir.]
[L01EA01, imatinib, The serum concentration of Nevirapine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Nevirapine can be decreased when combined with Posaconazole.]
[S01BA03, cortisone, The metabolism of Nevirapine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Nevirapine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Nevirapine.]
[C08CA11, manidipine, The metabolism of Nevirapine can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Nevirapine.]
[H02AB15, meprednisone, The metabolism of Nevirapine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Nevirapine.]
[R06AE03, cyclizine, The metabolism of Nevirapine can be decreased when combined with Cyclizine.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Nevirapine.]
[N05AD03, metylperon, The metabolism of Nevirapine can be decreased when combined with Melperone.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Nevirapine.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Nevirapine.]
[S01XA18, cyclosporine, The metabolism of Nevirapine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Nevirapine can be decreased when combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Nevirapine can be increased when combined with Armodafinil.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Nevirapine.]
[C03XA02, conivaptan, The metabolism of Nevirapine can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Nevirapine is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Nevirapine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Nevirapine.]
[M01AH05, etoricoxib, The metabolism of Nevirapine can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Nevirapine.]
[G03XA01, danazol, The metabolism of Nevirapine can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Nevirapine.]
[L01DB02, daunorubicin, The metabolism of Nevirapine can be increased when combined with Daunorubicin.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Nevirapine.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Nevirapine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Nevirapine.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Nevirapine.]
[N06AX06, nefazodone, The metabolism of Nevirapine can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Nevirapine can be decreased when combined with Nilutamide.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Nevirapine.]
[N06AB10, escitalopram, The serum concentration of Nevirapine can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Nevirapine.]
[N06AA01, desipramine, The metabolism of Nevirapine can be decreased when combined with Desipramine.]
[N03AF02, oxcarbazepine, The metabolism of Nevirapine can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Nevirapine can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Nevirapine can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Nevirapine.]
[L04AB04, adalimumab, The metabolism of Nevirapine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Nevirapine.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Nevirapine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Nevirapine.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Nevirapine.]
[N06AB05, paroxetine, The metabolism of Nevirapine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be increased when combined with Nevirapine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Nevirapine.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Nevirapine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be increased when combined with Nevirapine.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Nevirapine.]
[L02AA01, diethylstilbestrol, The metabolism of Nevirapine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Nevirapine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Nevirapine can be increased when combined with Difluocortolone.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Nevirapine.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Nevirapine.]
[J05AE08, atazanavir, The metabolism of Nevirapine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Nevirapine.]
[C08DB01, diltiazem, The metabolism of Nevirapine can be decreased when combined with Diltiazem.]
[M02AX03, dimethyl sulfoxide, The metabolism of Nevirapine can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Nevirapine.]
[C05CA03, diosmin, The metabolism of Nevirapine can be decreased when combined with Diosmin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Nevirapine.]
[R06AA02, diphenhydramine, The metabolism of Nevirapine can be decreased when combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Nevirapine can be decreased when combined with Quazepam.]
[A03FA02, cisapride, The metabolism of Nevirapine can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Nevirapine.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Nevirapine.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be decreased when combined with Nevirapine.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Nevirapine.]
[S02AA12, rifamycin SV, The metabolism of Nevirapine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Nevirapine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Nevirapine.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Nevirapine.]
[N01BB09, ropivacaine, The metabolism of Ropivacaine can be decreased when combined with Nevirapine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Nevirapine.]
[A04AD12, aprepitant, The metabolism of Nevirapine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Nevirapine.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Nevirapine.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Nevirapine.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Nevirapine.]
[C01EB18, ranolazine, The serum concentration of Nevirapine can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The risk or severity of adverse effects can be increased when Nevirapine is combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Domperidone can be increased when combined with Nevirapine.]
[C01CA04, dopamine, The risk or severity of adverse effects can be increased when Nevirapine is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Nevirapine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Nevirapine.]
[L01DB01, doxorubicin, The metabolism of Nevirapine can be decreased when combined with Doxorubicin.]
[N06AB06, sertraline, The metabolism of Nevirapine can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be increased when combined with Nevirapine.]
[C10AA01, simvastatin, The metabolism of Nevirapine can be increased when combined with Simvastatin.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Nevirapine.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be decreased when combined with Nevirapine.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Nevirapine.]
[D01BA02, terbinafine, The metabolism of Nevirapine can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Nevirapine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Nevirapine.]
[C03CA04, torsemide, The metabolism of Nevirapine can be decreased when combined with Torasemide.]
[L01CA04, vinorelbine, The metabolism of Nevirapine can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The metabolism of Epinastine can be increased when combined with Nevirapine.]
[N06AX16, venlafaxine, The metabolism of Nevirapine can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Nevirapine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Nevirapine can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Nevirapine.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be decreased when combined with Nevirapine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Nevirapine.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Nevirapine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Nevirapine is combined with Guanfacine.]
[N02CA02, ergotamine, The metabolism of Nevirapine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be increased when combined with Nevirapine.]
[S01AA17, erythromycin, The metabolism of Nevirapine can be decreased when combined with Erythromycin.]
[H05BX01, cinacalcet, The metabolism of Nevirapine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Nevirapine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Nevirapine.]
[J04AK02, ethambutol, The metabolism of Nevirapine can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The metabolism of Nevirapine can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Nevirapine can be increased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Nevirapine.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Nevirapine.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be increased when combined with Nevirapine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Nevirapine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Nevirapine.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Nevirapine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Nevirapine.]
[R06AX12, terfenadine, The metabolism of Nevirapine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Nevirapine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Nevirapine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Nevirapine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Nevirapine.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Nevirapine.]
[C08CA02, felodipine, The metabolism of Nevirapine can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The serum concentration of Fenfluramine can be decreased when it is combined with Nevirapine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Nevirapine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Nevirapine.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Nevirapine.]
[J02AC01, fluconazole, The serum concentration of Nevirapine can be increased when it is combined with Fluconazole.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Nevirapine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be increased when combined with Nevirapine.]
[D07AC08, fluocinonide, The metabolism of Nevirapine can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Nevirapine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Nevirapine can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, The metabolism of Nevirapine can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Nevirapine.]
[N06AB03, fluoxetine, The serum concentration of Nevirapine can be increased when it is combined with Fluoxetine.]
[N05AB02, fluphenazine, The metabolism of Nevirapine can be decreased when combined with Fluphenazine.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be decreased when combined with Nevirapine.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Nevirapine.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Nevirapine.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Nevirapine.]
[J05AE10, darunavir, The serum concentration of Nevirapine can be increased when it is combined with Darunavir.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Nevirapine.]
[S01AD09, ganciclovir, The risk or severity of adverse effects can be increased when Nevirapine is combined with Ganciclovir.]
[C10AB04, gemfibrozil, The metabolism of Nevirapine can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Nevirapine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Nevirapine.]
[J05AG04, etravirine, The metabolism of Nevirapine can be decreased when combined with Etravirine.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be decreased when combined with Nevirapine.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Nevirapine.]
[A10BB01, glyburide, The metabolism of Nevirapine can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Nevirapine.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Nevirapine.]
[N05CM18, dexmedetomidine, The metabolism of Nevirapine can be decreased when combined with Dexmedetomidine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Nevirapine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Nevirapine.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Nevirapine.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Nevirapine.]
[P01BX01, halofantrine, The metabolism of Nevirapine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Nevirapine.]
[N01AB01, halothane, The metabolism of Halothane can be increased when combined with Nevirapine.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Nevirapine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Nevirapine.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Nevirapine.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Nevirapine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Nevirapine.]
[R03BA09, fluticasone furoate, The metabolism of Nevirapine can be decreased when combined with Fluticasone furoate.]
[C08CA10, nilvadipine, The metabolism of Nevirapine can be decreased when combined with Nilvadipine.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be increased when combined with Nevirapine.]
[S02BA01, hydrocortisone, The metabolism of Nevirapine can be increased when combined with Hydrocortisone.]
[P01BA02, hydroxychloroquine, The metabolism of Nevirapine can be decreased when combined with Hydroxychloroquine.]
[N05BB01, hydroxyzine, The metabolism of Nevirapine can be decreased when combined with Hydroxyzine.]
[J04AB04, rifabutin, The serum concentration of Rifabutin can be decreased when it is combined with Nevirapine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Nevirapine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Nevirapine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Nevirapine.]
[N06AA02, imipramine, The metabolism of Nevirapine can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Nevirapine.]
[M03BX02, tizanidine, The serum concentration of Tizanidine can be increased when it is combined with Nevirapine.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be decreased when combined with Nevirapine.]
[N06AX17, milnacipran, The metabolism of Nevirapine can be decreased when combined with Milnacipran.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Nevirapine.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Nevirapine.]
[C10AA06, cerivastatin, The metabolism of Nevirapine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Nevirapine.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Nevirapine.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Nevirapine.]
[N06AF05, iproniazid, The metabolism of Nevirapine can be decreased when combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Nevirapine.]
[P01AX06, atovaquone, The metabolism of Nevirapine can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The metabolism of Isoflurane can be increased when combined with Nevirapine.]
[N04BX02, entacapone, The metabolism of Nevirapine can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Nevirapine can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The metabolism of Nevirapine can be decreased when combined with Reboxetine.]
[L04AC07, tocilizumab, The metabolism of Nevirapine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be increased when combined with Nevirapine.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be increased when combined with Nevirapine.]
[J02AB02, ketoconazole, The metabolism of Nevirapine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Nevirapine.]
[L04AA24, abatacept, The metabolism of Nevirapine can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Nevirapine can be decreased when combined with Rotigotine.]
[C07AG01, labetalol, The metabolism of Nevirapine can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Nevirapine is combined with Amantadine.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Nevirapine.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Nevirapine.]
[S02DA01, lidocaine, The metabolism of Nevirapine can be decreased when combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Nevirapine can be increased when combined with Armodafinil.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Nevirapine.]
[C10AA02, lovastatin, The metabolism of Nevirapine can be decreased when combined with Lovastatin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Nevirapine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Nevirapine.]
[L01EA03, nilotinib, The metabolism of Nevirapine can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Nevirapine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Nevirapine.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Nevirapine.]
[N06DX01, memantine, The metabolism of Nevirapine can be decreased when combined with Memantine.]
[N02AB02, meperidine, The metabolism of Meperidine can be increased when combined with Nevirapine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be increased when combined with Nevirapine.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be increased when combined with Nevirapine.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Nevirapine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Nevirapine.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Nevirapine.]
[N07BC02, methadone, The metabolism of Methadone can be increased when combined with Nevirapine.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Nevirapine.]
[H03BB02, methimazole, The metabolism of Nevirapine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Nevirapine.]
[N05AA02, methotrimeprazine, The metabolism of Nevirapine can be decreased when combined with Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Nevirapine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be increased when combined with Nevirapine.]
[V04CG05, methylene blue, The metabolism of Nevirapine can be decreased when combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Nevirapine.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be increased when combined with Nevirapine.]
[A03FA01, metoclopramide, The metabolism of Nevirapine can be decreased when combined with Metoclopramide.]
[C07AB02, metoprolol, The metabolism of Nevirapine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Nevirapine.]
[V04CD01, metyrapone, The metabolism of Nevirapine can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be increased when combined with Nevirapine.]
[N06AX03, mianserin, The metabolism of Mianserin can be increased when combined with Nevirapine.]
[S02AA13, miconazole, The metabolism of Nevirapine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Nevirapine.]
[N05CD08, midazolam, The metabolism of Midazolam can be decreased when combined with Nevirapine.]
[G03XB01, mifepristone, The metabolism of Nevirapine can be decreased when combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Nevirapine can be decreased when combined with Valsartan.]
[L01XX23, mitotane, The metabolism of Nevirapine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Nevirapine.]
[C01BD01, amiodarone, The metabolism of Nevirapine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Nevirapine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Nevirapine.]
[L04AB05, certolizumab pegol, The metabolism of Nevirapine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Nevirapine.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Nevirapine.]
[P01BA06, amodiaquine, The metabolism of Nevirapine can be decreased when combined with Amodiaquine.]
[G03XC01, raloxifene, The metabolism of Nevirapine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Nevirapine.]
[N03AB05, fosphenytoin, The metabolism of Nevirapine can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Nevirapine.]
[N04BC04, ropinirole, The metabolism of Ropinirole can be decreased when combined with Nevirapine.]
[V03AB15, naloxone, The metabolism of Nevirapine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Nevirapine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Nevirapine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Nevirapine.]
[A10BG01, troglitazone, The metabolism of Nevirapine can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Nevirapine can be decreased when combined with Duloxetine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Nevirapine.]
[L02BG04, letrozole, The metabolism of Nevirapine can be decreased when combined with Letrozole.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Nevirapine.]
[N06AX23, desvenlafaxine, The metabolism of Nevirapine can be decreased when combined with Desvenlafaxine.]
[C10AD02, niacin, The metabolism of Nevirapine can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Nevirapine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Nevirapine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Nevirapine.]
[N07BA01, nicotine, The metabolism of Nicotine can be increased when combined with Nevirapine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Nevirapine.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be decreased when combined with Nevirapine.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Nevirapine.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Nevirapine.]
[N04BC05, pramipexole, The risk or severity of adverse effects can be increased when Nevirapine is combined with Pramipexole.]
[C01CA03, norepinephrine, The risk or severity of adverse effects can be increased when Nevirapine is combined with Norepinephrine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Nevirapine.]
[C02KX01, bosentan, The metabolism of Nevirapine can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Nevirapine.]
[R05DA07, noscapine, The metabolism of Nevirapine can be decreased when combined with Noscapine.]
[L04AC04, rilonacept, The metabolism of Nevirapine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Nevirapine can be decreased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Nevirapine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Nevirapine.]
[P02BA02, oxamniquine, The metabolism of Nevirapine can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Nevirapine can be decreased when combined with Oxandrolone.]
[C07AA02, oxprenolol, The metabolism of Nevirapine can be decreased when combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Nevirapine.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Nevirapine.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Nevirapine.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Nevirapine is combined with Pancuronium.]
[H02AB05, paramethasone, The metabolism of Nevirapine can be increased when combined with Paramethasone.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Nevirapine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Nevirapine.]
[N05CA01, pentobarbital, The metabolism of Nevirapine can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Nevirapine.]
[C08EX02, perhexiline, The metabolism of Nevirapine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Nevirapine can be decreased when combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Nevirapine.]
[A10BA01, phenformin, The risk or severity of adverse effects can be increased when Nevirapine is combined with Phenformin.]
[N03AA02, phenobarbital, The metabolism of Nevirapine can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Nevirapine.]
[M02AA01, phenylbutazone, The metabolism of Nevirapine can be decreased when combined with Phenylbutazone.]
