[P02BB01, trichlorfon, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Metrifonate.]
[V09AA01, technetium Tc 99m exametazime, Quetiapine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Quetiapine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Clemastine.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Quetiapine.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Quetiapine.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Quetiapine.]
[J01FF01, clindamycin, The metabolism of Quetiapine can be decreased when combined with Clindamycin.]
[N06AX25, St. John's wort extract, The serum concentration of Quetiapine can be decreased when it is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Quetiapine.]
[J04BA01, clofazimine, The metabolism of Quetiapine can be decreased when combined with Clofazimine.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Quetiapine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Quetiapine.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Quetiapine.]
[C01EB24, mavacamten, The serum concentration of Quetiapine can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Quetiapine.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Quetiapine.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A04AA01, ondansetron, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L01XX77, adagrasib, The serum concentration of Quetiapine can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Quetiapine.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Quetiapine.]
[J01GB12, arbekacin, Quetiapine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[H01AC08, somatrogon, The metabolism of Quetiapine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Cocaine.]
[C02KB01, metyrosine, Quetiapine may increase the hypotensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Quetiapine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Quetiapine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Codeine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M04AC01, colchicine, Quetiapine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Homatropine.]
[J01XB01, colistin, Quetiapine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Quetiapine.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Quetiapine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Quetiapine is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Quetiapine.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Quetiapine.]
[J01FA15, telithromycin, The serum concentration of Quetiapine can be increased when it is combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Quetiapine.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Quetiapine is combined with Indobufen.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[J05AB14, valganciclovir, Quetiapine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Quetiapine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Quetiapine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Quetiapine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Quetiapine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Quetiapine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Quetiapine.]
[H01AX01, pegvisomant, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Quetiapine.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Quetiapine is combined with Parecoxib.]
[J02AC02, itraconazole, The serum concentration of Quetiapine can be increased when it is combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Quetiapine.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Quetiapine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Quetiapine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The serum concentration of Quetiapine can be increased when it is combined with Posaconazole.]
[S01EE04, travoprost, Quetiapine may increase the hypotensive activities of Travoprost.]
[S01EE03, bimatoprost, Quetiapine may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, Quetiapine may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Quetiapine.]
[N03AX09, lamotrigine, Lamotrigine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S01BA03, cortisone, The metabolism of Quetiapine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Quetiapine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Quetiapine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Quetiapine is combined with Lonazolac.]
[R06AX13, loratadine, Quetiapine may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Quetiapine is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C09AA03, lisinopril, Quetiapine may increase the hypotensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Quetiapine.]
[C08CA11, manidipine, Quetiapine may increase the hypotensive activities of Manidipine.]
[A03AA04, mebeverine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Quetiapine is combined with Mefenorex.]
[C07AA14, mepindolol, Mepindolol may increase the orthostatic hypotensive activities of Quetiapine.]
[H02AB15, meprednisone, The metabolism of Quetiapine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, Quetiapine may increase the arrhythmogenic activities of Mequitazine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Adenosine is combined with Quetiapine.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Quetiapine.]
[C04AX01, cyclandelate, The risk or severity of hypotension can be increased when Quetiapine is combined with Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the sedative and stimulatory activities of Quetiapine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C03DA04, eplerenone, Quetiapine may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, Melperone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C03AA07, cyclopenthiazide, Quetiapine may increase the hypotensive activities of Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Quetiapine.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Cyclopentolate is combined with Quetiapine.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Quetiapine.]
[N06AX07, minaprine, Minaprine may increase the orthostatic hypotensive activities of Quetiapine.]
[S01XA18, cyclosporine, The metabolism of Quetiapine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the orthostatic hypotensive activities of Quetiapine.]
[N06BA07, modafinil, The metabolism of Quetiapine can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C09AA13, moexipril, Quetiapine may increase the hypotensive activities of Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Quetiapine can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Quetiapine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Quetiapine is combined with Morniflumate.]
[C03XA02, conivaptan, The serum concentration of Quetiapine can be increased when it is combined with Conivaptan.]
[C02AC05, moxonidine, Quetiapine may increase the hypotensive activities of Moxonidine.]
[G04BE09, vardenafil, The risk or severity of hypotension and syncope can be increased when Vardenafil is combined with Quetiapine.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Quetiapine is combined with Etoricoxib.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[G03XA01, danazol, The serum concentration of Quetiapine can be increased when it is combined with Danazol.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[J04BA02, dapsone, The metabolism of Quetiapine can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Quetiapine can be increased when combined with Daunorubicin.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C02CC04, debrisoquin, Quetiapine may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Quetiapine.]
[N07BB05, nalmefene, Quetiapine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C07AB12, nebivolol, Quetiapine may increase the hypotensive activities of Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06AX06, nefazodone, The serum concentration of Quetiapine can be increased when it is combined with Nefazodone.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C01DX16, nicorandil, Quetiapine may increase the hypotensive activities of Nicorandil.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C01CA23, theodrenaline, Quetiapine may decrease the hypertensive activities of Theodrenaline.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Quetiapine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Quetiapine is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Quetiapine is combined with Escitalopram.]
[G04BD08, solifenacin, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Quetiapine is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Quetiapine can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Quetiapine.]
[V04CH02, indigo carmine, Quetiapine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C09XA02, aliskiren, Quetiapine may increase the hypotensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Quetiapine.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Oxaprozin is combined with Quetiapine.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S03BA01, dexamethasone, The metabolism of Quetiapine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Quetiapine.]
[G04BD04, oxybutynin, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Dexfenfluramine is combined with Quetiapine.]
[A03AA01, oxyphencyclimine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Quetiapine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Quetiapine can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the sedative and stimulatory activities of Quetiapine.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Quetiapine is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Quetiapine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Quetiapine can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Quetiapine is combined with Diamorphine.]
[P03AC04, permethrin, Quetiapine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[V03AH01, diazoxide, Quetiapine may increase the hypotensive activities of Diazoxide.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[R05DA08, pholcodine, Quetiapine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Diclofenac is combined with Quetiapine.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Quetiapine.]
[A03AA07, dicyclomine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C02DG01, pinacidil, Quetiapine may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hypotension can be increased when Quetiapine is combined with Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Quetiapine.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A03AB14, pipenzolate, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Quetiapine.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Quetiapine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, Diethylpropion may decrease the sedative and stimulatory activities of Quetiapine.]
[C08CA03, isradipine, Quetiapine may increase the hypotensive activities of Isradipine.]
[D07XC04, diflucortolone, The metabolism of Quetiapine can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Quetiapine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Quetiapine.]
[C01AA05, digoxin, Quetiapine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Quetiapine may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Quetiapine is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Quetiapine is combined with Hydromorphone.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J05AE08, atazanavir, The serum concentration of Quetiapine can be increased when it is combined with Atazanavir.]
[B01AC21, treprostinil, Quetiapine may increase the hypotensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, Quetiapine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C08DB01, diltiazem, Quetiapine may increase the hypotensive activities of Diltiazem.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[V03AB09, dimercaprol, Quetiapine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[R06AB03, dimethindene, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Quetiapine.]
[M02AX03, dimethyl sulfoxide, The metabolism of Quetiapine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Quetiapine.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Quetiapine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Quetiapine is combined with Proglumetacin.]
[R06AA02, diphenhydramine, Diphenhydramine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Quetiapine is combined with Diphenoxylate.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C09AA06, quinapril, Quetiapine may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of hypotension and syncope can be increased when Dipyridamole is combined with Quetiapine.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Quetiapine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Cisapride.]
[C09AA05, ramipril, Quetiapine may increase the hypotensive activities of Ramipril.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Quetiapine.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Quetiapine.]
[S01AX06, resorcinol, Quetiapine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Disopyramide.]
[N07AA03, distigmine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Distigmine.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Quetiapine.]
[S02AA12, rifamycin SV, The metabolism of Quetiapine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Quetiapine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05AX08, risperidone, Quetiapine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Quetiapine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Quetiapine.]
[A04AD12, aprepitant, The metabolism of Quetiapine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Quetiapine.]
[G04BE08, tadalafil, Quetiapine may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Quetiapine.]
[C02KX02, ambrisentan, Quetiapine may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Quetiapine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Quetiapine is combined with Salsalate.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Quetiapine.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C01CA07, dobutamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Quetiapine.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Quetiapine.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Dopamine is combined with Quetiapine.]
[N06AA16, dothiepin, The metabolism of Quetiapine can be decreased when combined with Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Quetiapine.]
[N06AA12, doxepin, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Quetiapine.]
[L01DB01, doxorubicin, The metabolism of Quetiapine can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Quetiapine is combined with Sertraline.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Quetiapine can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Quetiapine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Quetiapine.]
[C09AA11, spirapril, Quetiapine may increase the hypotensive activities of Spirapril.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[V04CX07, edrophonium, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, Quetiapine may increase the hypotensive activities of Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Temafloxacin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Quetiapine.]
[G04CA03, terazosin, Quetiapine may increase the hypotensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Quetiapine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Terodiline.]
[C07AA16, tertatolol, Tertatolol may increase the orthostatic hypotensive activities of Quetiapine.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Quetiapine.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
