[S02DA03, antipyrine, The metabolism of Pirfenidone can be decreased when combined with Antipyrine.]
[H01AC01, somatropin, The metabolism of Pirfenidone can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Pirfenidone can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Pirfenidone can be decreased when combined with Ketamine.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Pirfenidone.]
[J02AB02, ketoconazole, The metabolism of Pirfenidone can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Pirfenidone can be decreased when combined with Olanzapine.]
[V03AC03, deferasirox, The serum concentration of Pirfenidone can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Pirfenidone can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Pirfenidone can be decreased when combined with Rotigotine.]
[J01MB02, nalidixic acid, The metabolism of Pirfenidone can be decreased when combined with Nalidixic acid.]
[C07AG01, labetalol, The metabolism of Pirfenidone can be decreased when combined with Labetalol.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Pirfenidone.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Pirfenidone.]
[S02DA01, lidocaine, The metabolism of Pirfenidone can be decreased when combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Pirfenidone can be decreased when combined with Armodafinil.]
[N02CA07, lisuride, The metabolism of Pirfenidone can be decreased when combined with Lisuride.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Pirfenidone.]
[C10AA02, lovastatin, The metabolism of Pirfenidone can be decreased when combined with Lovastatin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Pirfenidone.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Nilotinib is combined with Pirfenidone.]
[N06AA21, maprotiline, The metabolism of Pirfenidone can be decreased when combined with Maprotiline.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Pirfenidone.]
[R06AE05, meclizine, The metabolism of Pirfenidone can be decreased when combined with Meclizine.]
[N05CH01, melatonin, The metabolism of Pirfenidone can be decreased when combined with Melatonin.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Pirfenidone.]
[N06DX01, memantine, The metabolism of Pirfenidone can be decreased when combined with Memantine.]
[N03AB04, mephenytoin, The metabolism of Pirfenidone can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Pirfenidone can be decreased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Mepivacaine.]
[N05AC03, mesoridazine, The metabolism of Pirfenidone can be decreased when combined with Mesoridazine.]
[N05AX13, paliperidone, The metabolism of Pirfenidone can be decreased when combined with Paliperidone.]
[A04AA04, dolasetron, The metabolism of Pirfenidone can be decreased when combined with Dolasetron.]
[N07BC02, methadone, The metabolism of Pirfenidone can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The metabolism of Pirfenidone can be decreased when combined with Metamfetamine.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Pirfenidone.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Pirfenidone.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Pirfenidone.]
[N05AA02, methotrimeprazine, The metabolism of Pirfenidone can be decreased when combined with Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Pirfenidone can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Pirfenidone can be decreased when combined with Methoxyflurane.]
[V04CG05, methylene blue, The metabolism of Pirfenidone can be decreased when combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Pirfenidone.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Pirfenidone.]
[N03AF03, rufinamide, The metabolism of Pirfenidone can be decreased when combined with Rufinamide.]
[A03FA01, metoclopramide, The metabolism of Pirfenidone can be decreased when combined with Metoclopramide.]
[C07AB02, metoprolol, The metabolism of Pirfenidone can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Pirfenidone can be decreased when combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Pirfenidone can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Pirfenidone.]
[S02AA13, miconazole, The metabolism of Pirfenidone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Pirfenidone can be decreased when combined with Aminophenazone.]
[G03XB01, mifepristone, The metabolism of Pirfenidone can be decreased when combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Pirfenidone can be decreased when combined with Valsartan.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Pirfenidone.]
[N06BA12, lisdexamfetamine, The metabolism of Pirfenidone can be decreased when combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Pirfenidone.]
[C01BD01, amiodarone, The metabolism of Pirfenidone can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Pirfenidone.]
[A04AA05, palonosetron, The metabolism of Pirfenidone can be decreased when combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Pirfenidone can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Pirfenidone.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Pirfenidone.]
[P01BA06, amodiaquine, The metabolism of Pirfenidone can be decreased when combined with Amodiaquine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Pirfenidone.]
[N03AB05, fosphenytoin, The metabolism of Pirfenidone can be decreased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Pirfenidone.]
[C07AA12, nadolol, The metabolism of Pirfenidone can be decreased when combined with Nadolol.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Ropinirole.]
[J01CF06, nafcillin, The metabolism of Pirfenidone can be increased when combined with Nafcillin.]
[L04AC03, anakinra, The metabolism of Pirfenidone can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Pirfenidone can be decreased when combined with Amphetamine.]
[M02AA12, naproxen, The metabolism of Pirfenidone can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Pirfenidone can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Pirfenidone can be decreased when combined with Duloxetine.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Pirfenidone.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Docetaxel is combined with Pirfenidone.]
[L02BG04, letrozole, The metabolism of Pirfenidone can be decreased when combined with Letrozole.]
[N05AX14, iloperidone, The metabolism of Pirfenidone can be decreased when combined with Iloperidone.]
[N06AX23, desvenlafaxine, The metabolism of Pirfenidone can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Pirfenidone can be decreased when combined with Telmisartan.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Pirfenidone.]
[C10AD02, niacin, The metabolism of Pirfenidone can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Pirfenidone can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Pirfenidone can be decreased when combined with Nicergoline.]
[P02DA01, niclosamide, The metabolism of Pirfenidone can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Pirfenidone can be increased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Pirfenidone can be decreased when combined with Nifedipine.]
[S01AE02, norfloxacin, The metabolism of Pirfenidone can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Pirfenidone can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Pirfenidone.]
[R05DA07, noscapine, The metabolism of Pirfenidone can be decreased when combined with Noscapine.]
[L03AB07, interferon beta-1a, The metabolism of Pirfenidone can be decreased when combined with Interferon beta-1a.]
[L04AC04, rilonacept, The metabolism of Pirfenidone can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Pirfenidone can be decreased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Pirfenidone.]
[G04CA02, tamsulosin, The metabolism of Pirfenidone can be decreased when combined with Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Pirfenidone can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Pirfenidone can be decreased when combined with Oxandrolone.]
[C07AA02, oxprenolol, The metabolism of Pirfenidone can be decreased when combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Pirfenidone can be decreased when combined with Oxycodone.]
[N02AA11, oxymorphone, The metabolism of Pirfenidone can be decreased when combined with Oxymorphone.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Pirfenidone.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Paramethasone is combined with Pirfenidone.]
[J01MA03, pefloxacin, The metabolism of Pirfenidone can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Pirfenidone.]
[C07AA23, penbutolol, The metabolism of Pirfenidone can be decreased when combined with Penbutolol.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Pirfenidone.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Pirfenidone.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Pirfenidone.]
[N05CA01, pentobarbital, The metabolism of Pirfenidone can be decreased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Pirfenidone.]
[C04AD03, pentoxifylline, The metabolism of Pirfenidone can be decreased when combined with Pentoxifylline.]
[C08EX02, perhexiline, The metabolism of Pirfenidone can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Pirfenidone can be decreased when combined with Perphenazine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Pirfenidone.]
[N02BE03, phenacetin, The metabolism of Pirfenidone can be decreased when combined with Phenacetin.]
[A10BA01, phenformin, The metabolism of Pirfenidone can be decreased when combined with Phenformin.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Pirfenidone.]
[B01AA04, phenprocoumon, The metabolism of Pirfenidone can be decreased when combined with Phenprocoumon.]
[M02AA01, phenylbutazone, The metabolism of Pirfenidone can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Pirfenidone can be increased when combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Pirfenidone can be decreased when combined with Dexlansoprazole.]
[N03AB02, phenytoin, The metabolism of Pirfenidone can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Pirfenidone can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Pirfenidone can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Pirfenidone.]
[C07AA03, pindolol, The metabolism of Pirfenidone can be decreased when combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Pirfenidone can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Pirfenidone can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The metabolism of Pirfenidone can be decreased when combined with Pipotiazine.]
[S01BC06, piroxicam, The metabolism of Pirfenidone can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The metabolism of Pirfenidone can be decreased when combined with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Pirfenidone can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Pirfenidone can be decreased when combined with Irbesartan.]
[A10BG02, rosiglitazone, The metabolism of Pirfenidone can be decreased when combined with Rosiglitazone.]
[A03AE01, alosetron, The metabolism of Pirfenidone can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Pirfenidone can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The metabolism of Pirfenidone can be decreased when combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Pirfenidone.]
[C07AB01, practolol, The metabolism of Pirfenidone can be decreased when combined with Practolol.]
[P02BA01, praziquantel, The metabolism of Pirfenidone can be decreased when combined with Praziquantel.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Pirfenidone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Pirfenidone.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Pirfenidone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Pirfenidone can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Pirfenidone can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Pirfenidone.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Pirfenidone.]
[C10AB05, fenofibrate, The metabolism of Pirfenidone can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Pirfenidone can be decreased when combined with Prochlorperazine.]
[G03DA04, progesterone, The metabolism of Pirfenidone can be decreased when combined with Progesterone.]
[N05AA03, promazine, The metabolism of Pirfenidone can be decreased when combined with Promazine.]
[R06AD02, promethazine, The metabolism of Pirfenidone can be decreased when combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Pirfenidone can be decreased when combined with Propafenone.]
[N01AX10, propofol, The metabolism of Pirfenidone can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Pirfenidone can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Pirfenidone can be decreased when combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Pirfenidone.]
[R03DC03, montelukast, The metabolism of Pirfenidone can be decreased when combined with Montelukast.]
[N05AX12, aripiprazole, The metabolism of Pirfenidone can be decreased when combined with Aripiprazole.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Pirfenidone.]
[R06AC01, pyrilamine, The metabolism of Pirfenidone can be decreased when combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Pirfenidone can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Pirfenidone can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Pirfenidone can be decreased when combined with Ranitidine.]
[J04AB02, rifampin, The metabolism of Pirfenidone can be increased when combined with Rifampicin.]
[A16AA02, S-adenosylmethionine, The metabolism of Pirfenidone can be decreased when combined with Ademetionine.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Pirfenidone.]
[S01BC08, salicylic acid, The metabolism of Pirfenidone can be decreased when combined with Salicylic acid.]
[N04BD01, selegiline, The metabolism of Pirfenidone can be decreased when combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Pirfenidone.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Pirfenidone.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Pirfenidone.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Trastuzumab emtansine.]
[N03AG01, valproic acid, The metabolism of Pirfenidone can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Hydrocortisone butyrate.]
