[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Zolpidem.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A02BC02, pantoprazole, The metabolism of Zolpidem can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Zolpidem can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Zolpidem.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Zolpidem can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Zolpidem can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Zolpidem can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Zolpidem can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Zolpidem can be decreased when combined with Fluvastatin.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L02AA03, ethinyl estradiol, The metabolism of Zolpidem can be decreased when combined with Ethinylestradiol.]
[N04AA05, profenamine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Zolpidem.]
[S01XA06, ethylmorphine, Ethylmorphine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N01AX07, etomidate, Etomidate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Zolpidem.]
[N05AE03, sertindole, Sertindole may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Zolpidem.]
[R06AX12, terfenadine, The metabolism of Zolpidem can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AB08, fluvoxamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Zolpidem.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Zolpidem.]
[A02BA03, famotidine, The metabolism of Zolpidem can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Zolpidem can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Zolpidem can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AB03, fentanyl, Fentanyl may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N07AX03, cevimeline, The metabolism of Zolpidem can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Zolpidem.]
[J01CF05, floxacillin, The metabolism of Zolpidem can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Zolpidem can be decreased when combined with Fluconazole.]
[V03AB25, flumazenil, Flumazenil may decrease the sedative activities of Zolpidem.]
[N07CA03, flunarizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[D07AC08, fluocinonide, The metabolism of Zolpidem can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[H02AB03, fluocortolone, The metabolism of Zolpidem can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Zolpidem can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Zolpidem.]
[N06AB03, fluoxetine, Fluoxetine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AF01, flupenthixol, Flupentixol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Zolpidem.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Zolpidem.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Zolpidem.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[G01AX06, furazolidone, Furazolidone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J05AE10, darunavir, The metabolism of Zolpidem can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AL05, amisulpride, Amisulpride may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Zolpidem.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AA04, barbexaclone, Barbexaclone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C10AB04, gemfibrozil, The metabolism of Zolpidem can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Zolpidem.]
[N04BC06, cabergoline, Cabergoline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Zolpidem.]
[J05AG04, etravirine, The metabolism of Zolpidem can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N01AH02, alfentanil, Alfentanil may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Zolpidem.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Zolpidem.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Zolpidem.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Zolpidem.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Zolpidem.]
[L01EX02, sorafenib, The metabolism of Zolpidem can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Zolpidem can be decreased when combined with Esmolol.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Zolpidem.]
[D01BA01, griseofulvin, The metabolism of Zolpidem can be increased when combined with Griseofulvin.]
[P01BX01, halofantrine, The metabolism of Zolpidem can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, Haloperidol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AH04, quetiapine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C09CA01, losartan, The metabolism of Zolpidem can be decreased when combined with Losartan.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J05AG01, nevirapine, The metabolism of Zolpidem can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Zolpidem can be decreased when combined with Nilvadipine.]
[R05DA03, hydrocodone, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Zolpidem can be increased when combined with Hydrocortisone.]
[G04BD06, propiverine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Zolpidem can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J04AB04, rifabutin, The metabolism of Zolpidem can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Zolpidem.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Zolpidem.]
[L01AA06, ifosfamide, The metabolism of Zolpidem can be increased when combined with Ifosfamide.]
[H01AC02, somatrem, The metabolism of Zolpidem can be increased when combined with Somatrem.]
[N01AH03, sufentanil, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AA02, imipramine, Zolpidem may increase the Decreased alertness activities of Imipramine.]
[L01CD01, paclitaxel, The metabolism of Zolpidem can be increased when combined with Paclitaxel.]
[M03BX02, tizanidine, Tizanidine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01BC01, indomethacin, The metabolism of Zolpidem can be decreased when combined with Indomethacin.]
[L03AB04, interferon alfa-2a, The metabolism of Zolpidem can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Zolpidem can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, Milnacipran may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03AA30, piperidolate, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R06AE01, buclizine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Zolpidem can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Zolpidem can be decreased when combined with Anagrelide.]
[C07AA01, alprenolol, Alprenolol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L03AB09, interferon alfacon-1, The metabolism of Zolpidem can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Zolpidem.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AF05, iproniazid, Iproniazid may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J05AB13, penciclovir, The metabolism of Zolpidem can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[P01AX06, atovaquone, The metabolism of Zolpidem can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04BX02, entacapone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J04AC01, isoniazid, The metabolism of Zolpidem can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[H01AC01, somatropin, The metabolism of Zolpidem can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Zolpidem can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Zolpidem.]
[J02AB02, ketoconazole, The metabolism of Zolpidem can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[V03AC03, deferasirox, The metabolism of Zolpidem can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Zolpidem can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Rotigotine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J01MB02, nalidixic acid, The metabolism of Zolpidem can be decreased when combined with Nalidixic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Zolpidem.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04BA01, levodopa, Levodopa may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S02DA01, lidocaine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06BA13, armodafinil, The metabolism of Zolpidem can be decreased when combined with Armodafinil.]
[N02CA07, lisuride, Lisuride may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C10AA02, lovastatin, The metabolism of Zolpidem can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Zolpidem.]
[L01EG01, temsirolimus, The metabolism of Zolpidem can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Zolpidem can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Zolpidem can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Maprotiline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06DX01, memantine, The metabolism of Zolpidem can be decreased when combined with Memantine.]
[N02AB02, meperidine, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AX05, meptazinol, Meptazinol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L02BG01, aminoglutethimide, The metabolism of Zolpidem can be increased when combined with Aminoglutethimide.]
[N05AC03, mesoridazine, Mesoridazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AX13, paliperidone, Paliperidone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A04AA04, dolasetron, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Zolpidem.]
[N06BA03, methamphetamine, Metamfetamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03AB07, methantheline, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[H03BB02, methimazole, The metabolism of Zolpidem can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Zolpidem.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02BG08, ziconotide, Ziconotide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AA02, methotrimeprazine, Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[D05BA02, methoxsalen, The metabolism of Zolpidem can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[V04CG05, methylene blue, Methylene blue may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Zolpidem.]
[H02AB04, methylprednisolone, The metabolism of Zolpidem can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, Rufinamide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Zolpidem.]
[C07AB02, metoprolol, The metabolism of Zolpidem can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Zolpidem can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Zolpidem can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Zolpidem can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, Mianserin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S02AA13, miconazole, The metabolism of Zolpidem can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Zolpidem.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[G03XB01, mifepristone, The metabolism of Zolpidem can be increased when combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Zolpidem can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01XX23, mitotane, The metabolism of Zolpidem can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Zolpidem can be decreased when combined with Lisdexamfetamine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C01BD01, amiodarone, The metabolism of Zolpidem can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AA01, morphine, Morphine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L04AB05, certolizumab pegol, The metabolism of Zolpidem can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Zolpidem.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Zolpidem.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CA02, amobarbital, Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[P01BA06, amodiaquine, The metabolism of Zolpidem can be decreased when combined with Amodiaquine.]
[N06AA17, amoxapine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AB05, fosphenytoin, Fosphenytoin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L03AB08, interferon beta-1b, The metabolism of Zolpidem can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Zolpidem.]
[N04BC04, ropinirole, Zolpidem may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Zolpidem can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AF02, nalbuphine, Nalbuphine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[V03AB15, naloxone, The metabolism of Zolpidem can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Zolpidem can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Zolpidem.]
[N06BA01, amphetamine, The metabolism of Zolpidem can be decreased when combined with Amphetamine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Zolpidem.]
[A10BG01, troglitazone, The metabolism of Zolpidem can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L02BG04, letrozole, The metabolism of Zolpidem can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, Remifentanil may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AX14, iloperidone, Iloperidone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C09CA07, telmisartan, The metabolism of Zolpidem can be decreased when combined with Telmisartan.]
[C10AD02, niacin, The metabolism of Zolpidem can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C08CA04, nicardipine, The metabolism of Zolpidem can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Zolpidem.]
[P02DA01, niclosamide, The metabolism of Zolpidem can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Zolpidem.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04BC05, pramipexole, Zolpidem may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01AE02, norfloxacin, The metabolism of Zolpidem can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Zolpidem can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R05DA07, noscapine, The metabolism of Zolpidem can be decreased when combined with Noscapine.]
[L03AB07, interferon beta-1a, The metabolism of Zolpidem can be decreased when combined with Interferon beta-1a.]
[L04AC04, rilonacept, The metabolism of Zolpidem can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Zolpidem can be increased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AA02, opium, Opium may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Zolpidem.]
[P02BA02, oxamniquine, The metabolism of Zolpidem can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Zolpidem can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C07AA02, oxprenolol, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AA05, oxycodone, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AA11, oxymorphone, Oxymorphone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03AB03, oxyphenonium, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, Asenapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M03AC01, pancuronium, Pancuronium may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CC05, paraldehyde, Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[H02AB05, paramethasone, The metabolism of Zolpidem can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J01MA03, pefloxacin, The metabolism of Zolpidem can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Penbutolol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AD01, pentazocine, Pentazocine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CA01, pentobarbital, Pentobarbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Zolpidem.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04BC02, pergolide, Pergolide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C08EX02, perhexiline, The metabolism of Zolpidem can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, Perphenazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Zolpidem.]
[N02AD02, phenazocine, Phenazocine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AF03, phenelzine, Phenelzine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Zolpidem.]
[N03AA02, phenobarbital, Phenobarbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N01AH04, phenoperidine, Phenoperidine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Zolpidem.]
[M02AA01, phenylbutazone, The metabolism of Zolpidem can be increased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Zolpidem can be increased when combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Zolpidem can be decreased when combined with Dexlansoprazole.]
[N03AB02, phenytoin, Phenytoin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L04AB06, golimumab, The metabolism of Zolpidem can be increased when combined with Golimumab.]
