[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Duloxetine.]
[M01AH03, valdecoxib, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Valdecoxib.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Duloxetine.]
[A03AX10, isometheptene, Duloxetine may increase the tachycardic activities of Isometheptene.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Duloxetine.]
[M01AH04, parecoxib, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Parecoxib.]
[B01AB12, bemiparin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Bemiparin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Duloxetine.]
[M01AA06, kebuzone, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Duloxetine can be increased when it is combined with Imatinib.]
[C08CA09, lacidipine, The risk or severity of orthostatic hypotension and syncope can be increased when Lacidipine is combined with Duloxetine.]
[N03AX09, lamotrigine, The risk or severity of adverse effects can be increased when Lamotrigine is combined with Duloxetine.]
[S01GX02, levocabastine, The risk or severity of adverse effects can be increased when Levocabastine is combined with Duloxetine.]
[N07BC04, lofexidine, The therapeutic efficacy of Duloxetine can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Lormetazepam is combined with Duloxetine.]
[M02AA31, loxoprofen, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[C09AA03, lisinopril, The risk or severity of orthostatic hypotension and syncope can be increased when Lisinopril is combined with Duloxetine.]
[A06AD01, magnesium carbonate, Duloxetine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Duloxetine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Medifoxamine is combined with Duloxetine.]
[A08AA09, mefenorex, The risk or severity of Tachycardia can be increased when Duloxetine is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Duloxetine.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Duloxetine.]
[J01DH02, meropenem, Duloxetine may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Duloxetine is combined with Adenosine.]
[N04AA03, methixene, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, Duloxetine may increase the tachycardic activities of Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Duloxetine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Cyclobarbital is combined with Duloxetine.]
[C03DA04, eplerenone, The risk or severity of orthostatic hypotension and syncope can be increased when Eplerenone is combined with Duloxetine.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Melperone is combined with Duloxetine.]
[C03AA07, cyclopenthiazide, The risk or severity of hyponatremia can be increased when Duloxetine is combined with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Miglitol.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Duloxetine.]
[N06AX07, minaprine, The risk or severity of serotonin syndrome can be increased when Minaprine is combined with Duloxetine.]
[S01XA18, cyclosporine, The metabolism of Duloxetine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Duloxetine.]
[N06BA07, modafinil, The metabolism of Duloxetine can be decreased when combined with Armodafinil.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Duloxetine can be decreased when used in combination with Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of orthostatic hypotension and syncope can be increased when Moexipril is combined with Duloxetine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Duloxetine.]
[M02AA02, mofebutazone, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Morniflumate.]
[C03XA02, conivaptan, The risk or severity of orthostatic hypotension and syncope can be increased when Conivaptan is combined with Duloxetine.]
[C02AC05, moxonidine, The risk or severity of orthostatic hypotension and syncope can be increased when Moxonidine is combined with Duloxetine.]
[M01AH05, etoricoxib, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Etoricoxib.]
[L01AX04, dacarbazine, Duloxetine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Duloxetine.]
[J04BA02, dapsone, The metabolism of Duloxetine can be decreased when combined with Dapsone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Deanol is combined with Duloxetine.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Duloxetine.]
[A04AD11, nabilone, The risk or severity of orthostatic hypotension and syncope can be increased when Nabilone is combined with Duloxetine.]
[M01AX01, nabumetone, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Nabumetone.]
[N07BB05, nalmefene, Duloxetine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Nordazepam is combined with Duloxetine.]
[C07AB12, nebivolol, The risk or severity of orthostatic hypotension and syncope can be increased when Nebivolol is combined with Duloxetine.]
[S01GX04, nedocromil, Duloxetine may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be decreased when combined with Duloxetine.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Niaprazine is combined with Duloxetine.]
[C01DX16, nicorandil, Duloxetine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Duloxetine can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Duloxetine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Duloxetine.]
[C01CA05, norfenefrine, Duloxetine may increase the tachycardic activities of Norfenefrine.]
[R05DA06, normethadone, The risk or severity of serotonin syndrome can be increased when Normethadone is combined with Duloxetine.]
[B01AX05, fondaparinux, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Fondaparinux.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Duloxetine is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Duloxetine.]
[A07EC03, olsalazine, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Duloxetine.]
[H01BA02, desmopressin, The risk or severity of hyponatremia can be increased when Duloxetine is combined with Desmopressin.]
[V04CH02, indigo carmine, Duloxetine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[C09XA02, aliskiren, The risk or severity of orthostatic hypotension and syncope can be increased when Aliskiren is combined with Duloxetine.]
[M01AE12, oxaprozin, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Duloxetine.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Oxiracetam is combined with Duloxetine.]
[N04AA08, dexetimide, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Duloxetine.]
[A03AA01, oxyphencyclimine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Duloxetine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Duloxetine.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Duloxetine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Duloxetine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Duloxetine.]
[N02AC01, dextromoramide, The risk or severity of serotonin syndrome can be increased when Dextromoramide is combined with Duloxetine.]
[H05AA02, teriparatide, The therapeutic efficacy of Teriparatide can be decreased when used in combination with Duloxetine.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Duloxetine.]
[B01AC04, clopidogrel, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of serotonin syndrome can be increased when Diamorphine is combined with Duloxetine.]
[P03AC04, permethrin, Duloxetine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Duloxetine.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Duloxetine.]
[V03AH01, diazoxide, The risk or severity of orthostatic hypotension and syncope can be increased when Diazoxide is combined with Duloxetine.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Duloxetine.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Dibenzepin is combined with Duloxetine.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Duloxetine.]
[R05DA08, pholcodine, Duloxetine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, The risk or severity of orthostatic hypotension and syncope can be increased when Diclofenamide is combined with Duloxetine.]
[S01BC03, diclofenac, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[A03AA07, dicyclomine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Duloxetine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of orthostatic hypotension and syncope can be increased when Pipamperone is combined with Duloxetine.]
[A03AB14, pipenzolate, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Duloxetine.]
[R03CC07, pirbuterol, Duloxetine may increase the tachycardic activities of Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Duloxetine.]
[L02AA01, diethylstilbestrol, The metabolism of Duloxetine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of orthostatic hypotension and syncope can be increased when Isradipine is combined with Duloxetine.]
[D07XC04, diflucortolone, Duloxetine may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Diflunisal.]
[C01AA05, digoxin, Duloxetine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Duloxetine.]
[N02AA03, hydromorphone, The risk or severity of serotonin syndrome can be increased when Hydromorphone is combined with Duloxetine.]
[L04AX04, lenalidomide, Duloxetine may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Duloxetine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Duloxetine can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, The therapeutic efficacy of Potassium perchlorate can be decreased when used in combination with Duloxetine.]
[V03AB04, pralidoxime, Duloxetine may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Pramocaine is combined with Duloxetine.]
[C08DB01, diltiazem, The risk or severity of orthostatic hypotension and syncope can be increased when Diltiazem is combined with Duloxetine.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Duloxetine.]
[V03AB09, dimercaprol, Duloxetine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Pridinol is combined with Duloxetine.]
[R06AB03, dimethindene, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, Duloxetine may increase the tachycardic activities of Procaterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Duloxetine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Duloxetine.]
[N02BB04, propyphenazone, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Duloxetine can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Duloxetine.]
[A07DA01, diphenoxylate, The risk or severity of serotonin syndrome can be increased when Diphenoxylate is combined with Duloxetine.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Duloxetine.]
[C09AA06, quinapril, The risk or severity of orthostatic hypotension and syncope can be increased when Quinapril is combined with Duloxetine.]
[B01AC07, dipyridamole, The risk or severity of orthostatic hypotension and syncope can be increased when Dipyridamole is combined with Duloxetine.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmethylphenidate is combined with Duloxetine.]
[B01AD10, drotrecogin alfa, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Drotrecogin alfa.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Quinupramine is combined with Duloxetine.]
[A03FA02, cisapride, The metabolism of Duloxetine can be decreased when combined with Cisapride.]
[C09AA05, ramipril, The risk or severity of orthostatic hypotension and syncope can be increased when Ramipril is combined with Duloxetine.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Duloxetine.]
[R03CC14, reproterol, Duloxetine may increase the tachycardic activities of Reproterol.]
[S01AX06, resorcinol, Duloxetine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Duloxetine can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Duloxetine.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Duloxetine.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Levocetirizine is combined with Duloxetine.]
[N01BB09, ropivacaine, The risk or severity of orthostatic hypotension and syncope can be increased when Ropivacaine is combined with Duloxetine.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Sunitinib.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Duloxetine.]
[G04BE08, tadalafil, Duloxetine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Ketorolac.]
[C01EB18, ranolazine, The serum concentration of Duloxetine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Salsalate.]
[R03AC12, salmeterol, Duloxetine may increase the tachycardic activities of Salmeterol.]
[H05BA01, salmon calcitonin, The therapeutic efficacy of Salmon calcitonin can be decreased when used in combination with Duloxetine.]
[C01CA07, dobutamine, Duloxetine may increase the tachycardic activities of Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Duloxetine.]
[C01CA04, dopamine, Duloxetine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Duloxetine.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Duloxetine.]
[L01DB01, doxorubicin, The metabolism of Duloxetine can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Duloxetine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Duloxetine.]
[N01AB08, sevoflurane, The risk or severity of orthostatic hypotension and syncope can be increased when Sevoflurane is combined with Duloxetine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Duloxetine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Duloxetine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Duloxetine.]
[A12CA02, sodium sulfate, Duloxetine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Duloxetine may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Sultopride is combined with Duloxetine.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Duloxetine.]
[V04CX07, edrophonium, Duloxetine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Duloxetine.]
[L01AX03, temozolomide, Duloxetine may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Tenoxicam.]
[G04CA03, terazosin, The risk or severity of orthostatic hypotension and syncope can be increased when Terazosin is combined with Duloxetine.]
[D01BA02, terbinafine, The metabolism of Duloxetine can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Duloxetine.]
[S01GA02, tetrahydrozoline, Duloxetine may increase the tachycardic activities of Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Tetrazepam is combined with Duloxetine.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Thiocolchicoside is combined with Duloxetine.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Thiopropazate is combined with Duloxetine.]
[G04BD01, emepronium, The risk or severity of adverse effects can be increased when Emepronium is combined with Duloxetine.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Tianeptine is combined with Duloxetine.]
[C09AA02, enalapril, The risk or severity of orthostatic hypotension and syncope can be increased when Enalapril is combined with Duloxetine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Tofisopam is combined with Duloxetine.]
[M01AG02, tolfenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of serotonin syndrome can be increased when Toloxatone is combined with Duloxetine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Duloxetine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Duloxetine.]
[C03CA04, torsemide, The risk or severity of orthostatic hypotension and syncope can be increased when Torasemide is combined with Duloxetine.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Duloxetine is combined with Tramazoline.]
[C09AA10, trandolapril, The risk or severity of orthostatic hypotension and syncope can be increased when Trandolapril is combined with Duloxetine.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Loprazolam is combined with Duloxetine.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Duloxetine.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Triclofos is combined with Duloxetine.]
[A03AB08, tridihexethyl, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Triflusal.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Duloxetine.]
[G03GA05, follitropin alfa, The therapeutic efficacy of Follitropin can be decreased when used in combination with Duloxetine.]
[N04AA12, tropatepine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[C05CA04, troxerutin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Troxerutin.]
[R03CC11, tulobuterol, Duloxetine may increase the tachycardic activities of Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Duloxetine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Urapidil is combined with Duloxetine.]
[J01MA04, enoxacin, The metabolism of Duloxetine can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Veralipride is combined with Duloxetine.]
[L01CA04, vinorelbine, The metabolism of Duloxetine can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, Duloxetine may increase the tachycardic activities of Ephedrine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Duloxetine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Duloxetine is combined with Venlafaxine.]
[C01CX07, xamoterol, Duloxetine may increase the tachycardic activities of Xamoterol.]
[S01GA03, xylometazoline, Duloxetine may increase the tachycardic activities of Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of orthostatic hypotension and syncope can be increased when Barnidipine is combined with Duloxetine.]
[S01EA01, epinephrine, Duloxetine may increase the tachycardic activities of Epinephrine.]
[N05CF02, zolpidem, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Duloxetine.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Insulin glulisine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Zopiclone is combined with Duloxetine.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Zotepine is combined with Duloxetine.]
[B01AD03, anistreplase, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Anistreplase.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of orthostatic hypotension and syncope can be increased when Guanfacine is combined with Duloxetine.]
[B01AC11, iloprost, The risk or severity of orthostatic hypotension and syncope can be increased when Iloprost is combined with Duloxetine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Duloxetine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Duloxetine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Duloxetine.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Ergotamine is combined with Duloxetine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Duloxetine.]
[L03AX05, pidotimod, Duloxetine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Duloxetine.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Duloxetine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, Duloxetine may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Duloxetine.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Duloxetine is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Duloxetine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Duloxetine.]
[V03AF05, amifostine, The risk or severity of orthostatic hypotension and syncope can be increased when Amifostine is combined with Duloxetine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N04AA05, profenamine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Duloxetine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Duloxetine.]
[M01AC06, meloxicam, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of serotonin syndrome can be increased when Ethylmorphine is combined with Duloxetine.]
[C01CA01, etilefrine, Duloxetine may increase the tachycardic activities of Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Duloxetine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Duloxetine.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Duloxetine.]
[R06AX12, terfenadine, The metabolism of Duloxetine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Duloxetine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Duloxetine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Duloxetine can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Duloxetine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Duloxetine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Dextran.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[A16AA01, levocarnitine, Duloxetine may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[C08CA02, felodipine, The risk or severity of orthostatic hypotension and syncope can be increased when Felodipine is combined with Duloxetine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Duloxetine is combined with Fenfluramine.]
